,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDiluted,,SharesData(Quarterly),DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2020-11,4.719B,4.719B,2.998B,1.721B,804.10M,-0.40M,,,-100.60M,,804.10M,917.00M,,,-100.60M,32.50M,-100.60M,848.90M,189.40M,695.90M,,,-7.50M,688.40M,688.71M,917.00M,,2020-11,1.12,,1.12,,2020-11,1.11,,1.11,,2020-11,0.51,,2020-11,AOR,
2020-08,4.364B,4.364B,2.774B,1.590B,736.20M,-0.50M,,,-111.10M,,736.20M,854.20M,,,-111.10M,32.80M,-111.10M,775.90M,170.80M,646.40M,,,-7.50M,638.90M,639.29M,854.20M,,2020-08,1.04,,1.04,,2020-08,1.03,,1.03,,2020-08,0.49,,2020-08,AOR,
2020-05,5.023B,5.023B,3.255B,1.768B,927.10M,-11.50M,,,-118.60M,,927.10M,841.00M,,,-118.60M,10.60M,-118.60M,733.00M,139.60M,627.00M,,,-1.30M,625.70M,635.01M,935.40M,,2020-05,1.03,,1.03,,2020-05,1.02,,1.02,,2020-05,0.49,,2020-05,AOR,
2020-02,4.180B,4.180B,2.777B,1.403B,746.60M,-5.80M,,,-109.80M,,746.60M,656.60M,,,-109.80M,24.50M,-109.80M,571.30M,118.20M,463.90M,,,-9.80M,454.10M,458.70M,656.60M,,2020-02,0.75,,0.75,,2020-02,0.74,,0.74,,2020-02,0.49,,2020-02,AOR,
2019-11,4.421B,4.421B,2.852B,1.569B,759.00M,1.10M,,,-119.40M,,759.00M,810.10M,,,-119.40M,31.30M,-119.40M,722.00M,155.50M,591.40M,,,-10.60M,580.80M,579.94M,810.10M,,2019-11,0.96,,0.96,,2019-11,0.95,,0.95,,2019-11,0.49,,2019-11,AOR,Restated
2019-08,4.002B,4.002B,2.613B,1.390B,718.90M,-8.20M,,,-118.70M,,718.90M,670.60M,,,-118.70M,22.00M,-118.70M,573.90M,67.20M,528.50M,,,-7.90M,520.60M,527.84M,670.60M,,2019-08,0.86,,0.86,,2019-08,0.85,,0.85,,2019-08,0.49,,2019-08,AOR,Restated
2019-05,4.162B,4.162B,2.700B,1.461B,743.20M,-2.00M,,,-124.80M,,743.20M,718.10M,,,-124.80M,22.60M,-124.80M,615.90M,54.70M,581.20M,,,-11.00M,570.20M,572.02M,506.50M,,2019-05,0.95,,0.95,,2019-05,0.94,,0.94,,2019-05,0.49,,2019-05,AOR,Restated
2019-02,4.198B,4.198B,2.755B,1.443B,696.60M,-95.10M,,,-130.80M,,696.60M,746.40M,,,-130.80M,-73.70M,-130.80M,541.90M,95.80M,457.90M,,,-11.10M,446.80M,525.07M,746.40M,,2019-02,0.74,,0.74,,2019-02,0.74,,0.74,,2019-02,0.49,,2019-02,AOR,Restated
2018-11,4.411B,4.411B,2.902B,1.510B,753.30M,-209.40M,,,-132.70M,,753.30M,756.40M,,,-132.70M,-188.40M,-132.70M,435.30M,106.60M,351.20M,,,-7.80M,343.40M,501.50M,756.40M,,2018-11,0.57,,0.57,,2018-11,0.57,,0.57,,2018-11,0.49,,2018-11,AOR,Restated
2018-08,4.094B,4.094B,2.751B,1.343B,742.70M,1.40M,,,-133.50M,,742.70M,600.10M,,,-133.50M,22.30M,-133.50M,488.90M,110.70M,395.90M,,,-3.60M,392.30M,391.22M,600.10M,,2018-08,0.66,,0.66,,2018-08,0.65,,0.65,,2018-08,0.49,,2018-08,AOR,Restated
