,NetIncome,Gain/LossonSaleBusiness,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,SECFilingLinks,Restated
2020-11,695.90M,,-36.40M,-26.90M,-63.30M,149.00M,149.00M,19.30M,,20.40M,,2.10M,-142.40M,-100.00M,-6.60M,211.70M,47.30M,,10.00M,,843.20M,2020-11,-109.20M,0.10M,-109.10M,18.80M,,2.00M,-88.30M,,376.20M,-38.70M,337.50M,,-0.10M,-0.10M,-314.90M,-314.90M,1.10M,-4.50M,19.10M,,1.797B,774.00M,12.10M,2.583B,2020-11,,376.10M,0.10M,-0.10M,,2020-11,
2020-08,646.40M,,-41.30M,-5.60M,-46.90M,146.10M,146.10M,23.00M,,28.30M,,-75.40M,7.20M,-158.60M,88.20M,-45.90M,-48.70M,,-157.80M,,583.60M,2020-08,-117.00M,0.30M,-116.70M,-0.70M,,-5.60M,-123.00M,,40.10M,-120.90M,-80.80M,,,,-302.80M,-302.80M,30.00M,-19.10M,-372.70M,,1.678B,87.90M,31.00M,1.797B,2020-08,,595.20M,-555.10M,,,2020-08,
2020-05,627.00M,0.00,-33.60M,-18.50M,-52.10M,138.30M,138.30M,-31.30M,,28.90M,,64.20M,98.20M,100.60M,39.40M,272.60M,191.80M,,702.60M,,1.516B,2020-05,-191.40M,0.80M,-190.60M,-7.10M,,16.10M,-181.60M,,770.10M,-875.70M,-105.60M,,-0.60M,-0.60M,-300.40M,-300.40M,154.00M,2.50M,-250.10M,,606.90M,1.085B,-13.80M,1.678B,2020-05,,770.30M,-0.20M,-0.60M,,2020-05,
2020-02,463.90M,0.00,-10.80M,-15.10M,-25.90M,148.70M,148.70M,11.60M,,18.20M,,-5.70M,36.70M,169.70M,-12.80M,-125.80M,15.80M,,83.60M,,703.20M,2020-02,-110.90M,0.30M,-110.60M,-26.60M,,-4.70M,-141.90M,,-19.40M,-163.20M,-182.60M,,-2.70M,-2.70M,-299.10M,-299.10M,40.80M,-68.00M,-511.60M,,560.20M,49.70M,-3.00M,606.90M,2020-02,,867.80M,-887.20M,-2.70M,,2020-02,
2019-11,591.40M,,-24.90M,-22.90M,-47.80M,153.60M,153.60M,27.30M,,19.00M,,40.50M,-59.60M,-21.90M,-80.40M,281.50M,-27.30M,,92.30M,,884.50M,2019-11,-88.70M,0.30M,-88.40M,-1.80M,,11.20M,-79.00M,,-509.20M,50.30M,-458.90M,,-0.10M,-0.10M,-297.80M,-297.80M,12.80M,-7.20M,-751.20M,,504.80M,54.30M,1.10M,560.20M,2019-11,,0.00,-509.20M,-0.10M,,2019-11,Restated
2019-08,528.50M,,-21.80M,-6.90M,-28.70M,154.10M,154.10M,-37.20M,,28.80M,,-9.50M,-37.40M,-145.30M,148.00M,-35.80M,-14.10M,,-84.60M,,572.10M,2019-08,-69.80M,0.30M,-69.50M,-12.50M,,-1.70M,-83.70M,,-0.10M,-170.00M,-170.10M,,,,-298.50M,-298.50M,55.80M,-15.80M,-428.60M,,450.00M,59.80M,-5.00M,504.80M,2019-08,,0.00,-0.10M,,,2019-08,Restated
2019-05,581.20M,-5.40M,-20.00M,-5.60M,-31.00M,155.50M,155.50M,41.00M,,19.00M,,17.60M,8.20M,-27.00M,-130.80M,84.90M,20.70M,,-44.00M,,779.40M,2019-05,-169.70M,3.40M,-166.30M,27.80M,,-10.30M,-148.80M,,-1.30M,-496.20M,-497.50M,,-0.40M,-0.40M,-298.00M,-298.00M,100.70M,-23.20M,-718.40M,,547.10M,-87.80M,-9.30M,450.00M,2019-05,,339.10M,-340.40M,-0.40M,,2019-05,Restated
2019-02,457.90M,35.40M,-11.80M,-5.60M,18.00M,154.50M,154.50M,8.70M,,21.40M,,22.20M,13.10M,96.00M,-28.80M,-66.60M,-77.20M,,-63.50M,,631.10M,2019-02,-114.10M,-0.40M,-114.50M,0.20M,,2.00M,-112.30M,,-1.153B,912.00M,-241.00M,,-0.40M,-0.40M,-294.50M,-294.50M,53.40M,-28.20M,-510.70M,,532.70M,8.10M,6.30M,547.10M,2019-02,,0.00,-1.153B,-0.40M,,2019-02,Restated
2018-11,351.20M,,-22.50M,-5.60M,-28.10M,154.90M,154.90M,14.90M,,18.40M,,187.10M,-15.30M,42.90M,9.90M,126.40M,-78.70M,,85.20M,,789.10M,2018-11,-141.10M,11.20M,-129.90M,-1.60M,,-24.30M,-155.80M,,-0.20M,-292.30M,-292.50M,,-0.10M,-0.10M,-295.00M,-295.00M,13.90M,49.40M,-524.30M,,432.90M,109.00M,-9.20M,532.70M,2018-11,,,-0.20M,-0.10M,,2018-11,Restated
2018-08,395.90M,,-17.70M,-5.90M,-23.60M,155.20M,155.20M,28.90M,,26.10M,,-19.10M,-48.70M,-58.20M,35.40M,17.70M,68.60M,,14.80M,,607.40M,2018-08,-112.70M,0.10M,-112.60M,0.10M,,-27.10M,-139.60M,,-0.20M,-189.80M,-190.00M,,-0.20M,-0.20M,-294.20M,-294.20M,73.40M,-12.00M,-423.00M,,399.00M,44.80M,-10.90M,432.90M,2018-08,,,-0.20M,-0.20M,,2018-08,Restated
