,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2018-06,389.26M,4.528M,393.79M,1.842B,471.80M,2.337B,112.73M,97.43M,90.88M,,,9.085B,,,,,,,,6.557B,-3.328B,3.229B,6.679B,100.26M,6.779B,283.22M,,59.07M,10.35B,19.44B,,542.27M,,,542.27M,,542.27M,,,,1.769B,,1.769B,1.840B,4.784B,8.176B,,8.176B,526.42M,526.42M,205.32M,1.047B,418.12M,10.17B,14.95B,,0.183M,4.088B,1.023B,809.90M,,,-21.92M,4.279B,,AOR,Restated
2018-03,358.87M,4.602M,363.48M,1.831B,415.91M,2.265B,125.56M,106.35M,88.74M,,,8.674B,,,,,,,,6.416B,-3.231B,3.185B,6.639B,113.37M,6.752B,279.91M,,51.73M,10.27B,18.94B,,437.73M,,,437.73M,,437.73M,,,,184.14M,,184.14M,1.799B,2.948B,9.280B,,9.280B,507.23M,507.23M,201.40M,1.035B,391.16M,11.21B,14.16B,,0.183M,3.821B,1.031B,298.38M,,,27.34M,4.581B,,AOR,Restated
2017-12,508.23M,32.83M,541.06M,1.715B,399.26M,2.163B,181.80M,104.73M,10.69M,,7.331M,8.771B,0.00,33.81M,473.49M,2.352B,,576.65M,2.817B,6.253B,-3.104B,3.149B,6.610B,113.83M,6.724B,283.23M,,47.29M,10.20B,18.97B,,509.12M,28.32M,,537.43M,148.29M,685.72M,,,,178.21M,,178.21M,1.587B,3.068B,9.158B,,9.158B,486.25M,486.25M,196.04M,1.011B,365.32M,11.02B,14.09B,,0.182M,3.634B,1.043B,,,,13.24M,4.690B,,AOR,Restated
2017-09,846.11M,137.36M,983.47M,2.091B,599.37M,2.690B,154.42M,205.21M,,,,4.034B,,,,,,,,6.537B,-3.151B,3.386B,9.416B,1.451B,10.87B,665.18M,,61.64M,14.98B,19.01B,,566.92M,14.39M,400.26M,981.57M,,981.57M,,,,189.82M,,189.82M,928.12M,2.875B,8.909B,,8.909B,685.60M,685.60M,184.55M,1.027B,548.23M,11.17B,14.04B,,0.195M,4.071B,1.059B,348.80M,,,3.476M,4.785B,,AOR,Restated
2017-06,712.00M,211.44M,923.43M,2.054B,644.76M,2.699B,199.30M,202.46M,,,,4.024B,,,,,,,,6.379B,-3.131B,3.248B,9.890B,1.463B,11.35B,657.16M,,60.14M,15.32B,19.34B,,439.74M,115.32M,390.39M,945.44M,,945.44M,,,,182.32M,,182.32M,885.27M,2.773B,8.911B,,8.911B,855.16M,855.16M,187.58M,1.010B,520.89M,11.30B,14.07B,,0.195M,4.285B,1.058B,231.67M,,,-27.31M,5.084B,,AOR,Restated
2017-03,1.472B,313.26M,1.785B,1.901B,539.66M,2.440B,174.16M,204.03M,,,,4.604B,,,,,,,,6.125B,-2.954B,3.171B,9.452B,1.487B,10.94B,630.22M,,43.45M,14.78B,19.39B,,464.79M,249.08M,389.68M,1.104B,,1.104B,,,,170.22M,,170.22M,783.81M,2.814B,8.919B,,8.919B,830.99M,830.99M,200.66M,979.85M,504.38M,11.23B,14.05B,,0.195M,4.158B,1.059B,,,,-76.89M,5.140B,,AOR,Restated
2016-12,674.78M,306.98M,981.76M,1.504B,288.16M,1.792B,160.42M,96.82M,,,2.692M,3.995B,0.00,26.34M,429.04M,2.183B,,429.04M,2.495B,5.562B,-2.698B,2.864B,6.015B,73.50M,6.089B,522.04M,,5.286B,14.76B,18.76B,,456.62M,25.04M,,481.66M,159.09M,640.75M,,,,160.26M,,160.26M,1.203B,2.711B,8.945B,,8.945B,530.87M,530.87M,201.69M,973.26M,317.38M,11.20B,13.91B,,0.195M,3.710B,1.027B,,,,-89.64M,4.648B,,AOR,Restated
2016-09,913.50M,659.48M,1.573B,1.850B,451.95M,2.311B,200.56M,,,,177.25M,4.261B,,,,,,,,5.773B,-2.728B,3.045B,9.383B,1.576B,10.96B,617.17M,,42.98M,14.66B,18.93B,,498.42M,,313.87M,812.29M,,812.29M,,,,152.76M,,152.76M,828.54M,2.639B,8.972B,,8.972B,802.11M,802.11M,207.64M,971.74M,420.94M,11.17B,13.81B,,0.217M,5.079B,1.033B,1.148B,,,-52.23M,4.912B,,AOR,Restated
2016-06,1.283B,394.17M,1.678B,1.875B,558.08M,2.433B,197.39M,,,,187.76M,4.496B,,,,,,,,5.595B,-2.622B,2.972B,9.361B,1.631B,10.99B,166.79M,,64.25M,14.20B,18.69B,,504.35M,48.68M,300.56M,853.60M,,853.60M,,,,144.18M,,144.18M,840.74M,2.646B,8.957B,,8.957B,772.33M,772.33M,212.65M,936.90M,420.78M,11.09B,13.73B,,0.217M,4.508B,1.048B,749.60M,,,-60.04M,4.746B,,AOR,Restated
2016-03,1.041B,396.47M,1.438B,1.855B,525.55M,2.382B,192.69M,,,,187.29M,4.200B,,,,,,,,,,2.911B,9.486B,1.679B,11.16B,172.83M,,66.27M,14.31B,18.51B,,480.29M,,317.75M,798.04M,,798.04M,,,,137.97M,,137.97M,779.14M,2.444B,8.980B,,8.980B,792.04M,792.04M,217.81M,912.70M,464.25M,11.15B,13.59B,,0.217M,4.454B,1.089B,786.35M,,,-53.51M,4.704B,,AOR,Restated
