,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2010-12,860.12M,23.00M,883.12M,1.049B,304.37M,1.394B,76.01M,,,226.06M,43.99M,2.623B,0.00,23.18M,33.94M,1.108B,,38.72M,1.107B,2.311B,-1.140B,1.171B,4.091B,162.64M,4.254B,34.77M,,32.05M,5.492B,8.114B,,181.03M,0.00,,181.03M,325.48M,506.51M,,,,74.89M,,74.89M,342.94M,924.34M,4.234B,,4.234B,421.44M,421.44M,58.71M,,497.66M,5.153B,6.077B,,0.135M,2.718B,620.55M,1.361B,,,0.503M,1.978B,,AOR,Restated
2010-06,574.72M,22.93M,597.64M,1.071B,231.61M,1.302B,69.39M,,,256.65M,39.22M,2.265B,,,,,,,,,,1.106B,4.014B,126.99M,4.141B,32.60M,,33.20M,5.313B,7.578B,,238.22M,5.97M,,244.19M,348.64M,592.83M,,,,96.59M,,96.59M,429.40M,1.119B,3.288B,,3.288B,349.62M,349.62M,55.54M,,464.92M,4.102B,5.221B,,0.135M,2.529B,638.37M,865.19M,,,-1.461M,2.301B,,AOR,Restated
2010-03,755.91M,22.91M,778.82M,1.104B,225.04M,1.329B,68.04M,,,251.09M,34.48M,2.461B,,,,,,,,,,1.094B,3.942B,129.28M,4.072B,31.55M,,33.40M,5.230B,7.692B,,177.76M,58.64M,,236.41M,299.71M,536.12M,,,,98.84M,,98.84M,412.52M,1.047B,3.539B,,3.539B,346.46M,346.46M,57.49M,,440.12M,4.326B,5.373B,,0.135M,2.422B,617.89M,775.12M,,,-3.32M,2.261B,,AOR,Restated
2009-12,539.46M,26.48M,565.93M,1.106B,263.46M,1.369B,70.04M,,,256.95M,40.23M,2.303B,0.00,11.77M,34.29M,999.30M,,32.28M,997.67M,2.075B,-970.39M,1.105B,3.951B,136.73M,4.088B,30.25M,,32.62M,5.256B,7.558B,,176.66M,23.06M,,199.72M,286.12M,485.84M,,,,100.01M,,100.01M,461.09M,1.047B,3.532B,,3.532B,334.86M,334.86M,59.09M,,450.06M,4.317B,5.364B,,0.135M,2.312B,621.68M,793.34M,,,-5.548M,2.135B,,AOR,Restated
2009-09,581.68M,20.68M,602.36M,1.143B,,1.143B,69.01M,,,223.70M,270.60M,2.309B,,,,,,,,,,1.088B,3.933B,141.92M,4.075B,31.58M,,34.26M,5.229B,7.538B,,256.71M,14.59M,,271.30M,314.68M,585.98M,,,,100.68M,,100.68M,426.86M,1.114B,3.588B,,3.588B,304.68M,304.68M,61.53M,,393.36M,4.286B,5.399B,,0.135M,2.202B,638.25M,756.16M,,,-7.838M,2.077B,,AOR,Restated
2009-06,544.11M,19.11M,563.22M,1.128B,226.93M,1.355B,65.35M,,,211.71M,37.85M,2.233B,,,,,,,,,,1.075B,3.908B,148.92M,4.057B,30.97M,,44.10M,5.208B,7.441B,,230.58M,3.409M,,233.98M,329.52M,563.50M,,,,92.29M,,92.29M,453.05M,1.109B,3.613B,,3.613B,274.30M,274.30M,56.44M,,388.67M,4.276B,5.385B,,0.135M,2.091B,620.26M,701.78M,,,-10.03M,2.000B,,AOR,Restated
2009-03,405.68M,25.41M,431.10M,1.089B,194.64M,1.283B,71.35M,,,213.34M,32.45M,2.031B,,,,,,,,,,1.067B,3.906B,155.82M,4.062B,29.07M,,46.01M,5.204B,7.235B,,217.12M,8.211M,,225.34M,276.85M,502.19M,,,,83.30M,,83.30M,441.12M,1.027B,3.635B,,3.635B,260.10M,260.10M,58.21M,,389.68M,4.285B,5.311B,,0.135M,1.986B,607.23M,714.98M,,,-12.11M,1.866B,,AOR,Restated
2008-12,410.88M,35.53M,446.41M,1.075B,239.16M,1.347B,84.17M,,,217.20M,33.76M,2.128B,0.00,11.77M,33.83M,928.80M,,36.88M,873.31M,1.885B,-836.50M,1.048B,3.877B,160.52M,4.037B,24.93M,,47.33M,5.158B,7.286B,,282.88M,0.00,,282.88M,312.22M,595.10M,,,,72.72M,,72.72M,495.24M,1.163B,3.658B,,3.658B,244.88M,244.88M,59.15M,,392.84M,4.296B,5.459B,,0.135M,1.889B,584.36M,691.86M,,,-14.34M,1.768B,,,Restated
2008-09,387.95M,51.61M,439.56M,1.057B,230.07M,1.287B,82.49M,,,219.16M,36.01M,2.064B,,,,,,,,1.696B,-683.91M,1.012B,3.857B,165.27M,4.022B,,,74.33M,5.108B,7.172B,,212.66M,,,212.66M,330.84M,543.50M,,,,64.26M,,64.26M,515.99M,1.124B,3.643B,,3.643B,214.48M,214.48M,162.91M,,120.80M,3.979B,5.102B,,0.135M,1.791B,755.58M,635.27M,,,-4.846M,1.907B,,,
2008-06,326.99M,51.14M,378.12M,1.047B,220.34M,1.267B,81.22M,,,228.13M,34.76M,1.989B,,,,,,,,1.669B,-683.91M,985.50M,3.832B,170.83M,4.003B,,,71.99M,5.060B,7.050B,,207.21M,,,207.21M,345.83M,553.04M,,,,52.20M,,52.20M,544.23M,1.149B,3.657B,,3.657B,181.42M,181.42M,159.70M,,121.99M,3.961B,5.110B,,0.135M,1.697B,734.84M,647.22M,,,-5.051M,1.780B,,,Restated
2008-03,479.32M,45.86M,525.18M,959.84M,185.24M,1.145B,76.81M,,,241.82M,29.60M,2.018B,,,,,,,,1.639B,-683.91M,954.86M,3.775B,175.16M,3.950B,,,67.03M,4.972B,6.990B,,211.60M,,,211.60M,288.56M,500.16M,,,,35.63M,,35.63M,534.95M,1.071B,3.670B,,3.670B,164.03M,164.03M,149.28M,,138.26M,3.972B,5.043B,,0.135M,1.602B,723.56M,513.96M,,,-13.64M,1.798B,,,Restated
2007-12,447.05M,40.28M,487.32M,927.95M,198.74M,1.127B,80.17M,,,247.58M,34.48M,1.976B,0.00,11.83M,763.87M,814.51M,,33.03M,,1.623B,-683.91M,939.33M,3.768B,183.04M,3.951B,,,77.41M,4.968B,6.944B,,225.46M,,,225.46M,395.85M,621.31M,,,,23.43M,,23.43M,441.75M,1.086B,3.684B,,3.684B,166.06M,166.06M,150.52M,,124.76M,3.975B,5.061B,,0.135M,1.515B,707.08M,487.74M,,,-2.511M,1.732B,,,
2007-09,391.30M,22.18M,413.48M,976.28M,186.28M,1.163B,75.61M,,,241.21M,27.65M,1.921B,,,,,,,,1.453B,-558.72M,894.16M,3.729B,185.76M,3.915B,,,52.17M,4.861B,6.781B,,245.98M,,,245.98M,322.29M,568.26M,,,,9.711M,,9.711M,463.60M,1.042B,3.696B,,3.696B,167.04M,167.04M,148.02M,,101.95M,3.965B,5.006B,,0.135M,1.430B,688.59M,496.04M,,,5.01M,1.627B,,,
2007-06,396.90M,21.95M,418.85M,959.81M,172.30M,1.132B,69.86M,,,233.33M,33.33M,1.887B,,,,,,,,1.425B,-558.72M,866.37M,3.667B,186.97M,3.854B,,,63.65M,4.784B,6.671B,,220.54M,,,220.54M,336.94M,557.48M,,,,9.564M,,9.564M,506.43M,1.073B,3.698B,,3.698B,163.29M,163.29M,133.70M,,101.86M,3.964B,5.037B,,0.135M,1.335B,661.70M,509.31M,,,13.01M,1.501B,,,
2007-03,356.38M,5.815M,362.20M,906.51M,146.18M,1.053B,69.45M,,,235.19M,28.50M,1.748B,,,,,,,,1.414B,-558.72M,854.80M,3.663B,194.74M,3.858B,,,77.34M,4.790B,6.538B,,205.30M,,,205.30M,302.69M,507.99M,,,,34.13M,,34.13M,500.92M,1.043B,3.721B,,3.721B,135.29M,135.29M,127.50M,,156.65M,4.013B,5.056B,,0.135M,1.210B,647.24M,517.09M,,,13.77M,1.354B,,,
2006-12,310.20M,4.734M,314.94M,932.38M,148.84M,1.081B,89.12M,,,199.09M,25.12M,1.709B,0.00,13.59M,659.92M,686.43M,,48.75M,,1.409B,-558.72M,849.97M,3.668B,203.72M,3.872B,,,60.78M,4.782B,6.492B,,251.69M,,,251.69M,341.77M,593.45M,,,,20.87M,,20.87M,497.85M,1.112B,3.730B,,3.730B,125.64M,125.64M,122.36M,,155.34M,4.011B,5.124B,,0.135M,1.130B,630.09M,526.92M,,,13.00M,1.246B,,,
2006-09,260.28M,,260.28M,902.74M,129.80M,1.033B,99.34M,,,198.37M,22.23M,1.613B,,,,,,,,1.218B,-405.28M,813.06M,3.657B,214.49M,3.872B,,,46.47M,4.731B,6.344B,,227.65M,,,227.65M,302.01M,529.66M,,,,6.64M,,6.64M,474.06M,1.010B,3.818B,,3.818B,121.21M,121.21M,111.72M,,135.92M,4.075B,5.086B,,0.135M,1.055B,615.94M,538.84M,,,14.09M,1.147B,,,
2006-06,339.32M,,339.32M,859.16M,135.73M,994.90M,93.36M,,,177.43M,24.62M,1.630B,,,,,,,,1.193B,-405.28M,787.38M,3.640B,224.77M,3.865B,,,59.50M,4.712B,6.341B,,190.10M,,,190.10M,291.14M,481.24M,,,,5.008M,,5.008M,494.80M,981.05M,3.939B,,3.939B,93.25M,93.25M,107.99M,,177.23M,4.210B,5.191B,,0.135M,960.64M,602.95M,545.31M,,,24.43M,1.043B,,,
2006-03,279.15M,,279.15M,859.14M,135.97M,995.11M,88.26M,,,152.30M,22.62M,1.537B,,,,,,,,1.165B,-405.28M,759.85M,3.605B,230.98M,3.836B,,,55.78M,4.652B,6.189B,,178.30M,,,178.30M,236.27M,414.56M,,,,5.237M,,5.237M,409.32M,829.12M,4.039B,,4.039B,84.50M,84.50M,93.60M,,180.36M,4.304B,5.133B,,0.135M,897.40M,594.28M,550.29M,,,21.00M,962.53M,,,
2005-12,431.81M,,431.81M,853.56M,116.62M,970.18M,69.13M,,,144.82M,38.46M,1.654B,0.00,14.86M,556.61M,552.20M,,31.68M,,1.155B,-405.28M,750.08M,3.594B,235.94M,3.830B,,,44.95M,4.625B,6.280B,,212.05M,,,212.05M,231.99M,444.04M,,,,71.77M,,71.77M,473.92M,989.73M,4.085B,,4.085B,75.50M,75.50M,88.64M,,189.85M,4.351B,5.341B,,0.135M,839.93M,569.75M,574.01M,,,14.81M,850.61M,,,
2005-09,337.20M,,337.20M,502.89M,1.131M,504.02M,36.03M,,,104.77M,47.16M,1.029B,,,,,,,,799.53M,-347.50M,452.03M,,1.256B,1.256B,,,131.10M,1.839B,2.869B,,99.08M,,,99.08M,162.22M,261.30M,,,,4.349M,,4.349M,205.34M,470.99M,1.361B,,1.361B,163.49M,163.49M,75.76M,,25.10M,1.549B,2.020B,,0.135M,775.78M,565.07M,579.46M,,,11.00M,772.53M,,,
2005-06,312.76M,,312.76M,489.97M,,489.97M,35.48M,,,95.98M,45.02M,979.21M,,,,,,,,788.10M,-347.50M,440.60M,,1.317B,1.317B,,,14.29M,1.772B,2.751B,,101.38M,,,101.38M,152.35M,253.73M,,,,4.48M,,4.48M,200.64M,458.85M,1.361B,,1.361B,154.81M,154.81M,66.80M,,22.81M,1.539B,1.998B,,0.135M,720.56M,558.68M,591.21M,,-1.331M,-1.331M,686.83M,,,
2005-03,317.88M,,317.88M,472.98M,,472.98M,34.70M,,,91.92M,44.44M,961.92M,,,,,,,,763.21M,-347.50M,415.71M,,1.240B,1.240B,,,31.98M,1.688B,2.650B,,91.37M,,,91.37M,139.34M,230.71M,,,,6.346M,,6.346M,195.81M,432.86M,1.362B,,1.362B,156.37M,156.37M,57.69M,,22.47M,1.541B,1.974B,,0.135M,667.62M,550.99M,608.04M,,7.71M,7.71M,618.41M,,,
2004-12,251.98M,,251.98M,462.10M,,462.10M,31.84M,,,78.59M,44.21M,868.72M,0.00,0.75M,334.25M,405.02M,,19.54M,,759.56M,-347.50M,412.06M,,1.217B,1.217B,,,14.23M,1.643B,2.512B,,96.23M,,,96.23M,133.92M,230.15M,,,,53.36M,,53.36M,158.22M,441.74M,1.322B,,1.322B,148.86M,148.86M,53.19M,,22.57M,1.494B,1.936B,,0.135M,611.29M,542.71M,632.73M,,1.73M,1.73M,523.13M,,,
2004-09,226.94M,,226.94M,434.67M,,434.67M,30.67M,,,78.58M,56.02M,826.87M,,,,,,,,698.09M,-306.02M,392.07M,,1.199B,1.199B,,,12.75M,1.604B,2.431B,,84.36M,,,84.36M,123.17M,207.53M,,,,53.28M,,53.28M,184.84M,445.65M,1.335B,,1.335B,133.61M,133.61M,44.94M,,19.66M,1.488B,1.934B,,0.135M,554.68M,541.74M,643.86M,,,-0.36M,452.34M,,,
2004-06,200.70M,,200.70M,402.05M,,402.05M,28.34M,,,76.51M,40.84M,748.43M,,,,,,,,669.18M,-306.02M,363.16M,,1.009B,1.009B,,,16.14M,1.388B,2.136B,,71.80M,,,71.80M,112.85M,184.66M,,,,49.87M,,49.87M,149.85M,384.38M,1.094B,,1.094B,127.84M,127.84M,40.39M,,18.31M,1.240B,1.625B,,0.135M,494.30M,541.12M,566.53M,,,2.187M,471.21M,,,
2004-03,153.16M,,153.16M,400.44M,,400.44M,26.19M,,,66.53M,43.18M,689.50M,,,,,,,,655.89M,-306.02M,349.87M,,998.46M,998.46M,,,12.53M,1.361B,2.050B,,80.71M,,,80.71M,101.65M,182.36M,,,,50.02M,,50.02M,149.15M,381.54M,1.105B,,1.105B,112.01M,112.01M,36.20M,,24.50M,1.242B,1.623B,,0.09M,441.99M,538.88M,586.64M,,-3.493M,-3.493M,390.83M,,,
2003-12,61.66M,,61.66M,387.93M,,387.93M,32.85M,,,59.74M,62.88M,605.06M,0.00,0.82M,266.93M,361.36M,,19.35M,,648.46M,-306.02M,342.45M,,984.16M,984.16M,,,13.87M,1.340B,1.946B,,71.87M,,,71.87M,100.91M,172.78M,,,,50.56M,,50.56M,139.49M,362.82M,1.117B,,1.117B,106.24M,106.24M,33.29M,,19.31M,1.243B,1.605B,,0.135M,389.08M,539.58M,621.00M,,-0.924M,-0.924M,306.87M,,,
2003-09,272.11M,,272.11M,356.54M,,356.54M,25.74M,,,53.06M,33.12M,740.58M,,,,,,,,584.44M,-263.07M,321.37M,,961.30M,961.30M,,,14.62M,1.297B,2.038B,,71.17M,,,71.17M,,71.17M,,,,50.22M,,50.22M,258.68M,380.07M,1.273B,,1.273B,91.10M,91.10M,28.87M,,14.48M,1.378B,1.758B,,0.09M,326.33M,544.72M,620.45M,,,,250.69M,,,
2003-06,315.61M,,315.61M,346.21M,,346.21M,30.11M,,,47.67M,26.28M,765.87M,,,,,,,,577.44M,-263.07M,314.37M,,962.91M,962.91M,,,6.238M,1.284B,2.049B,,83.82M,,,83.82M,94.81M,178.63M,,,,47.31M,,47.31M,135.59M,361.54M,1.410B,,1.410B,78.19M,78.19M,28.39M,,12.91M,1.501B,1.862B,,0.09M,288.27M,532.13M,661.82M,,,,158.67M,,,
2003-03,304.99M,,304.99M,346.14M,,346.14M,25.46M,,,41.77M,24.05M,742.43M,,,,,,,,568.81M,-263.07M,305.74M,,925.53M,925.53M,,,5.977M,1.237B,1.980B,,71.30M,,,71.30M,82.39M,153.69M,,,,43.91M,,43.91M,140.05M,337.65M,1.421B,,1.421B,72.38M,72.38M,27.16M,,10.35M,1.503B,1.841B,,0.089M,249.75M,523.57M,661.85M,,,,111.56M,,,
2002-12,96.48M,,96.48M,344.29M,,344.29M,34.93M,,,40.16M,28.67M,544.53M,0.00,0.932M,209.86M,301.28M,,49.47M,,561.54M,-263.07M,298.48M,,927.94M,927.94M,,,4.747M,1.231B,1.776B,,77.89M,,,77.89M,95.44M,173.32M,,,,7.978M,,7.978M,111.30M,292.60M,1.311B,,1.311B,65.93M,65.93M,26.23M,,9.417M,1.387B,1.679B,,0.089M,213.34M,519.37M,662.53M,,,,70.26M,,,
2002-09,115.36M,,115.36M,339.96M,,339.96M,21.93M,,,63.74M,17.07M,558.06M,,,,,,,,495.51M,-216.75M,278.76M,,926.06M,926.06M,,,5.097M,1.210B,1.768B,,77.85M,,,77.85M,99.07M,176.92M,,,,8.166M,,8.166M,139.93M,325.01M,1.314B,,1.314B,49.91M,49.91M,22.46M,,8.034M,1.372B,1.697B,,0.088M,154.53M,511.63M,617.53M,,,,48.71M,,,
2002-06,137.02M,,137.02M,347.06M,,347.06M,31.77M,,,61.61M,13.85M,591.31M,,,,,,,,484.09M,-216.75M,267.34M,,920.68M,920.68M,,,5.325M,1.193B,1.785B,,77.37M,,,77.37M,94.88M,172.25M,,,,8.299M,,8.299M,109.78M,290.33M,1.316B,,1.316B,37.04M,37.04M,21.61M,,6.077M,1.359B,1.650B,,0.088M,100.36M,507.79M,494.80M,,,,113.43M,,,
2002-03,31.70M,,31.70M,344.24M,,344.24M,28.18M,,,58.99M,12.19M,475.29M,,,,,,,,472.80M,-216.75M,256.05M,,927.32M,927.32M,,,6.172M,1.190B,1.665B,,83.56M,,,83.56M,86.21M,169.77M,,,,1.597M,,1.597M,141.44M,312.81M,798.71M,,798.71M,30.15M,30.15M,21.42M,,4.725M,833.58M,1.146B,,0.087M,91.99M,493.18M,88.24M,,,,497.02M,,,
2001-12,36.71M,,36.71M,333.55M,,333.55M,34.90M,,,60.14M,9.364M,474.66M,0.00,1.039M,6.959M,260.14M,184.76M,16.63M,,469.53M,-216.75M,252.78M,,928.87M,928.87M,,,6.373M,1.188B,1.663B,,74.63M,,,74.63M,88.83M,163.46M,,,,9.034M,,9.034M,126.19M,298.68M,811.19M,,811.19M,23.44M,23.44M,20.72M,,5.012M,839.64M,1.138B,,0.085M,56.01M,467.90M,20.36M,,,,503.64M,,,
2001-09,45.26M,,45.26M,318.04M,,318.04M,33.17M,,,51.79M,7.852M,456.10M,,,,,,,,414.87M,-168.84M,246.03M,,943.56M,943.56M,,,7.40M,1.197B,1.653B,,80.32M,,,80.32M,85.73M,166.06M,,,,6.432M,,6.432M,141.15M,313.64M,813.98M,,813.98M,21.51M,21.51M,21.12M,,5.212M,840.70M,1.154B,,0.085M,23.45M,456.59M,2.494M,,,,477.63M,,,
2001-06,85.26M,,85.26M,297.91M,,297.91M,44.60M,,,42.85M,12.73M,483.34M,,,,,,,,410.38M,-168.84M,241.54M,,945.82M,945.82M,,,13.32M,1.201B,1.684B,,79.23M,,,79.23M,83.17M,162.39M,,,,15.42M,,15.42M,116.76M,294.57M,935.25M,,935.25M,0.521M,0.521M,21.12M,,4.984M,940.75M,1.235B,,0.084M,-20.83M,450.82M,2.494M,,,,427.58M,,,
2001-03,17.44M,,17.44M,299.42M,,299.42M,45.57M,,,42.26M,14.26M,418.96M,,,,,,,,411.64M,-168.84M,242.80M,,947.95M,947.95M,,1.629M,14.41M,1.207B,1.626B,,77.34M,,,77.34M,72.48M,149.83M,,,,7.58M,,7.58M,122.28M,279.69M,932.02M,,932.02M,,,21.04M,,4.755M,936.78M,1.216B,,0.083M,-50.37M,438.51M,,,,,388.22M,,,
2000-12,31.21M,,31.21M,,,293.24M,20.64M,,,,52.78M,397.88M,,,,,,,,405.50M,-168.84M,236.66M,,921.62M,921.62M,,,40.48M,1.199B,1.597B,,74.88M,,,74.88M,,74.88M,,,,1.676M,,1.676M,172.97M,249.53M,974.01M,,974.01M,,,18.88M,,4.855M,978.86M,1.228B,,0.082M,-81.31M,430.68M,,,,-0.083M,349.37M,,,
2000-09,38.57M,,38.57M,,,302.64M,37.42M,,,,70.52M,449.16M,,,,,,,,383.04M,-141.66M,241.38M,,940.08M,940.08M,,,40.66M,1.222B,1.671B,,69.49M,,,69.49M,,69.49M,,,,48.91M,,48.91M,166.81M,285.20M,1.034B,,1.034B,,,16.80M,,4.96M,1.039B,1.324B,,0.082M,-96.64M,427.40M,,,,-0.163M,330.68M,,,
2000-06,190.67M,,190.67M,,,303.36M,19.86M,,,,92.42M,606.31M,,,,,,,,389.69M,-141.66M,248.03M,,957.32M,957.32M,,,43.48M,1.249B,1.855B,,72.89M,,,72.89M,,72.89M,,,,121.24M,,121.24M,131.52M,325.65M,1.188B,,1.188B,,,17.40M,,3.921M,1.192B,1.518B,,0.082M,-106.30M,426.43M,,,,-0.16M,320.05M,,,
2000-03,150.38M,,150.38M,,,366.10M,24.66M,,,,103.36M,644.50M,,,,,,,,436.76M,-152.07M,284.69M,,1.045B,1.045B,,,45.34M,1.375B,2.020B,,99.44M,,,99.44M,,99.44M,,,,23.90M,,23.90M,1.536B,1.660B,5.027M,,5.027M,,,20.85M,,3.289M,8.316M,1.668B,,0.081M,-90.94M,426.94M,,,,-4.874M,331.21M,,,
1999-12,107.98M,,107.98M,,,435.97M,32.92M,,,,77.88M,654.75M,,,,,,,,427.11M,-141.66M,285.45M,,1.070B,1.070B,,,46.85M,1.402B,2.057B,,121.56M,,,121.56M,,121.56M,,,,26.58M,,26.58M,1.550B,1.699B,5.696M,,5.696M,,,22.58M,,3.497M,9.193M,1.708B,,0.081M,-94.79M,426.02M,,,,-4.91M,326.40M,,,
1999-09,70.70M,,70.70M,,,457.80M,,,,,129.40M,657.90M,,,,,,,,393.90M,-108.10M,285.80M,,1.177B,1.177B,,,76.50M,1.539B,2.197B,,,,,,,,,,,23.70M,,23.70M,216.50M,240.20M,1.434B,,1.434B,14.40M,14.40M,26.60M,,,1.449B,1.689B,,0.10M,69.80M,416.60M,,,,-4.90M,481.60M,,,
1999-06,24.70M,,24.70M,,,444.20M,,,,,123.60M,592.50M,,,,,,,,381.80M,-108.10M,273.70M,,1.161B,1.161B,,,79.60M,1.514B,2.106B,,,,,,,,,,,23.60M,,23.60M,155.50M,179.10M,1.409B,,1.409B,14.00M,14.00M,24.70M,,0.10M,1.423B,1.602B,,0.10M,68.00M,415.90M,,,,-4.50M,479.40M,,,
1999-03,39.90M,,39.90M,,,441.80M,,,,,92.50M,574.20M,,,,,,,,369.30M,-108.10M,261.20M,,1.117B,1.117B,,,94.70M,1.473B,2.047B,,,,,,,,,,,19.40M,,19.40M,149.60M,169.00M,1.325B,,1.325B,15.30M,15.30M,26.50M,,,1.340B,1.509B,,,96.90M,,,,,,511.80M,,,
1998-12,41.50M,,41.50M,,,416.80M,23.50M,,,,84.70M,566.50M,,,,,,,,341.40M,-108.10M,233.30M,,1.074B,1.074B,,,38.30M,1.345B,1.912B,,45.70M,,,45.70M,,45.70M,,,,21.80M,,21.80M,111.00M,178.50M,1.226B,,1.226B,8.20M,8.20M,23.40M,,1.80M,1.236B,1.414B,,0.10M,52.40M,421.70M,,,,-0.40M,473.90M,,,
1998-09,32.80M,,32.80M,,,382.40M,,,,,72.70M,487.90M,,,,,,,,254.30M,-38.90M,215.40M,,1.011B,1.011B,,,35.00M,1.261B,1.749B,,,,,,,,,,,9.60M,,9.60M,117.50M,127.10M,1.141B,,1.141B,8.50M,8.50M,21.70M,,,1.149B,1.276B,,,49.60M,,,,,,451.30M,,,
1998-06,1.10M,,1.10M,,,338.30M,,,,,66.30M,405.70M,,,,,,,,235.10M,-38.90M,196.20M,,963.80M,963.80M,,,31.30M,1.191B,1.597B,,,,,,,,,,,5.70M,,5.70M,100.30M,106.00M,1.045B,,1.045B,6.40M,6.40M,20.30M,,,1.051B,1.157B,,,20.40M,,,,,,419.30M,,,
1998-03,65.50M,,65.50M,,,298.70M,,,,,77.40M,441.60M,,,,,,,,221.00M,-38.90M,182.10M,,824.80M,824.80M,,,23.40M,1.030B,1.472B,,,,,,,,,,,6.20M,,6.20M,102.90M,109.10M,931.60M,,931.60M,5.00M,5.00M,20.00M,,,936.60M,1.046B,,,10.80M,,,,,,406.20M,,,
1997-12,6.10M,,6.10M,,,248.90M,,,,,47.20M,302.20M,,,,,,,,242.00M,-69.20M,172.80M,,774.30M,774.30M,,,28.90M,976.00M,1.278B,,33.30M,,,33.30M,,33.30M,,,,27.80M,,27.80M,41.40M,102.50M,723.80M,,723.80M,2.50M,2.50M,19.10M,,1.50M,727.80M,830.30M,,,73.30M,,,,,,428.80M,,,
1997-09,15.50M,,15.50M,,,131.80M,,,,,24.70M,172.00M,,,,,,,,111.20M,-26.40M,84.80M,,286.20M,286.20M,,,11.80M,382.80M,554.80M,,,,,,,,,,,,,,,28.80M,253.90M,,253.90M,2.90M,2.90M,7.60M,,-0.10M,256.70M,285.50M,,,4.40M,,,,,,261.70M,,,
1997-06,6.00M,,6.00M,,,122.80M,,,,,23.40M,152.20M,,,,,,,,105.30M,-26.40M,78.90M,,249.00M,249.00M,,,6.10M,334.00M,486.20M,,,,,,,,,,,,,,,33.30M,192.10M,,192.10M,3.20M,3.20M,7.30M,,,195.30M,228.60M,,,-5.40M,,,,,,250.30M,,,
1997-03,7.10M,,7.10M,,,103.10M,,,,,22.50M,132.70M,,,,,,,,89.90M,-26.40M,63.50M,,185.40M,185.40M,,,3.90M,252.80M,385.50M,,,,,,,,,,,,,,,33.00M,102.50M,,102.50M,3.50M,3.50M,5.80M,,,106.00M,139.00M,,,-14.30M,,,,,,240.70M,,,
1996-12,19.90M,,19.90M,,,91.30M,,,,,20.10M,131.30M,,,,,,,,84.70M,-26.40M,58.30M,,180.60M,180.60M,,,3.90M,242.80M,374.10M,,,,,,,,,,,,,,,32.00M,103.50M,,103.50M,2.90M,2.90M,4.70M,,,106.40M,138.40M,,,-22.10M,,,,,,231.00M,,,
1996-09,5.40M,,5.40M,,,95.60M,,,,,14.90M,115.90M,,,,,,,,69.30M,-19.90M,49.40M,,151.30M,151.30M,,,3.80M,204.50M,320.40M,,,,,,,,,,,,,,,30.70M,79.00M,,79.00M,1.10M,1.10M,5.30M,,-0.10M,80.00M,110.70M,,,-29.30M,,,,,,204.40M,,,
1996-06,40.00M,,40.00M,,,82.80M,,,,,8.60M,131.40M,,,,,,,,64.40M,-19.90M,44.50M,,111.60M,111.60M,,,3.50M,159.60M,291.00M,,,,,,,,,,,,,,,23.40M,59.10M,,59.10M,0.50M,0.50M,4.50M,,,59.60M,83.00M,,,-28.20M,,,,,,203.50M,,,
1996-03,10.60M,,10.60M,,,69.60M,,,,,8.70M,88.90M,,,,,,,,59.60M,-19.90M,39.70M,,96.30M,96.30M,,,3.30M,139.30M,228.20M,,,,,,,,,,,,,,,27.80M,107.80M,,107.80M,,,4.30M,,1.20M,109.00M,136.80M,,,-33.90M,,,,,,87.10M,,,
1995-11,73.20M,,73.20M,,,35.80M,,,,,4.90M,113.90M,,,,,,,,41.20M,-19.00M,22.20M,,52.00M,52.00M,,,3.30M,77.50M,191.40M,,,,,,,,,,,,,,,47.70M,55.00M,,55.00M,0.90M,0.90M,3.10M,,0.10M,56.00M,103.70M,,,-36.90M,,,,,,84.60M,,,
1995-08,1.40M,,1.40M,,,31.80M,,,,,4.50M,37.70M,,,,,,,,38.50M,-19.00M,19.50M,,40.90M,40.90M,,,0.50M,60.90M,98.60M,,,,,,,,,,,,,,,16.20M,101.20M,,101.20M,0.70M,0.70M,1.80M,,,101.90M,118.10M,,7.20M,-39.70M,,,7.20M,,,-21.30M,,,
