,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,ProvisionforDoubtfulAccounts,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,,AsOriginallyReported,Restated
2020-12,2.787B,2.905B,2.057B,848.44M,304.52M,304.52M,,0.00,,60.47M,-60.47M,,466.00M,382.44M,60.47M,-60.47M,5.404M,-60.47M,327.37M,73.37M,254.00M,-19.63M,-60.60M,173.77M,193.41M,549.33M,161.49M,387.84M,,1.73,-0.17,,1.73,1.56,,1.67,-0.17,,1.67,1.50,,111.44M,115.71M,,AOR,
2020-09,2.782B,2.924B,1.972B,952.35M,363.28M,363.28M,,-86.07M,,73.66M,-73.66M,,520.17M,432.17M,73.66M,-73.66M,-75.18M,-73.66M,283.33M,65.79M,217.54M,0.00,-58.87M,158.67M,224.78M,513.88M,156.89M,356.99M,,1.31,0.00,,1.857,1.31,,1.28,0.00,,1.813,1.28,,120.91M,123.95M,,AOR,
2020-06,2.758B,2.880B,1.985B,895.42M,316.21M,316.21M,,-16.25M,,81.38M,-81.38M,,473.58M,421.83M,81.38M,-81.38M,-2.365M,-81.38M,338.08M,83.21M,254.87M,0.00,-53.27M,201.60M,213.86M,576.84M,157.38M,419.46M,,1.65,0.00,,1.750,1.65,,1.62,0.00,,1.719,1.62,,122.07M,124.07M,,AOR,
2020-03,2.713B,2.841B,1.975B,865.79M,263.58M,263.58M,,0.00,,88.60M,-91.55M,,418.26M,447.53M,88.60M,-91.55M,13.49M,-91.55M,369.48M,91.56M,277.92M,9.98M,-48.30M,239.59M,229.61M,612.76M,154.68M,458.08M,,1.84,0.08,,1.84,1.92,,1.81,0.08,,1.81,1.89,,124.90M,126.89M,,AOR,
2019-12,2.788B,2.899B,2.001B,897.96M,278.42M,278.42M,,0.00,,92.05M,-92.05M,,436.89M,461.07M,92.05M,-92.05M,13.01M,-92.05M,382.02M,81.69M,300.33M,2.629M,-58.09M,244.87M,242.24M,632.54M,158.47M,474.07M,,1.871,0.0203,,1.871,1.89,,1.856,0.0201,,1.856,1.88,,129.28M,130.34M,,AOR,Restated
2019-09,2.777B,2.904B,1.991B,912.91M,298.74M,298.74M,,-105.10M,,88.59M,-88.59M,,454.65M,458.26M,88.59M,-88.59M,-95.88M,-88.59M,273.78M,65.25M,208.53M,-6.843M,-58.42M,143.27M,230.20M,518.29M,155.92M,362.37M,,1.00,-0.05,,1.531,0.95,,0.99,-0.05,,1.519,0.95,,150.68M,151.30M,,AOR,Restated
2019-06,2.724B,2.843B,1.958B,884.95M,275.34M,275.34M,,-12.16M,,131.67M,-131.67M,,427.58M,457.37M,131.67M,-131.67M,-2.003M,-131.67M,323.70M,75.94M,247.76M,79.39M,-53.61M,273.55M,203.46M,607.61M,152.24M,455.37M,,1.17,0.47,,1.226,1.64,,1.16,0.47,,1.216,1.64,,166.35M,166.80M,,AOR,Restated
2019-03,2.630B,2.743B,1.965B,778.18M,250.81M,250.81M,,-41.04M,,131.52M,-131.52M,,399.34M,378.84M,131.52M,-131.52M,-31.39M,-131.52M,215.93M,56.75M,159.18M,30.30M,-40.20M,149.29M,149.23M,495.98M,148.53M,347.45M,,0.72,0.18,,0.9018,0.90,,0.72,0.18,,0.9013,0.90,,166.39M,166.78M,,AOR,Restated
2018-12,2.730B,2.821B,2.027B,794.06M,268.53M,268.53M,0.00,28.15M,0.00,128.30M,-128.30M,,423.69M,370.37M,128.30M,-128.30M,17.05M,-128.30M,259.11M,51.75M,207.37M,-309.21M,-47.93M,-149.77M,136.91M,542.57M,155.16M,387.41M,,0.97,-1.87,,0.8342,-0.90,,0.96,-1.87,,0.8246,-0.90,,165.93M,166.41M,,AOR,Restated
2018-09,2.671B,2.847B,2.064B,783.56M,336.30M,336.30M,6.093M,-7.599M,0.80M,125.93M,-125.93M,,483.10M,300.46M,125.93M,-125.93M,-7.416M,-125.93M,167.12M,52.05M,115.07M,-211.74M,-40.13M,-136.80M,80.18M,439.04M,146.00M,293.04M,,0.44,-1.26,,0.4714,-0.82,,0.44,-1.26,,0.4713,-0.82,,166.77M,167.26M,,AOR,Restated
