,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,UnrealizedGain(Loss)onInvestmentSecurities,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,CashFlow-Investing(Quarterly),SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,EndingCash(Quarterly),BeginningCash,ChangeinCash,EndingCash,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,SECFilingLinks,AsOriginallyReported,Restated
2008-06,554.00M,,,,182.00M,182.00M,28.00M,,-754.00M,-320.00M,-93.00M,-122.00M,239.00M,670.00M,37.00M,,309.00M,1.04B,730.00M,,2008-06,3.00M,-561.00M,1.465B,,-41.00M,863.00M,,2008-06,1.194B,166.00M,7.00M,,7.00M,,,-149.00M,,-149.00M,,-9.00M,15.00M,2008-06,158.00M,1.608B,1.757B,2008-06,7.00M,935.00M,-769.00M,,87.00M,110.00M,2008-06,,Restated
2008-03,306.00M,,,,165.00M,165.00M,174.00M,,-56.00M,-70.00M,14.00M,87.00M,-223.00M,-74.00M,-37.00M,,274.00M,41.00M,560.00M,,2008-03,,-504.00M,-20.00M,,-45.00M,-569.00M,,2008-03,-180.00M,85.00M,12.00M,,12.00M,,,-149.00M,,-149.00M,,,-52.00M,2008-03,219.00M,-61.00M,158.00M,2008-03,12.00M,265.00M,-180.00M,,0.00,134.00M,2008-03,,Restated
2007-12,207.00M,,,-13.00M,,402.00M,50.00M,,,-400.00M,2.00M,43.00M,,88.00M,180.00M,,69.00M,382.00M,628.00M,,2007-12,0.00,-573.00M,,,-63.00M,-636.00M,,2007-12,,148.00M,25.00M,,25.00M,,,,,-147.00M,,0.00,26.00M,2007-12,192.00M,18.00M,210.00M,2007-12,25.00M,,,,159.00M,94.00M,2007-12,,
2007-09,312.00M,,,3.00M,,188.00M,196.00M,,,-47.00M,-36.00M,-83.00M,,-17.00M,-158.00M,-71.00M,-181.00M,-546.00M,106.00M,,2007-09,0.00,-467.00M,,,-50.00M,-517.00M,,2007-09,,562.00M,9.00M,,9.00M,,,,,-149.00M,,-5.00M,417.00M,2007-09,186.00M,6.00M,192.00M,2007-09,9.00M,,,,0.00,143.00M,2007-09,,
2007-06,154.00M,,,42.00M,,-11.00M,-25.00M,,,29.00M,76.00M,-80.00M,,105.00M,137.00M,71.00M,-155.00M,154.00M,343.00M,,2007-06,0.00,-450.00M,,,-25.00M,-475.00M,,2007-06,,-290.00M,597.00M,,597.00M,,,,,-146.00M,,,161.00M,2007-06,157.00M,29.00M,186.00M,2007-06,597.00M,,,,31.00M,107.00M,2007-06,,
2007-03,256.00M,,,-45.00M,,88.00M,114.00M,,,-13.00M,25.00M,165.00M,,-112.00M,-105.00M,,105.00M,78.00M,478.00M,,2007-03,30.00M,-414.00M,,,-44.00M,-458.00M,,2007-03,,129.00M,54.00M,,54.00M,,,,,-140.00M,,,43.00M,2007-03,94.00M,63.00M,157.00M,2007-03,54.00M,,,,44.00M,119.00M,2007-03,,
2006-12,201.00M,,,-23.00M,,161.00M,39.00M,,,-88.00M,-2.00M,-8.00M,,192.00M,273.00M,,-37.00M,418.00M,708.00M,,2006-12,0.00,-542.00M,0.00,,-37.00M,-579.00M,,2006-12,,-152.00M,25.00M,,25.00M,,,,,-138.00M,,-4.00M,-269.00M,2006-12,234.00M,-140.00M,94.00M,2006-12,25.00M,,,,-104.00M,127.00M,2006-12,,
2006-09,231.00M,,,-13.00M,,292.00M,288.00M,,,-267.00M,-303.00M,-55.00M,,-27.00M,-243.00M,,-60.00M,-688.00M,-157.00M,,2006-09,0.00,-437.00M,0.00,,-43.00M,-480.00M,,2006-09,,478.00M,465.00M,,465.00M,,,,,-132.00M,,-3.00M,808.00M,2006-09,63.00M,171.00M,234.00M,2006-09,465.00M,,,,0.00,112.00M,2006-09,,
2006-06,124.00M,,,7.00M,,67.00M,19.00M,,,12.00M,125.00M,-69.00M,,-24.00M,-28.00M,53.00M,-65.00M,-8.00M,221.00M,,2006-06,0.00,-498.00M,0.00,,-41.00M,-539.00M,,2006-06,,329.00M,10.00M,,10.00M,,,,,-132.00M,,-3.00M,204.00M,2006-06,177.00M,-114.00M,63.00M,2006-06,10.00M,,,,134.00M,107.00M,2006-06,,
2006-03,181.00M,,,6.00M,,101.00M,-8.00M,,,110.00M,118.00M,91.00M,,-249.00M,314.00M,-53.00M,-29.00M,192.00M,582.00M,,2006-03,60.00M,-316.00M,39.00M,,-43.00M,-320.00M,,2006-03,,-41.00M,10.00M,,10.00M,,,,,-131.00M,,-4.00M,-166.00M,2006-03,81.00M,96.00M,177.00M,2006-03,10.00M,,,,37.00M,105.00M,2006-03,,
2005-12,138.00M,,,-43.00M,,150.00M,-77.00M,,,-36.00M,88.00M,-13.00M,,53.00M,19.00M,,-104.00M,43.00M,175.00M,,2005-12,0.00,-568.00M,,,-45.00M,-613.00M,,2005-12,,520.00M,8.00M,,8.00M,,,,,-131.00M,,3.00M,400.00M,2005-12,119.00M,-38.00M,81.00M,2005-12,8.00M,,,,204.00M,125.00M,2005-12,,
2005-09,284.00M,,,29.00M,,184.00M,83.00M,,,-102.00M,-347.00M,-126.00M,,233.00M,100.00M,,239.00M,99.00M,577.00M,,2005-09,0.00,-344.00M,,,83.00M,-261.00M,,2005-09,,-179.00M,29.00M,,29.00M,,,,,-130.00M,,-735.00M,-1.015B,2005-09,818.00M,-699.00M,119.00M,2005-09,29.00M,,,,19.00M,96.00M,2005-09,,
2005-06,116.00M,,,-30.00M,,109.00M,-94.00M,,,29.00M,59.00M,-78.00M,,79.00M,-669.00M,23.00M,108.00M,-478.00M,-348.00M,,2005-06,249.00M,-126.00M,,,-176.00M,-302.00M,,2005-06,,367.00M,31.00M,,31.00M,,,,,-129.00M,,722.00M,991.00M,2005-06,477.00M,341.00M,818.00M,2005-06,31.00M,,,,41.00M,116.00M,2005-06,,
2005-03,181.00M,,,1.00M,,141.00M,9.00M,,,-20.00M,-84.00M,117.00M,,-48.00M,-26.00M,-23.00M,138.00M,74.00M,386.00M,,2005-03,285.00M,-64.00M,,,-34.00M,-98.00M,,2005-03,,284.00M,10.00M,,10.00M,,,,,-128.00M,,-3.00M,163.00M,2005-03,26.00M,451.00M,477.00M,2005-03,10.00M,,,,19.00M,92.00M,2005-03,,
2004-12,50.00M,,,145.00M,,135.00M,-92.00M,,,-7.00M,158.00M,30.00M,,53.00M,18.00M,-2.00M,26.00M,283.00M,514.00M,,2004-12,,-398.00M,,,-24.00M,-422.00M,,2004-12,,-26.00M,17.00M,,17.00M,,,,,-127.00M,,0.00,-136.00M,2004-12,70.00M,-44.00M,26.00M,2004-12,17.00M,,,,0.00,127.00M,2004-12,,
2004-09,246.00M,,,-41.00M,,141.00M,250.00M,,,-31.00M,-80.00M,-70.00M,,-78.00M,-88.00M,-21.00M,-67.00M,-404.00M,161.00M,,2004-09,,-339.00M,,,-27.00M,-366.00M,,2004-09,,-96.00M,11.00M,,11.00M,,,,,-127.00M,,0.00,-212.00M,2004-09,487.00M,-417.00M,70.00M,2004-09,11.00M,,,,0.00,89.00M,2004-09,,
2004-06,86.00M,,,-52.00M,,138.00M,54.00M,,,27.00M,66.00M,-62.00M,,-19.00M,75.00M,9.00M,165.00M,234.00M,487.00M,,2004-06,,-343.00M,,,-31.00M,-374.00M,,2004-06,,-86.00M,525.00M,,525.00M,,,,,-118.00M,,-2.00M,319.00M,2004-06,55.00M,432.00M,487.00M,2004-06,525.00M,,,,32.00M,95.00M,2004-06,,
2004-03,155.00M,,,-29.00M,,137.00M,150.00M,,,11.00M,-87.00M,78.00M,,59.00M,-161.00M,16.00M,-180.00M,-275.00M,149.00M,,2004-03,,-338.00M,,,-31.00M,-369.00M,,2004-03,,331.00M,25.00M,,25.00M,,,,,-118.00M,,-12.00M,226.00M,2004-03,49.00M,6.00M,55.00M,2004-03,25.00M,,,,71.00M,109.00M,2004-03,,
2003-12,50.00M,,,83.00M,,136.00M,37.00M,,,68.00M,63.00M,12.00M,,29.00M,334.00M,-167.00M,123.00M,394.00M,768.00M,,2003-12,,-413.00M,,,-38.00M,-451.00M,,2003-12,,-190.00M,11.00M,,11.00M,,,,,-116.00M,,-22.00M,-317.00M,2003-12,49.00M,0.00,49.00M,2003-12,11.00M,,,,0.00,105.00M,2003-12,,
2003-09,252.00M,,,-61.00M,,134.00M,335.00M,,,-68.00M,-126.00M,-56.00M,,-17.00M,-274.00M,11.00M,45.00M,-417.00M,175.00M,,2003-09,,-328.00M,,,-46.00M,-374.00M,,2003-09,,547.00M,13.00M,,13.00M,,,,,-122.00M,,-252.00M,186.00M,2003-09,76.00M,-13.00M,49.00M,2003-09,13.00M,,,,10.00M,81.00M,2003-09,,
2003-06,69.00M,,,-39.00M,,130.00M,-68.00M,,,-8.00M,138.00M,-60.00M,,-133.00M,232.00M,143.00M,32.00M,352.00M,436.00M,,2003-06,,-369.00M,,,-20.00M,-389.00M,,2003-06,,-598.00M,399.00M,,399.00M,,,,,-101.00M,,253.00M,-47.00M,2003-06,62.00M,0.00,76.00M,2003-06,399.00M,,,,3.00M,112.00M,2003-06,,
2003-03,157.00M,,,-34.00M,,129.00M,114.00M,,,8.00M,-190.00M,17.00M,,101.00M,-288.00M,-7.00M,-65.00M,-432.00M,-58.00M,,2003-03,,-288.00M,,,-44.00M,-332.00M,,2003-03,,435.00M,13.00M,,13.00M,,,,,-113.00M,,-1.00M,334.00M,2003-03,118.00M,-56.00M,62.00M,2003-03,13.00M,,,,77.00M,89.00M,2003-03,,
2002-12,123.00M,,,49.00M,,126.00M,23.00M,,,,52.00M,10.00M,,139.00M,174.00M,34.00M,-23.00M,386.00M,707.00M,,2002-12,,-504.00M,,,-34.00M,-538.00M,,2002-12,,-27.00M,7.00M,0.00,7.00M,,,,,-112.00M,,-7.00M,-139.00M,2002-12,102.00M,30.00M,132.00M,2002-12,7.00M,,,0.00,198.00M,57.00M,2002-12,,
2002-09,286.02M,,,-2.979M,,126.43M,197.29M,,,-20.23M,-9.121M,-30.08M,,0.003M,-335.59M,334.25M,-80.64M,-121.17M,465.36M,,2002-09,,-299.74M,,,-119.65M,-419.40M,,2002-09,,104.00M,-14.08M,-37.00M,-51.08M,,,,,-88.34M,,0.603M,-34.81M,2002-09,73.03M,11.15M,102.00M,2002-09,-14.08M,,,-37.00M,28.00M,302.00M,2002-09,,
2002-06,100.98M,,,-87.02M,,122.57M,86.71M,,,4.229M,-88.88M,-21.92M,,102.00M,131.59M,-151.25M,48.64M,20.17M,247.64M,,2002-06,,-444.26M,,,126.65M,-317.60M,,2002-06,,120.00M,32.08M,,32.08M,,,,,-121.66M,,-9.603M,20.81M,2002-06,123.00M,-49.15M,73.03M,2002-06,32.08M,,,,-146.00M,-77.00M,2002-06,,
2002-03,170.00M,,,-90.00M,,120.00M,8.00M,,,16.00M,-50.00M,67.00M,,2.00M,-159.00M,-5.00M,23.00M,-122.00M,102.00M,,2002-03,,-238.00M,,,-121.00M,-359.00M,,2002-03,,160.00M,,,,,,,,-121.00M,,-1.00M,38.00M,2002-03,341.00M,-219.00M,123.00M,2002-03,,,,,146.00M,77.00M,2002-03,,
2001-12,138.87M,,,-10.43M,,121.24M,-40.69M,,,-2.118M,250.29M,-1.336M,,-71.55M,367.07M,133.26M,-156.38M,521.36M,728.21M,,2001-12,17.31M,-490.14M,,,-191.39M,-681.52M,,2001-12,,305.74M,,,,,,,,-133.00M,,-331.75M,-119.01M,2001-12,432.14M,-72.32M,359.00M,2001-12,,,,,43.26M,-184.40M,2001-12,,
2001-09,277.34M,,,-87.78M,,133.01M,102.05M,,,28.58M,-114.10M,-21.97M,,-74.71M,-118.55M,34.26M,309.14M,14.08M,467.28M,,2001-09,553.74M,251.40M,,,-96.07M,155.33M,,2001-09,,-334.57M,,,,,,,,-116.73M,,219.19M,-232.10M,2001-09,41.63M,390.51M,432.14M,2001-09,,,,,0.00,82.19M,2001-09,,
2001-06,97.28M,,,-80.91M,,136.67M,-60.98M,,,-11.07M,176.97M,-41.64M,,55.78M,153.14M,-93.87M,-125.21M,125.16M,206.15M,,2001-06,-0.09M,-229.77M,,,-50.49M,-280.26M,,2001-06,,408.80M,,,,,,,,-113.26M,,-239.36M,56.18M,2001-06,59.57M,-17.93M,41.63M,2001-06,,,,,185.14M,108.92M,2001-06,,
2001-03,182.51M,,,-80.88M,,135.08M,5.623M,,,17.61M,-16.16M,44.94M,,-263.51M,-21.66M,134.35M,48.44M,-73.60M,186.35M,,2001-03,100.04M,-118.49M,,,-16.05M,-134.54M,,2001-03,,33.02M,,,,,,,,-120.01M,,-0.081M,-87.07M,2001-03,94.83M,-35.26M,59.57M,2001-03,,,,,42.60M,81.28M,2001-03,,
2000-12,59.68M,,,-25.47M,,147.28M,13.70M,,,-9.989M,-110.32M,16.43M,,186.58M,19.95M,-352.39M,295.51M,55.75M,240.95M,,2000-12,,-340.23M,,,198.86M,-239.46M,,2000-12,,150.45M,,0.00,0.00,,,,,-129.34M,,-0.574M,20.53M,2000-12,72.81M,22.02M,94.83M,2000-12,,,,0.00,62.33M,110.01M,2000-12,,
2000-09,279.87M,,,-75.56M,,150.78M,135.90M,,,-0.717M,-114.23M,-39.56M,,-43.64M,-124.19M,228.26M,-113.08M,-206.44M,283.84M,,2000-09,,-271.19M,,,-18.83M,-290.02M,,2000-09,,159.99M,,0.00,0.00,,,,,-115.52M,,-3.126M,41.34M,2000-09,37.66M,35.15M,72.81M,2000-09,,,,0.00,0.00,74.55M,2000-09,,
2000-06,68.75M,,,-50.34M,,145.62M,-39.08M,,,1.453M,20.26M,-9.066M,,264.92M,49.65M,-186.15M,27.47M,167.08M,293.48M,,2000-06,,-210.96M,,,-262.78M,-473.75M,,2000-06,,261.57M,,-0.007M,-0.007M,,,,,-115.52M,,-1.719M,144.32M,2000-06,73.60M,-35.95M,37.66M,2000-06,,,,-0.007M,74.24M,73.04M,2000-06,,
2000-03,188.14M,,,-51.60M,,142.72M,67.21M,,,27.70M,-58.51M,12.22M,,-4.994M,-76.62M,-42.10M,-5.003M,-175.00M,199.17M,,2000-03,,-180.23M,,,-35.84M,-216.07M,,2000-03,,-210.26M,,-68.52M,-68.52M,,,,,-115.71M,,-0.049M,-394.54M,2000-03,485.05M,-411.45M,73.60M,2000-03,,,,-68.52M,,93.56M,2000-03,,
1999-12,121.50M,,,-55.00M,,125.40M,-32.90M,,,14.70M,70.70M,11.80M,,-7.80M,175.00M,-56.10M,-180.20M,13.40M,187.10M,,1999-12,0.00,-242.70M,0.00,,-16.10M,-258.80M,,1999-12,,930.20M,,-444.70M,-444.70M,,,,,-115.20M,,-2.50M,367.80M,1999-12,188.90M,296.10M,485.10M,1999-12,,,,-444.70M,222.30M,74.80M,1999-12,,
1999-09,336.10M,,,-0.90M,,134.50M,460.48M,,,10.32M,-136.20M,-22.50M,,161.70M,-165.30M,-66.60M,-297.50M,-526.40M,414.10M,,1999-09,-28.22M,-192.72M,-509.10M,,1.048B,346.30M,,1999-09,,-490.80M,,-249.20M,-249.20M,,,,,-117.40M,,-5.20M,-862.60M,1999-09,291.10M,-102.20M,188.90M,1999-09,,,,-249.20M,506.00M,101.90M,1999-09,,
1999-06,66.35M,,,-0.948M,,133.59M,-427.95M,,,8.473M,51.86M,34.80M,,33.28M,67.22M,-29.16M,377.53M,535.53M,315.04M,,1999-06,1.167B,1.017B,,,-1.161B,-144.28M,,1999-06,,411.59M,,-219.30M,-219.30M,,,,,-120.73M,,-8.747M,62.82M,1999-06,57.50M,233.59M,291.10M,1999-06,,,,-219.30M,118.30M,59.59M,1999-06,,
1999-03,176.65M,,,-0.952M,,132.71M,42.18M,,,8.606M,-52.76M,32.50M,,-19.58M,-114.52M,22.76M,61.57M,-70.03M,289.16M,,1999-03,,-120.90M,,,-6.927M,-127.82M,,1999-03,,121.91M,,-204.20M,-204.20M,,,,,-123.77M,,-0.053M,-206.12M,1999-03,102.30M,-44.79M,57.50M,1999-03,,,,-204.20M,,85.51M,1999-03,,
1998-12,131.80M,,,-77.60M,,130.80M,-9.10M,,,16.00M,96.60M,2.50M,,7.20M,101.80M,-34.00M,26.40M,200.50M,392.40M,,1998-12,,-204.60M,,,-11.90M,-216.50M,,1998-12,,605.20M,,-712.60M,-712.60M,,,,,-119.80M,,-0.30M,-227.50M,1998-12,153.80M,-51.60M,102.30M,1998-12,,,,-712.60M,209.80M,46.00M,1998-12,,
1998-09,347.00M,,,-4.70M,,130.20M,113.30M,,,2.40M,-97.00M,-3.40M,,-2.20M,-156.50M,47.00M,59.80M,-152.30M,435.90M,,1998-09,,-149.90M,,,-25.40M,-175.30M,,1998-09,,259.90M,,-117.00M,-117.00M,,,,,-123.80M,,-230.90M,-211.80M,1998-09,105.00M,48.80M,153.80M,1998-09,,,,-117.00M,-28.50M,86.50M,1998-09,,
1998-06,62.00M,,,7.70M,,129.20M,-50.10M,,,-1.60M,40.40M,-4.10M,,-11.50M,107.70M,-31.10M,48.70M,150.10M,297.30M,,1998-06,,-143.70M,,,-6.60M,-150.30M,,1998-06,,50.50M,,-59.30M,-59.30M,,,,,-124.80M,,-106.60M,-240.20M,1998-06,198.30M,-93.20M,105.00M,1998-06,,,,-59.30M,174.40M,63.80M,1998-06,,
