,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,UnrealizedGain(Loss)onInvestmentSecurities,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,CashFlow-Investing(Quarterly),SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,EndingCash(Quarterly),BeginningCash,ChangeinCash,EndingCash,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,SECFilingLinks,AsOriginallyReported,Restated
2017-03,388.00M,,-5.00M,-5.00M,329.00M,329.00M,256.00M,,,-167.00M,-10.00M,26.00M,-394.00M,-50.00M,-69.00M,65.00M,44.00M,-388.00M,448.00M,,2017-03,,-827.00M,,-5.00M,-24.00M,-856.00M,,2017-03,89.00M,-129.00M,,,,,,-199.00M,,-199.00M,12.00M,-4.00M,-320.00M,2017-03,830.00M,-728.00M,102.00M,2017-03,,497.00M,-626.00M,,,123.00M,2017-03,AOR,Restated
2016-12,206.00M,0.00,1.00M,1.00M,311.00M,311.00M,259.00M,,,-33.00M,35.00M,-2.00M,423.00M,-142.00M,22.00M,51.00M,-31.00M,356.00M,1.123B,,2016-12,,-1.187B,-188.00M,,142.00M,-1.233B,,2016-12,497.00M,950.00M,0.00,,0.00,,,-193.00M,,-193.00M,13.00M,-8.00M,762.00M,2016-12,146.00M,652.00M,826.00M,2016-12,0.00,825.00M,-803.00M,,,227.00M,2016-12,AOR,Restated
2016-09,497.00M,-104.00M,26.00M,-78.00M,306.00M,306.00M,256.00M,,,-194.00M,-162.00M,-14.00M,-388.00M,221.00M,-7.00M,42.00M,205.00M,-103.00M,705.00M,,2016-09,,-818.00M,-31.00M,,118.00M,-731.00M,,2016-09,-401.00M,-508.00M,0.00,,0.00,,,-192.00M,,-192.00M,11.00M,-1.00M,-690.00M,2016-09,862.00M,-716.00M,146.00M,2016-09,0.00,0.00,-401.00M,,,119.00M,2016-09,AOR,Restated
2016-06,232.00M,0.00,-97.00M,-97.00M,302.00M,302.00M,94.00M,,,-198.00M,133.00M,21.00M,359.00M,7.00M,-36.00M,106.00M,184.00M,774.00M,1.107B,,2016-06,,-862.00M,-1.003B,,-3.00M,-1.868B,,2016-06,1.542B,1.051B,702.00M,,702.00M,,,-193.00M,,-193.00M,12.00M,-12.00M,1.56B,2016-06,63.00M,799.00M,862.00M,2016-06,702.00M,1.547B,-5.00M,,,209.00M,2016-06,AOR,Restated
2016-03,310.00M,,64.00M,64.00M,297.00M,297.00M,174.00M,,,-183.00M,81.00M,8.00M,-374.00M,-41.00M,-36.00M,45.00M,155.00M,-162.00M,524.00M,,2016-03,,-813.00M,-247.00M,,-58.00M,-1.118B,,2016-03,217.00M,-113.00M,,,,,,-185.00M,,-185.00M,15.00M,-4.00M,-287.00M,2016-03,944.00M,-881.00M,63.00M,2016-03,,218.00M,-1.00M,,,109.00M,2016-03,AOR,Restated
2015-12,176.00M,0.00,7.00M,7.00M,290.00M,290.00M,187.00M,,,-15.00M,-29.00M,-10.00M,554.00M,-197.00M,18.00M,,57.00M,431.00M,1.078B,,2015-12,,-850.00M,-13.00M,,-107.00M,-970.00M,,2015-12,554.00M,923.00M,,,,,,-173.00M,,-173.00M,10.00M,-13.00M,747.00M,2015-12,93.00M,855.00M,948.00M,2015-12,,1.278B,-355.00M,,,186.00M,2015-12,AOR,Restated
2015-09,428.00M,0.00,-12.00M,-12.00M,285.00M,285.00M,264.00M,,,-310.00M,-86.00M,-16.00M,-424.00M,291.00M,17.00M,,265.00M,47.00M,713.00M,,2015-09,,-852.00M,-34.00M,,-76.00M,-962.00M,,2015-09,-100.00M,-185.00M,0.00,,0.00,,,-180.00M,,-180.00M,-2.00M,0.00,-367.00M,2015-09,709.00M,-616.00M,93.00M,2015-09,0.00,-85.00M,-100.00M,,,106.00M,2015-09,AOR,Restated
2015-06,219.00M,,16.00M,16.00M,276.00M,276.00M,24.00M,,,-203.00M,264.00M,8.00M,163.00M,-177.00M,64.00M,,272.00M,594.00M,927.00M,,2015-06,,-760.00M,-217.00M,,-81.00M,-1.058B,,2015-06,193.00M,919.00M,0.00,,0.00,,,-190.00M,,-190.00M,-5.00M,-1.00M,723.00M,2015-06,117.00M,592.00M,709.00M,2015-06,0.00,683.00M,-45.00M,,,200.00M,2015-06,AOR,Restated
2015-03,370.00M,,-8.00M,-8.00M,279.00M,279.00M,178.00M,,,-208.00M,-22.00M,40.00M,-307.00M,-2.00M,-33.00M,,255.00M,-69.00M,559.00M,,2015-03,,-592.00M,-35.00M,,-40.00M,-667.00M,,2015-03,0.00,-281.00M,,,,,,-190.00M,,-190.00M,-2.00M,-1.00M,-474.00M,2015-03,699.00M,-582.00M,117.00M,2015-03,,0.00,0.00,,,105.00M,2015-03,AOR,Restated
2014-12,82.00M,0.00,142.00M,142.00M,275.00M,275.00M,94.00M,,,-14.00M,178.00M,-29.00M,481.00M,-37.00M,-287.00M,,232.00M,501.00M,1.08B,,2014-12,,-604.00M,-220.00M,,61.00M,-763.00M,,2014-12,998.00M,373.00M,,,,,,-186.00M,,-186.00M,-2.00M,-8.00M,177.00M,2014-12,205.00M,494.00M,699.00M,2014-12,,1.00B,-627.00M,,-2.00M,179.00M,2014-12,AOR,Restated
2014-09,436.00M,0.00,1.00M,1.00M,270.00M,270.00M,262.00M,,,-132.00M,-68.00M,-21.00M,-497.00M,-27.00M,58.00M,,212.00M,-343.00M,494.00M,,2014-09,,-629.00M,-74.00M,,-60.00M,-763.00M,,2014-09,0.00,-106.00M,,,,,,-185.00M,,-185.00M,-6.00M,-3.00M,-300.00M,2014-09,774.00M,-569.00M,205.00M,2014-09,,-80.00M,-26.00M,,117.00M,105.00M,2014-09,AOR,Restated
2014-06,213.00M,-45.00M,5.00M,-40.00M,265.00M,265.00M,-33.00M,,,-189.00M,333.00M,-20.00M,342.00M,-158.00M,-11.00M,,331.00M,817.00M,1.033B,,2014-06,,-627.00M,81.00M,,-53.00M,-599.00M,,2014-06,-278.00M,423.00M,,,,,,-184.00M,,-184.00M,-1.00M,0.00,238.00M,2014-06,102.00M,672.00M,774.00M,2014-06,,80.00M,-278.00M,,102.00M,186.00M,2014-06,AOR,Restated
2014-03,361.00M,,-20.00M,-20.00M,261.00M,261.00M,195.00M,,,-165.00M,-307.00M,60.00M,-353.00M,-304.00M,284.00M,,212.00M,-408.00M,224.00M,,2014-03,,-559.00M,-80.00M,,5.00M,-634.00M,,2014-03,650.00M,29.00M,,,,,,-184.00M,,-184.00M,-1.00M,-6.00M,-162.00M,2014-03,674.00M,-572.00M,102.00M,2014-03,,850.00M,-200.00M,,416.00M,91.00M,2014-03,AOR,Restated
2013-12,234.00M,0.00,-68.00M,-68.00M,260.00M,260.00M,-76.00M,,,63.00M,64.00M,5.00M,385.00M,97.00M,41.00M,-47.00M,356.00M,901.00M,1.314B,,2013-12,,-688.00M,-1.00M,,-75.00M,-764.00M,,2013-12,-2.00M,229.00M,,,,,,-181.00M,,-181.00M,-4.00M,6.00M,50.00M,2013-12,74.00M,600.00M,674.00M,2013-12,,231.00M,-2.00M,,42.00M,202.00M,2013-12,AOR,Restated
2013-09,464.00M,0.00,-36.00M,-36.00M,258.00M,258.00M,250.00M,,,-591.00M,-72.00M,-47.00M,-402.00M,32.00M,15.00M,64.00M,438.00M,28.00M,373.00M,,2013-09,,-607.00M,-172.00M,,96.00M,-683.00M,,2013-09,-1.00M,-181.00M,,,,,,-180.00M,,-180.00M,-2.00M,0.00,-363.00M,2013-09,747.00M,-673.00M,74.00M,2013-09,,-180.00M,-1.00M,,0.00,91.00M,2013-09,AOR,Restated
2013-06,172.00M,0.00,75.00M,75.00M,255.00M,255.00M,-47.00M,,,-312.00M,63.00M,-51.00M,303.00M,91.00M,159.00M,-8.00M,249.00M,806.00M,949.00M,,2013-06,,-614.00M,-2.00M,,67.00M,-549.00M,,2013-06,22.00M,401.00M,,,,,,-180.00M,,-180.00M,-1.00M,-5.00M,215.00M,2013-06,132.00M,615.00M,747.00M,2013-06,,1.08B,-197.00M,,3.00M,191.00M,2013-06,AOR,Restated
2013-03,192.00M,,-45.00M,-45.00M,251.00M,251.00M,-87.00M,,,-34.00M,-50.00M,60.00M,-263.00M,72.00M,-428.00M,-9.00M,257.00M,-361.00M,-84.00M,,2013-03,,-629.00M,0.00,,-34.00M,-663.00M,,2013-03,191.00M,673.00M,,,,,,-180.00M,,-180.00M,-1.00M,-7.00M,485.00M,2013-03,394.00M,-262.00M,132.00M,2013-03,,700.00M,-509.00M,,24.00M,90.00M,2013-03,AOR,Restated
2012-12,207.00M,,-7.00M,-7.00M,246.00M,246.00M,240.00M,,,65.00M,83.00M,25.00M,274.00M,94.00M,71.00M,-16.00M,-321.00M,210.00M,961.00M,,2012-12,,-551.00M,-51.00M,,-54.00M,-656.00M,,2012-12,-1.00M,198.00M,,,,0.00,0.00,-185.00M,0.00,-185.00M,7.00M,0.00,20.00M,2012-12,69.00M,325.00M,394.00M,2012-12,,539.00M,-1.00M,0.00,0.00,192.00M,2012-12,AOR,Restated
