,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,NormalizedBasicEPS,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,NormalizedDilutedEPS,EPSDiluted,,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,3.333B,3.333B,1.318B,2.015B,2.00M,673.00M,226.00M,,-226.00M,,1.155B,860.00M,,226.00M,-226.00M,-13.00M,-226.00M,621.00M,119.00M,502.00M,,,-9.00M,,493.00M,482.00M,847.00M,,2020-09,1.47,1.400,1.47,,2020-09,1.47,1.400,1.47,,335.40M,0.765,,2020-09,AOR,
2020-06,2.719B,2.719B,1.16B,1.559B,5.00M,604.00M,247.00M,,-247.00M,,1.08B,479.00M,,247.00M,-247.00M,-21.00M,-247.00M,211.00M,9.00M,202.00M,,,-12.00M,,190.00M,476.00M,458.00M,,2020-06,0.57,0.4838,0.57,,2020-06,0.57,0.4840,0.57,,335.00M,0.765,,2020-06,AOR,
2020-03,3.234B,3.234B,1.318B,1.916B,5.00M,638.00M,322.00M,,-322.00M,,1.108B,808.00M,,322.00M,-322.00M,-39.00M,-322.00M,447.00M,55.00M,392.00M,,,-17.00M,,375.00M,470.00M,769.00M,,2020-03,1.13,1.048,1.13,,2020-03,1.12,1.038,1.12,,334.60M,0.765,,2020-03,AOR,
2019-12,2.951B,2.951B,1.349B,1.602B,3.00M,606.00M,219.00M,,-219.00M,,1.037B,565.00M,,219.00M,-219.00M,20.00M,-219.00M,366.00M,53.00M,313.00M,,,-18.00M,,295.00M,431.00M,585.00M,,2019-12,0.89,0.8153,0.89,,2019-12,0.88,0.8055,0.88,,333.10M,0.74,,2019-12,AOR,
2019-09,3.365B,3.365B,1.459B,1.906B,4.00M,618.00M,262.00M,,-262.00M,,1.039B,867.00M,,262.00M,-262.00M,14.00M,-262.00M,619.00M,116.00M,503.00M,,,-30.00M,,473.00M,422.00M,881.00M,,2019-09,1.42,1.349,1.42,,2019-09,1.42,1.349,1.42,,333.20M,0.74,,2019-09,AOR,Restated
2019-06,2.744B,2.744B,1.29B,1.454B,4.00M,578.00M,263.00M,,-263.00M,,996.00M,458.00M,,263.00M,-263.00M,3.00M,-263.00M,198.00M,19.00M,179.00M,,,-27.00M,,152.00M,418.00M,461.00M,,2019-06,0.46,0.3887,0.46,,2019-06,0.46,0.3889,0.46,,329.20M,0.74,,2019-06,AOR,Restated
2019-03,3.514B,3.514B,1.71B,1.804B,3.00M,605.00M,247.00M,,-247.00M,,1.018B,786.00M,,247.00M,-247.00M,14.00M,-247.00M,553.00M,108.00M,445.00M,,,-21.00M,,424.00M,413.00M,800.00M,,2019-03,1.31,1.243,1.31,,2019-03,1.31,1.243,1.31,,323.40M,0.74,,2019-03,AOR,Restated
2018-12,2.949B,2.949B,1.487B,1.462B,132.00M,559.00M,222.00M,,-222.00M,,936.00M,526.00M,,222.00M,-222.00M,98.00M,-222.00M,402.00M,71.00M,331.00M,,,0.00,,331.00M,377.00M,624.00M,,2018-12,1.06,0.6541,1.06,,2018-12,1.05,0.6460,1.05,,315.90M,0.715,,2018-12,AOR,Restated
2018-09,3.328B,3.328B,1.545B,1.783B,4.00M,597.00M,205.00M,,-205.00M,,957.00M,826.00M,,205.00M,-205.00M,-11.00M,-205.00M,610.00M,175.00M,435.00M,,,0.00,,435.00M,359.00M,815.00M,,2018-09,1.40,1.292,1.40,,2018-09,1.39,1.283,1.39,,312.30M,0.715,,2018-09,AOR,Restated
2018-06,2.338B,2.338B,1.128B,1.21B,3.00M,512.00M,167.00M,,-167.00M,,828.00M,382.00M,,167.00M,-167.00M,-35.00M,-167.00M,180.00M,31.00M,149.00M,,,,,149.00M,354.00M,347.00M,,2018-06,0.60,0.5813,0.60,,2018-06,0.60,0.5814,0.60,,311.90M,0.715,,2018-06,AOR,Restated
2018-03,3.364B,3.364B,1.691B,1.673B,4.00M,570.00M,195.00M,,-195.00M,,918.00M,755.00M,,195.00M,-195.00M,-15.00M,-195.00M,545.00M,117.00M,428.00M,,,,,428.00M,348.00M,740.00M,,2018-03,1.38,1.319,1.38,,2018-03,1.37,1.310,1.37,,311.60M,0.715,,2018-03,AOR,Restated
