,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2020-09,3.190B,,3.190B,2.313B,2.313B,318.10M,181.30M,770.10M,1.229B,,,241.60M,6.974B,,,,,,,,1.314B,5.144B,3.233B,8.377B,,1.274B,10.97B,17.94B,1.459B,,1.459B,1.515B,2.974B,,,775.10M,775.10M,775.10M,,,,4.170B,4.494B,4.494B,635.50M,635.50M,977.20M,14.30M,,1.281B,7.388B,11.56B,264.50M,8.489B,93.30M,1.719B,,,,-761.00M,6.367B
2020-06,2.367B,,2.367B,2.316B,2.316B,363.40M,176.90M,848.00M,1.353B,,,308.50M,6.345B,,,,,,,,1.315B,5.091B,3.257B,8.348B,,1.216B,10.88B,17.22B,1.368B,,1.368B,1.450B,2.818B,0.00,,649.90M,649.90M,649.90M,,,,3.829B,4.618B,4.618B,580.80M,580.80M,1.009B,22.60M,,1.227B,7.435B,11.26B,263.80M,8.222B,46.50M,1.719B,,,,-876.10M,5.937B
2020-03,2.648B,,2.648B,2.092B,2.092B,348.80M,173.80M,973.40M,1.464B,,,356.60M,6.560B,,,,,,,,1.326B,5.082B,3.289B,8.371B,,1.378B,11.08B,17.64B,1.447B,,1.447B,1.528B,2.975B,299.90M,,649.80M,949.70M,949.70M,,,,4.241B,4.625B,4.625B,561.20M,561.20M,1.008B,17.20M,,1.411B,7.605B,11.85B,263.70M,8.128B,26.40M,1.719B,,,,-926.00M,5.773B
2019-12,1.304B,,1.304B,2.798B,2.798B,613.10M,209.20M,975.50M,1.712B,,,403.30M,6.217B,0.0,60.60M,921.20M,3.058B,,4.040B,-2.234B,1.806B,6.783B,4.149B,10.93B,,1.537B,14.28B,20.49B,1.809B,,1.809B,1.853B,3.662B,299.80M,,350.70M,650.50M,650.50M,,,,4.862B,4.923B,4.923B,682.00M,682.00M,1.222B,44.80M,,1.491B,8.318B,13.18B,262.80M,9.731B,,1.719B,,,,-1.007B,7.268B
2019-09,830.90M,,830.90M,2.969B,2.969B,640.20M,254.80M,1.080B,1.891B,,,412.70M,6.103B,,,,,,,,1.779B,6.713B,4.174B,10.89B,,1.538B,14.20B,20.31B,1.759B,,1.759B,1.881B,3.640B,299.70M,,350.80M,650.50M,650.50M,,,,4.776B,4.922B,4.922B,666.30M,666.30M,1.179B,41.50M,,1.485B,8.252B,13.03B,264.10M,9.763B,,1.719B,,,,-1.070B,7.238B
2019-06,875.60M,,875.60M,3.108B,3.108B,629.00M,244.10M,1.163B,1.950B,,,417.10M,6.352B,,,,,,,,1.794B,6.860B,4.230B,11.09B,,1.432B,14.32B,20.67B,1.890B,,1.890B,2.029B,3.919B,299.60M,179.00M,350.60M,829.20M,829.20M,,,,5.180B,4.921B,4.921B,725.10M,725.10M,1.197B,42.40M,,1.472B,8.314B,13.49B,265.90M,9.497B,26.00M,1.719B,,,,-939.20M,7.130B
2019-03,1.907B,,1.907B,2.710B,2.710B,609.70M,211.70M,1.245B,1.984B,,,483.30M,7.085B,,,,,,,,1.738B,5.969B,3.608B,9.577B,,1.381B,12.70B,19.78B,1.800B,,1.800B,1.951B,3.751B,,23.90M,350.50M,374.40M,374.40M,,,,4.488B,5.226B,5.226B,527.20M,527.20M,1.191B,37.00M,,1.425B,8.370B,12.86B,265.50M,9.298B,,1.719B,,,,-958.60M,6.886B
2018-12,903.40M,,903.40M,2.679B,2.679B,550.50M,182.00M,1.029B,1.678B,,,471.60M,5.732B,0.0,53.20M,870.70M,2.911B,,3.835B,-2.104B,1.731B,5.960B,3.635B,9.594B,,857.90M,12.18B,17.91B,1.705B,,1.705B,1.728B,3.434B,0.00,,350.60M,350.60M,350.60M,,,,4.316B,3.741B,3.741B,538.40M,538.40M,1.193B,42.10M,,1.062B,6.534B,10.85B,266.40M,9.440B,,1.719B,,,,-964.10M,7.023B
2018-09,1.022B,,1.022B,2.752B,2.752B,563.10M,220.10M,1.109B,1.821B,,,486.60M,6.083B,,,,,,,,1.673B,5.989B,3.680B,9.669B,,879.80M,12.22B,18.30B,1.749B,,1.749B,1.720B,3.469B,0.00,,350.60M,350.60M,350.60M,,,,4.324B,3.740B,3.740B,610.20M,610.20M,1.207B,35.10M,,1.080B,6.637B,10.96B,270.10M,9.625B,52.40M,1.719B,,,,-919.80M,7.308B
2018-06,969.50M,,969.50M,2.947B,2.947B,532.80M,213.10M,1.057B,1.733B,,,512.00M,6.162B,,,,,,,,1.647B,6.001B,3.705B,9.706B,,863.40M,12.22B,18.38B,1.832B,,1.832B,1.893B,3.725B,,249.00M,350.60M,599.60M,599.60M,,,,4.753B,3.739B,3.739B,735.40M,735.40M,1.248B,36.60M,,1.080B,6.802B,11.55B,269.80M,9.110B,31.30M,1.719B,,,,-904.60M,6.787B
