,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,NotesReceivable,TotalReceivables,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2020-09,519.00M,519.00M,669.00M,272.00M,941.00M,639.00M,148.00M,39.00M,199.00M,9.00M,2.494B,1.164B,1.439B,28.48B,-7.845B,20.63B,,68.00M,,2.655B,,688.00M,26.79B,29.28B,667.00M,128.00M,795.00M,136.00M,931.00M,0.00,1.799B,1.799B,1.799B,,,262.00M,2.992B,510.00M,13.28B,61.00M,13.34B,1.937B,1.937B,382.00M,578.00M,,429.00M,20.39B,23.38B,3.00M,171.00M,5.225B,,,,-79.00M,5.32B
2020-06,1.587B,1.587B,757.00M,264.00M,1.021B,506.00M,162.00M,17.00M,223.00M,16.00M,3.532B,,1.222B,27.13B,-7.697B,19.44B,,68.00M,,2.353B,,707.00M,25.05B,28.58B,635.00M,326.00M,961.00M,153.00M,1.114B,0.00,1.744B,1.744B,1.744B,,,265.00M,3.123B,483.00M,13.41B,67.00M,13.48B,1.881B,1.881B,140.00M,37.00M,,413.00M,20.21B,23.33B,3.00M,70.00M,5.217B,,,,-76.00M,5.214B
2020-03,834.00M,834.00M,909.00M,241.00M,1.151B,434.00M,101.00M,27.00M,246.00M,24.00M,2.817B,,1.032B,26.71B,-7.563B,19.14B,,72.00M,,2.226B,,723.00M,24.63B,27.45B,497.00M,330.00M,827.00M,142.00M,969.00M,0.00,1.721B,1.721B,1.721B,,,250.00M,2.94B,485.00M,12.54B,71.00M,12.62B,1.841B,1.841B,141.00M,37.00M,,395.00M,19.28B,22.22B,3.00M,51.00M,5.207B,,,,-76.00M,5.185B
2019-12,140.00M,140.00M,903.00M,223.00M,1.126B,605.00M,86.00M,17.00M,305.00M,33.00M,2.331B,9.934B,896.00M,26.29B,-7.36B,18.93B,,71.00M,,2.281B,,739.00M,24.51B,26.84B,635.00M,437.00M,1.072B,139.00M,1.211B,90.00M,1.13B,1.22B,1.22B,,,273.00M,2.704B,477.00M,11.95B,76.00M,12.03B,1.775B,1.775B,674.00M,37.00M,,383.00M,19.08B,21.78B,3.00M,-25.00M,5.113B,,,,-73.00M,5.018B
2019-09,403.00M,403.00M,657.00M,234.00M,897.00M,699.00M,86.00M,29.00M,184.00M,7.00M,2.305B,,1.143B,25.79B,-7.264B,18.52B,,68.00M,,2.253B,,492.00M,23.70B,26.01B,607.00M,125.00M,732.00M,117.00M,849.00M,0.00,1.074B,1.074B,1.074B,,,242.00M,2.165B,451.00M,12.04B,81.00M,12.12B,1.704B,1.704B,447.00M,37.00M,,373.00M,18.85B,21.02B,3.00M,-83.00M,5.104B,,,,-67.00M,4.957B
2019-06,312.00M,312.00M,764.00M,249.00M,1.023B,552.00M,83.00M,22.00M,204.00M,18.00M,2.254B,,973.00M,25.24B,-7.13B,18.11B,,64.00M,,2.005B,,519.00M,23.04B,25.29B,636.00M,295.00M,931.00M,129.00M,1.06B,0.00,1.077B,1.077B,1.077B,,,249.00M,2.386B,438.00M,11.24B,86.00M,11.32B,1.665B,1.665B,443.00M,37.00M,,364.00M,18.02B,20.40B,3.00M,-182.00M,5.097B,,,,-67.00M,4.851B
2019-03,234.00M,234.00M,1.011B,250.00M,1.279B,442.00M,97.00M,33.00M,226.00M,26.00M,2.376B,,822.00M,25.55B,-7.236B,18.32B,,62.00M,,1.791B,,538.00M,22.42B,24.79B,550.00M,295.00M,845.00M,134.00M,979.00M,30.00M,842.00M,872.00M,872.00M,,,255.00M,2.106B,433.00M,11.10B,91.00M,11.20B,1.642B,1.642B,440.00M,37.00M,,345.00M,17.79B,19.90B,3.00M,-166.00M,5.087B,,,,-66.00M,4.858B
2018-12,153.00M,153.00M,978.00M,233.00M,1.227B,650.00M,101.00M,21.00M,279.00M,37.00M,2.468B,9.471B,763.00M,25.16B,-7.037B,18.13B,,69.00M,,1.645B,,478.00M,22.06B,24.53B,733.00M,398.00M,1.131B,98.00M,1.229B,97.00M,996.00M,1.093B,1.093B,,,302.00M,2.624B,432.00M,10.62B,69.00M,10.68B,1.586B,1.586B,436.00M,37.00M,,294.00M,17.11B,19.74B,3.00M,-271.00M,5.088B,,,,-65.00M,4.755B
2018-09,323.00M,323.00M,725.00M,237.00M,962.00M,741.00M,103.00M,42.00M,167.00M,10.00M,2.374B,,948.00M,24.70B,-6.909B,17.79B,,72.00M,,1.393B,,629.00M,21.54B,23.91B,689.00M,107.00M,796.00M,97.00M,893.00M,279.00M,1.971B,2.25B,2.25B,,,299.00M,3.442B,421.00M,8.869B,75.00M,8.944B,1.483B,1.483B,797.00M,37.00M,,295.00M,15.68B,19.13B,3.00M,-278.00M,5.083B,,,,-59.00M,4.749B
2018-06,477.00M,477.00M,722.00M,206.00M,928.00M,570.00M,93.00M,17.00M,187.00M,14.00M,2.286B,,787.00M,24.04B,-6.808B,17.24B,,74.00M,,1.246B,,779.00M,21.03B,23.31B,629.00M,267.00M,896.00M,147.00M,1.043B,,,1.216B,1.216B,,,276.00M,2.535B,426.00M,9.272B,81.00M,9.353B,1.446B,1.446B,787.00M,37.00M,,305.00M,16.07B,18.60B,3.00M,-346.00M,5.076B,,,,-61.00M,4.672B
