,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,1.575B,1.575B,903.00M,672.00M,1.00M,75.00M,143.00M,1.00M,-142.00M,,303.00M,369.00M,1.00M,143.00M,-142.00M,27.00M,-142.00M,254.00M,44.00M,210.00M,,,8.00M,,218.00M,217.17M,625.00M,228.00M,397.00M,0.76,,,0.7571,0.76,0.76,,,0.7571,0.76,285.60M,286.90M,0.4075
2020-06,1.443B,1.443B,872.00M,571.00M,2.00M,75.00M,141.00M,1.00M,-140.00M,,298.00M,273.00M,1.00M,141.00M,-140.00M,31.00M,-140.00M,164.00M,27.00M,137.00M,,,-1.00M,,136.00M,134.33M,528.00M,223.00M,305.00M,0.48,,,0.4741,0.48,0.48,,,0.4742,0.48,285.50M,286.50M,0.4075
2020-03,1.864B,1.864B,1.066B,798.00M,1.00M,114.00M,137.00M,8.00M,-129.00M,,430.00M,368.00M,8.00M,137.00M,-129.00M,31.00M,-129.00M,270.00M,27.00M,243.00M,,,,,243.00M,242.10M,723.00M,316.00M,407.00M,0.86,,,0.8568,0.86,0.85,,,0.8468,0.85,283.30M,285.20M,0.4075
2019-12,1.795B,1.795B,1.135B,660.00M,3.00M,86.00M,134.00M,2.00M,-132.00M,,349.00M,311.00M,2.00M,134.00M,-132.00M,26.00M,-132.00M,205.00M,37.00M,168.00M,,,-1.00M,,167.00M,164.54M,602.00M,263.00M,339.00M,0.59,,,0.5813,0.59,0.58,,,0.5714,0.58,283.30M,284.60M,0.3825
2019-09,1.546B,1.546B,910.00M,636.00M,2.00M,70.00M,133.00M,2.00M,-131.00M,,285.00M,351.00M,2.00M,133.00M,-131.00M,29.00M,-131.00M,249.00M,42.00M,207.00M,,,0.00,,207.00M,205.34M,597.00M,215.00M,382.00M,0.73,,,0.7241,0.73,0.73,,,0.7242,0.73,283.00M,284.60M,0.3825
2019-06,1.445B,1.445B,940.00M,505.00M,3.00M,71.00M,131.00M,2.00M,-129.00M,,287.00M,218.00M,2.00M,131.00M,-129.00M,25.00M,-129.00M,114.00M,20.00M,94.00M,,,-1.00M,,93.00M,90.53M,461.00M,216.00M,245.00M,0.33,,,0.3213,0.33,0.33,,,0.3213,0.33,282.90M,284.00M,0.3825
2019-03,2.059B,2.059B,1.296B,763.00M,2.00M,106.00M,121.00M,1.00M,-120.00M,,404.00M,359.00M,1.00M,121.00M,-120.00M,22.00M,-120.00M,261.00M,48.00M,213.00M,,,,,213.00M,211.37M,680.00M,298.00M,382.00M,0.75,,,0.7442,0.75,0.75,,,0.7442,0.75,282.80M,283.60M,0.3825
2018-12,1.829B,1.829B,1.254B,575.00M,2.00M,81.00M,121.00M,3.00M,-118.00M,,325.00M,250.00M,3.00M,121.00M,-118.00M,-6.00M,-118.00M,126.00M,17.00M,109.00M,,,-1.00M,,108.00M,106.27M,491.00M,244.00M,247.00M,0.38,,,0.3739,0.38,0.38,,,0.3739,0.38,282.50M,283.20M,0.3575
2018-09,1.599B,1.599B,1.032B,567.00M,2.00M,67.00M,114.00M,2.00M,-112.00M,,273.00M,294.00M,2.00M,114.00M,-112.00M,20.00M,-112.00M,202.00M,33.00M,169.00M,,,0.00,,169.00M,167.33M,522.00M,206.00M,316.00M,0.6,,,0.5941,0.6,0.59,,,0.5841,0.59,282.50M,283.20M,0.3575
2018-06,1.492B,1.492B,965.00M,527.00M,1.00M,68.00M,112.00M,4.00M,-108.00M,,272.00M,255.00M,4.00M,112.00M,-108.00M,18.00M,-108.00M,165.00M,25.00M,140.00M,,,-1.00M,,139.00M,138.15M,481.00M,204.00M,277.00M,0.49,,,0.487,0.49,0.49,,,0.487,0.49,282.10M,282.60M,0.3575
2018-03,1.953B,1.953B,1.224B,729.00M,1.00M,87.00M,111.00M,2.00M,-109.00M,,366.00M,363.00M,2.00M,111.00M,-109.00M,27.00M,-109.00M,281.00M,40.00M,241.00M,,,,,241.00M,240.14M,671.00M,279.00M,392.00M,0.86,,,0.857,0.86,0.86,,,0.857,0.86,281.50M,282.20M,0.3575
2017-12,1.778B,1.778B,1.095B,683.00M,0.00,75.00M,110.00M,2.00M,-108.00M,,304.00M,379.00M,2.00M,110.00M,-108.00M,-49.00M,-108.00M,222.00M,224.00M,-2.00M,,,-1.00M,,-3.00M,-3.00M,561.00M,229.00M,332.00M,-0.01,,,-0.01,-0.01,-0.01,,,-0.01,-0.01,280.60M,281.40M,0.3325
