,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AdjustmentsforForeignCurrencyTranslation,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,4.995B,4.995B,1.958B,5.723B,7.681B,,,853.00M,1.023B,,,14.55B,,,,,14.92B,,14.92B,-6.259B,8.666B,18.71B,844.00M,19.56B,188.00M,1.811B,30.22B,44.77B,,2020-09,,2.197B,,,1.806B,1.806B,2.235B,2.235B,,2.024B,10.11B,14.26B,1.292B,15.55B,39.00M,39.00M,6.389B,,,2.216B,24.20B,34.30B,167.00M,10.39B,27.00M,,,10.47B,,2020-09,AOR,
2020-06,4.178B,4.178B,1.989B,5.46B,7.449B,,,832.00M,720.00M,,,13.18B,,,,,14.69B,,14.69B,-6.103B,8.591B,18.71B,909.00M,19.62B,346.00M,1.743B,30.30B,43.48B,,2020-06,,2.006B,,,1.803B,1.803B,2.179B,2.179B,,2.125B,9.727B,14.26B,1.333B,15.59B,,,6.582B,,,1.862B,24.04B,33.76B,167.00M,9.652B,10.00M,,,9.712B,,2020-06,AOR,
2020-03,3.278B,3.278B,2.136B,5.918B,8.054B,,,785.00M,1.011B,,,13.13B,,,,,14.38B,,14.38B,-5.952B,8.425B,18.70B,974.00M,19.67B,355.00M,1.623B,30.08B,43.20B,,2020-03,,2.071B,,,1.79B,1.79B,2.027B,2.027B,,2.817B,10.18B,14.30B,1.28B,15.58B,,,6.779B,,,1.606B,23.96B,34.14B,167.00M,9.011B,0.00,,,9.062B,,2020-03,AOR,
2019-12,2.245B,2.245B,1.326B,5.334B,6.66B,317.00M,507.00M,783.00M,997.00M,,,10.68B,0.00,619.00M,2.575B,7.603B,1.511B,1.965B,14.27B,-5.85B,8.423B,18.71B,1.04B,19.75B,508.00M,1.725B,30.40B,41.09B,,2019-12,,2.226B,,,,,2.237B,2.237B,,3.106B,9.434B,12.77B,1.308B,14.08B,0.00,0.00,6.979B,,,1.779B,22.84B,32.27B,168.00M,8.748B,0.00,,,8.819B,,2019-12,AOR,
2019-09,1.127B,1.127B,2.111B,5.777B,7.888B,,,810.00M,1.011B,,,10.84B,,,,,13.83B,,13.83B,-5.709B,8.122B,18.71B,1.123B,19.83B,83.00M,1.682B,29.72B,40.55B,,2019-09,,2.021B,,,,,2.127B,2.127B,,2.524B,8.416B,13.83B,1.304B,15.13B,111.00M,111.00M,5.431B,,,1.734B,22.41B,30.82B,169.00M,9.649B,0.00,,,9.731B,,2019-09,AOR,Restated
2019-06,1.088B,1.088B,1.832B,5.657B,7.489B,,,810.00M,772.00M,,,10.16B,,,,,13.43B,,13.43B,-5.628B,7.80B,18.71B,1.206B,19.91B,85.00M,1.626B,29.42B,39.58B,,2019-06,,1.962B,,,,,1.942B,1.942B,,2.723B,8.155B,13.84B,1.081B,14.92B,140.00M,140.00M,5.535B,,,1.621B,22.22B,30.37B,169.00M,9.12B,0.00,,,9.214B,,2019-06,AOR,Restated
2019-03,755.00M,755.00M,2.166B,5.785B,7.951B,,,778.00M,959.00M,,,10.44B,,,,,13.20B,,13.20B,-5.493B,7.703B,18.70B,1.289B,19.99B,84.00M,1.534B,29.31B,39.75B,,2019-03,,1.932B,,,,,1.969B,1.969B,,3.516B,8.821B,13.86B,1.098B,14.96B,133.00M,133.00M,5.646B,,,1.451B,22.19B,31.01B,170.00M,8.628B,0.00,,,8.739B,,2019-03,AOR,Restated
2018-12,1.579B,1.579B,1.448B,5.026B,6.474B,277.00M,418.00M,654.00M,973.00M,,,9.68B,0.00,636.00M,2.139B,7.221B,,1.745B,11.74B,-5.369B,6.372B,18.67B,1.372B,20.04B,94.00M,1.463B,27.97B,37.65B,,2018-12,,2.182B,,,,,1.917B,1.917B,,2.499B,8.274B,13.88B,0.00,13.88B,108.00M,108.00M,5.755B,,,1.446B,21.19B,29.47B,171.00M,8.068B,0.00,,,8.187B,,2018-12,AOR,Restated
2018-09,1.228B,1.228B,1.702B,5.60B,7.302B,,,719.00M,883.00M,,,10.13B,,,,,11.33B,,11.33B,-5.307B,6.025B,18.64B,1.46B,20.10B,69.00M,1.615B,27.81B,37.94B,,2018-09,,1.939B,,,,,1.686B,1.686B,,2.769B,8.039B,13.89B,,13.89B,,,5.394B,,,1.518B,20.80B,28.84B,174.00M,14.46B,0.00,,,9.103B,,2018-09,AOR,Restated
2018-06,1.539B,1.539B,1.815B,5.272B,7.087B,,,690.00M,406.00M,,,9.722B,,,,,11.05B,,11.05B,-5.187B,5.864B,18.75B,1.329B,20.08B,179.00M,1.537B,27.66B,37.38B,,2018-06,,1.824B,,,,,1.711B,1.711B,,2.847B,7.833B,14.39B,,14.39B,,,5.755B,,,1.176B,21.32B,29.15B,174.00M,13.67B,,,,8.227B,,2018-06,AOR,Restated
