,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDiluted,,SharesData(Quarterly),DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2002-09,4.214B,4.214B,3.44B,774.00M,,461.00M,-9.00M,,,461.00M,313.00M,,,-9.00M,,198.00M,57.00M,141.00M,-200.00M,,6.00M,-59.00M,147.41M,418.00M,105.00M,2002-09,0.595,-0.885,,,,2002-09,0.585,-0.885,,-0.29,,2002-09,0.20,,2002-09,,
2002-06,4.231B,4.231B,3.457B,774.00M,,420.00M,10.00M,,,420.00M,354.00M,,,10.00M,,261.00M,80.00M,181.00M,1.00M,,6.00M,182.00M,174.07M,507.00M,153.00M,2002-06,0.775,0.005,,,,2002-06,0.76,0.005,,0.765,,2002-06,0.20,,2002-06,,
2002-03,3.931B,3.931B,3.26B,671.00M,,358.00M,10.00M,,,358.00M,313.00M,,,10.00M,,216.00M,67.00M,149.00M,,-432.00M,6.00M,-283.00M,142.10M,453.00M,140.00M,2002-03,0.645,-1.94,-0.0000,,,2002-03,0.635,-1.94,-1.941,-1.295,,2002-03,0.20,,2002-03,,
2001-12,4.145B,4.145B,3.393B,752.00M,,428.00M,-29.00M,,,428.00M,324.00M,,,-29.00M,,224.00M,83.00M,141.00M,-10.00M,,6.00M,131.00M,159.25M,500.00M,176.00M,2001-12,0.485,-0.0470,,,,2001-12,0.485,-0.0470,,0.62,,2001-12,0.20,,2001-12,,
2001-09,3.41B,3.41B,2.911B,499.00M,,259.00M,14.00M,,,259.00M,240.00M,,,14.00M,,146.00M,54.00M,92.00M,-13.00M,,6.00M,79.00M,83.18M,443.00M,203.00M,2001-09,0.50,-0.075,,,,2001-09,0.50,-0.08,,0.42,,2001-09,0.20,,2001-09,,
2001-06,3.663B,3.663B,3.019B,644.00M,,369.00M,31.00M,,,369.00M,275.00M,,,31.00M,,192.00M,78.00M,114.00M,,,6.00M,114.00M,95.40M,442.00M,167.00M,2001-06,0.645,0.00,,,,2001-06,0.64,0.00,,0.64,,2001-06,0.20,,2001-06,,
2001-03,1.986B,1.986B,1.548B,438.00M,,248.00M,17.00M,,,248.00M,190.00M,,,17.00M,,160.00M,57.00M,103.00M,,,,103.00M,92.06M,289.00M,99.00M,2001-03,0.715,0.00,,,,2001-03,0.71,0.00,,0.71,,2001-03,0.20,,2001-03,,
2000-12,2.229B,2.229B,1.447B,782.00M,,430.00M,-22.00M,,,530.00M,252.00M,,,-22.00M,,219.00M,75.00M,144.00M,-19.00M,,,125.00M,158.47M,352.00M,100.00M,2000-12,1.00,-0.14,,,,2000-12,0.99,-0.14,,0.855,,2000-12,0.20,,2000-12,,
2000-09,1.731B,1.731B,1.191B,540.00M,,211.00M,41.00M,,,298.00M,242.00M,,,41.00M,,240.00M,90.00M,150.00M,-18.00M,,,132.00M,124.38M,329.00M,87.00M,2000-09,1.06,-0.125,,,,2000-09,1.055,-0.125,,0.93,,2000-09,0.20,,2000-09,,
2000-06,1.856B,1.856B,1.22B,636.00M,,220.00M,2.00M,,,319.00M,317.00M,,,2.00M,,273.00M,98.00M,175.00M,3.00M,,,178.00M,173.72M,416.00M,99.00M,2000-06,1.25,0.025,,,,2000-06,1.25,0.025,,1.275,,2000-06,0.20,,2000-06,,
2000-03,1.802B,1.802B,1.257B,545.00M,,213.00M,2.00M,,,258.00M,287.00M,,,2.00M,,243.00M,87.00M,156.00M,17.00M,,,173.00M,154.72M,382.00M,95.00M,2000-03,1.235,0.00,,,,2000-03,1.235,0.00,,1.235,,2000-03,0.20,,2000-03,,
1999-12,2.18B,2.18B,1.498B,682.00M,,326.00M,-5.00M,,,427.00M,255.00M,,,-5.00M,,217.00M,78.00M,139.00M,-1.00M,0.00,,138.00M,142.20M,356.00M,101.00M,1999-12,0.995,-0.01,0.00,,,1999-12,0.99,-0.01,0.0005,0.98,,1999-12,0.20,,1999-12,,
1999-09,1.805B,1.805B,1.232B,573.00M,,235.00M,1.00M,,,330.00M,243.00M,,,1.00M,,180.00M,65.00M,115.00M,12.00M,,,127.00M,114.36M,338.00M,95.00M,1999-09,0.84,0.075,,,,1999-09,0.825,0.075,,0.91,,1999-09,0.20,,1999-09,,
1999-06,1.921B,1.921B,1.381B,540.00M,,196.00M,-4.00M,,,286.00M,254.00M,,,-4.00M,,196.00M,73.00M,123.00M,-10.00M,,,113.00M,125.51M,357.00M,103.00M,1999-06,0.825,0.00,,,,1999-06,0.82,0.00,,0.82,,1999-06,0.20,,1999-06,,
1999-03,2.093B,2.093B,1.519B,574.00M,,268.00M,3.00M,,,358.00M,216.00M,,,3.00M,,164.00M,60.00M,104.00M,,-16.00M,,88.00M,102.10M,306.00M,90.00M,1999-03,0.755,-0.12,0.00,,,1999-03,0.75,-0.12,-0.1161,0.63,,1999-03,0.20,,1999-03,,
1998-12,1.001B,1.001B,665.00M,336.00M,,133.00M,-54.00M,,,237.00M,99.00M,,,-54.00M,,-3.00M,1.00M,-4.00M,,,,-3.00M,28.40M,203.00M,104.00M,1998-12,-0.03,0.005,,,,1998-12,-0.03,0.005,,-0.025,,1998-12,0.20,,1998-12,,
1998-09,2.213B,2.213B,1.566B,647.00M,,307.00M,5.00M,,,409.00M,238.00M,,,5.00M,,184.00M,68.00M,116.00M,,,,116.00M,112.85M,340.00M,102.00M,1998-09,0.84,0.00,,,,1998-09,0.835,0.00,,0.835,,1998-09,0.20,,1998-09,,
1998-06,2.139B,2.139B,1.615B,524.00M,,221.00M,-2.00M,,,316.00M,208.00M,,,-2.00M,,147.00M,54.00M,93.00M,,,,93.00M,94.27M,303.00M,95.00M,1998-06,0.68,0.00,,,,1998-06,0.67,0.00,,0.67,,1998-06,0.20,,1998-06,,
