,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDiluted,,SharesData(Quarterly),DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2012-03,6.198B,6.198B,4.841B,1.357B,561.00M,561.00M,,53.00M,-53.00M,561.00M,796.00M,53.00M,-53.00M,13.00M,-53.00M,756.00M,250.00M,506.00M,,,,506.00M,506.00M,929.00M,120.00M,2012-03,2.00,,,,,2012-03,1.96,,,1.96,,2012-03,0.50,,2012-03,AOR,Restated
2011-12,6.506B,6.506B,5.07B,1.436B,,637.00M,,53.00M,-53.00M,637.00M,799.00M,53.00M,-53.00M,36.00M,-53.00M,782.00M,232.00M,550.00M,-2.00M,,,548.00M,550.00M,992.00M,157.00M,2011-12,2.11,-0.01,,,,2011-12,2.07,-0.01,,2.07,,2011-12,0.50,,2011-12,AOR,Restated
2011-09,6.612B,6.612B,5.198B,1.414B,,589.00M,-13.00M,57.00M,-57.00M,589.00M,825.00M,57.00M,-57.00M,-13.00M,-57.00M,755.00M,235.00M,520.00M,0.00,,,520.00M,528.95M,944.00M,132.00M,2011-09,1.89,0.00,,,,2011-09,1.86,0.00,,1.86,,2011-09,0.50,,2011-09,AOR,Restated
2011-06,6.56B,6.56B,5.163B,1.397B,,556.00M,0.00,53.00M,-53.00M,556.00M,841.00M,53.00M,-53.00M,,-53.00M,788.00M,268.00M,520.00M,0.00,,,520.00M,520.00M,975.00M,134.00M,2011-06,1.84,0.00,,,,2011-06,1.81,0.00,,1.81,,2011-06,0.50,,2011-06,AOR,Restated
2011-03,6.734B,6.734B,5.355B,1.379B,,568.00M,5.00M,58.00M,-58.00M,568.00M,811.00M,58.00M,-58.00M,5.00M,-58.00M,758.00M,262.00M,496.00M,34.00M,,,530.00M,492.73M,937.00M,121.00M,2011-03,1.70,0.12,,,,2011-03,1.67,0.12,,1.79,,2011-03,0.47,,2011-03,AOR,Restated
2010-12,6.903B,6.903B,5.58B,1.323B,,648.00M,-239.00M,63.00M,-63.00M,648.00M,675.00M,63.00M,-63.00M,-202.00M,-63.00M,410.00M,104.00M,306.00M,70.00M,,,376.00M,484.38M,633.00M,160.00M,2010-12,1.06,0.23,,,,2010-12,1.04,0.23,,1.28,,2010-12,0.47,,2010-12,AOR,Restated
2010-09,7.071B,7.071B,5.774B,1.297B,,574.00M,13.00M,64.00M,-64.00M,574.00M,723.00M,64.00M,-64.00M,13.00M,-64.00M,672.00M,224.00M,448.00M,49.00M,,,497.00M,439.33M,872.00M,136.00M,2010-09,1.53,0.16,,,,2010-09,1.51,0.16,,1.67,,2010-09,0.47,,2010-09,AOR,Restated
2010-06,7.255B,7.255B,5.884B,1.371B,,621.00M,-10.00M,65.00M,-65.00M,621.00M,750.00M,65.00M,-65.00M,-10.00M,-65.00M,675.00M,-65.00M,740.00M,-29.00M,,,711.00M,746.50M,870.00M,130.00M,2010-06,2.47,-0.10,,,,2010-06,2.44,-0.10,,2.34,,2010-06,0.47,,2010-06,AOR,Restated
2010-03,6.914B,6.914B,5.611B,1.303B,,624.00M,7.00M,77.00M,-77.00M,624.00M,679.00M,77.00M,-77.00M,7.00M,-77.00M,609.00M,199.00M,410.00M,59.00M,,,469.00M,405.29M,815.00M,129.00M,2010-03,1.36,0.19,,,,2010-03,1.34,0.19,,1.53,,2010-03,0.43,,2010-03,AOR,Restated
2009-12,8.925B,8.925B,7.355B,1.57B,,939.00M,2.00M,62.00M,-62.00M,939.00M,631.00M,62.00M,-62.00M,2.00M,-62.00M,571.00M,196.00M,375.00M,38.00M,,,413.00M,373.69M,832.00M,199.00M,2009-12,1.21,0.12,,,,2009-12,1.20,0.11,,1.31,,2009-12,0.43,,2009-12,AOR,Restated
2009-09,8.35B,8.35B,6.987B,1.363B,,744.00M,41.00M,76.00M,-76.00M,744.00M,619.00M,76.00M,-76.00M,41.00M,-76.00M,584.00M,120.00M,464.00M,26.00M,,,490.00M,431.42M,844.00M,184.00M,2009-09,1.46,0.09,,,,2009-09,1.45,0.08,,1.53,,2009-09,0.43,,2009-09,AOR,Restated
2009-06,8.545B,8.545B,7.19B,1.355B,,741.00M,13.00M,70.00M,-70.00M,741.00M,614.00M,70.00M,-70.00M,13.00M,-70.00M,557.00M,189.00M,368.00M,26.00M,,,394.00M,359.41M,806.00M,179.00M,2009-06,1.14,0.08,,,,2009-06,1.13,0.08,,1.21,,2009-06,0.43,,2009-06,AOR,Restated
2009-03,7.935B,7.935B,6.598B,1.337B,,718.00M,8.00M,73.00M,-73.00M,718.00M,619.00M,73.00M,-73.00M,8.00M,-73.00M,554.00M,188.00M,366.00M,23.00M,,,389.00M,360.71M,801.00M,174.00M,2009-03,1.12,0.07,,,,2009-03,1.10,0.07,,1.17,,2009-03,0.40,,2009-03,AOR,Restated
2008-12,7.582B,7.582B,6.003B,1.579B,,823.00M,-3.094B,,,823.00M,756.00M,,,-3.094B,,-2.41B,224.00M,-2.634B,101.00M,,,-2.533B,-622.90M,-2.263B,3.00M,2008-12,-7.84,0.30,,,,2008-12,-7.84,0.30,,-7.54,,2008-12,0.40,,2008-12,,Restated
2008-09,8.381B,8.381B,6.825B,1.556B,,785.00M,45.00M,,,785.00M,771.00M,,,45.00M,,742.00M,233.00M,509.00M,3.00M,,,512.00M,478.13M,955.00M,184.00M,2008-09,1.52,0.01,,,,2008-09,1.50,0.01,,1.51,,2008-09,0.40,,2008-09,,
