,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,OtherPayables,TotalPayables,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,UnrealizedGainorLoss-Total,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-12,10.80B,1.58B,12.38B,9.696B,9.696B,,,1.317B,23.39B,,,,,2.774B,,2.774B,,2.774B,18.65B,8.388B,27.04B,12.85B,,2.659B,45.33B,68.72B,,7.069B,1.458B,8.527B,8.527B,,,97.00M,,97.00M,523.00M,523.00M,12.44B,21.58B,16.68B,,16.68B,1.534B,1.534B,112.00M,77.00M,2.956B,21.25B,42.83B,,1.00M,6.792B,19.46B,816.00M,,337.00M,25.77B,,AOR,
2020-09,12.20B,1.497B,13.70B,11.67B,11.67B,,,1.91B,27.28B,,,,,3.757B,,3.757B,,3.757B,17.96B,8.13B,26.09B,9.859B,,1.379B,41.09B,68.36B,,6.904B,1.123B,8.027B,8.027B,,89.00M,89.00M,198.00M,287.00M,582.00M,582.00M,12.90B,21.80B,16.74B,1.039B,17.78B,,,118.00M,36.00M,2.914B,20.73B,42.52B,,0.00,6.804B,19.39B,762.00M,,293.00M,25.72B,,AOR,
2020-06,12.80B,1.558B,14.36B,10.34B,10.34B,,,2.127B,26.82B,,,,,2.544B,,2.544B,,2.544B,17.43B,8.702B,26.14B,10.23B,,2.614B,41.52B,68.35B,,8.704B,1.242B,9.946B,9.946B,,,106.00M,,106.00M,448.00M,448.00M,11.42B,21.92B,16.71B,,16.71B,,,116.00M,33.00M,4.516B,21.26B,43.18B,,0.00,6.236B,19.33B,758.00M,,245.00M,25.06B,,AOR,
2020-03,9.308B,1.386B,10.69B,11.30B,11.30B,,,2.698B,24.70B,,,,,2.439B,,2.439B,,2.439B,17.42B,8.898B,26.32B,10.52B,,2.46B,41.74B,66.43B,,8.531B,1.052B,9.583B,9.583B,,,129.00M,,129.00M,526.00M,526.00M,11.41B,21.65B,17.15B,,17.15B,,,107.00M,36.00M,3.938B,21.12B,42.78B,,0.00,5.03B,19.28B,755.00M,,-5.00M,23.55B,,AOR,
2019-12,12.12B,863.00M,12.99B,6.247B,6.247B,,,1.09B,20.32B,0.00,202.00M,778.00M,1.853B,,390.00M,3.223B,-1.102B,2.121B,6.863B,2.063B,8.926B,7.717B,,1.907B,20.67B,40.99B,,4.164B,824.00M,4.988B,4.988B,,,88.00M,,88.00M,383.00M,383.00M,7.473B,12.93B,13.64B,,13.64B,,,108.00M,33.00M,1.732B,15.40B,28.34B,,0.00,4.984B,7.647B,214.00M,,134.00M,12.55B,,AOR,
2019-09,6.215B,804.00M,7.019B,5.606B,5.606B,,,832.00M,13.46B,,,,,1.993B,,1.993B,,1.993B,6.872B,2.086B,8.958B,7.915B,,1.929B,20.80B,34.25B,,4.01B,848.00M,4.858B,4.858B,,,66.00M,,66.00M,381.00M,381.00M,7.975B,13.28B,6.975B,,6.975B,,,94.00M,31.00M,1.561B,8.567B,21.85B,,0.00,4.775B,7.571B,180.00M,,145.00M,12.31B,,AOR,Restated
2019-06,6.875B,765.00M,7.64B,5.194B,5.194B,,,762.00M,13.60B,,,,,1.878B,,1.878B,,1.878B,7.126B,2.163B,9.289B,7.632B,,1.973B,20.77B,34.37B,,4.032B,834.00M,4.866B,4.866B,,,87.00M,,87.00M,253.00M,253.00M,7.447B,12.65B,7.047B,,7.047B,,,94.00M,22.00M,2.398B,9.467B,22.12B,,0.00,4.68B,7.531B,176.00M,,119.00M,12.15B,,AOR,Restated
2019-03,6.345B,697.00M,7.042B,5.819B,5.819B,,,755.00M,13.62B,,,,,1.80B,,1.80B,,1.80B,6.981B,2.208B,9.189B,7.186B,,1.778B,19.95B,33.57B,,4.641B,718.00M,5.359B,5.359B,,,40.00M,,40.00M,363.00M,363.00M,7.381B,13.14B,6.775B,,6.775B,,,94.00M,10.00M,2.007B,8.792B,21.94B,,0.00,4.185B,7.491B,174.00M,,38.00M,11.54B,,AOR,Restated
2018-12,5.342B,722.00M,6.064B,5.15B,5.15B,,,784.00M,12.00B,0.00,201.00M,614.00M,1.40B,,291.00M,2.506B,-800.00M,1.706B,7.015B,2.239B,9.254B,6.861B,,1.082B,18.90B,30.90B,,4.051B,666.00M,4.717B,4.717B,,,38.00M,,38.00M,385.00M,385.00M,6.831B,11.97B,6.648B,,6.648B,,,96.00M,10.00M,1.259B,7.917B,19.89B,,0.00,3.663B,7.449B,139.00M,,-56.00M,10.92B,,AOR,Restated
2018-09,6.847B,594.00M,7.441B,4.647B,4.647B,,,1.00B,13.09B,,,,,1.584B,,1.584B,,1.584B,6.803B,2.423B,9.226B,6.272B,,987.00M,18.07B,31.16B,,4.55B,918.00M,5.468B,5.468B,,,4.00M,,4.00M,286.00M,286.00M,6.983B,12.74B,6.379B,,6.379B,,,97.00M,11.00M,1.276B,7.666B,20.41B,,0.00,3.422B,7.395B,85.00M,,-79.00M,10.65B,,AOR,Restated
