,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2020-12,-19.00M,0.00,,,13.00M,343.00M,343.00M,103.00M,0.00,63.00M,63.00M,1.588B,1.446B,-215.00M,-446.00M,105.00M,2.478B,2.981B,,-206.00M,,-1.049B,-2.978B,-22.00M,-4.255B,,-53.00M,-53.00M,,-56.00M,-56.00M,,,-14.00M,-123.00M,,12.34B,-1.397B,10.00M,10.96B,,,2.42B,-2.473B,-56.00M,271.00M,246.00M,,AOR,
2020-09,565.00M,0.00,,,0.00,298.00M,298.00M,-171.00M,0.00,54.00M,288.00M,-481.00M,-2.17B,-17.00M,1.417B,-445.00M,-1.696B,-952.00M,,-251.00M,,0.00,578.00M,5.00M,332.00M,,1.00M,1.00M,,-9.00M,-9.00M,,,12.00M,4.00M,,12.96B,-616.00M,5.00M,12.34B,,,57.00M,-56.00M,-9.00M,845.00M,119.00M,,AOR,
2020-06,1.202B,-11.00M,,,-11.00M,330.00M,330.00M,-95.00M,0.00,47.00M,-22.00M,1.023B,605.00M,105.00M,-106.00M,636.00M,2.263B,3.714B,,-235.00M,,58.00M,417.00M,0.00,240.00M,,-471.00M,-471.00M,,-3.00M,-3.00M,,,14.00M,-460.00M,,9.457B,3.494B,4.00M,12.96B,,,88.00M,-559.00M,-3.00M,72.00M,256.00M,,AOR,
2020-03,46.00M,-93.00M,,,-49.00M,288.00M,288.00M,112.00M,72.00M,117.00M,24.00M,-2.182B,704.00M,97.00M,252.00M,279.00M,-850.00M,-240.00M,,-177.00M,,-2.592B,-498.00M,-5.00M,-3.272B,,1.482B,1.482B,,-558.00M,-558.00M,,,-85.00M,839.00M,,12.13B,-2.673B,-1.00M,9.457B,,,2.542B,-1.06B,-558.00M,3.00M,104.00M,,AOR,
2019-12,202.00M,,,,30.00M,168.00M,168.00M,130.00M,0.00,71.00M,71.00M,-757.00M,131.00M,-220.00M,-513.00M,107.00M,-1.252B,-651.00M,,-200.00M,,-5.00M,61.00M,,-144.00M,,6.732B,6.732B,,-34.00M,-34.00M,,,6.00M,6.704B,,6.228B,5.909B,-6.00M,12.13B,,,12.26B,-5.533B,-34.00M,101.00M,161.00M,,AOR,
2019-09,96.00M,0.00,,,0.00,162.00M,162.00M,-65.00M,271.00M,34.00M,305.00M,-553.00M,64.00M,33.00M,533.00M,-674.00M,-597.00M,-99.00M,,-194.00M,,1.00M,-266.00M,,-459.00M,,-101.00M,-101.00M,,-4.00M,-4.00M,,,-3.00M,-108.00M,,6.892B,-666.00M,2.00M,6.228B,,,6.839B,-6.94B,-4.00M,130.00M,81.00M,,AOR,Restated
2019-06,492.00M,0.00,,,0.00,158.00M,158.00M,-33.00M,0.00,34.00M,83.00M,896.00M,-973.00M,-67.00M,10.00M,389.00M,255.00M,917.00M,,-160.00M,,-32.00M,-364.00M,,-556.00M,,173.00M,173.00M,,-2.00M,-2.00M,,,7.00M,178.00M,,6.351B,539.00M,2.00M,6.892B,,,4.599B,-4.426B,-2.00M,375.00M,45.00M,,AOR,Restated
2019-03,519.00M,0.00,,,0.00,155.00M,155.00M,23.00M,0.00,38.00M,-11.00M,-662.00M,357.00M,20.00M,548.00M,329.00M,592.00M,1.316B,,-176.00M,,0.00,-197.00M,,-373.00M,,91.00M,91.00M,,-35.00M,-35.00M,,,2.00M,58.00M,,5.35B,1.001B,0.00,6.351B,,,1.018B,-927.00M,-35.00M,6.00M,87.00M,,AOR,Restated
2018-12,241.00M,,,,,141.00M,141.00M,-26.00M,0.00,40.00M,40.00M,-477.00M,-568.00M,-103.00M,-55.00M,173.00M,-1.03B,-634.00M,,-186.00M,,-97.00M,-739.00M,,-1.022B,,206.00M,206.00M,0.00,-54.00M,-54.00M,,,0.00,152.00M,,6.854B,-1.504B,0.00,5.35B,,0.00,597.00M,-391.00M,-54.00M,108.00M,110.00M,,AOR,Restated
2018-09,16.00M,,,,,139.00M,139.00M,-107.00M,0.00,38.00M,38.00M,-143.00M,900.00M,63.00M,663.00M,-1.021B,462.00M,548.00M,,-127.00M,,-1.721B,-462.00M,,-2.31B,,113.00M,113.00M,-1.00M,-4.00M,-5.00M,,,-26.00M,82.00M,,8.534B,-1.68B,0.00,6.854B,,-1.00M,334.00M,-221.00M,-4.00M,145.00M,83.00M,,AOR,Restated
