,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2018-02,3.311B,,,,,23.00M,,,1.151B,1.151B,,,,52.00M,236.00M,-509.00M,-25.00M,,408.00M,,-299.00M,-425.00M,,4.348B,-2.261B,,-2.261B,,-255.00M,107.00M,-2.409B,-135.00M,-135.00M,,-44.00M,-44.00M,,82.00M,-41.00M,-138.00M,6.13B,1.801B,10.00M,7.941B,,500.00M,-635.00M,-44.00M,,
2017-11,2.678B,,,,,195.00M,,,1.09B,1.09B,,,,51.00M,-27.00M,-121.00M,-37.00M,,-230.00M,,37.00M,-351.00M,,3.636B,-1.956B,,-1.956B,,453.00M,69.00M,-1.434B,-2.594B,-2.594B,,-23.00M,-23.00M,,1.472B,-137.00M,-1.282B,5.216B,920.00M,-6.00M,6.13B,,150.00M,-2.744B,-23.00M,,
2017-08,2.369B,,,,0.00,37.00M,,,1.066B,1.066B,,,,57.00M,202.00M,-313.00M,-58.00M,,-55.00M,,-102.00M,-528.00M,,3.203B,-1.265B,,-1.265B,0.00,-62.00M,49.00M,-1.278B,-609.00M,-609.00M,,,,,34.00M,-247.00M,-858.00M,4.146B,1.067B,3.00M,5.216B,,175.00M,-784.00M,,,
2017-05,1.647B,,,,0.00,61.00M,,,1.021B,1.021B,,,,57.00M,96.00M,-565.00M,-66.00M,,112.00M,,44.00M,-475.00M,,2.407B,-1.041B,,-1.041B,0.00,151.00M,16.00M,-874.00M,-1.043B,-1.043B,,,,,40.00M,-131.00M,-1.134B,3.729B,399.00M,18.00M,4.146B,,175.00M,-1.218B,,,
2017-02,894.00M,,,,-71.00M,-71.00M,,,1.003B,1.003B,,,,55.00M,86.00M,-372.00M,35.00M,,100.00M,,-325.00M,-562.00M,,1.405B,-1.164B,,-1.164B,-2.634B,-675.00M,24.00M,-4.449B,2.577B,2.577B,,,,,39.00M,-63.00M,2.553B,4.211B,-491.00M,9.00M,3.729B,,2.945B,-368.00M,,,
2016-11,180.00M,,,,,1.00M,,,771.00M,771.00M,,,,46.00M,103.00M,-401.00M,139.00M,,299.00M,,,37.00M,,1.138B,-1.264B,,-1.264B,,317.00M,11.00M,-936.00M,-172.00M,-172.00M,,,,,29.00M,-69.00M,-212.00M,4.263B,-10.00M,-42.00M,4.211B,,16.00M,-188.00M,,,
2016-08,-170.00M,,,,24.00M,28.00M,,,714.00M,714.00M,,,,43.00M,10.00M,-3.00M,31.00M,,269.00M,,-26.00M,271.00M,,896.00M,-1.923B,,-1.923B,0.00,454.00M,67.00M,-1.402B,79.00M,79.00M,,147.00M,147.00M,,18.00M,-202.00M,42.00M,4.627B,-464.00M,12.00M,4.263B,,260.00M,-181.00M,147.00M,,
2016-05,-215.00M,,,,40.00M,40.00M,,,755.00M,755.00M,,,,47.00M,40.00M,-74.00M,-312.00M,,70.00M,,38.00M,-278.00M,,389.00M,-1.685B,,-1.685B,0.00,1.074B,-5.00M,-616.00M,1.936B,1.936B,,0.00,0.00,,6.00M,-171.00M,1.771B,3.078B,1.544B,5.00M,4.627B,,2.106B,-170.00M,0.00,,
2016-02,-96.00M,,,,-5.00M,-5.00M,,,774.00M,774.00M,,,,55.00M,58.00M,245.00M,-173.00M,,-69.00M,,-26.00M,-23.00M,,763.00M,-1.219B,,-1.219B,0.00,831.00M,22.00M,-366.00M,102.00M,102.00M,,-12.00M,-12.00M,,9.00M,-27.00M,72.00M,2.605B,469.00M,4.00M,3.078B,,424.00M,-322.00M,-12.00M,,
2015-11,206.00M,,,,-59.00M,-59.00M,,,737.00M,737.00M,,,,46.00M,-13.00M,297.00M,-95.00M,,2.00M,,-1.00M,203.00M,,1.12B,-990.00M,,-990.00M,,488.00M,-158.00M,-660.00M,-23.00M,-23.00M,,-135.00M,-135.00M,,15.00M,3.00M,-140.00M,2.287B,320.00M,-2.00M,2.605B,,174.00M,-197.00M,-135.00M,,
