,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,TotalReceivables,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-09,3.405B,3.405B,890.00M,,890.00M,,113.00M,63.00M,,113.00M,4.584B,,,,,1.118B,,1.118B,,1.118B,5.169B,5.823B,10.99B,,,,120.00M,315.00M,12.54B,17.13B,,,,,,1.387B,,51.00M,,51.00M,245.00M,245.00M,616.00M,2.299B,,10.44B,954.00M,11.39B,658.00M,1.41B,2.068B,,5.00M,2.688B,16.15B,18.45B,,3.00M,-6.508B,10.49B,4.457B,-853.00M,-1.324B,,AOR,
2020-06,3.503B,3.503B,827.00M,,827.00M,,91.00M,72.00M,,84.00M,4.577B,,,,,1.095B,,1.095B,,1.095B,5.147B,5.885B,11.03B,,,,118.00M,304.00M,12.55B,17.13B,,,,,,1.372B,,45.00M,,45.00M,242.00M,242.00M,647.00M,2.306B,,10.44B,926.00M,11.36B,669.00M,1.445B,2.114B,,8.00M,2.634B,16.11B,18.42B,,3.00M,-6.429B,10.46B,4.457B,-881.00M,-1.299B,,AOR,
2020-03,1.734B,1.734B,1.111B,,1.111B,,138.00M,71.00M,,95.00M,3.149B,,,,,1.126B,,1.126B,,1.126B,5.146B,5.954B,11.10B,,,,116.00M,297.00M,12.64B,15.79B,,,,,,1.46B,,41.00M,,41.00M,242.00M,242.00M,477.00M,2.22B,,9.455B,966.00M,10.42B,750.00M,929.00M,1.679B,,10.00M,2.372B,14.47B,16.69B,,3.00M,-5.999B,10.44B,4.462B,-899.00M,-914.00M,,AOR,
2019-12,538.00M,538.00M,1.261B,,1.261B,,130.00M,92.00M,,72.00M,2.093B,0.00,11.00M,382.00M,356.00M,987.00M,20.00M,1.756B,-509.00M,1.247B,5.159B,6.078B,11.24B,,,,100.00M,280.00M,12.86B,14.96B,,303.00M,,303.00M,,303.00M,95.00M,,170.00M,170.00M,332.00M,332.00M,1.417B,2.871B,178.00M,7.748B,1.245B,8.993B,795.00M,827.00M,1.74B,134.00M,10.00M,1.513B,12.56B,15.43B,,3.00M,-5.965B,10.49B,4.169B,-840.00M,-482.00M,,AOR,
2019-09,719.00M,719.00M,1.193B,,1.193B,,115.00M,90.00M,,138.00M,2.255B,,,,,1.219B,,1.219B,,1.219B,5.137B,6.062B,11.20B,,,,146.00M,248.00M,12.81B,15.07B,,,,,,1.784B,,38.00M,,38.00M,290.00M,290.00M,788.00M,2.90B,,7.767B,1.004B,8.771B,873.00M,834.00M,1.707B,,9.00M,1.888B,12.37B,15.27B,,3.00M,-6.097B,10.46B,3.726B,-848.00M,-208.00M,,AOR,Restated
2019-06,635.00M,635.00M,1.19B,,1.19B,,117.00M,83.00M,,190.00M,2.215B,,,,,1.309B,,1.309B,,1.309B,5.157B,6.091B,11.25B,,,,146.00M,222.00M,12.92B,15.14B,,,,,,1.657B,,37.00M,,37.00M,298.00M,298.00M,788.00M,2.78B,,7.772B,1.066B,8.838B,861.00M,822.00M,1.683B,,7.00M,1.862B,12.38B,15.16B,,3.00M,-6.342B,10.42B,3.304B,-806.00M,-30.00M,,AOR,Restated
2019-03,382.00M,382.00M,1.102B,,1.102B,,140.00M,79.00M,,173.00M,1.876B,,,,,1.328B,,1.328B,,1.328B,5.162B,6.121B,11.28B,,,,146.00M,220.00M,12.98B,14.85B,,,,,,1.679B,,35.00M,,35.00M,323.00M,323.00M,757.00M,2.794B,,7.33B,1.103B,8.433B,850.00M,830.00M,1.68B,,8.00M,1.838B,11.95B,14.74B,,3.00M,-6.558B,10.37B,2.921B,-798.00M,100.00M,,AOR,Restated
2018-12,403.00M,403.00M,1.15B,,1.15B,,160.00M,81.00M,,189.00M,1.983B,0.00,12.00M,391.00M,356.00M,65.00M,24.00M,848.00M,-481.00M,367.00M,5.16B,6.156B,11.32B,,,,90.00M,239.00M,12.01B,14.00B,,283.00M,,283.00M,,283.00M,199.00M,,16.00M,16.00M,350.00M,350.00M,1.235B,2.615B,146.00M,7.057B,209.00M,7.266B,898.00M,826.00M,1.837B,145.00M,7.00M,1.428B,10.82B,13.44B,,3.00M,-6.417B,10.37B,2.625B,-782.00M,551.00M,,AOR,Restated
2018-09,621.00M,621.00M,1.051B,,1.09B,,166.00M,79.00M,,79.00M,2.035B,,,,,,,,,361.00M,5.17B,6.185B,11.36B,,,,111.00M,281.00M,12.11B,14.14B,,1.358B,18.00M,1.376B,,1.376B,,15.00M,,15.00M,299.00M,299.00M,723.00M,2.413B,,7.559B,,7.559B,980.00M,814.00M,1.794B,,6.00M,1.797B,11.15B,13.56B,,3.00M,-6.58B,10.35B,2.452B,-746.00M,574.00M,,AOR,Restated
2018-06,423.00M,423.00M,1.041B,,1.052B,,151.00M,82.00M,,136.00M,1.844B,,,,,,,,,351.00M,5.174B,6.19B,11.36B,,,,111.00M,316.00M,12.14B,13.99B,,,22.00M,22.00M,1.312B,1.334B,,11.00M,,11.00M,308.00M,308.00M,725.00M,2.378B,,7.564B,,7.564B,908.00M,819.00M,1.727B,,5.00M,1.757B,11.05B,13.43B,,3.00M,-6.697B,10.32B,2.33B,-742.00M,555.00M,,AOR,Restated
2018-03,610.00M,610.00M,980.00M,,980.00M,,161.00M,73.00M,,184.00M,2.008B,,,,,,,,,358.00M,5.211B,6.258B,11.47B,,,,111.00M,314.00M,12.25B,14.26B,,1.344B,63.00M,1.407B,,1.407B,,47.00M,,47.00M,342.00M,342.00M,692.00M,2.488B,,6.558B,,6.558B,901.00M,828.00M,1.729B,,5.00M,1.738B,10.02B,12.51B,,3.00M,-6.868B,10.29B,1.001B,-680.00M,1.742B,,AOR,Restated
2017-12,570.00M,570.00M,1.005B,,1.041B,,127.00M,100.00M,,169.00M,2.007B,0.00,12.00M,428.00M,346.00M,,17.00M,803.00M,-450.00M,353.00M,5.19B,6.276B,11.47B,,,,111.00M,291.00M,12.22B,14.23B,,282.00M,12.00M,294.00M,443.00M,737.00M,189.00M,46.00M,,46.00M,366.00M,366.00M,622.00M,2.462B,162.00M,6.556B,,6.556B,931.00M,829.00M,1.877B,165.00M,3.00M,1.315B,10.08B,12.54B,,3.00M,-6.981B,10.30B,891.00M,-741.00M,1.688B,,AOR,Restated
2017-09,670.00M,670.00M,928.00M,,933.00M,,130.00M,126.00M,,46.00M,1.905B,,,,,,,,,346.00M,5.183B,6.239B,11.42B,,,,82.00M,468.00M,12.32B,14.22B,,1.911B,73.00M,1.984B,,1.984B,,49.00M,,49.00M,,,,2.033B,,6.564B,,6.564B,1.65B,95.00M,1.745B,,1.00M,2.433B,10.74B,12.78B,,3.00M,-7.384B,10.27B,625.00M,-820.00M,1.447B,,AOR,Restated
2017-06,784.00M,784.00M,921.00M,,921.00M,,123.00M,125.00M,,46.00M,1.999B,,,,,,,,,338.00M,5.164B,6.234B,11.40B,,,,82.00M,452.00M,12.27B,14.27B,,1.879B,62.00M,1.941B,,1.941B,,48.00M,,48.00M,,,,1.989B,,6.572B,,6.572B,1.673B,99.00M,1.772B,,0.00,2.421B,10.76B,12.75B,,3.00M,-7.514B,10.24B,352.00M,-867.00M,1.515B,,AOR,Restated
