,NetIncome,NetForeignCurrencyExchangeGain/Loss,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,NetChangeinIntangibles,NetDivestitures(Acquisitions),NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2020-09,-81.00M,12.00M,,12.00M,90.00M,7.00M,97.00M,97.00M,-24.00M,9.00M,25.00M,-14.00M,0.00,-124.00M,-124.00M,-100.00M,,-13.00M,,,0.00,-13.00M,,-1.00M,-1.00M,0.00,0.00,0.00,0.00,6.00M,5.00M,,3.575B,-108.00M,1.00M,3.468B,,0.00,-1.00M,0.00,14.00M,76.00M,,AOR,
2020-06,-432.00M,13.00M,,13.00M,88.00M,7.00M,95.00M,95.00M,-81.00M,15.00M,24.00M,-12.00M,413.00M,751.00M,1.195B,817.00M,,-34.00M,,,5.00M,-29.00M,,992.00M,992.00M,0.00,0.00,0.00,0.00,-10.00M,982.00M,,1.805B,1.77B,0.00,3.575B,,1.00B,-8.00M,0.00,3.00M,106.00M,,AOR,
2020-03,18.00M,-9.00M,,-9.00M,91.00M,8.00M,99.00M,99.00M,-37.00M,112.00M,-12.00M,-11.00M,,,-31.00M,129.00M,,-29.00M,,,-18.00M,-47.00M,,1.485B,1.485B,-296.00M,-296.00M,-42.00M,-42.00M,-47.00M,1.10B,,630.00M,1.182B,-7.00M,1.805B,,1.69B,-205.00M,-296.00M,50.00M,94.00M,,AOR,
2019-12,176.00M,6.00M,,6.00M,90.00M,8.00M,98.00M,98.00M,-42.00M,,31.00M,-23.00M,53.00M,-114.00M,-46.00M,202.00M,,-60.00M,,,-16.00M,-76.00M,,185.00M,185.00M,-452.00M,-452.00M,-42.00M,-42.00M,4.00M,-305.00M,,809.00M,-179.00M,0.00,630.00M,,405.00M,-220.00M,-452.00M,-238.00M,-248.00M,,AOR,
2019-09,290.00M,-7.00M,,-88.00M,86.00M,7.00M,93.00M,93.00M,21.00M,0.00,42.00M,-6.00M,18.00M,162.00M,180.00M,532.00M,,-55.00M,,,103.00M,48.00M,,-10.00M,-10.00M,-433.00M,-433.00M,-43.00M,-43.00M,1.00M,-485.00M,,718.00M,95.00M,-4.00M,809.00M,,0.00,-10.00M,-433.00M,81.00M,58.00M,,AOR,Restated
2019-06,261.00M,3.00M,,3.00M,86.00M,7.00M,93.00M,93.00M,27.00M,0.00,47.00M,-28.00M,106.00M,-102.00M,-117.00M,286.00M,,-48.00M,,,-3.00M,-51.00M,,439.00M,439.00M,-357.00M,-357.00M,-43.00M,-43.00M,-19.00M,20.00M,,461.00M,255.00M,2.00M,718.00M,,1.42B,-981.00M,-357.00M,144.00M,119.00M,,AOR,Restated
2019-03,159.00M,0.00,,0.00,84.00M,7.00M,91.00M,91.00M,-26.00M,0.00,34.00M,-15.00M,,,121.00M,364.00M,,-42.00M,,,-2.00M,-44.00M,,39.00M,39.00M,-296.00M,-296.00M,-44.00M,-44.00M,-42.00M,-343.00M,,484.00M,-23.00M,0.00,461.00M,,375.00M,-336.00M,-296.00M,13.00M,71.00M,,AOR,Restated
2018-12,225.00M,4.00M,,4.00M,83.00M,7.00M,90.00M,90.00M,-43.00M,,24.00M,-9.00M,,-18.00M,46.00M,341.00M,,-46.00M,,,-5.00M,-51.00M,,-304.00M,-304.00M,-160.00M,-160.00M,-44.00M,-44.00M,-2.00M,-510.00M,,700.00M,-220.00M,4.00M,484.00M,,0.00,-304.00M,-160.00M,-230.00M,-208.00M,,AOR,Restated
2018-09,164.00M,6.00M,,6.00M,81.00M,6.00M,87.00M,87.00M,68.00M,,35.00M,-44.00M,,15.00M,66.00M,382.00M,,-47.00M,,,42.00M,-5.00M,,-3.00M,-3.00M,-122.00M,-122.00M,-45.00M,-45.00M,-4.00M,-174.00M,,505.00M,203.00M,-8.00M,700.00M,,26.00M,-29.00M,-122.00M,81.00M,59.00M,,AOR,Restated
2018-06,217.00M,12.00M,,12.00M,79.00M,7.00M,86.00M,86.00M,-2.00M,,40.00M,-24.00M,,-40.00M,-40.00M,289.00M,,-41.00M,,,-8.00M,-49.00M,,992.00M,992.00M,-1.329B,-1.329B,-45.00M,-45.00M,-23.00M,-405.00M,,683.00M,-165.00M,-13.00M,505.00M,,1.65B,-658.00M,-1.329B,140.00M,77.00M,,AOR,Restated
