,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-09,366.00M,933.00M,736.00M,197.00M,66.00M,66.00M,-9.00M,116.00M,,-116.00M,21.00M,177.00M,20.00M,,116.00M,-116.00M,-18.00M,-116.00M,-114.00M,-33.00M,-81.00M,,2.00M,-79.00M,-64.08M,99.00M,97.00M,2.00M,,-0.29,,-0.2361,-0.29,,-0.29,,-0.2365,-0.29,,277.00M,279.00M,0.00,,AOR,
2020-06,166.00M,564.00M,649.00M,-85.00M,63.00M,63.00M,-53.00M,106.00M,,-106.00M,13.00M,164.00M,-249.00M,,106.00M,-106.00M,-89.00M,-106.00M,-444.00M,-12.00M,-432.00M,,2.00M,-430.00M,-365.78M,-243.00M,95.00M,-338.00M,,-1.55,,-1.318,-1.55,,-1.55,,-1.319,-1.55,,277.00M,278.00M,0.00,,AOR,
2020-03,632.00M,1.92B,1.575B,345.00M,60.00M,60.00M,-112.00M,94.00M,,-94.00M,14.00M,165.00M,180.00M,,94.00M,-94.00M,-103.00M,-94.00M,-17.00M,-35.00M,18.00M,,0.00,18.00M,93.19M,176.00M,99.00M,77.00M,,0.06,,0.3314,0.06,,0.06,,0.3285,0.06,,277.00M,280.00M,0.15,,AOR,
2019-12,920.00M,2.369B,1.791B,578.00M,114.00M,114.00M,0.00,110.00M,,-110.00M,26.00M,230.00M,348.00M,,110.00M,-110.00M,5.00M,-110.00M,243.00M,67.00M,176.00M,,-1.00M,175.00M,179.35M,451.00M,98.00M,353.00M,,0.62,,0.6355,0.62,,0.61,,0.6253,0.61,,281.00M,284.00M,0.15,,AOR,
2019-09,938.00M,2.395B,1.753B,642.00M,107.00M,107.00M,81.00M,105.00M,,-105.00M,11.00M,204.00M,438.00M,,105.00M,-105.00M,88.00M,-105.00M,421.00M,131.00M,290.00M,,-2.00M,288.00M,227.38M,619.00M,93.00M,526.00M,,1.01,,0.7973,1.01,,1.00,,0.7895,1.00,,285.00M,288.00M,0.15,,AOR,Restated
2019-06,978.00M,2.484B,1.792B,692.00M,113.00M,113.00M,0.00,101.00M,,-101.00M,15.00M,214.00M,478.00M,,101.00M,-101.00M,-15.00M,-101.00M,362.00M,101.00M,261.00M,,-1.00M,260.00M,262.16M,556.00M,93.00M,463.00M,,0.90,,0.9075,0.90,,0.89,,0.8974,0.89,,290.00M,292.00M,0.15,,AOR,Restated
2019-03,829.00M,2.204B,1.681B,523.00M,107.00M,107.00M,0.00,98.00M,,-98.00M,20.00M,211.00M,312.00M,,98.00M,-98.00M,4.00M,-98.00M,218.00M,59.00M,159.00M,,-1.00M,158.00M,158.00M,407.00M,91.00M,316.00M,,0.54,,0.54,0.54,,0.54,,0.54,0.54,,293.00M,295.00M,0.15,,AOR,Restated
2018-12,917.00M,2.288B,1.713B,575.00M,115.00M,115.00M,0.00,94.00M,,-94.00M,15.00M,213.00M,362.00M,,94.00M,-94.00M,-2.00M,-94.00M,266.00M,41.00M,225.00M,,-1.00M,224.00M,227.38M,450.00M,90.00M,360.00M,,0.76,,0.7715,0.76,,0.75,,0.7613,0.75,,293.00M,299.00M,0.15,,AOR,Restated
2018-09,917.00M,2.253B,1.668B,585.00M,109.00M,109.00M,0.00,99.00M,,-99.00M,10.00M,200.00M,385.00M,,99.00M,-99.00M,7.00M,-99.00M,293.00M,129.00M,164.00M,,-2.00M,162.00M,166.38M,479.00M,87.00M,392.00M,,0.55,,0.5647,0.55,,0.54,,0.5546,0.54,,297.00M,300.00M,0.15,,AOR,Restated
2018-06,939.00M,2.291B,1.679B,612.00M,115.00M,115.00M,,95.00M,,-95.00M,12.00M,206.00M,406.00M,,95.00M,-95.00M,-13.00M,-95.00M,298.00M,81.00M,217.00M,,0.00,217.00M,225.74M,479.00M,86.00M,393.00M,,0.72,,0.7490,0.72,,0.71,,0.7388,0.71,,301.00M,303.00M,0.15,,AOR,Restated
