,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2020-12,182.11M,0.00,,,7.205M,,,73.21M,73.21M,,9.435M,-18.66M,90.78M,29.88M,6.283M,2.16M,,,49.98M,179.07M,,417.89M,,-42.13M,2.117M,-40.01M,-77.11M,,-1.258M,-118.38M,,,-90.51M,-90.51M,,-53.36M,-53.36M,-71.28M,-71.28M,,-7.796M,-222.95M,,427.50M,76.56M,9.018M,513.08M,,,,,-53.36M,,AOR,
2020-09,200.30M,0.557M,0.00,,0.557M,,,69.49M,69.49M,,7.371M,1.29M,-41.69M,61.52M,-11.22M,42.98M,,,8.645M,60.24M,,339.25M,,-44.39M,2.204M,-42.19M,-21.28M,,-1.25M,-64.72M,,,-414.49M,-414.49M,,0.00,0.00,-71.46M,-71.46M,,-10.88M,-496.83M,,649.03M,-222.31M,0.778M,427.50M,,,,,0.00,,AOR,
2020-06,124.77M,0.781M,,,0.781M,,,67.60M,67.60M,,4.968M,8.337M,98.63M,-18.95M,-4.321M,-16.35M,,,6.341M,65.35M,,271.81M,,-39.00M,1.654M,-37.34M,-30.42M,,,-67.76M,,,5.00M,5.00M,,0.00,0.00,-70.67M,-70.67M,,-1.787M,-67.46M,,508.91M,136.59M,3.537M,649.03M,,,,,0.00,,AOR,
2020-03,176.28M,-6.551M,0.00,,-6.551M,,,68.75M,68.75M,,3.252M,-17.36M,-25.31M,-61.94M,-8.654M,0.076M,,,-52.68M,-148.51M,,75.86M,,-40.17M,1.232M,-38.94M,-191.57M,,,-230.51M,,,415.30M,415.30M,,-52.92M,-52.92M,-70.90M,-70.90M,,-10.53M,280.95M,,397.25M,126.31M,-14.65M,508.91M,,,,,-52.92M,,AOR,
2019-12,168.12M,0.00,0.00,,29.39M,,,69.99M,69.99M,,5.209M,-18.98M,59.70M,17.54M,3.539M,2.885M,,,29.84M,113.51M,,361.21M,,-49.53M,1.33M,-48.20M,0.00,,0.00,-48.20M,,,-98.00M,-55.64M,,-120.00M,-120.00M,-71.12M,-71.12M,,-8.844M,-255.61M,,340.53M,57.40M,-0.677M,397.25M,,,,,-120.00M,,AOR,Restated
2019-09,206.01M,0.00,46.95M,,0.00,,,66.79M,66.79M,,7.876M,-0.734M,-4.375M,19.14M,-5.977M,20.34M,,,41.80M,70.93M,,350.86M,,-46.18M,0.205M,-45.98M,-0.383M,,-2.25M,-48.61M,,,-175.00M,-175.00M,,-23.28M,-23.28M,-71.34M,-71.34M,,-8.279M,-277.90M,,321.33M,24.35M,-5.146M,340.53M,,,,,-23.28M,,AOR,Restated
2019-06,198.08M,0.00,-46.95M,,0.00,,,67.77M,67.77M,,8.435M,-7.736M,-20.98M,-20.51M,-8.438M,10.70M,,,-18.62M,-57.84M,,208.71M,,-53.97M,2.463M,-51.51M,-18.25M,,0.00,-69.76M,,,11.46M,11.46M,,0.00,0.00,-69.92M,-69.92M,,-2.132M,-60.60M,,243.01M,78.36M,-0.046M,321.33M,,,,,0.00,,AOR,Restated
2019-03,105.70M,0.00,46.95M,,46.95M,,,67.74M,67.74M,,8.182M,2.363M,-42.25M,-73.04M,-14.92M,-38.74M,,,-37.45M,-206.41M,,24.52M,,-37.12M,0.17M,-36.95M,-172.84M,,-7.90M,-217.69M,,,125.89M,125.89M,,0.00,0.00,-69.81M,-69.81M,,-20.02M,36.07M,,396.22M,-157.10M,3.892M,243.01M,,,,,0.00,,AOR,Restated
2018-12,141.57M,,0.00,,11.91M,,,76.56M,76.56M,,7.852M,-2.343M,32.11M,45.30M,27.15M,51.51M,,,10.45M,166.53M,-6.348M,364.16M,,-36.44M,1.227M,-35.21M,1.868M,,-2.012M,-35.36M,,0.00,-78.34M,-78.34M,,-2.206M,-2.206M,-70.44M,-70.44M,,2.464M,-148.52M,,209.28M,180.28M,6.663M,396.22M,,,,0.00,-2.206M,,AOR,Restated
2018-09,157.30M,,0.00,,0.00,,,68.09M,68.09M,,5.443M,-7.398M,-11.68M,-45.01M,-2.268M,48.03M,,,31.44M,20.50M,-3.546M,240.40M,,-38.19M,2.27M,-35.92M,0.00,,0.00,-35.92M,,0.00,14.03M,14.03M,,-147.79M,-147.79M,-70.80M,-70.80M,,-27.91M,-232.48M,,242.81M,-28.00M,-5.537M,209.28M,,,,0.00,-147.79M,,AOR,Restated
