,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,LandandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,ShareholdersEquity
2020-09,420.40M,205.29M,625.69M,453.35M,9.578M,462.92M,,49.88M,,,1.138B,2.168B,1.892B,495.27M,12.04M,4.567B,-1.631B,2.935B,19.46M,,19.46M,180.25M,3.135B,4.274B,59.23M,13.27M,72.50M,114.63M,187.13M,45.00M,45.00M,45.00M,,449.29M,99.93M,99.93M,236.81M,236.81M,316.83M,653.57M,1.103B,11.73M,2.973B,185.99M,3.171B
2020-06,518.62M,,518.62M,387.26M,8.525M,395.78M,,54.16M,,,968.57M,2.126B,1.902B,491.90M,12.10M,4.533B,-1.578B,2.955B,19.46M,,19.46M,136.91M,3.111B,4.080B,51.26M,103.31M,154.56M,103.93M,258.50M,45.00M,45.00M,45.00M,,494.17M,99.92M,99.92M,248.56M,248.56M,254.90M,603.39M,1.098B,11.73M,2.789B,181.90M,2.982B
2020-03,356.97M,,356.97M,419.13M,8.485M,427.61M,,46.42M,,,831.01M,2.083B,1.899B,486.41M,11.82M,4.480B,-1.526B,2.954B,19.46M,,19.46M,130.53M,3.104B,3.935B,55.10M,53.68M,108.78M,98.36M,207.14M,45.00M,45.00M,45.00M,,428.30M,,,261.96M,261.96M,228.68M,490.64M,918.94M,11.81M,2.787B,217.19M,3.016B
2019-12,403.57M,,403.57M,397.58M,10.59M,408.16M,,55.10M,,,866.83M,2.040B,1.899B,482.42M,11.71M,4.433B,-1.464B,2.969B,19.46M,,19.46M,140.44M,3.129B,3.996B,70.25M,2.847M,73.10M,100.46M,173.56M,,,,,366.08M,45.00M,45.00M,261.96M,261.96M,241.80M,548.77M,914.85M,7.969M,2.850B,222.43M,3.081B
2019-09,322.29M,,322.29M,425.85M,12.22M,438.08M,,46.62M,,,806.98M,1.972B,1.916B,487.64M,11.54M,4.388B,-1.460B,2.928B,19.46M,,19.46M,138.08M,3.085B,3.892B,81.27M,9.13M,90.40M,105.34M,195.74M,,,,,396.86M,45.00M,45.00M,247.67M,247.67M,293.36M,586.03M,982.89M,7.988M,2.755B,146.08M,2.910B
2019-06,228.96M,,228.96M,449.98M,8.161M,458.14M,,54.32M,,,741.42M,1.899B,1.907B,477.87M,11.01M,4.294B,-1.436B,2.858B,19.46M,,19.46M,139.65M,3.017B,3.759B,85.12M,13.15M,98.27M,96.70M,194.97M,,,,,386.10M,45.00M,45.00M,247.67M,247.67M,281.44M,574.11M,960.22M,8.014M,2.646B,144.94M,2.798B
2019-03,280.63M,,280.63M,447.24M,8.091M,455.33M,,47.92M,,,783.88M,1.829B,1.836B,463.33M,10.87M,4.139B,-1.377B,2.762B,19.46M,,19.46M,138.84M,2.920B,3.704B,79.40M,,79.40M,104.41M,183.81M,,,,,358.16M,45.00M,45.00M,247.67M,247.67M,282.85M,575.52M,933.67M,8.107M,2.619B,143.12M,2.770B
2018-12,190.28M,,190.28M,427.57M,40.69M,468.26M,,47.69M,,,706.23M,1.797B,1.811B,454.43M,10.62M,4.073B,-1.318B,2.755B,19.46M,,19.46M,64.65M,2.839B,3.545B,78.52M,0.00,78.52M,79.76M,158.28M,,,,,356.73M,45.00M,45.00M,247.67M,247.67M,215.40M,508.07M,864.80M,8.123M,2.530B,142.18M,2.680B
2018-09,177.47M,,177.47M,466.46M,15.75M,482.21M,,36.64M,,,696.32M,1.709B,1.835B,450.99M,8.749M,4.004B,-1.300B,2.703B,19.46M,,19.46M,70.26M,2.793B,3.489B,88.15M,,88.15M,80.78M,168.93M,,,,,362.46M,45.00M,45.00M,227.53M,227.53M,237.39M,509.92M,872.38M,8.189M,2.468B,140.84M,2.617B
2018-06,140.57M,,140.57M,456.91M,7.373M,464.28M,,42.74M,,,647.58M,1.638B,1.760B,451.24M,8.747M,3.859B,-1.273B,2.586B,19.46M,,19.46M,68.33M,2.673B,3.321B,81.67M,27.90M,109.56M,79.68M,189.24M,,,,,366.36M,45.00M,45.00M,196.94M,196.94M,230.72M,472.67M,839.03M,8.208M,2.334B,139.56M,2.482B
