,NetIncome,GainandLossonSaleofPPE,OperatingGainsLosses,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2020-09,201.87M,0.115M,0.115M,,64.99M,64.99M,-11.76M,4.095M,-89.07M,,,,,,,,,170.24M,-46.33M,0.841M,-45.49M,,-205.30M,-0.10M,-250.89M,0.00,,0.00,,0.00,0.00,-17.58M,-17.58M,0.00,-17.58M,518.62M,-98.23M,420.40M,,0.00,,0.00
2020-06,147.80M,0.062M,0.062M,,65.74M,65.74M,-13.40M,2.209M,109.79M,,,,,,,,,312.20M,-67.92M,1.027M,-66.89M,,,,-66.89M,99.92M,,99.92M,,-128.50M,-128.50M,-17.58M,-17.58M,-37.50M,-83.66M,356.97M,161.65M,518.62M,,99.92M,,-128.50M
2020-03,133.18M,0.078M,0.078M,,65.44M,65.44M,,2.073M,3.255M,,,,,,,,,204.02M,-52.21M,1.543M,-50.67M,,,,-50.67M,,,,,-178.29M,-178.29M,-18.31M,-18.31M,-3.345M,-199.95M,403.57M,-46.60M,356.97M,,,,-178.29M
2019-12,144.02M,0.442M,0.442M,,64.54M,64.54M,13.16M,11.35M,-64.83M,,,,,,,,,236.37M,-109.02M,3.088M,-105.93M,,,,-105.93M,0.00,,0.00,,-35.61M,-35.61M,-13.55M,-13.55M,0.00,-49.16M,322.29M,81.28M,403.57M,,,,-35.61M
2019-09,164.10M,4.906M,4.906M,,63.49M,63.49M,0.00,1.147M,51.99M,,,,,,,,,285.63M,-140.35M,2.232M,-138.12M,,0.00,,-138.12M,0.00,,0.00,,-40.61M,-40.61M,-13.57M,-13.57M,0.00,-54.18M,228.96M,93.33M,322.29M,,0.00,,-40.61M
2019-06,174.07M,0.241M,0.241M,,62.57M,62.57M,0.00,2.283M,16.54M,,,,,,,,,255.71M,-159.22M,0.089M,-159.13M,,,,-159.13M,0.00,,0.00,,-134.14M,-134.14M,-13.64M,-13.64M,-0.468M,-148.25M,280.63M,-51.67M,228.96M,,0.00,,-134.14M
2019-03,133.32M,0.477M,0.477M,,63.07M,63.07M,,1.933M,7.369M,,,,,,,,,206.18M,-70.74M,0.277M,-70.46M,,,,-70.46M,,,,,-30.60M,-30.60M,-13.79M,-13.79M,-0.98M,-45.37M,190.28M,90.34M,280.63M,,,,-30.60M
2018-12,159.46M,0.549M,0.549M,,62.56M,62.56M,,1.335M,-53.03M,,,,,,,,,224.70M,-118.43M,3.654M,-114.77M,,,0.119M,-114.65M,0.00,,0.00,,-86.68M,-86.68M,-10.56M,-10.56M,0.00,-97.23M,177.47M,12.81M,190.28M,,,0.00,-86.68M
2018-09,173.44M,-0.857M,-0.857M,,58.09M,58.09M,,1.284M,18.77M,,,,,,,,,250.73M,-177.60M,2.801M,-174.80M,,,0.799M,-174.00M,0.00,,0.00,,-29.20M,-29.20M,-10.64M,-10.64M,0.00,-39.83M,140.57M,36.90M,177.47M,,,0.00,-29.20M
2018-06,163.43M,0.421M,0.421M,,56.24M,56.24M,,1.143M,-7.789M,,,,,,,,,213.44M,-191.71M,0.181M,-191.53M,,,,-191.53M,0.00,,0.00,,-30.10M,-30.10M,-10.68M,-10.68M,-0.507M,-41.28M,159.94M,-19.37M,140.57M,,,0.00,-30.10M
