,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,RentandLandingExpense,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,1.058B,1.058B,705.32M,352.85M,46.83M,46.83M,,,,29.92M,1.071M,0.123M,-0.948M,5.858M,82.61M,270.24M,0.123M,1.071M,-0.948M,-0.961M,-0.948M,268.34M,66.47M,201.87M,,,201.87M,201.87M,334.39M,64.99M,269.41M,1.72,,,1.72,1.72,1.71,,,1.71,1.71,117.19M,117.93M,0.15
2020-06,896.21M,896.21M,621.04M,275.17M,44.05M,44.05M,,,,27.04M,0.765M,0.231M,-0.534M,4.912M,76.01M,199.17M,0.231M,0.765M,-0.534M,0.373M,-0.534M,199.00M,51.20M,147.80M,,,147.80M,147.80M,265.50M,65.74M,199.77M,1.26,,,1.26,1.26,1.25,,,1.25,1.25,117.61M,118.36M,0.15
2020-03,987.36M,987.36M,718.41M,268.95M,51.65M,51.65M,,,,29.31M,0.10M,1.248M,1.148M,4.82M,85.78M,183.17M,1.248M,0.10M,1.148M,-3.617M,1.148M,180.70M,47.52M,133.18M,,,133.18M,133.18M,246.24M,65.44M,180.80M,1.12,,,1.12,1.12,1.11,,,1.11,1.11,119.05M,119.81M,0.1533
2019-12,1.009B,1.009B,732.05M,277.15M,52.43M,52.43M,,,,29.27M,0.092M,1.797M,1.705M,7.192M,88.89M,188.26M,1.797M,0.092M,1.705M,-0.375M,1.705M,189.59M,45.57M,144.02M,,,144.02M,144.02M,254.23M,64.54M,189.69M,1.207,,,1.207,1.207,1.2,,,1.2,1.2,119.52M,119.79M,0.1133
2019-09,1.048B,1.048B,737.35M,311.11M,53.01M,53.01M,,,,29.12M,0.003M,1.714M,1.711M,11.45M,93.58M,217.53M,1.714M,0.003M,1.711M,-0.844M,1.711M,218.39M,54.30M,164.10M,,,164.10M,164.10M,281.89M,63.49M,218.40M,1.37,,,1.37,1.37,1.37,,,1.37,1.37,119.82M,119.98M,0.1133
2019-06,1.061B,1.061B,742.03M,318.63M,50.11M,50.11M,,,,29.38M,0.16M,1.769M,1.609M,4.649M,84.14M,234.49M,1.769M,0.16M,1.609M,-0.524M,1.609M,235.57M,61.50M,174.07M,,,174.07M,174.07M,298.30M,62.57M,235.73M,1.44,,,1.44,1.44,1.44,,,1.44,1.44,120.78M,120.97M,0.1133
2019-03,990.78M,990.78M,727.46M,263.32M,50.57M,50.57M,,,,29.07M,0.122M,1.483M,1.361M,5.253M,84.90M,178.43M,1.483M,0.122M,1.361M,0.60M,1.361M,180.39M,47.06M,133.32M,,,133.32M,133.32M,243.58M,63.07M,180.51M,1.1,,,1.1,1.1,1.1,,,1.1,1.1,121.55M,121.72M,0.1133
2018-12,1.027B,1.027B,728.36M,298.58M,46.08M,46.08M,,,,29.30M,0.138M,1.211M,1.073M,4.351M,79.74M,218.84M,1.211M,0.138M,1.073M,-2.567M,1.073M,217.35M,57.89M,159.46M,,,159.46M,159.46M,280.04M,62.56M,217.49M,1.307,,,1.307,1.307,1.3,,,1.3,1.3,122.24M,122.37M,0.0867
2018-09,1.058B,1.058B,747.53M,310.70M,51.49M,51.49M,,,,27.95M,0.029M,0.778M,0.749M,2.874M,82.32M,228.38M,0.778M,0.029M,0.749M,0.07M,0.749M,229.20M,55.76M,173.44M,,,173.44M,173.44M,287.32M,58.09M,229.23M,1.413,,,1.413,1.413,1.413,,,1.413,1.413,122.83M,122.96M,0.0867
2018-06,1.033B,1.033B,731.09M,302.40M,48.67M,48.67M,,,,28.16M,0.011M,0.668M,0.657M,5.086M,81.92M,220.48M,0.668M,0.011M,0.657M,0.334M,0.657M,221.47M,58.04M,163.43M,,,163.43M,163.43M,277.72M,56.24M,221.48M,1.327,,,1.327,1.327,1.327,,,1.327,1.327,123.10M,123.25M,0.0867
