,NetIncome,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2020-09,100.00M,,101.00M,101.00M,-141.00M,,52.00M,233.00M,,,-227.00M,,118.00M,-18.00M,,,,0.00,,-12.00M,-30.00M,-797.00M,,-797.00M,0.00,0.00,0.00,0.00,0.00,-1.00M,-798.00M,2.30B,-710.00M,1.59B,0.00,1.817B,-2.614B,0.00
2020-06,-234.00M,,93.00M,93.00M,-77.00M,,50.00M,1.05B,,,109.00M,,991.00M,-20.00M,,,,0.00,,-4.00M,-24.00M,-436.00M,,-436.00M,0.00,0.00,0.00,0.00,0.00,-13.00M,-449.00M,1.782B,518.00M,2.30B,0.00,422.00M,-858.00M,0.00
2020-03,31.00M,,175.00M,175.00M,-71.00M,,41.00M,93.00M,,,245.00M,,514.00M,-59.00M,,,,260.00M,,-36.00M,165.00M,1.251B,,1.251B,,-150.00M,-150.00M,-156.00M,-156.00M,-95.00M,850.00M,253.00M,1.529B,1.782B,,1.317B,-66.00M,-150.00M
2019-12,279.00M,-132.00M,196.00M,196.00M,-102.00M,,49.00M,74.00M,,,131.00M,,495.00M,-418.00M,,,,391.00M,,-14.00M,-41.00M,105.00M,,105.00M,0.00,-432.00M,-432.00M,-157.00M,-157.00M,-17.00M,-501.00M,300.00M,-47.00M,253.00M,0.00,319.00M,-214.00M,-432.00M
2019-09,387.00M,-9.00M,68.00M,68.00M,4.00M,,48.00M,-21.00M,,,-25.00M,,452.00M,-93.00M,,,,2.00M,,22.00M,-69.00M,361.00M,,361.00M,1.00M,-600.00M,-599.00M,-157.00M,-157.00M,-8.00M,-403.00M,320.00M,-20.00M,300.00M,1.00M,365.00M,-4.00M,-600.00M
2019-06,232.00M,-2.00M,71.00M,71.00M,-95.00M,,50.00M,309.00M,,,22.00M,,587.00M,-76.00M,,,,0.00,,-10.00M,-86.00M,144.00M,,144.00M,1.00M,-431.00M,-430.00M,-159.00M,-159.00M,-36.00M,-481.00M,300.00M,20.00M,320.00M,1.00M,158.00M,-14.00M,-431.00M
2019-03,375.00M,-4.00M,68.00M,68.00M,-7.00M,,40.00M,80.00M,,,-401.00M,,151.00M,-66.00M,,,,2.00M,,-24.00M,-88.00M,903.00M,,903.00M,5.00M,-797.00M,-792.00M,-139.00M,-139.00M,-95.00M,-123.00M,360.00M,-60.00M,300.00M,5.00M,1.506B,-603.00M,-797.00M
2018-12,317.00M,-3.00M,76.00M,76.00M,-82.00M,,44.00M,156.00M,,,25.00M,,533.00M,-94.00M,,,,19.00M,,-58.00M,-133.00M,23.00M,,23.00M,0.00,-337.00M,-337.00M,-139.00M,-139.00M,0.00,-453.00M,413.00M,-53.00M,360.00M,0.00,29.00M,-6.00M,-337.00M
2018-09,503.00M,-18.00M,65.00M,65.00M,13.00M,,47.00M,20.00M,,,65.00M,,695.00M,-74.00M,,,,24.00M,,17.00M,-33.00M,334.00M,,334.00M,0.00,-840.00M,-840.00M,-142.00M,-142.00M,-4.00M,-652.00M,403.00M,10.00M,413.00M,0.00,338.00M,-4.00M,-840.00M
2018-06,667.00M,-113.00M,70.00M,70.00M,-194.00M,,51.00M,41.00M,,,-68.00M,,454.00M,-324.00M,,,,328.00M,,61.00M,65.00M,149.00M,,149.00M,0.00,-858.00M,-858.00M,-144.00M,-144.00M,-6.00M,-859.00M,743.00M,-340.00M,403.00M,0.00,523.00M,-374.00M,-858.00M
