,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2020-09,185.00M,,,,,,40.00M,40.00M,,,113.00M,113.00M,83.00M,,79.00M,-157.00M,,-282.00M,-277.00M,61.00M,-25.00M,,,,-28.00M,,-53.00M,,,40.00M,0.00,40.00M,,,-8.00M,32.00M,4.013B,40.00M,6.00M,4.059B,40.00M,,,0.00,140.00M,21.00M
2020-06,365.00M,,,,,,37.00M,37.00M,,,102.00M,102.00M,-44.00M,,-69.00M,44.00M,,-57.00M,-126.00M,378.00M,-38.00M,,,,30.00M,,-8.00M,,,3.00M,-78.00M,-75.00M,,,-69.00M,-144.00M,3.768B,226.00M,19.00M,4.013B,3.00M,,,-78.00M,33.00M,
2020-03,418.00M,,,,,,39.00M,39.00M,,,91.00M,-251.00M,340.00M,,-148.00M,-41.00M,,-206.00M,-55.00M,498.00M,-40.00M,,,0.00,29.00M,,-11.00M,,,28.00M,-291.00M,-263.00M,,,-37.00M,-300.00M,3.603B,187.00M,-22.00M,3.768B,28.00M,,,-291.00M,54.00M,21.00M
2019-12,346.00M,,,,,,39.00M,39.00M,,,91.00M,91.00M,59.00M,,92.00M,43.00M,,434.00M,628.00M,1.104B,-28.00M,,,0.00,-55.00M,,-83.00M,,,1.00M,-305.00M,-304.00M,,,-57.00M,-361.00M,2.94B,660.00M,3.00M,3.603B,1.00M,,,-305.00M,39.00M,0.00
2019-09,854.00M,,,,,,35.00M,35.00M,,,92.00M,92.00M,-529.00M,,235.00M,9.00M,,-659.00M,-944.00M,37.00M,-27.00M,,,,-286.00M,,-313.00M,,,30.00M,-306.00M,-276.00M,,,-36.00M,-312.00M,3.533B,-588.00M,-5.00M,2.94B,30.00M,,,-306.00M,65.00M,21.00M
2019-06,1.421B,,,,,,37.00M,37.00M,,,73.00M,73.00M,294.00M,,-96.00M,24.00M,,-1.595B,-1.373B,158.00M,-45.00M,,,,-905.00M,,-950.00M,,,3.00M,-305.00M,-302.00M,,,-83.00M,-385.00M,4.708B,-1.177B,2.00M,3.533B,3.00M,,,-305.00M,12.00M,
2019-03,209.00M,,,,,,37.00M,37.00M,,,73.00M,-197.00M,183.00M,,-96.00M,-65.00M,,244.00M,266.00M,599.00M,-35.00M,,,0.00,535.00M,,500.00M,,,25.00M,-301.00M,-276.00M,,,-6.00M,-282.00M,3.887B,817.00M,4.00M,4.708B,25.00M,,,-301.00M,15.00M,21.00M
2018-12,262.00M,,,,,,34.00M,34.00M,,,75.00M,75.00M,151.00M,,51.00M,21.00M,,360.00M,583.00M,954.00M,-21.00M,,,0.00,394.00M,,373.00M,,,0.00,-292.00M,-292.00M,,,-20.00M,-312.00M,2.881B,1.015B,-9.00M,3.887B,0.00,,,-292.00M,7.00M,0.00
2018-09,255.00M,,,,,,36.00M,36.00M,,,66.00M,66.00M,-591.00M,,184.00M,-28.00M,,-48.00M,-483.00M,-126.00M,-31.00M,,,-8.00M,-562.00M,,-601.00M,,,35.00M,-299.00M,-264.00M,,,-7.00M,-271.00M,3.876B,-998.00M,3.00M,2.881B,35.00M,,,-299.00M,50.00M,21.00M
2018-06,293.00M,,,,,,38.00M,38.00M,,,70.00M,70.00M,169.00M,,-77.00M,48.00M,,-421.00M,-281.00M,120.00M,-32.00M,,,-50.00M,-21.00M,,-103.00M,,,1.00M,-300.00M,-299.00M,,,-89.00M,-388.00M,4.258B,-371.00M,-11.00M,3.876B,1.00M,,,-300.00M,28.00M,
