,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,1.172B,1.172B,342.00M,830.20M,628.00M,,19.40M,,-19.40M,,628.00M,202.20M,,19.40M,-19.40M,2.60M,-19.40M,185.40M,-46.30M,231.70M,,,231.70M,231.70M,256.00M,51.20M,204.80M,0.84,,0.84,0.84,0.83,,0.83,0.83,276.80M,277.90M,0.0
2020-06,714.80M,714.80M,215.90M,498.90M,778.90M,0.00,,,-20.30M,,778.90M,-280.00M,,,-20.30M,-0.50M,-20.30M,-300.80M,-7.00M,-293.80M,,,-293.80M,-293.80M,-717.60M,53.40M,-771.00M,-1.06,,-1.06,-1.06,-1.06,,-1.06,-1.06,276.20M,276.20M,0.0
2020-03,1.073B,1.073B,456.50M,616.20M,824.00M,-477.70M,,,-13.50M,,824.00M,-207.80M,,,-13.50M,-483.70M,-13.50M,-705.00M,-27.90M,-677.10M,,,-677.10M,-218.51M,-137.90M,69.90M,-207.80M,-2.45,,-0.789,-2.45,-2.45,,-0.792,-2.45,276.10M,276.60M,0.3375
2019-12,1.816B,1.816B,606.30M,1.210B,846.60M,,,,-14.00M,,846.60M,363.10M,,,-14.00M,5.90M,-14.00M,355.00M,56.20M,298.80M,,,298.80M,298.80M,423.90M,60.80M,363.10M,1.08,,1.08,1.08,1.08,,1.08,1.08,276.00M,276.70M,0.3375
2019-09,1.358B,1.358B,443.40M,914.50M,862.90M,,12.30M,,-12.30M,,862.90M,51.60M,,12.30M,-12.30M,-12.70M,-12.30M,26.60M,6.60M,20.00M,,,20.00M,20.00M,103.10M,64.20M,38.90M,0.07,,0.07,0.07,0.07,,0.07,0.07,284.40M,285.70M,0.3375
2019-06,1.514B,1.514B,514.50M,999.20M,828.10M,0.00,,,-11.00M,,828.10M,171.10M,,,-11.00M,-1.20M,-11.00M,158.90M,10.00M,148.90M,,,148.90M,148.90M,243.90M,78.40M,165.50M,0.51,,0.51,0.51,0.51,,0.51,0.51,289.10M,289.60M,0.3375
2019-03,1.331B,1.331B,415.50M,915.90M,806.10M,0.00,,,-10.60M,,806.10M,109.80M,,,-10.60M,-4.00M,-10.60M,95.20M,-22.20M,117.40M,,,117.40M,117.40M,173.30M,63.50M,109.80M,0.4,,0.4,0.4,0.4,,0.4,0.4,290.00M,290.90M,0.3375
2018-12,1.801B,1.801B,597.30M,1.204B,827.00M,,,,-13.20M,,827.00M,376.50M,,,-13.20M,4.20M,-13.20M,367.50M,112.70M,254.80M,,,254.80M,254.80M,441.80M,65.30M,376.50M,0.88,,0.88,0.88,0.88,,0.88,0.88,289.90M,291.00M,0.3375
2018-09,1.381B,1.381B,446.10M,935.10M,772.80M,,,,-13.10M,,772.80M,162.30M,,,-13.10M,-4.60M,-13.10M,144.60M,22.30M,122.30M,,,122.30M,122.30M,223.30M,61.00M,162.30M,0.42,,0.42,0.42,0.42,,0.42,0.42,288.80M,292.00M,0.3375
2018-06,1.484B,1.484B,481.90M,1.002B,813.40M,,,,-14.40M,,813.40M,188.40M,,,-14.40M,,-14.40M,172.80M,-38.90M,211.70M,,,211.70M,211.70M,258.90M,71.70M,187.20M,0.74,,0.74,0.74,0.73,,0.73,0.73,287.50M,291.00M,0.3375
2018-03,1.322B,1.322B,414.80M,907.60M,748.60M,,,,-16.90M,,748.60M,159.00M,,,-16.90M,,-16.90M,142.10M,1.80M,140.30M,,,140.30M,140.30M,221.30M,62.30M,159.00M,0.49,,0.49,0.49,0.48,,0.48,0.48,286.20M,290.10M,0.3375
2017-12,1.785B,1.785B,608.80M,1.176B,829.80M,,,,-22.20M,,829.80M,346.40M,,,-22.20M,,-22.20M,324.20M,261.00M,63.20M,,,63.20M,63.20M,407.20M,60.80M,346.40M,0.22,,0.22,0.22,0.22,,0.22,0.22,284.50M,286.40M,0.3375
2017-09,1.289B,1.289B,526.00M,762.90M,784.70M,,,,-20.50M,,784.70M,-21.80M,,,-20.50M,,-20.50M,-42.30M,-24.60M,-17.70M,,,-17.70M,-17.70M,43.70M,65.50M,-21.80M,-0.06,,-0.06,-0.06,-0.06,,-0.06,-0.06,283.20M,286.70M,0.3375
2017-06,1.134B,1.134B,379.30M,754.50M,561.50M,,,,-13.60M,,561.50M,193.00M,,,-13.60M,,-13.60M,179.40M,27.70M,151.70M,,,151.70M,151.70M,257.10M,64.10M,193.00M,0.54,,0.54,0.54,0.53,,0.53,0.53,281.80M,284.60M,0.3375
2017-03,995.20M,995.20M,289.50M,705.70M,554.60M,,,,-4.00M,,554.60M,151.10M,,,-4.00M,,-4.00M,147.10M,24.90M,122.20M,,,122.20M,122.20M,199.60M,48.50M,151.10M,0.44,,0.44,0.44,0.43,,0.43,0.43,280.80M,282.90M,0.3375
2016-12,1.322B,1.322B,415.50M,906.20M,628.80M,,,,-5.10M,,628.80M,277.40M,,,-5.10M,,-5.10M,272.30M,72.60M,199.70M,,,199.70M,199.70M,325.30M,47.90M,277.40M,0.71,,0.71,0.71,0.71,,0.71,0.71,280.50M,281.80M,0.3375
2016-09,1.038B,1.038B,322.90M,714.70M,548.80M,,,,-5.70M,,548.80M,165.90M,,,-5.70M,,-5.70M,160.20M,42.80M,117.40M,,,117.40M,117.40M,218.20M,52.30M,165.90M,0.42,,0.42,0.42,0.42,,0.42,0.42,279.50M,281.90M,0.3375
2016-06,1.155B,1.155B,371.90M,782.70M,665.90M,,,,-7.40M,,665.90M,116.80M,,,-7.40M,,-7.40M,109.40M,27.90M,81.50M,,,81.50M,81.50M,170.80M,54.00M,116.80M,0.29,,0.29,0.29,0.29,,0.29,0.29,278.20M,281.10M,0.3375
2016-03,1.033B,1.033B,320.10M,713.00M,578.70M,,,,-6.50M,,578.70M,134.30M,,,-6.50M,,-6.50M,127.80M,15.30M,112.50M,,,112.50M,112.50M,183.80M,49.50M,134.30M,0.4,,0.4,0.4,0.4,,0.4,0.4,277.80M,279.50M,0.3375
2015-12,1.274B,1.274B,414.70M,859.10M,598.10M,,,,-6.30M,,598.10M,261.00M,,,-6.30M,,-6.30M,254.70M,84.60M,170.10M,,,170.10M,170.10M,313.70M,52.70M,261.00M,0.61,,0.61,0.61,0.61,,0.61,0.61,277.60M,278.40M,0.3375
2015-09,1.030B,1.030B,333.80M,696.50M,555.10M,,,,-6.70M,,555.10M,141.40M,,,-6.70M,,-6.70M,134.70M,38.30M,96.40M,,,96.40M,96.40M,195.80M,54.40M,141.40M,0.35,,0.35,0.35,0.35,,0.35,0.35,277.10M,278.30M,0.3375
2015-06,1.004B,1.004B,316.40M,687.70M,648.90M,,,,-6.30M,,648.90M,38.80M,,,-6.30M,,-6.30M,32.50M,20.80M,11.70M,,,11.70M,11.70M,93.40M,54.60M,38.80M,0.04,,0.04,0.04,0.04,,0.04,0.04,276.30M,278.40M,0.3375
2015-03,929.30M,929.30M,263.80M,665.50M,541.50M,,,,-1.20M,,541.50M,124.00M,,,-1.20M,,-1.20M,122.80M,34.70M,88.10M,,,88.10M,88.10M,171.40M,47.40M,124.00M,0.32,,0.32,0.32,0.32,,0.32,0.32,275.90M,277.40M,0.3375
2014-12,1.219B,1.219B,379.40M,840.00M,564.60M,,,,0.40M,,564.60M,275.40M,,,0.40M,,0.40M,275.80M,92.30M,183.50M,,,183.50M,183.50M,321.90M,46.50M,275.40M,0.67,,0.67,0.67,0.66,,0.66,0.66,275.60M,276.50M,0.3375
2014-09,1.039B,1.039B,323.40M,715.40M,535.60M,,,,0.70M,,535.60M,179.80M,,,0.70M,,0.70M,180.50M,61.40M,119.10M,,,119.10M,119.10M,223.10M,43.30M,179.80M,0.43,,0.43,0.43,0.43,,0.43,0.43,275.00M,276.40M,0.3375
2014-06,1.136B,1.136B,429.80M,706.40M,606.60M,,,,0.60M,,606.60M,99.80M,,,0.60M,,0.60M,100.40M,25.20M,75.20M,,,75.20M,75.20M,151.10M,51.30M,99.80M,0.27,,0.27,0.27,0.27,,0.27,0.27,274.50M,276.80M,0.3375
2014-03,1.100B,1.100B,318.30M,781.30M,518.60M,,,,-2.00M,,518.60M,262.70M,,,-2.00M,,-2.00M,260.70M,70.00M,190.70M,,,190.70M,190.70M,307.90M,45.20M,262.70M,0.69,,0.69,0.69,0.68,,0.68,0.68,276.10M,278.80M,0.3375
2013-12,1.420B,1.420B,436.90M,982.70M,546.70M,,,,1.90M,,546.70M,436.00M,,,1.90M,,1.90M,437.90M,140.50M,297.40M,,,297.40M,297.40M,483.90M,47.90M,436.00M,1.07,,1.07,1.07,1.06,,1.06,1.06,279.10M,281.50M,0.3375
2013-09,1.151B,1.151B,324.20M,826.60M,505.00M,,,,1.70M,,505.00M,321.60M,,,1.70M,,1.70M,323.30M,105.40M,217.90M,,,217.90M,217.90M,366.60M,45.00M,321.60M,0.77,,0.77,0.77,0.77,,0.77,0.77,281.40M,284.50M,0.3375
2013-06,1.223B,1.223B,335.34M,887.36M,569.65M,,,,1.077M,,569.65M,317.71M,,,1.077M,-1.059M,1.077M,317.73M,96.41M,221.32M,,,221.32M,221.32M,365.05M,47.33M,317.71M,0.79,,0.79,0.79,0.78,,0.78,0.78,281.58M,285.52M,0.3375
2013-03,1.188B,1.188B,307.39M,880.19M,531.70M,,,,1.021M,,531.70M,348.49M,,,1.021M,-1.764M,1.021M,347.75M,108.82M,238.93M,,,238.93M,238.93M,387.28M,38.78M,348.49M,0.85,,0.85,0.85,0.84,,0.84,0.84,280.82M,284.62M,0.3
2012-12,1.504B,1.504B,418.39M,1.085B,558.80M,,,,0.266M,,558.80M,526.58M,,,0.266M,-1.505M,0.266M,525.34M,172.57M,352.76M,,,352.76M,352.76M,567.35M,40.78M,526.58M,1.25,,1.25,1.25,1.23,,1.23,1.23,282.69M,286.22M,0.3
2012-09,1.161B,1.161B,316.18M,845.17M,513.45M,,,,0.036M,,513.45M,331.72M,,,0.036M,-2.072M,0.036M,329.68M,108.30M,221.38M,,,221.38M,221.38M,367.82M,36.10M,331.72M,0.78,,0.78,0.78,0.77,,0.77,0.77,284.57M,288.50M,0.3
2012-06,1.155B,1.155B,317.04M,838.15M,486.52M,,,,0.365M,,486.52M,351.63M,,,0.365M,-1.886M,0.365M,350.11M,98.68M,251.43M,,,251.43M,251.43M,385.81M,34.18M,351.63M,0.87,,0.87,0.87,0.86,,0.86,0.86,286.19M,291.66M,0.3
2012-03,1.109B,1.109B,290.91M,818.07M,480.58M,,,,0.257M,,480.58M,337.49M,,,0.257M,-1.929M,0.257M,335.82M,110.82M,225.00M,,,225.00M,225.00M,371.14M,33.65M,337.49M,0.78,,0.78,0.78,0.77,,0.77,0.77,287.57M,293.50M,0.225
2011-12,1.449B,1.449B,403.44M,1.045B,544.31M,,,,-0.016M,,544.31M,500.90M,,,-0.016M,-1.755M,-0.016M,499.13M,151.64M,347.50M,,,347.50M,347.50M,533.93M,33.03M,500.90M,1.2,,1.2,1.2,1.18,,1.18,1.18,289.81M,295.51M,0.225
