,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,RentandLandingExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,543.41M,545.04M,140.44M,404.60M,36.91M,36.91M,,-60.45M,43.32M,,-43.32M,213.74M,190.86M,,43.32M,-43.32M,-51.74M,-43.32M,95.80M,95.80M,,-14.74M,,81.06M,121.58M,315.95M,176.83M,139.12M,0.64,,0.9645,0.64,0.63,,0.9521,0.63,124.90M,125.83M,1.06
2020-06,435.86M,436.96M,123.91M,313.04M,31.78M,31.78M,,-13.22M,45.01M,,-45.01M,199.80M,113.24M,,45.01M,-45.01M,175.33M,-45.01M,243.56M,243.56M,,-13.91M,,229.65M,104.50M,456.60M,168.03M,288.58M,1.82,,0.8134,1.82,1.82,,0.8144,1.82,124.33M,124.45M,1.06
2020-03,437.60M,439.92M,129.10M,310.82M,31.96M,31.96M,,-2.003M,45.74M,,-45.74M,207.46M,103.36M,,45.74M,-45.74M,-26.94M,-45.74M,30.68M,30.68M,,-11.91M,,18.76M,36.16M,251.91M,175.50M,76.42M,0.14,,0.2832,0.14,0.14,,0.2828,0.14,121.43M,121.78M,1.03
2019-12,404.72M,408.11M,121.85M,286.26M,29.78M,29.78M,,-12.33M,45.49M,,-45.49M,170.30M,115.96M,,45.49M,-45.49M,145.58M,-45.49M,216.05M,216.05M,,-13.61M,0.00,202.44M,99.65M,402.06M,140.52M,261.55M,1.75,,0.8499,1.75,1.74,,0.8459,1.74,114.20M,114.96M,1.03
2019-09,385.78M,390.48M,116.45M,274.03M,27.93M,27.93M,,-40.21M,46.20M,,-46.20M,163.50M,110.53M,,46.20M,-46.20M,-100.33M,-46.20M,-36.00M,-36.00M,,-11.20M,1.173M,-47.20M,56.08M,145.77M,135.57M,10.20M,-0.44,,0.4812,-0.44,-0.44,,0.4812,-0.44,112.12M,112.12M,1.0
2019-06,371.62M,373.86M,105.69M,268.17M,26.43M,26.43M,,0.00,42.88M,,-42.88M,160.87M,107.30M,,42.88M,-42.88M,22.76M,-42.88M,87.18M,87.18M,,-8.412M,1.005M,78.77M,63.07M,264.50M,134.44M,130.06M,0.68,,0.5392,0.68,0.68,,0.5392,0.68,111.43M,111.50M,1.0
2019-03,354.75M,358.84M,101.50M,257.34M,24.68M,24.68M,,-7.361M,39.10M,,-39.10M,158.76M,98.58M,,39.10M,-39.10M,77.34M,-39.10M,136.82M,136.82M,,-7.659M,1.026M,129.16M,73.54M,310.00M,134.09M,175.92M,1.11,,0.6091,1.11,1.11,,0.6091,1.11,111.05M,111.05M,0.97
2018-12,337.78M,340.46M,97.68M,242.78M,22.38M,22.38M,,0.00,40.24M,,-40.24M,147.38M,95.41M,,40.24M,-40.24M,-73.80M,-40.24M,-18.63M,-18.63M,,-6.053M,1.155M,-24.68M,50.14M,146.60M,124.99M,21.61M,-0.3,,0.4055,-0.3,-0.3,,0.4044,-0.3,106.07M,106.22M,0.97
2018-09,336.55M,341.82M,99.76M,242.06M,22.66M,22.66M,,-1.122M,42.24M,,-42.24M,142.26M,99.80M,,42.24M,-42.24M,161.80M,-42.24M,219.36M,219.36M,,-5.723M,1.301M,213.64M,125.25M,381.20M,119.60M,261.60M,2.01,,1.162,2.01,1.99,,1.151,1.99,104.18M,105.38M,0.93
2018-06,322.79M,325.03M,91.91M,233.13M,22.94M,22.94M,,-6.311M,38.10M,,-38.10M,141.79M,91.34M,,38.10M,-38.10M,7.309M,-38.10M,60.55M,60.55M,,-5.817M,1.302M,54.73M,50.19M,217.50M,118.85M,98.64M,0.51,,0.4654,0.51,0.51,,0.4656,0.51,101.88M,102.24M,0.93
2018-03,317.66M,320.14M,91.77M,228.37M,22.42M,22.42M,,0.00,36.92M,,-36.92M,136.64M,91.73M,,36.92M,-36.92M,86.70M,-36.92M,141.52M,141.52M,,-5.888M,1.302M,135.63M,73.17M,292.65M,114.22M,178.43M,1.33,,0.7045,1.33,1.32,,0.6962,1.32,99.86M,100.12M,0.9
2017-12,487.17M,298.79M,88.07M,210.72M,18.91M,18.91M,,-2.781M,36.08M,,-36.08M,126.62M,84.09M,,36.08M,-36.08M,-2.405M,-36.08M,45.61M,45.61M,,-6.219M,1.302M,39.39M,41.06M,189.40M,107.71M,81.69M,0.39,,0.4075,0.39,0.38,,0.3974,0.38,95.18M,95.95M,0.9
2017-09,216.02M,285.37M,83.47M,201.90M,17.64M,17.64M,,0.00,31.03M,,-31.03M,125.42M,76.48M,,31.03M,-31.03M,14.10M,-31.03M,59.55M,59.55M,,-5.773M,1.302M,53.77M,53.77M,198.36M,107.79M,90.58M,0.55,,0.55,0.55,0.55,,0.55,0.55,92.60M,93.30M,0.86
2017-06,211.94M,273.06M,76.98M,196.08M,19.23M,19.23M,,-0.203M,31.75M,,-31.75M,123.33M,72.75M,,31.75M,-31.75M,0.497M,-31.75M,41.50M,41.50M,,-7.275M,1.278M,34.22M,34.28M,177.34M,104.10M,73.24M,0.35,,0.3506,0.35,0.35,,0.3506,0.35,90.22M,90.74M,0.86
2017-03,207.19M,270.88M,77.09M,193.79M,19.23M,19.23M,,-0.67M,29.78M,,-29.78M,116.41M,77.38M,,29.78M,-29.78M,-0.039M,-29.78M,47.56M,47.56M,,-5.844M,3.784M,41.71M,41.95M,174.52M,97.18M,77.34M,0.29,,0.2927,0.29,0.29,,0.2927,0.29,88.15M,88.20M,0.83
2016-12,187.32M,269.44M,73.24M,196.19M,17.46M,17.46M,,-16.02M,31.22M,,-33.45M,112.68M,83.51M,,31.22M,-33.45M,-30.27M,-33.45M,19.79M,19.79M,,-4.488M,3.835M,15.30M,33.52M,146.24M,95.22M,51.02M,-0.3,,-0.0746,-0.3,-0.3,,-0.0746,-0.3,80.83M,80.83M,0.83
2016-09,166.59M,225.32M,72.00M,153.32M,15.85M,15.85M,,-11.34M,25.85M,0.795M,-25.06M,92.99M,60.33M,0.795M,25.85M,-25.06M,-6.715M,-25.06M,28.56M,28.56M,,-4.084M,5.007M,24.48M,28.67M,131.54M,77.13M,54.41M,0.07,,0.1247,0.07,0.07,,0.1242,0.07,76.65M,77.40M,0.8
2016-06,161.64M,215.83M,67.32M,148.50M,15.38M,15.38M,,-156.14M,25.02M,0.574M,-24.45M,85.55M,62.95M,0.574M,25.02M,-24.45M,-146.61M,-24.45M,-108.12M,-108.12M,,-3.50M,5.474M,-111.62M,34.85M,-12.92M,70.17M,-83.09M,-1.72,,0.2508,-1.72,-1.72,,0.2508,-1.72,74.32M,74.32M,0.8
2016-03,158.28M,211.13M,65.84M,145.29M,15.19M,15.19M,,-28.98M,24.86M,0.854M,-24.00M,86.05M,59.24M,0.854M,24.86M,-24.00M,-25.27M,-24.00M,9.966M,9.966M,,-4.03M,5.907M,5.936M,20.86M,105.69M,70.87M,34.82M,-0.05,,0.1556,-0.05,-0.05,,0.1556,-0.05,72.58M,72.58M,0.8
2015-12,158.10M,213.38M,68.91M,144.47M,15.10M,15.10M,,-8.74M,28.23M,2.842M,-25.39M,87.35M,57.12M,2.842M,28.23M,-25.39M,11.24M,-25.39M,42.98M,42.98M,0.00,-0.972M,6.246M,42.00M,35.15M,143.45M,72.24M,71.21M,0.49,0.0,0.3946,0.49,0.49,0.0,0.3946,0.49,71.84M,71.84M,0.77
2015-09,155.31M,211.96M,68.85M,143.11M,15.14M,15.14M,,,27.68M,1.272M,-26.41M,83.10M,60.02M,1.272M,27.68M,-26.41M,6.088M,-26.41M,39.70M,39.70M,,-0.17M,6.247M,39.53M,36.30M,135.33M,67.95M,67.38M,0.46,0.0,0.4149,0.46,0.46,0.0,0.4149,0.46,71.50M,71.50M,0.77
2015-06,151.80M,201.66M,62.25M,139.41M,14.99M,14.99M,,-0.189M,26.67M,0.379M,-26.29M,77.16M,62.25M,0.379M,26.67M,-26.29M,2.473M,-26.29M,38.43M,38.43M,,-0.263M,6.246M,38.17M,37.01M,127.27M,62.17M,65.10M,0.44,0.0,0.4238,0.44,0.44,0.0,0.4238,0.44,71.41M,71.41M,0.77
2015-03,143.61M,192.56M,61.22M,131.33M,14.39M,14.39M,,-14.51M,23.24M,0.485M,-22.75M,73.31M,58.03M,0.485M,23.24M,-22.75M,-10.22M,-22.75M,25.05M,25.05M,-0.043M,-0.492M,6.247M,24.52M,31.04M,107.21M,58.92M,48.29M,0.25,0.0,0.3408,0.25,0.25,0.0,0.3408,0.25,71.37M,71.37M,0.74
2014-12,140.87M,186.71M,56.88M,129.83M,13.86M,13.86M,,-51.68M,22.19M,0.39M,-21.80M,71.83M,58.00M,0.39M,22.19M,-21.80M,-43.95M,-21.80M,-7.752M,-7.752M,1.722M,-1.362M,6.284M,-7.392M,35.39M,72.41M,57.97M,14.44M,-0.25,0.02,0.3741,-0.23,-0.25,0.02,0.3741,-0.23,71.32M,71.32M,0.74
2014-09,137.72M,183.85M,57.42M,126.43M,12.61M,12.61M,,-0.525M,20.56M,1.994M,-18.56M,71.00M,55.43M,1.994M,20.56M,-18.56M,-0.746M,-18.56M,36.12M,36.12M,-0.18M,-1.34M,6.471M,34.60M,35.27M,115.07M,58.39M,56.68M,0.39,0.0,0.3968,0.39,0.39,0.0,0.3968,0.39,71.20M,71.20M,0.72
2014-06,134.99M,176.85M,52.35M,124.50M,13.84M,13.84M,,,17.43M,0.911M,-16.52M,71.15M,53.35M,0.911M,17.43M,-16.52M,-0.564M,-16.52M,36.26M,36.26M,-0.147M,-1.307M,6.472M,34.81M,35.32M,111.01M,57.31M,53.70M,0.39,0.0,0.3952,0.39,0.39,0.0,0.3952,0.39,71.13M,71.13M,0.72
2014-03,130.57M,172.98M,52.51M,120.47M,13.22M,13.22M,,,19.12M,0.862M,-18.26M,63.64M,56.83M,0.862M,19.12M,-18.26M,2.346M,-18.26M,40.91M,40.91M,-0.162M,-1.195M,6.471M,39.55M,38.19M,110.46M,50.42M,60.03M,0.46,0.0,0.4385,0.46,0.46,0.0,0.4385,0.46,71.07M,71.07M,0.7
2013-12,125.69M,166.36M,49.89M,116.47M,12.75M,12.75M,,0.00,17.78M,1.079M,-16.70M,60.84M,55.63M,1.079M,17.78M,-16.70M,5.435M,-16.70M,44.36M,44.36M,-0.143M,-1.11M,6.471M,43.11M,39.72M,110.25M,48.10M,62.15M,0.51,0.0,0.4603,0.51,0.51,0.0,0.4603,0.51,71.03M,71.03M,0.68
2013-09,116.05M,155.07M,47.68M,107.39M,11.67M,11.67M,,-1.432M,16.17M,1.193M,-14.98M,60.53M,46.86M,1.193M,16.17M,-14.98M,0.618M,-14.98M,32.50M,32.50M,-0.043M,-0.96M,6.472M,31.49M,31.13M,97.77M,49.10M,48.67M,0.35,0.0,0.3443,0.35,0.35,0.0,0.3443,0.35,70.90M,70.90M,0.68
2013-06,114.49M,150.86M,46.28M,104.59M,12.46M,12.46M,,-0.56M,15.98M,0.99M,-14.99M,58.80M,45.79M,0.99M,15.98M,-14.99M,2.289M,-14.99M,33.09M,33.09M,0.249M,-0.98M,6.471M,32.36M,30.62M,95.65M,46.58M,49.07M,0.38,0.0,0.3578,0.38,0.38,0.0,0.3578,0.38,66.97M,66.97M,0.65
2013-03,111.53M,148.70M,45.19M,103.51M,11.65M,11.65M,,,18.02M,1.327M,-16.69M,57.48M,46.03M,1.327M,18.02M,-16.69M,0.06M,-16.69M,29.40M,29.40M,0.837M,-0.982M,6.471M,29.26M,28.38M,94.42M,47.00M,47.42M,0.35,0.01,0.3494,0.36,0.35,0.01,0.3494,0.36,63.16M,63.16M,0.6
2012-12,111.05M,147.75M,46.00M,101.75M,12.62M,12.62M,,7.749M,17.94M,0.893M,-17.05M,59.20M,42.56M,0.893M,17.94M,-17.05M,9.447M,-17.05M,34.95M,34.95M,-6.145M,-1.012M,6.471M,27.80M,27.80M,100.97M,48.07M,52.90M,0.3,0.03,0.2027,0.33,0.3,0.03,0.2027,0.33,63.10M,63.10M,0.56
2012-09,106.22M,141.15M,44.20M,96.94M,12.47M,12.47M,,-9.799M,17.09M,1.031M,-16.06M,59.05M,37.89M,1.031M,17.09M,-16.06M,-9.127M,-16.06M,12.70M,12.70M,5.603M,-0.828M,6.471M,17.48M,17.81M,77.97M,48.17M,29.79M,0.24,-0.07,0.3351,0.17,0.24,-0.07,0.3351,0.17,62.36M,62.36M,0.53
2012-06,104.33M,136.72M,42.10M,94.62M,12.30M,12.30M,,-1.602M,17.92M,0.833M,-17.09M,63.04M,31.58M,0.833M,17.92M,-17.09M,6.437M,-17.09M,20.93M,20.93M,4.713M,-0.851M,6.903M,24.79M,15.89M,91.20M,52.36M,38.85M,0.21,0.08,0.1421,0.29,0.21,0.08,0.1421,0.29,61.66M,61.66M,0.51
2012-03,101.20M,133.13M,40.45M,92.68M,10.36M,10.36M,,-0.623M,16.23M,0.607M,-15.62M,52.14M,40.54M,0.607M,16.23M,-15.62M,3.213M,-15.62M,28.13M,28.13M,4.645M,-0.711M,7.483M,32.06M,25.33M,87.76M,43.40M,44.36M,0.22,0.08,0.186,0.3,0.22,0.08,0.186,0.3,61.51M,61.51M,0.49
2011-12,44.46M,172.52M,,,-107.43M,-107.43M,,-0.994M,,,,-70.84M,,,,,,-13.90M,,24.32M,11.15M,-1.142M,7.09M,34.32M,23.82M,,40.97M,,0.27,0.17,0.2805,0.44,0.27,0.17,0.2805,0.44,61.50M,61.50M,0.49
2011-09,123.78M,123.78M,,,51.15M,51.15M,40.86M,-2.742M,,,,87.15M,,,,,,-14.27M,,31.14M,1.851M,-0.966M,7.089M,32.03M,31.96M,,39.99M,,0.37,0.03,0.3991,0.4,0.37,0.03,0.3991,0.4,61.30M,61.30M,0.47
2011-06,126.75M,126.75M,,,51.36M,51.36M,40.60M,-1.248M,,,,90.28M,,,,,,-16.57M,33.97M,33.97M,0.337M,-0.938M,7.089M,33.37M,33.85M,95.76M,45.22M,50.54M,0.43,0.01,0.4439,0.44,0.43,0.01,0.4439,0.44,58.50M,58.51M,0.45
2011-03,122.11M,122.11M,,,50.56M,50.56M,41.06M,,,,,87.14M,,,,,,-17.81M,32.48M,32.48M,0.15M,-0.929M,7.089M,31.70M,31.55M,86.87M,31.85M,50.28M,0.44,0.0,0.44,0.44,0.44,0.0,0.44,0.44,54.95M,54.97M,0.45
