,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,NotesReceivable,TotalReceivables,PrepaidExpenses,RestrictedCash,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,GrossLoans,NetLoanAssets,LongTermInvestments,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity
2020-09,446.26M,446.26M,7.641M,2.462M,10.10M,81.18M,38.79M,576.33M,,,,32.33M,471.05M,,503.38M,,503.38M,,,1.699B,,996.66M,476.79M,21.33B,21.91B,318.28M,143.04M,461.32M,274.08M,735.40M,48.10M,,,,,,783.51M,7.823B,618.11M,8.441B,277.96M,281.89M,1.622B,11.23M,68.88M,8.803B,9.587B,1.333M,,10.71B,,-10.64M,10.70B
2020-06,206.86M,206.86M,7.208M,2.24M,9.448M,14.44M,34.68M,265.43M,,,,31.03M,438.50M,,469.52M,,469.52M,,,1.683B,,976.86M,353.06M,19.80B,20.07B,233.66M,133.68M,367.34M,232.06M,599.40M,29.55M,,,,,,628.95M,7.523B,478.04M,8.001B,283.33M,286.96M,1.625B,12.12M,82.91M,8.383B,9.012B,1.246M,,9.443B,,-13.08M,9.431B
2020-03,445.26M,445.26M,14.98M,1.338M,16.31M,29.50M,43.12M,534.18M,,,,29.83M,454.93M,,484.76M,,484.76M,,,1.486B,,945.65M,369.43M,19.17B,19.70B,242.99M,129.98M,372.98M,246.75M,619.72M,15.55M,,,,,,635.27M,7.305B,490.99M,7.796B,288.07M,291.32M,1.580B,12.01M,64.96M,8.164B,8.800B,1.243M,,9.337B,,-15.61M,9.323B
2019-12,189.68M,189.68M,10.69M,0.435M,11.13M,11.32M,53.01M,265.14M,,,,23.03M,439.00M,,462.03M,,462.03M,,,1.527B,0.00,924.95M,313.69M,18.13B,18.39B,198.99M,126.28M,325.27M,275.82M,601.09M,14.04M,,,,,,615.13M,6.777B,466.58M,7.244B,275.86M,278.76M,1.288B,12.30M,86.08M,7.621B,8.236B,1.208M,,8.874B,,-9.749M,8.866B
2019-09,410.68M,410.68M,10.67M,0.459M,11.13M,15.49M,42.30M,479.58M,,,,17.51M,456.12M,,473.63M,,473.63M,,,1.370B,0.00,882.28M,202.16M,16.58B,17.06B,203.91M,115.58M,319.48M,287.81M,607.29M,14.16M,,,,,,621.45M,6.738B,419.88M,7.158B,249.67M,252.60M,1.161B,12.10M,62.92M,7.485B,8.107B,58.59M,,7.743B,57.46M,-11.55M,7.790B
2019-06,198.91M,198.91M,9.228M,0.482M,9.71M,15.01M,39.32M,262.94M,,,,16.72M,392.12M,,408.85M,,408.85M,,,1.432B,0.038M,847.03M,174.01M,15.78B,16.04B,149.30M,114.38M,263.68M,281.44M,545.12M,14.63M,,,,,1.699M,561.45M,6.356B,397.61M,6.754B,238.77M,241.20M,771.46M,10.99M,71.53M,7.078B,7.639B,58.58M,,7.582B,57.46M,-11.13M,7.629B
2019-03,261.37M,261.37M,9.645M,0.506M,10.15M,23.01M,54.43M,348.97M,,,,15.89M,350.63M,,366.52M,,366.52M,,,1.331B,0.494M,814.64M,176.93M,15.13B,15.48B,167.35M,110.41M,277.76M,285.82M,563.58M,9.878M,,,,,1.143M,574.60M,5.844B,406.78M,6.250B,246.34M,248.44M,777.45M,10.89M,51.96M,6.562B,7.136B,58.57M,,7.519B,57.46M,-10.71M,7.567B
2018-12,234.18M,234.18M,9.798M,0.528M,10.33M,13.69M,37.95M,296.15M,,,,14.79M,81.02M,,95.81M,,95.81M,,,1.169B,2.606M,785.37M,170.20M,14.17B,14.46B,215.54M,110.28M,325.82M,275.88M,601.70M,10.34M,,,,,0.768M,612.81M,5.478B,134.81M,5.613B,250.92M,280.47M,541.96M,10.79M,63.90M,5.968B,6.581B,65.45M,,7.287B,64.34M,-10.44M,7.342B
2018-09,204.18M,204.18M,11.04M,0.55M,11.59M,17.18M,29.70M,262.65M,,,,12.96M,71.08M,,84.04M,,84.04M,,,1.194B,4.724M,766.62M,177.52M,13.84B,14.11B,445.94M,101.08M,547.03M,,547.03M,13.20M,,,,,,560.22M,5.684B,128.01M,5.812B,237.59M,266.57M,529.83M,10.77M,53.38M,6.143B,6.703B,75.44M,,6.801B,74.39M,-3.811M,6.873B
2018-06,287.03M,287.03M,8.704M,0.572M,9.276M,13.10M,34.81M,344.21M,,,,11.54M,56.84M,,68.38M,,68.38M,,,1.022B,5.991M,732.06M,173.61M,13.22B,13.56B,394.44M,98.68M,493.11M,,493.11M,10.52M,,,,,,503.63M,5.614B,123.40M,5.738B,248.54M,276.91M,528.81M,10.86M,44.01M,6.069B,6.573B,75.42M,,6.388B,74.39M,-2.485M,6.460B
