,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,InterestPaidSupplementalData
2020-09,95.80M,,,-4.934M,-3.778M,44.06M,176.83M,,176.83M,176.83M,,7.68M,12.99M,-41.11M,-0.414M,36.73M,,-17.57M,18.75M,315.28M,,,,-0.43M,-5.196M,-25.76M,-1.468B,7.813M,250.00M,257.81M,1.309B,1.309B,,,,-133.68M,,-133.68M,,-37.56M,1.396B,241.54M,243.14M,0.363M,485.04M,1.309B,12.87B,-12.61B,,55.65M
2020-06,243.56M,,,-184.66M,-3.893M,-188.55M,168.03M,,168.03M,168.03M,,13.22M,9.185M,-35.30M,7.774M,-14.64M,,-3.83M,-10.69M,202.39M,,,,-0.268M,-12.18M,18.72M,-563.47M,217.39M,0.00,217.39M,0.00,0.00,,0.00,0.00,-129.98M,0.00,-129.98M,,25.88M,113.29M,488.37M,-247.78M,0.953M,241.54M,0.00,6.708B,-6.491B,0.00,25.22M
2020-03,30.68M,,,21.82M,3.116M,24.94M,175.50M,,175.50M,175.50M,,2.003M,9.929M,-35.20M,-4.874M,7.788M,,-19.98M,-17.06M,191.27M,,,,17.63M,4.684M,,-833.59M,535.05M,0.00,535.05M,504.34M,504.34M,,0.00,0.00,-126.28M,0.00,-126.28M,,-23.44M,889.68M,242.69M,247.35M,-1.668M,488.37M,504.34M,3.641B,-3.106B,0.00,65.50M
2019-12,216.05M,,,-153.14M,-4.777M,-157.92M,140.52M,,140.52M,140.52M,,12.33M,10.24M,-31.90M,-0.011M,24.71M,,-35.92M,-11.22M,178.29M,,,,-2.112M,-12.78M,-1.899M,-1.290B,32.58M,0.00,32.58M,980.96M,980.96M,,0.00,0.00,-114.57M,-1.003M,-115.57M,,3.84M,901.81M,452.97M,-210.35M,0.072M,242.69M,980.96M,3.221B,-3.188B,0.00,21.00M
2019-09,-36.00M,,,63.08M,-2.951M,100.33M,135.57M,,135.57M,135.57M,,0.00,10.94M,-32.20M,-1.459M,35.57M,,-16.45M,17.67M,197.23M,,,,-4.005M,6.162M,10.90M,-898.63M,359.71M,0.00,359.71M,150.09M,150.09M,,0.00,0.00,-113.54M,-1.006M,-114.55M,,521.21M,916.46M,238.22M,215.05M,-0.306M,452.97M,150.09M,3.821B,-3.461B,0.00,53.83M
2019-06,87.18M,,,-21.50M,-1.262M,-22.76M,134.44M,,134.44M,134.44M,,0.00,11.44M,-31.93M,0.406M,-5.028M,,-2.948M,-7.57M,171.61M,,,,-43.32M,-32.64M,-9.00M,-717.90M,512.46M,0.00,512.46M,85.39M,85.39M,,0.00,0.00,-109.57M,-1.006M,-110.58M,,-18.87M,468.41M,315.80M,-77.88M,0.302M,238.22M,85.39M,709.00M,-196.54M,0.00,21.74M
2019-03,136.82M,,,-83.56M,-1.146M,-77.34M,134.09M,,134.09M,134.09M,,0.00,11.03M,-32.68M,0.167M,-16.24M,,-19.96M,-36.04M,136.73M,,,,-52.63M,-22.29M,,-734.33M,344.87M,0.00,344.87M,0.00,0.00,,-9.24M,-9.24M,-109.34M,-1.126M,-110.47M,,415.65M,640.81M,272.13M,43.20M,0.472M,315.80M,0.00,2.259B,-1.914B,-9.24M,49.60M
2018-12,-18.63M,,,74.83M,-1.029M,73.80M,124.99M,,124.99M,124.99M,,0.00,9.81M,-21.48M,1.242M,0.012M,,-13.49M,-12.23M,156.25M,,,,-38.51M,-17.40M,-2.50M,-397.61M,-206.73M,,-206.73M,596.77M,596.77M,,-13.98M,-13.98M,-100.00M,-1.302M,-101.30M,,5.869M,280.63M,233.88M,39.27M,-1.017M,272.13M,596.77M,847.00M,-1.054B,-13.98M,27.46M
2018-09,219.36M,,,-122.20M,-40.72M,-161.80M,119.60M,,119.60M,119.60M,,0.00,9.986M,-23.17M,-2.359M,13.78M,,-19.69M,-8.272M,155.85M,,,,35.58M,-42.80M,-3.00M,-495.25M,69.75M,,69.75M,296.32M,296.32M,,0.00,0.00,-97.59M,-1.301M,-98.89M,,-15.86M,251.32M,321.84M,-88.08M,0.122M,233.88M,296.32M,1.434B,-1.364B,0.00,30.75M
2018-06,60.55M,,,-12.53M,-1.09M,-13.62M,118.85M,,118.85M,118.85M,,6.311M,7.975M,-26.47M,2.54M,-10.30M,,-16.66M,-24.42M,129.32M,,,,-22.16M,-43.84M,5.50M,-670.86M,410.25M,,410.25M,300.84M,300.84M,,0.00,0.00,-91.98M,-1.302M,-93.28M,,-12.64M,605.17M,258.98M,63.63M,-0.767M,321.84M,300.84M,2.336B,-1.926B,0.00,33.39M
2018-03,141.52M,,,-85.56M,-1.144M,-86.70M,114.22M,,114.22M,114.22M,,,7.248M,-36.83M,-0.988M,18.42M,,-28.10M,-10.67M,128.92M,,,,-58.25M,-30.23M,,-598.04M,444.95M,,444.95M,99.37M,99.37M,,0.00,0.00,-91.06M,-1.302M,-92.36M,,-0.641M,451.32M,277.19M,-17.80M,-0.406M,258.98M,99.37M,1.041B,-596.19M,0.00,35.49M
