,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,TotalCurrentAssets,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,NetLoanAssets,LongTermInvestments,LongTermDeferredTaxAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,OtherPayables,TotalPayables,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,SecuritySoldNotYetRepurchased,UnpaidLossReserve,UnearnedPremiumonInsuranceContract,MinorityInterestOwnership,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity
2008-03,207.00M,10.89B,11.10B,,,11.96B,,23.06B,11.09B,,1.354B,1.354B,,45.07B,1.445B,59.30B,76.89B,396.00M,881.00M,1.277B,1.277B,262.00M,262.00M,262.00M,,,1.539B,7.093B,,7.093B,,,,,28.50B,3.577B,3.788B,39.17B,55.85B,6.00M,14.27B,3.973B,8.00M,,-983.00M,17.26B
2007-12,140.00M,8.23B,8.37B,,,11.47B,,19.84B,10.22B,,1.353B,1.353B,,44.24B,441.00M,57.16B,76.12B,401.00M,580.00M,981.00M,981.00M,358.00M,358.00M,358.00M,,,1.339B,6.90B,,6.90B,,,,,28.59B,3.597B,,39.08B,58.52B,5.00M,13.69B,3.967B,8.00M,5.00M,-65.00M,17.59B
2007-09,127.00M,11.88B,12.01B,,,12.91B,,24.92B,9.637B,,1.346B,1.346B,,48.13B,845.40M,63.42B,78.96B,,,4.081B,4.081B,164.20M,164.20M,164.20M,,,4.245B,7.068B,,7.068B,,,,,40.75B,3.751B,3.652B,51.57B,58.03B,5.40M,13.82B,4.071B,679.50M,,59.10M,17.28B
2007-06,137.10M,14.25B,14.39B,,,14.53B,,28.91B,5.989B,,297.40M,297.40M,,51.90B,798.80M,62.39B,79.54B,,,4.315B,4.315B,164.10M,164.10M,164.10M,,,4.479B,4.957B,,4.957B,,,,,40.94B,3.882B,3.534B,49.78B,58.86B,6.50M,13.35B,4.065B,391.90M,,111.20M,17.14B
2007-03,128.50M,14.62B,14.75B,,,13.06B,,27.81B,5.720B,,297.40M,297.40M,,51.13B,605.20M,61.24B,76.74B,,,1.957B,1.957B,4.30M,4.30M,4.30M,,,1.962B,5.128B,,5.128B,,,,,41.07B,3.824B,3.406B,50.02B,56.42B,5.40M,12.78B,4.058B,321.70M,,393.70M,16.92B
2006-12,133.80M,12.82B,12.96B,,,13.03B,,25.98B,5.501B,,298.90M,298.90M,,51.70B,620.90M,61.41B,76.88B,,,1.586B,1.586B,4.60M,4.60M,4.60M,,,1.590B,5.568B,,5.568B,,,,,41.08B,3.784B,2.896B,50.43B,57.48B,6.50M,12.10B,4.018B,7.70M,,386.70M,16.50B
2006-09,155.70M,15.58B,15.73B,14.28B,,14.28B,,30.01B,5.280B,,298.90M,298.90M,,49.47B,628.10M,58.63B,75.78B,,,2.087B,2.087B,554.50M,554.50M,554.50M,,,2.641B,5.372B,,5.372B,,,,,41.61B,3.871B,2.534B,50.86B,57.16B,6.70M,11.84B,4.064B,206.80M,,381.70M,16.08B
2006-06,139.90M,11.03B,11.17B,,,14.80B,,25.96B,5.142B,,297.20M,297.20M,,44.66B,1.110B,53.95B,71.71B,,,2.281B,2.281B,554.30M,554.30M,554.30M,,,2.835B,4.587B,,4.587B,,,,,41.66B,3.907B,2.127B,50.15B,55.44B,557.20M,11.28B,2.63B,196.50M,,,14.14B
2006-03,141.00M,12.47B,12.61B,,,15.25B,,27.86B,5.051B,,298.40M,298.40M,,44.06B,964.10M,53.26B,71.33B,,,2.374B,2.374B,556.30M,556.30M,556.30M,,,2.930B,4.600B,,4.600B,,,,,41.91B,3.847B,2.047B,50.36B,55.97B,186.80M,10.84B,2.251B,63.30M,,,13.31B
2005-12,153.10M,9.107B,9.260B,,,15.31B,,24.57B,4.952B,,297.40M,297.40M,,43.60B,905.30M,52.55B,70.68B,,,2.038B,2.038B,598.20M,598.20M,598.20M,,,2.636B,4.609B,,4.609B,,,,,42.44B,3.706B,2.059B,50.75B,55.52B,186.60M,10.36B,2.238B,7.70M,,311.10M,13.09B
