,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,TotalCurrentAssets,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,NetLoanAssets,LongTermInvestments,LongTermDeferredTaxAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,OtherPayables,TotalPayables,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,SecuritySoldNotYetRepurchased,UnpaidLossReserve,UnearnedPremiumonInsuranceContract,MinorityInterestOwnership,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity
2018-03,451.00M,44.62B,45.07B,7.893B,,7.893B,,52.96B,15.46B,661.00M,,661.00M,974.00M,50.09B,,71.78B,80.79B,280.00M,,280.00M,280.00M,213.00M,213.00M,213.00M,,,493.00M,11.26B,,11.26B,734.00M,,734.00M,,,4.256B,5.316B,16.24B,56.94B,3.00M,16.32B,3.142B,517.00M,,-417.00M,18.53B
2017-12,472.00M,46.13B,46.60B,6.597B,602.00M,7.20B,,53.80B,15.43B,659.00M,638.00M,1.297B,945.00M,51.28B,,70.66B,79.59B,60.00M,,60.00M,60.00M,280.00M,280.00M,280.00M,,,340.00M,11.25B,,11.25B,749.00M,972.00M,1.721B,,11.67B,4.029B,5.362B,28.67B,55.02B,3.00M,16.10B,3.151B,20.00M,,-26.00M,19.20B
2017-09,416.00M,47.08B,47.49B,7.792B,,7.792B,,55.28B,15.48B,648.00M,,648.00M,825.00M,51.31B,,70.68B,79.53B,324.00M,,324.00M,324.00M,194.00M,194.00M,194.00M,,,518.00M,11.24B,,11.24B,905.00M,,905.00M,,,4.06B,5.34B,16.20B,55.17B,3.00M,15.81B,3.181B,6.00M,,32.00M,19.02B
2017-06,357.00M,46.66B,47.02B,7.977B,,7.977B,,54.99B,15.45B,647.00M,,647.00M,748.00M,50.86B,,70.12B,79.10B,478.00M,,478.00M,478.00M,192.00M,192.00M,192.00M,,,670.00M,11.09B,,11.09B,852.00M,,852.00M,,,4.107B,5.29B,16.05B,55.00B,3.00M,15.68B,3.178B,6.00M,,-36.00M,18.82B
2017-03,412.00M,45.97B,46.38B,7.783B,,7.783B,,54.17B,15.16B,346.00M,,346.00M,708.00M,50.31B,,68.29B,77.11B,302.00M,,302.00M,302.00M,156.00M,156.00M,156.00M,,,458.00M,10.53B,,10.53B,785.00M,,785.00M,,,3.912B,5.246B,15.23B,53.38B,3.00M,15.47B,3.168B,,,-149.00M,18.49B
2016-12,327.00M,45.66B,45.98B,6.671B,609.00M,7.234B,,53.22B,15.23B,346.00M,142.00M,488.00M,683.00M,50.03B,,68.02B,76.59B,150.00M,,150.00M,150.00M,110.00M,110.00M,110.00M,,,260.00M,10.67B,,10.67B,636.00M,,636.00M,,11.86B,3.762B,5.198B,26.93B,53.23B,3.00M,15.20B,3.187B,,,-223.00M,18.16B
2016-09,344.00M,47.21B,47.56B,7.853B,,7.853B,,55.41B,15.20B,347.00M,,347.00M,719.00M,51.67B,,69.69B,78.51B,451.00M,,451.00M,451.00M,185.00M,185.00M,185.00M,,,636.00M,10.74B,,10.74B,735.00M,,735.00M,,,3.862B,5.136B,15.33B,55.10B,3.00M,15.03B,3.207B,115.00M,,144.00M,18.27B
2016-06,348.00M,47.18B,47.53B,8.616B,,8.616B,,56.14B,15.13B,348.00M,,348.00M,696.00M,51.66B,,69.60B,79.18B,1.31B,,1.31B,1.31B,330.00M,330.00M,330.00M,,,1.64B,10.74B,,10.74B,604.00M,,604.00M,,,3.865B,5.086B,15.20B,56.15B,3.00M,14.72B,3.197B,98.00M,,119.00M,17.94B
2016-03,308.00M,45.53B,45.84B,8.227B,,8.227B,,54.06B,15.35B,350.00M,,350.00M,822.00M,49.83B,,68.07B,77.22B,630.00M,,630.00M,630.00M,3.00M,3.00M,3.00M,,,633.00M,10.58B,,10.58B,540.00M,,540.00M,,,3.807B,5.292B,14.93B,54.10B,3.00M,14.81B,3.177B,33.00M,,-126.00M,17.83B
2015-12,440.00M,44.39B,44.83B,6.582B,1.064B,7.633B,,52.46B,15.48B,351.00M,,351.00M,824.00M,48.58B,,66.93B,76.01B,567.00M,,567.00M,567.00M,1.04B,1.04B,1.04B,,,1.607B,9.52B,,9.52B,382.00M,,382.00M,,12.10B,3.671B,5.249B,25.68B,53.20B,3.00M,14.73B,3.184B,,,-357.00M,17.56B
2015-09,328.00M,45.29B,45.62B,8.079B,,8.079B,,53.70B,15.90B,352.00M,,352.00M,787.00M,49.76B,,68.52B,77.53B,733.00M,,733.00M,733.00M,1.278B,1.278B,1.278B,,,2.011B,9.492B,,9.492B,796.00M,,796.00M,,,3.706B,5.409B,13.99B,53.38B,4.00M,15.91B,3.49B,633.00M,,-23.00M,18.74B
2015-06,249.00M,45.71B,45.96B,8.097B,,8.097B,,54.05B,15.92B,373.00M,,373.00M,768.00M,50.28B,,69.05B,78.02B,741.00M,,741.00M,741.00M,1.061B,1.061B,1.061B,,,1.802B,9.791B,,9.791B,773.00M,,773.00M,,,3.815B,5.35B,14.38B,53.68B,4.00M,15.75B,3.483B,305.00M,,53.00M,18.98B
2015-03,271.00M,46.94B,47.21B,8.157B,,8.157B,,55.37B,15.38B,371.00M,,371.00M,732.00M,51.46B,,69.58B,78.62B,926.00M,,926.00M,926.00M,687.00M,687.00M,687.00M,,,1.613B,9.863B,,9.863B,930.00M,,930.00M,,,3.71B,5.322B,14.50B,53.99B,4.00M,15.60B,3.477B,71.00M,,298.00M,19.31B
2014-12,364.00M,46.78B,47.14B,6.691B,709.00M,7.358B,,54.50B,15.61B,374.00M,,374.00M,731.00M,51.30B,,69.63B,78.37B,673.00M,,673.00M,673.00M,335.00M,335.00M,335.00M,,,1.008B,10.33B,,10.33B,893.00M,,893.00M,,12.26B,3.592B,5.37B,27.07B,53.72B,4.00M,15.52B,3.481B,,,280.00M,19.28B
2014-09,637.00M,47.41B,48.04B,8.185B,,8.185B,,56.23B,14.41B,353.00M,,353.00M,,52.64B,,69.08B,78.53B,663.00M,,663.00M,663.00M,850.00M,850.00M,850.00M,,,1.513B,10.05B,,10.05B,1.03B,,1.03B,,,3.703B,5.459B,14.78B,53.41B,4.00M,15.82B,3.613B,415.00M,,638.00M,19.66B
2014-06,277.00M,47.71B,47.99B,8.441B,,8.441B,,56.43B,14.13B,355.00M,,355.00M,,52.95B,,69.12B,82.89B,815.00M,,815.00M,815.00M,974.00M,974.00M,974.00M,,,1.789B,9.828B,,9.828B,996.00M,,996.00M,,,3.851B,5.498B,14.68B,57.54B,4.00M,15.63B,3.608B,195.00M,,807.00M,19.86B
2014-03,301.00M,46.99B,47.29B,8.355B,,8.355B,,55.64B,14.97B,354.00M,,354.00M,,52.06B,,69.01B,81.80B,882.00M,,882.00M,882.00M,854.00M,854.00M,854.00M,,,1.736B,10.46B,,10.46B,898.00M,,898.00M,,,3.838B,5.429B,15.19B,56.69B,4.00M,15.54B,3.604B,24.00M,,563.00M,19.69B
2013-12,294.00M,47.97B,48.26B,8.08B,1.034B,8.89B,,57.15B,13.52B,357.00M,,357.00M,562.00M,52.38B,,68.46B,79.94B,134.00M,,134.00M,134.00M,819.00M,819.00M,819.00M,,,953.00M,9.525B,,9.525B,716.00M,,716.00M,,12.26B,3.718B,5.448B,26.22B,55.03B,4.00M,15.51B,3.607B,,,339.00M,19.46B
2013-09,257.00M,47.41B,47.67B,9.023B,,9.023B,,56.69B,14.38B,991.00M,,991.00M,496.00M,51.86B,,69.38B,79.51B,326.00M,,326.00M,326.00M,270.00M,270.00M,270.00M,,,596.00M,9.705B,,9.705B,831.00M,,831.00M,,,3.82B,5.466B,14.36B,54.69B,4.00M,15.91B,3.648B,228.00M,,20.00M,19.36B
2013-06,166.00M,47.49B,47.66B,9.519B,,9.519B,,57.18B,14.52B,989.00M,,989.00M,473.00M,51.86B,,69.46B,80.05B,520.00M,,520.00M,520.00M,33.00M,33.00M,33.00M,,,553.00M,10.04B,,10.04B,749.00M,,749.00M,,,3.869B,5.491B,14.66B,55.40B,4.00M,15.65B,3.643B,187.00M,,37.00M,19.15B
2013-03,179.00M,48.64B,48.82B,9.605B,,9.605B,,58.42B,14.20B,993.00M,,993.00M,473.00M,52.71B,,69.91B,80.61B,738.00M,,738.00M,738.00M,19.00M,19.00M,19.00M,,,757.00M,9.418B,,9.418B,895.00M,,895.00M,,,3.759B,5.251B,14.07B,55.90B,4.00M,15.41B,3.589B,102.00M,,566.00M,19.47B
2012-12,228.00M,48.44B,48.67B,8.141B,876.00M,8.929B,,57.60B,13.94B,996.00M,,996.00M,460.00M,52.59B,,69.52B,80.02B,205.00M,,205.00M,205.00M,19.00M,19.00M,19.00M,,,224.00M,9.191B,,9.191B,840.00M,,840.00M,,12.67B,3.61B,5.217B,26.31B,55.34B,4.00M,15.19B,3.595B,10.00M,,678.00M,19.46B
2012-09,169.00M,6.107B,6.276B,9.474B,,9.474B,,15.75B,13.56B,939.00M,,939.00M,,49.56B,,65.60B,79.55B,808.00M,,808.00M,808.00M,18.00M,18.00M,18.00M,,,826.00M,8.848B,,8.848B,1.122B,,1.122B,,24.33B,3.681B,5.023B,37.98B,54.69B,4.00M,15.42B,3.595B,139.00M,,964.00M,19.84B
2012-06,136.00M,5.595B,5.731B,9.145B,,9.145B,,14.88B,13.71B,908.00M,,908.00M,,47.98B,,64.00B,77.33B,395.00M,,395.00M,395.00M,88.00M,88.00M,88.00M,,,483.00M,9.048B,,9.048B,952.00M,,952.00M,,24.01B,3.478B,4.736B,37.48B,53.09B,4.00M,15.26B,3.543B,51.00M,,746.00M,19.50B
2012-03,99.00M,5.558B,5.657B,9.409B,,9.409B,,15.07B,13.52B,908.00M,,908.00M,,47.76B,,63.55B,77.24B,920.00M,,920.00M,920.00M,88.00M,88.00M,88.00M,,,1.008B,8.954B,,8.954B,937.00M,,937.00M,,24.20B,3.383B,4.693B,37.48B,53.12B,4.00M,15.23B,3.538B,,,654.00M,19.43B
2011-12,129.00M,45.04B,45.16B,7.727B,1.076B,8.817B,,53.98B,13.62B,908.00M,,908.00M,245.00M,48.78B,,64.91B,75.27B,162.00M,,162.00M,162.00M,88.00M,88.00M,88.00M,,,250.00M,8.913B,,8.913B,622.00M,,622.00M,,12.54B,3.25B,4.431B,25.32B,52.06B,4.00M,14.89B,3.494B,,,384.00M,18.77B
