,NetIncome,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DeferredTaxes,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,CashfromDiscontinuedOperationsAdjustment,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2020-09,162.00M,,,,73.00M,301.00M,,,-131.00M,284.00M,,616.00M,,851.00M,-144.00M,,-144.00M,28.00M,-596.00M,-71.00M,-783.00M,359.00M,,359.00M,,-187.00M,-187.00M,-17.00M,-17.00M,-10.00M,145.00M,668.00M,213.00M,5.00M,886.00M,,,1.051B,-692.00M,-187.00M
2020-06,-846.00M,,,,1.067B,-308.00M,,,-164.00M,242.00M,,-110.00M,,111.00M,-207.00M,,-207.00M,8.00M,-76.00M,-477.00M,-752.00M,446.00M,,446.00M,,-33.00M,-33.00M,-18.00M,-18.00M,-29.00M,366.00M,939.00M,-275.00M,4.00M,668.00M,,,688.00M,-242.00M,-33.00M
2020-03,-1.044B,,,,1.363B,-266.00M,,,-116.00M,-288.00M,,10.00M,,329.00M,-233.00M,,-233.00M,172.00M,641.00M,-153.00M,427.00M,431.00M,,431.00M,,-458.00M,-458.00M,-18.00M,-18.00M,-99.00M,-144.00M,336.00M,612.00M,-9.00M,939.00M,,,654.00M,-223.00M,-458.00M
2019-12,211.00M,,,,-660.00M,-65.00M,,,30.00M,-122.00M,,-75.00M,,470.00M,-298.00M,,-298.00M,34.00M,160.00M,-83.00M,-187.00M,46.00M,,46.00M,,-408.00M,-408.00M,-19.00M,-19.00M,-16.00M,-397.00M,442.00M,-114.00M,8.00M,336.00M,,,206.00M,-160.00M,-408.00M
2019-09,39.00M,,,,143.00M,258.00M,,,-90.00M,242.00M,,615.00M,,797.00M,-238.00M,,-238.00M,93.00M,-381.00M,-2.00M,-528.00M,-66.00M,,-66.00M,,-165.00M,-165.00M,-19.00M,-19.00M,-12.00M,-262.00M,440.00M,7.00M,-5.00M,442.00M,,,336.00M,-402.00M,-165.00M
2019-06,225.00M,,,,235.00M,-94.00M,,,-153.00M,177.00M,,-67.00M,,393.00M,-282.00M,,-282.00M,77.00M,-19.00M,-32.00M,-256.00M,158.00M,,158.00M,,-161.00M,-161.00M,-19.00M,-19.00M,-14.00M,-36.00M,339.00M,101.00M,0.00,440.00M,,,1.342B,-1.184B,-161.00M
2019-03,396.00M,,,,369.00M,15.00M,,,-143.00M,-104.00M,,-684.00M,,81.00M,-223.00M,,-223.00M,223.00M,361.00M,-61.00M,300.00M,-18.00M,,-18.00M,,-317.00M,-317.00M,-19.00M,-19.00M,-95.00M,-449.00M,405.00M,-68.00M,2.00M,339.00M,,,192.00M,-210.00M,-317.00M
2018-12,-211.00M,,,,-1.049B,-149.00M,,,67.00M,-27.00M,,486.00M,,827.00M,-264.00M,,-264.00M,29.00M,-436.00M,-56.00M,-727.00M,-91.00M,,-91.00M,,-137.00M,-137.00M,-20.00M,-20.00M,-12.00M,-260.00M,571.00M,-160.00M,-6.00M,405.00M,,,172.00M,-263.00M,-137.00M
2018-09,289.00M,,,,627.00M,525.00M,,,-18.00M,40.00M,,328.00M,,1.244B,-251.00M,,-251.00M,84.00M,715.00M,-28.00M,520.00M,-15.00M,,-15.00M,,-1.594B,-1.594B,-20.00M,-20.00M,-18.00M,-1.647B,453.00M,117.00M,1.00M,571.00M,,,160.00M,-175.00M,-1.594B
2018-06,248.00M,,,,309.00M,-360.00M,,,-95.00M,100.00M,,1.081B,,1.638B,-250.00M,,-250.00M,7.00M,-1.017B,-33.00M,-1.293B,-2.00M,,-2.00M,,-302.00M,-302.00M,-20.00M,-20.00M,-13.00M,-337.00M,451.00M,8.00M,-6.00M,453.00M,,,300.00M,-302.00M,-302.00M
