,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,3.429B,3.429B,2.228B,1.201B,790.00M,,63.00M,-63.00M,790.00M,411.00M,63.00M,-63.00M,70.00M,-63.00M,418.00M,65.00M,352.00M,,-4.00M,348.00M,348.00M,602.00M,121.00M,481.00M,1.02,,,,1.02,1.02,1.01,,,,1.01,1.01,343.00M,346.00M,0.57
2020-06,3.465B,3.465B,2.268B,1.197B,691.00M,,69.00M,-69.00M,691.00M,506.00M,69.00M,-69.00M,30.00M,-69.00M,467.00M,109.00M,354.00M,,-3.00M,351.00M,351.00M,653.00M,117.00M,536.00M,1.02,,,,1.02,1.02,1.02,,,,1.02,1.02,343.00M,345.00M,0.57
2020-03,3.412B,3.412B,2.268B,1.144B,685.00M,,64.00M,-64.00M,685.00M,459.00M,64.00M,-64.00M,51.00M,-64.00M,446.00M,94.00M,350.00M,,-3.00M,347.00M,347.00M,627.00M,117.00M,510.00M,1.01,,,,1.01,1.01,1.01,,,,1.01,1.01,342.00M,344.00M,0.57
2019-12,3.223B,3.223B,2.135B,1.088B,728.00M,,63.00M,-63.00M,728.00M,360.00M,63.00M,-63.00M,-59.00M,-63.00M,238.00M,84.00M,152.00M,,-7.00M,145.00M,145.00M,425.00M,124.00M,301.00M,0.43,,,,0.43,0.43,0.42,,,,0.42,0.42,341.00M,346.00M,0.57
2019-09,3.372B,3.372B,2.372B,1.00B,737.00M,,72.00M,-72.00M,737.00M,263.00M,72.00M,-72.00M,150.00M,-72.00M,341.00M,91.00M,248.00M,,-1.00M,247.00M,247.00M,530.00M,117.00M,413.00M,0.73,,,,0.73,0.73,0.72,,,,0.72,0.72,341.00M,342.00M,0.57
2019-06,3.461B,3.461B,2.275B,1.186B,789.00M,,75.00M,-75.00M,789.00M,397.00M,75.00M,-75.00M,45.00M,-75.00M,367.00M,74.00M,292.00M,,-6.00M,286.00M,286.00M,561.00M,119.00M,442.00M,0.84,,,,0.84,0.84,0.84,,,,0.84,0.84,340.00M,341.00M,0.56
2019-03,3.522B,3.522B,2.415B,1.107B,726.00M,,74.00M,-74.00M,726.00M,381.00M,74.00M,-74.00M,52.00M,-74.00M,359.00M,72.00M,285.00M,,-3.00M,282.00M,282.00M,557.00M,124.00M,433.00M,0.82,,,,0.82,0.82,0.82,,,,0.82,0.82,342.00M,343.00M,0.56
2018-12,3.317B,3.317B,2.228B,1.089B,763.00M,,74.00M,-74.00M,763.00M,326.00M,74.00M,-74.00M,-359.00M,-74.00M,-107.00M,-25.00M,-82.00M,,-2.00M,-84.00M,-84.00M,109.00M,142.00M,-33.00M,-0.24,,,,-0.24,-0.24,-0.24,,,,-0.24,-0.24,350.00M,350.00M,0.56
2018-09,3.469B,3.469B,2.293B,1.176B,780.00M,,72.00M,-72.00M,780.00M,396.00M,72.00M,-72.00M,130.00M,-72.00M,454.00M,69.00M,383.00M,,-3.00M,380.00M,380.00M,666.00M,140.00M,526.00M,1.1,,,,1.1,1.1,1.09,,,,1.09,1.09,347.00M,349.00M,0.56
2018-06,3.36B,3.36B,2.151B,1.209B,735.00M,,72.00M,-72.00M,735.00M,474.00M,72.00M,-72.00M,69.00M,-72.00M,471.00M,70.00M,599.00M,,-3.00M,596.00M,596.00M,655.00M,112.00M,543.00M,1.72,,,,1.72,1.72,1.71,,,,1.71,1.71,347.00M,348.00M,0.54
