,OperatingRevenue,Revenue,GeneralandAdministrativeExpense,SG&AExpense,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,8.275B,8.275B,1.109B,1.109B,87.00M,-87.00M,,1.109B,87.00M,-87.00M,86.00M,-87.00M,986.00M,159.00M,827.00M,,,,,827.00M,827.00M,186.00M,1.073B,3.24,,,3.24,3.24,3.23,,,3.23,3.23,253.30M,254.30M,0.85
2020-06,7.401B,7.401B,1.121B,1.121B,85.00M,-85.00M,,1.121B,85.00M,-85.00M,51.00M,-85.00M,-85.00M,-45.00M,-40.00M,,,,,-40.00M,-40.00M,188.00M,0.00,-0.16,,,-0.16,-0.16,-0.16,,,-0.16,-0.16,251.60M,251.60M,0.85
2020-03,7.908B,7.908B,1.137B,1.137B,84.00M,-84.00M,,1.137B,84.00M,-84.00M,58.00M,-84.00M,720.00M,120.00M,600.00M,,,,,600.00M,600.00M,203.00M,804.00M,2.34,,,2.34,2.34,2.33,,,2.33,2.33,254.40M,255.90M,0.82
2019-12,8.063B,8.063B,1.085B,1.085B,83.00M,-83.00M,,1.085B,83.00M,-83.00M,72.00M,-83.00M,1.074B,201.00M,873.00M,,,,,873.00M,873.00M,182.00M,1.157B,3.37,,,3.37,3.37,3.35,,,3.35,3.35,256.70M,259.00M,0.82
2019-09,8.013B,8.013B,1.098B,1.098B,84.00M,-84.00M,,1.098B,84.00M,-84.00M,68.00M,-84.00M,432.00M,36.00M,396.00M,,,,,396.00M,396.00M,180.00M,516.00M,1.52,,,1.52,1.52,1.5,,,1.5,1.5,259.20M,261.80M,0.82
2019-06,7.834B,7.834B,1.125B,1.125B,89.00M,-89.00M,,1.125B,89.00M,-89.00M,57.00M,-89.00M,665.00M,108.00M,557.00M,,,,,557.00M,557.00M,190.00M,754.00M,2.11,,,2.11,2.11,2.1,,,2.1,2.1,261.30M,263.70M,0.82
2019-03,7.671B,7.671B,1.057B,1.057B,88.00M,-88.00M,,1.057B,88.00M,-88.00M,72.00M,-88.00M,967.00M,171.00M,796.00M,,,,,796.00M,796.00M,211.00M,1.055B,3.01,,,3.01,3.01,2.99,,,2.99,2.99,262.90M,264.80M,0.77
2018-12,7.796B,7.796B,1.063B,1.063B,87.00M,-87.00M,,1.063B,87.00M,-87.00M,53.00M,-87.00M,746.00M,125.00M,621.00M,,,,,621.00M,621.00M,194.00M,833.00M,2.15,,,2.15,2.15,2.13,,,2.13,2.13,263.80M,265.90M,0.77
2018-09,7.723B,7.723B,1.059B,1.059B,86.00M,-86.00M,,1.059B,86.00M,-86.00M,57.00M,-86.00M,806.00M,97.00M,709.00M,,,,,709.00M,709.00M,198.00M,892.00M,2.65,,,2.65,2.65,2.62,,,2.62,2.62,266.10M,268.40M,0.77
2018-06,7.477B,7.477B,1.113B,1.113B,90.00M,-90.00M,,1.113B,90.00M,-90.00M,39.00M,-90.00M,631.00M,107.00M,524.00M,,,,,524.00M,524.00M,199.00M,721.00M,1.93,,,1.93,1.93,1.92,,,1.92,1.92,268.70M,271.10M,0.77
2018-03,7.286B,7.286B,1.062B,1.062B,89.00M,-89.00M,,1.062B,89.00M,-89.00M,54.00M,-89.00M,778.00M,109.00M,669.00M,,,,,669.00M,669.00M,212.00M,867.00M,2.45,,,2.45,2.45,2.42,,,2.42,2.42,271.00M,273.90M,0.72
2017-12,7.451B,7.451B,1.084B,1.084B,93.00M,-93.00M,,1.084B,93.00M,-93.00M,49.00M,-93.00M,860.00M,309.00M,551.00M,,,,,551.00M,551.00M,202.00M,953.00M,2.0,,,2.0,2.0,1.98,,,1.98,1.98,272.70M,275.60M,0.72
2017-09,7.325B,7.325B,1.045B,1.045B,95.00M,-95.00M,,1.045B,95.00M,-95.00M,40.00M,-95.00M,320.00M,27.00M,293.00M,,,,,293.00M,293.00M,202.00M,415.00M,1.06,,,1.06,1.06,1.05,,,1.05,1.05,274.10M,276.60M,0.72
2017-06,7.184B,7.184B,1.045B,1.045B,92.00M,-92.00M,,1.045B,92.00M,-92.00M,39.00M,-92.00M,790.00M,195.00M,595.00M,,,,,595.00M,595.00M,198.00M,882.00M,2.13,,,2.13,2.13,2.11,,,2.11,2.11,277.50M,280.00M,0.72
2017-03,6.942B,6.942B,996.00M,996.00M,89.00M,-89.00M,,996.00M,89.00M,-89.00M,31.00M,-89.00M,760.00M,143.00M,617.00M,,,,,617.00M,617.00M,211.00M,849.00M,2.19,,,2.19,2.19,2.17,,,2.17,2.17,279.70M,282.40M,0.67
2016-12,7.193B,7.193B,1.048B,1.048B,90.00M,-90.00M,,1.048B,90.00M,-90.00M,148.00M,-90.00M,1.302B,359.00M,943.00M,,,,,943.00M,943.00M,202.00M,1.392B,3.32,,,3.32,3.32,3.28,,,3.28,3.28,282.40M,283.20M,0.67
2016-09,6.961B,6.961B,1.057B,1.057B,89.00M,-89.00M,,1.057B,89.00M,-89.00M,31.00M,-89.00M,947.00M,231.00M,716.00M,,,,,716.00M,716.00M,211.00M,1.036B,2.48,,,2.48,2.48,2.45,,,2.45,2.45,286.00M,289.80M,0.67
2016-06,6.785B,6.785B,1.054B,1.054B,93.00M,-93.00M,,1.054B,93.00M,-93.00M,31.00M,-93.00M,887.00M,223.00M,664.00M,,,,,664.00M,664.00M,200.00M,980.00M,2.27,,,2.27,2.27,2.24,,,2.24,2.24,290.10M,293.60M,0.67
2016-03,6.686B,6.686B,995.00M,995.00M,91.00M,-91.00M,,995.00M,91.00M,-91.00M,53.00M,-91.00M,917.00M,226.00M,691.00M,,,,,691.00M,691.00M,213.00M,1.008B,2.33,,,2.33,2.33,2.3,,,2.3,2.3,294.20M,297.90M,0.61
2015-12,6.678B,6.678B,1.039B,1.039B,95.00M,-95.00M,,1.039B,95.00M,-95.00M,31.00M,-95.00M,1.209B,343.00M,866.00M,,,,,866.00M,866.00M,198.00M,1.304B,2.87,,,2.87,2.87,2.83,,,2.83,2.83,299.50M,302.50M,0.61
2015-09,6.798B,6.798B,1.028B,1.028B,94.00M,-94.00M,,1.028B,94.00M,-94.00M,21.00M,-94.00M,1.307B,379.00M,928.00M,,,,,928.00M,928.00M,191.00M,1.401B,3.0,,,3.0,3.0,2.97,,,2.97,2.97,307.60M,311.00M,0.61
2015-06,6.71B,6.71B,1.032B,1.032B,92.00M,-92.00M,,1.032B,92.00M,-92.00M,22.00M,-92.00M,1.076B,264.00M,812.00M,,,,,812.00M,812.00M,204.00M,1.168B,2.56,,,2.56,2.56,2.53,,,2.53,2.53,314.80M,318.00M,0.61
2015-03,6.629B,6.629B,995.00M,995.00M,92.00M,-92.00M,,995.00M,92.00M,-92.00M,25.00M,-92.00M,1.148B,315.00M,833.00M,,,,,833.00M,833.00M,225.00M,1.24B,2.58,,,2.58,2.58,2.55,,,2.55,2.55,320.80M,324.50M,0.55
2014-12,6.795B,6.795B,1.051B,1.051B,92.00M,-92.00M,,1.051B,92.00M,-92.00M,36.00M,-92.00M,1.46B,422.00M,1.038B,,,,,1.038B,1.038B,211.00M,1.552B,3.15,,,3.15,3.15,3.11,,,3.11,3.11,326.50M,330.50M,0.55
2014-09,6.886B,6.886B,1.031B,1.031B,93.00M,-93.00M,,1.031B,93.00M,-93.00M,34.00M,-93.00M,1.258B,339.00M,919.00M,,,,,919.00M,919.00M,211.00M,1.351B,2.72,,,2.72,2.72,2.69,,,2.69,2.69,335.10M,338.90M,0.55
2014-06,6.785B,6.785B,1.001B,1.001B,92.00M,-92.00M,,1.001B,92.00M,-92.00M,34.00M,-92.00M,901.00M,218.00M,683.00M,,,,,683.00M,683.00M,215.00M,993.00M,1.98,,,1.98,1.98,1.95,,,1.95,1.95,343.00M,346.70M,0.55
2014-03,6.708B,6.708B,881.00M,881.00M,92.00M,-92.00M,,881.00M,92.00M,-92.00M,41.00M,-92.00M,1.47B,418.00M,1.052B,,,,,1.052B,1.052B,227.00M,1.562B,2.98,,,2.98,2.98,2.95,,,2.95,2.95,350.90M,354.60M,0.5
2013-12,6.737B,6.737B,977.00M,977.00M,92.00M,-92.00M,,977.00M,92.00M,-92.00M,64.00M,-92.00M,1.371B,383.00M,988.00M,,,,,988.00M,988.00M,225.00M,1.463B,2.73,,,2.73,2.73,2.7,,,2.7,2.7,358.90M,362.90M,0.5
2013-09,6.452B,6.452B,934.00M,934.00M,91.00M,-91.00M,,934.00M,91.00M,-91.00M,44.00M,-91.00M,1.177B,313.00M,864.00M,,,,,864.00M,864.00M,207.00M,1.268B,2.33,,,2.33,2.33,2.3,,,2.3,2.3,368.90M,372.90M,0.5
2013-06,6.674B,6.674B,931.00M,931.00M,86.00M,-86.00M,,931.00M,86.00M,-86.00M,135.00M,-86.00M,1.177B,252.00M,925.00M,,,,,925.00M,925.00M,216.00M,1.263B,2.44,,,2.44,2.44,2.41,,,2.41,2.41,375.90M,379.90M,0.5
2013-03,6.328B,6.328B,915.00M,915.00M,92.00M,-92.00M,,915.00M,92.00M,-92.00M,34.00M,-92.00M,1.22B,324.00M,896.00M,,,,,896.00M,896.00M,219.00M,1.312B,2.36,,,2.36,2.36,2.33,,,2.33,2.33,377.70M,381.90M,0.46
2012-12,6.477B,6.477B,929.00M,929.00M,93.00M,-93.00M,,929.00M,93.00M,-93.00M,20.00M,-93.00M,311.00M,7.00M,304.00M,,,,,304.00M,304.00M,209.00M,404.00M,0.79,,,0.79,0.79,0.78,,,0.78,0.78,380.80M,384.70M,0.46
2012-09,6.512B,6.512B,904.00M,904.00M,93.00M,-93.00M,,904.00M,93.00M,-93.00M,34.00M,-93.00M,1.17B,306.00M,864.00M,,,,,864.00M,864.00M,206.00M,1.263B,2.23,,,2.23,2.23,2.21,,,2.21,2.21,384.00M,387.90M,0.46
2012-06,6.359B,6.359B,893.00M,893.00M,96.00M,-96.00M,,893.00M,96.00M,-96.00M,29.00M,-96.00M,608.00M,109.00M,499.00M,,,,,499.00M,499.00M,196.00M,704.00M,1.27,,,1.27,1.27,1.26,,,1.26,1.26,388.00M,391.60M,0.46
2012-03,6.392B,6.392B,884.00M,884.00M,96.00M,-96.00M,,884.00M,96.00M,-96.00M,37.00M,-96.00M,1.077B,271.00M,806.00M,,,,,806.00M,806.00M,216.00M,1.173B,2.04,,,2.04,2.04,2.02,,,2.02,2.02,392.00M,395.80M,0.41
2011-12,6.373B,6.373B,,906.00M,96.00M,-96.00M,,906.00M,96.00M,-96.00M,27.00M,-96.00M,778.00M,160.00M,618.00M,,,,,618.00M,618.00M,203.00M,874.00M,1.5,,,1.5,1.5,1.48,,,1.48,1.48,402.00M,405.20M,0.41
2011-09,6.407B,6.407B,,860.00M,97.00M,-97.00M,,860.00M,97.00M,-97.00M,31.00M,-97.00M,332.00M,-1.00M,333.00M,,,,,333.00M,333.00M,194.00M,429.00M,0.8,0.0,,0.8,0.8,0.79,0.0,,0.79,0.79,415.00M,418.50M,0.41
2011-06,6.388B,6.388B,,907.00M,97.00M,-97.00M,,907.00M,97.00M,-97.00M,34.00M,-97.00M,-727.00M,-363.00M,-364.00M,,,,,-364.00M,-364.00M,197.00M,-630.00M,-0.88,0.0,,-0.88,-0.88,-0.88,0.0,,-0.88,-0.88,418.60M,418.60M,0.41
2011-03,6.278B,6.278B,,883.00M,96.00M,-96.00M,,883.00M,96.00M,-96.00M,34.00M,-96.00M,969.00M,130.00M,839.00M,,,,,839.00M,839.00M,208.00M,1.065B,1.94,0.0,,1.94,1.94,1.92,0.0,,1.92,1.92,428.20M,434.40M,0.36
2010-12,6.332B,6.332B,,890.00M,98.00M,-98.00M,,890.00M,98.00M,-98.00M,-29.00M,-98.00M,1.197B,303.00M,894.00M,,,,,894.00M,894.00M,204.00M,1.295B,1.96,,,1.96,1.96,1.94,,,1.94,1.94,447.70M,453.10M,0.36
2010-09,6.482B,6.482B,,837.00M,95.00M,-95.00M,,837.00M,95.00M,-95.00M,35.00M,-95.00M,1.371B,366.00M,1.005B,,,,,1.005B,1.005B,197.00M,1.466B,2.14,0.0,,2.14,2.14,2.11,0.0,,2.11,2.11,465.90M,472.00M,0.36
2010-06,6.179B,6.179B,,832.00M,97.00M,-97.00M,,832.00M,97.00M,-97.00M,32.00M,-97.00M,881.00M,211.00M,670.00M,,,,,670.00M,670.00M,195.00M,978.00M,1.37,0.0,,1.37,1.37,1.35,0.0,,1.35,1.35,484.50M,490.80M,0.36
2010-03,6.119B,6.119B,,847.00M,98.00M,-98.00M,,847.00M,98.00M,-98.00M,32.00M,-98.00M,857.00M,210.00M,647.00M,,,,,647.00M,647.00M,216.00M,955.00M,1.26,0.0,,1.26,1.26,1.25,0.0,,1.25,1.25,508.40M,515.10M,0.33
2009-12,6.456B,6.456B,,856.00M,98.00M,-98.00M,,856.00M,98.00M,-98.00M,39.00M,-98.00M,1.793B,508.00M,1.285B,,,,,1.285B,1.285B,195.00M,1.891B,2.33,0.0,,2.33,2.33,2.31,0.0,,2.31,2.31,534.40M,541.90M,0.33
2009-09,6.327B,6.327B,,889.00M,98.00M,-98.00M,,889.00M,98.00M,-98.00M,42.00M,-98.00M,1.25B,315.00M,935.00M,,,,,935.00M,935.00M,187.00M,1.348B,1.66,0.0,,1.66,1.66,1.65,0.0,,1.65,1.65,558.40M,564.10M,0.3
2009-06,6.162B,6.162B,,839.00M,94.00M,-94.00M,,839.00M,94.00M,-94.00M,49.00M,-94.00M,941.00M,201.00M,740.00M,,,,,740.00M,740.00M,209.00M,1.035B,1.27,0.0,,1.27,1.27,1.27,0.0,,1.27,1.27,575.80M,579.80M,0.3
2009-03,5.735B,5.735B,,782.00M,92.00M,-92.00M,,782.00M,92.00M,-92.00M,33.00M,-92.00M,727.00M,65.00M,662.00M,,,,,662.00M,662.00M,206.00M,819.00M,1.12,0.0,,1.12,1.12,1.11,0.0,,1.11,1.11,584.60M,590.40M,0.3
2008-12,5.805B,5.805B,,800.00M,94.00M,-94.00M,,800.00M,94.00M,-94.00M,32.00M,-94.00M,927.00M,126.00M,801.00M,,,,,801.00M,801.00M,194.00M,1.021B,1.36,0.0,,1.36,1.36,1.34,0.0,,1.34,1.34,583.60M,589.90M,0.3
2008-09,6.145B,6.145B,,1.001B,95.00M,-95.00M,,1.001B,95.00M,-95.00M,31.00M,-95.00M,188.00M,-26.00M,214.00M,,,,,214.00M,214.00M,213.00M,283.00M,0.36,0.0,,0.36,0.36,0.36,0.0,,0.36,0.36,586.70M,594.70M,0.3
2008-06,6.295B,6.295B,,864.00M,91.00M,-91.00M,,864.00M,91.00M,-91.00M,34.00M,-91.00M,1.287B,345.00M,942.00M,,,,,942.00M,942.00M,201.00M,1.378B,1.56,0.0,,1.56,1.56,1.54,0.0,,1.54,1.54,598.20M,607.90M,0.3
2008-03,6.232B,6.232B,,853.00M,90.00M,-90.00M,,853.00M,90.00M,-90.00M,34.00M,-90.00M,1.314B,347.00M,967.00M,,,,,967.00M,967.00M,213.00M,1.404B,1.56,0.0,,1.56,1.56,1.54,0.0,,1.54,1.54,615.40M,624.80M,0.29
2007-12,6.491B,6.491B,,866.00M,91.00M,-91.00M,,866.00M,91.00M,-91.00M,52.00M,-91.00M,1.441B,378.00M,1.063B,,,,,1.063B,1.063B,206.00M,1.532B,1.64,0.0,,1.64,1.64,1.63,0.0,,1.63,1.63,631.30M,633.50M,0.29
2007-09,6.526B,6.526B,,817.00M,94.00M,-94.00M,3.941B,4.758B,94.00M,-94.00M,33.00M,-94.00M,1.674B,476.00M,1.198B,,,,,1.198B,1.198B,197.00M,1.768B,1.85,0.0,,1.85,1.85,1.81,0.0,,1.81,1.81,648.40M,661.90M,0.29
2007-06,6.573B,6.573B,,836.00M,85.00M,-85.00M,4.011B,4.847B,85.00M,-85.00M,1.00M,-85.00M,1.641B,387.00M,1.254B,,,,,1.254B,1.254B,203.00M,1.726B,1.9,0.0,,1.9,1.9,1.86,0.0,,1.86,1.86,658.60M,676.00M,0.29
2007-03,6.427B,6.427B,,833.00M,76.00M,-76.00M,,833.00M,76.00M,-76.00M,38.00M,-76.00M,1.46B,374.00M,1.086B,,,,,1.086B,1.086B,205.00M,1.536B,1.62,0.0,,1.62,1.62,1.56,0.0,,1.56,1.56,669.90M,701.20M,0.26
2006-12,6.469B,6.469B,,929.00M,82.00M,-82.00M,,929.00M,82.00M,-82.00M,98.00M,-82.00M,1.589B,400.00M,1.189B,,,,,1.189B,1.189B,201.00M,1.671B,1.75,0.0,,1.75,1.75,1.68,0.0,,1.68,1.68,679.30M,711.00M,0.26
2006-09,6.316B,6.316B,,869.00M,88.00M,-88.00M,,869.00M,88.00M,-88.00M,36.00M,-88.00M,1.454B,411.00M,1.043B,,,,,1.043B,1.043B,213.00M,1.542B,1.52,0.0,,1.52,1.52,1.47,0.0,,1.47,1.47,685.30M,714.60M,0.26
