,NetIncome,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,CashfromDiscontinuedOperationsAdjustment,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2020-09,827.00M,-37.00M,-154.00M,-191.00M,186.00M,186.00M,4.00M,1.207B,,-38.00M,37.00M,,,,,,331.00M,,2.326B,,,,,-2.076B,-78.00M,-2.163B,0.00,,0.00,,0.00,0.00,,,-217.00M,-217.00M,7.00M,,-210.00M,623.00M,-47.00M,7.00M,583.00M,,,0.00,0.00,0.00,396.00M,60.00M
2020-06,-40.00M,-13.00M,253.00M,240.00M,188.00M,188.00M,-77.00M,1.173B,,292.00M,-170.00M,,,,,,-112.00M,,1.664B,,,,,-1.815B,-75.00M,-1.898B,490.00M,,490.00M,,0.00,0.00,,,-216.00M,-216.00M,34.00M,,308.00M,544.00M,74.00M,5.00M,623.00M,,,490.00M,0.00,0.00,2.00M,106.00M
2020-03,600.00M,98.00M,-67.00M,31.00M,203.00M,203.00M,6.00M,1.178B,,-636.00M,-341.00M,,,,,,-754.00M,,628.00M,,,,,169.00M,-69.00M,84.00M,0.00,,0.00,,-471.00M,-471.00M,,,-210.00M,-210.00M,31.00M,,-650.00M,494.00M,62.00M,-12.00M,544.00M,,,0.00,,-471.00M,15.00M,60.00M
2019-12,873.00M,-12.00M,-55.00M,-67.00M,182.00M,182.00M,-23.00M,1.181B,,444.00M,172.00M,,,,,,-1.178B,,1.412B,,,,,-761.00M,-82.00M,-855.00M,0.00,,0.00,,-376.00M,-376.00M,,,-211.00M,-211.00M,7.00M,,-580.00M,508.00M,-23.00M,9.00M,494.00M,,,0.00,0.00,-376.00M,61.00M,107.00M
2019-09,396.00M,-23.00M,-64.00M,-87.00M,180.00M,180.00M,-20.00M,1.169B,,355.00M,229.00M,,,,,,8.00M,,2.001B,,,,,-1.262B,-74.00M,-1.346B,0.00,,0.00,,-375.00M,-375.00M,,,-214.00M,-214.00M,32.00M,,-557.00M,416.00M,98.00M,-6.00M,508.00M,,,0.00,0.00,-375.00M,42.00M,60.00M
2019-06,557.00M,-25.00M,-98.00M,-123.00M,190.00M,190.00M,-22.00M,1.134B,,194.00M,-292.00M,,,,,,-777.00M,,1.153B,,,,,-20.00M,-87.00M,-115.00M,-500.00M,,-500.00M,,-376.00M,-376.00M,,,-214.00M,-214.00M,111.00M,,-979.00M,357.00M,59.00M,0.00,416.00M,,,0.00,-500.00M,-376.00M,320.00M,121.00M
2019-03,796.00M,-53.00M,-34.00M,-87.00M,211.00M,211.00M,32.00M,1.117B,,-458.00M,-336.00M,,,,,,-972.00M,,639.00M,,,,,-427.00M,-82.00M,-586.00M,492.00M,,492.00M,,-421.00M,-421.00M,,,-205.00M,-205.00M,63.00M,,-71.00M,373.00M,-18.00M,2.00M,357.00M,,,492.00M,,-421.00M,5.00M,50.00M
2018-12,621.00M,-60.00M,-81.00M,-141.00M,194.00M,194.00M,30.00M,1.122B,,168.00M,36.00M,,,,,,-1.046B,,948.00M,,,,0.00,-533.00M,-20.00M,-570.00M,0.00,,0.00,,-170.00M,-170.00M,,,-203.00M,-203.00M,15.00M,,-358.00M,359.00M,20.00M,-6.00M,373.00M,,,0.00,0.00,-170.00M,164.00M,122.00M
2018-09,709.00M,-29.00M,-115.00M,-144.00M,198.00M,198.00M,27.00M,1.117B,,205.00M,102.00M,,,,,,-378.00M,,1.734B,,,,-4.00M,-1.213B,-72.00M,-1.302B,100.00M,,100.00M,,-400.00M,-400.00M,,,-207.00M,-207.00M,19.00M,,-488.00M,415.00M,-56.00M,0.00,359.00M,,,100.00M,0.00,-400.00M,6.00M,50.00M
2018-06,524.00M,-36.00M,-74.00M,-110.00M,199.00M,199.00M,-14.00M,1.081B,,247.00M,-239.00M,,,,,,-783.00M,,1.144B,,,,,34.00M,-99.00M,-76.00M,-500.00M,,-500.00M,,-350.00M,-350.00M,,,-207.00M,-207.00M,13.00M,,-1.044B,397.00M,24.00M,-6.00M,415.00M,,,0.00,-500.00M,-350.00M,182.00M,136.00M
