,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,TotalCurrentAssets,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,NetLoanAssets,LongTermInvestments,LongTermDeferredTaxAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,SecuritySoldNotYetRepurchased,UnpaidLossReserve,UnearnedPremiumonInsuranceContract,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,UnrealizedGainorLoss-Total,MinimumPensionLiabilities,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2020-09,583.00M,78.90B,79.49B,20.89B,,20.89B,902.00M,101.28B,,3.945B,318.00M,4.263B,,79.31B,,86.80B,116.38B,4.923B,,,4.923B,,4.923B,,,600.00M,600.00M,600.00M,5.523B,6.45B,6.45B,448.00M,448.00M,,26.62B,15.54B,,,49.06B,88.54B,23.65B,37.68B,,35.61B,,,,,,2.138B,27.85B
2020-06,623.00M,76.14B,76.76B,20.87B,,20.87B,945.00M,98.58B,,3.925B,319.00M,4.244B,,76.53B,,83.87B,113.34B,4.903B,,,4.903B,,4.903B,,,600.00M,600.00M,600.00M,5.503B,6.449B,6.449B,409.00M,409.00M,,26.33B,15.20B,,,48.39B,86.39B,23.61B,37.07B,,35.61B,,,,,,1.882B,26.94B
2020-03,544.00M,71.93B,72.47B,20.99B,,20.99B,1.03B,94.49B,,3.915B,322.00M,4.237B,,72.27B,9.00M,79.62B,109.44B,5.288B,,,5.288B,,5.288B,,,600.00M,600.00M,600.00M,5.888B,5.959B,5.959B,,,,26.13B,14.94B,,,47.03B,84.23B,23.54B,37.32B,,35.61B,,,,,,-49.00M,25.20B
2019-12,494.00M,73.08B,73.57B,20.76B,,20.76B,689.00M,95.02B,,3.961B,330.00M,4.291B,,73.50B,0.00,80.90B,110.12B,4.982B,,,4.982B,,4.982B,500.00M,100.00M,,600.00M,600.00M,5.582B,5.958B,5.958B,137.00M,137.00M,,26.60B,14.60B,,,47.30B,84.18B,23.47B,36.98B,,35.14B,,,,,,640.00M,25.94B
2019-09,508.00M,72.61B,73.12B,21.09B,,21.09B,857.00M,95.06B,,3.929B,329.00M,4.258B,,73.02B,0.00,80.49B,110.24B,5.375B,,,5.375B,,5.375B,,,100.00M,100.00M,100.00M,5.475B,6.458B,6.458B,188.00M,188.00M,,26.49B,14.91B,,,48.04B,84.63B,23.43B,36.32B,,34.77B,,,,,,625.00M,25.61B
2019-06,416.00M,70.66B,71.08B,21.31B,,21.31B,864.00M,93.25B,,3.943B,335.00M,4.278B,,71.06B,0.00,78.66B,108.57B,5.367B,,,5.367B,,5.367B,,,100.00M,100.00M,100.00M,5.467B,6.458B,6.458B,87.00M,87.00M,,26.43B,14.54B,,,47.51B,83.25B,23.37B,36.14B,,34.39B,,,,,,206.00M,25.32B
2019-03,357.00M,69.59B,69.95B,21.04B,,21.04B,935.00M,91.92B,,3.949B,341.00M,4.29B,,69.99B,115.00M,77.50B,107.25B,5.446B,,,5.446B,,5.446B,,,600.00M,600.00M,600.00M,6.046B,6.457B,6.457B,,,,26.38B,14.12B,,,46.96B,82.91B,23.24B,35.80B,,34.02B,,,,,,-682.00M,24.34B
2018-12,373.00M,67.45B,67.82B,20.66B,,20.66B,578.00M,89.06B,,3.937B,345.00M,4.282B,,67.82B,445.00M,74.97B,104.23B,5.074B,,,5.074B,,5.074B,500.00M,100.00M,,600.00M,600.00M,5.674B,5.964B,5.964B,,,,26.51B,13.56B,,,46.03B,81.34B,23.14B,35.20B,,33.60B,,,,,,-1.859B,22.89B
2018-09,359.00M,66.86B,67.22B,20.84B,,20.84B,715.00M,88.78B,,3.958B,351.00M,4.309B,,67.29B,521.00M,74.62B,104.39B,5.305B,,,5.305B,,5.305B,,,600.00M,600.00M,600.00M,5.905B,5.964B,5.964B,,,,26.15B,13.98B,,,46.09B,81.93B,23.09B,34.80B,,33.42B,,,,,,-2.003B,22.46B
2018-06,415.00M,66.23B,66.64B,20.87B,,20.87B,698.00M,88.22B,,3.931B,356.00M,4.287B,,66.65B,463.00M,73.79B,103.52B,5.226B,,,5.226B,,5.226B,,,500.00M,500.00M,500.00M,5.726B,5.964B,5.964B,,,,26.02B,13.76B,,,45.74B,80.90B,23.04B,34.30B,,33.02B,,,,,,-1.688B,22.62B
