,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,OtherInventory,Inventories,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),AccountsPayable,DividendsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,TotalLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,MinimumPensionLiabilities,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2011-06,392.00M,0.00,392.00M,1.014B,162.00M,1.419B,,211.00M,188.00M,0.00,254.00M,2.551B,,,29.40B,-7.244B,22.16B,1.059B,450.00M,1.509B,3.405B,,,2.00M,29.28B,31.84B,,2011-06,915.00M,217.00M,1.132B,,1.132B,,597.00M,597.00M,597.00M,135.00M,166.00M,31.00M,1.411B,3.575B,1.49B,9.648B,9.648B,1.874B,139.00M,2.88B,1.106B,279.00M,393.00M,79.00M,21.86B,,2011-06,0.00,7.868B,,,,-358.00M,9.579B,,2011-06,AOR,Restated
2011-03,1.219B,0.00,1.219B,1.058B,,1.336B,,176.00M,318.00M,36.00M,244.00M,3.426B,,,27.56B,-7.356B,20.20B,,,537.00M,4.368B,,,,27.27B,30.70B,,2011-03,709.00M,251.00M,997.00M,,997.00M,,655.00M,655.00M,655.00M,131.00M,131.00M,,1.66B,3.654B,1.469B,9.174B,9.174B,1.682B,132.00M,2.717B,1.114B,285.00M,217.00M,79.00M,21.29B,,2011-03,2.052B,7.472B,,,,-332.00M,9.186B,,2011-03,AOR,Restated
2010-12,912.00M,0.00,912.00M,891.00M,441.00M,1.614B,106.00M,258.00M,131.00M,75.00M,282.00M,3.353B,,,27.09B,-7.211B,19.88B,87.00M,453.00M,540.00M,4.32B,,,27.00M,26.93B,30.28B,,2010-12,755.00M,188.00M,1.088B,,1.088B,,507.00M,507.00M,507.00M,129.00M,129.00M,0.00,1.751B,3.786B,1.449B,8.98B,8.98B,1.611B,154.00M,2.588B,1.105B,290.00M,211.00M,79.00M,21.04B,,2010-12,0.00,7.329B,,,,-330.00M,9.027B,,2010-12,AOR,Restated
2010-09,547.00M,0.00,547.00M,776.00M,150.00M,1.268B,,296.00M,4.00M,0.00,296.00M,2.495B,,,26.29B,-7.065B,19.22B,,,542.00M,3.879B,,,648.00M,26.45B,28.95B,,2010-09,702.00M,232.00M,946.00M,,946.00M,,887.00M,887.00M,887.00M,133.00M,149.00M,16.00M,1.548B,3.777B,1.327B,8.032B,8.032B,1.568B,147.00M,2.387B,1.225B,336.00M,205.00M,79.00M,19.94B,,2010-09,0.00,7.143B,,,,-344.00M,8.802B,,2010-09,AOR,Restated
2010-06,188.00M,0.00,188.00M,818.00M,150.00M,1.196B,,151.00M,3.00M,0.00,258.00M,1.873B,,,25.87B,-6.949B,18.92B,,,538.00M,5.082B,,,623.00M,27.21B,29.09B,,2010-06,649.00M,181.00M,842.00M,,842.00M,,1.23B,1.23B,1.23B,138.00M,140.00M,2.00M,1.619B,4.051B,1.319B,7.562B,7.562B,1.519B,147.00M,2.353B,1.242B,326.00M,220.00M,79.00M,19.68B,,2010-06,0.00,7.106B,,,,-399.00M,9.19B,,2010-06,AOR,Restated
2010-03,222.00M,0.00,222.00M,978.00M,194.00M,1.357B,,160.00M,44.00M,5.00M,234.00M,2.107B,,,25.39B,-6.901B,18.49B,,,523.00M,5.684B,,,,26.66B,28.77B,,2010-03,669.00M,223.00M,898.00M,,898.00M,,1.239B,1.239B,1.239B,144.00M,144.00M,,1.795B,4.238B,1.298B,7.198B,7.198B,1.472B,147.00M,2.317B,1.268B,309.00M,235.00M,79.00M,19.48B,,2010-03,0.00,6.981B,,,,-372.00M,9.06B,,2010-03,AOR,Restated
2009-12,110.00M,0.00,110.00M,971.00M,432.00M,1.665B,,197.00M,35.00M,10.00M,201.00M,2.295B,,,25.03B,-6.753B,18.28B,,,524.00M,5.609B,,,,26.22B,28.51B,,2009-12,522.00M,190.00M,912.00M,,912.00M,,1.191B,1.191B,1.191B,145.00M,145.00M,,1.376B,3.888B,1.277B,7.46B,7.46B,1.372B,146.00M,2.253B,1.252B,312.00M,244.00M,79.00M,19.26B,,2009-12,0.00,6.971B,,,,-369.00M,9.007B,,2009-12,AOR,Restated
2009-09,756.00M,0.00,756.00M,744.00M,266.00M,1.168B,,296.00M,27.00M,117.00M,221.00M,2.696B,,,24.38B,-6.607B,17.77B,,,527.00M,4.777B,,,605.00M,25.70B,28.40B,,2009-09,581.00M,209.00M,806.00M,,806.00M,,1.473B,1.473B,1.473B,145.00M,145.00M,,1.665B,4.31B,1.212B,6.845B,6.845B,1.332B,144.00M,2.25B,1.518B,348.00M,238.00M,79.00M,19.41B,,2009-09,0.00,6.779B,,,,-401.00M,8.745B,,2009-09,AOR,Restated
2009-06,818.00M,0.00,818.00M,715.00M,940.00M,1.79B,,169.00M,27.00M,96.00M,324.00M,3.324B,,,23.89B,-6.476B,17.41B,,,529.00M,4.069B,,,565.00M,24.60B,27.92B,,2009-06,616.00M,183.00M,830.00M,,830.00M,,915.00M,915.00M,915.00M,149.00M,149.00M,,2.273B,4.353B,1.21B,6.723B,6.723B,1.206B,154.00M,2.202B,1.512B,347.00M,255.00M,79.00M,19.19B,,2009-06,2.328B,6.559B,,,,-395.00M,8.477B,,2009-06,AOR,Restated
2009-03,720.00M,176.00M,896.00M,882.00M,900.00M,1.784B,,150.00M,27.00M,48.00M,299.00M,3.327B,,,23.61B,-6.405B,17.21B,,,531.00M,3.723B,,,529.00M,24.01B,27.33B,,2009-03,622.00M,187.00M,840.00M,,840.00M,,1.347B,1.347B,1.347B,159.00M,159.00M,,2.408B,4.90B,1.177B,6.044B,6.044B,999.00M,153.00M,2.027B,1.508B,366.00M,266.00M,79.00M,18.82B,,2009-03,0.00,6.456B,,,,-474.00M,8.247B,,2009-03,AOR,Restated
2008-12,331.00M,176.00M,507.00M,903.00M,78.00M,1.18B,,320.00M,27.00M,31.00M,251.00M,2.476B,,,23.15B,-6.288B,16.86B,,,539.00M,4.534B,,,,23.92B,26.40B,,2008-12,856.00M,156.00M,1.05B,,1.05B,,913.00M,913.00M,913.00M,170.00M,170.00M,,1.199B,3.612B,1.159B,6.544B,6.544B,1.003B,155.00M,2.067B,1.487B,392.00M,340.00M,79.00M,18.09B,,2008-12,0.00,6.235B,,,,-513.00M,7.969B,,2008-12,AOR,Restated
2008-09,198.00M,,198.00M,985.00M,,985.00M,,461.00M,,,926.00M,2.57B,6.214B,,22.03B,-6.214B,15.81B,,,,,,,4.541B,21.28B,23.85B,,2008-09,743.00M,164.00M,907.00M,1.607B,2.514B,,,621.00M,621.00M,,,,,3.135B,,5.864B,5.864B,857.00M,,58.00M,,,204.00M,179.00M,15.75B,,2008-09,0.00,6.001B,,,,-368.00M,7.898B,,2008-09,,Restated
2008-06,230.00M,,230.00M,997.00M,,997.00M,,125.00M,,,1.158B,2.51B,6.062B,,21.63B,-6.062B,15.57B,,,,,,,4.737B,21.24B,23.76B,,2008-06,879.00M,145.00M,1.024B,2.121B,3.145B,,,1.131B,1.131B,,,,,4.276B,,4.809B,4.809B,727.00M,,59.00M,,,209.00M,179.00M,15.86B,,2008-06,0.00,5.78B,,,,-337.00M,7.683B,,2008-06,,Restated
2008-03,806.00M,,806.00M,3.978B,,3.978B,,103.00M,,,5.583B,10.47B,6.132B,,21.42B,-6.132B,15.29B,,,,,,,3.16B,19.38B,29.85B,,2008-03,3.218B,155.00M,3.373B,4.898B,8.271B,,,1.653B,1.653B,,,,,9.924B,,4.589B,4.589B,570.00M,,60.00M,,,151.00M,179.00M,21.13B,,2008-03,0.00,5.622B,,,,-264.00M,8.577B,,2008-03,,Restated
2007-12,668.00M,0.00,668.00M,3.679B,114.00M,3.892B,,224.00M,1.00M,247.00M,2.734B,9.964B,,,20.92B,-6.033B,14.88B,170.00M,9.00M,179.00M,1.982B,,,777.00M,18.75B,28.72B,,2007-12,3.828B,145.00M,4.033B,,4.033B,,1.071B,1.071B,1.071B,143.00M,143.00M,,3.508B,9.02B,1.129B,4.553B,4.553B,592.00M,153.00M,1.694B,434.00M,332.00M,327.00M,,20.05B,,2007-12,0.00,5.464B,,,,-301.00M,8.339B,,2007-12,,Restated
2007-09,1.073B,,1.073B,3.393B,,3.393B,,325.00M,,,6.339B,11.13B,6.033B,,20.36B,-6.033B,14.33B,,,,,,,2.718B,18.17B,29.30B,,2007-09,3.947B,153.00M,4.10B,4.518B,8.618B,,,1.213B,1.213B,,,,,9.831B,,4.502B,4.502B,582.00M,,63.00M,,,165.00M,179.00M,21.06B,,2007-09,0.00,5.256B,,,,-367.00M,8.08B,,2007-09,,
2007-06,1.353B,,1.353B,3.028B,,3.028B,,167.00M,,,6.04B,10.59B,5.93B,,19.98B,-5.93B,14.05B,,,,,,,2.69B,17.89B,28.48B,,2007-06,3.849B,143.00M,3.992B,4.508B,8.50B,,,967.00M,967.00M,,,,,9.467B,,4.219B,4.219B,501.00M,,64.00M,,,176.00M,179.00M,20.31B,,2007-06,0.00,5.032B,,,,-368.00M,7.989B,,2007-06,,
2007-03,1.659B,,1.659B,3.369B,,3.369B,,111.00M,,,5.592B,10.73B,5.837B,,19.32B,-5.837B,13.49B,,,,,,,2.639B,17.29B,28.02B,,2007-03,3.782B,153.00M,3.935B,5.164B,9.099B,,,101.00M,101.00M,,,,,9.20B,,4.52B,4.52B,444.00M,,66.00M,,,,179.00M,20.32B,,2007-03,0.00,4.837B,,,,-415.00M,7.709B,,2007-03,,
2006-12,924.00M,,924.00M,4.082B,,4.082B,,215.00M,,,6.795B,12.02B,5.741B,,18.92B,-5.741B,13.18B,,,,,,,2.577B,16.93B,28.95B,,2006-12,1.587B,145.00M,1.732B,7.684B,9.416B,,,933.00M,933.00M,,,,,10.35B,,4.525B,4.525B,479.00M,,67.00M,,,,179.00M,21.44B,,2006-12,0.00,4.681B,,-276.00M,-139.00M,-415.00M,7.511B,,2006-12,,Restated
2006-09,1.501B,,1.501B,3.499B,,3.499B,,300.00M,,,7.435B,12.74B,5.644B,,18.32B,-5.644B,12.68B,,,,,,,2.56B,16.31B,29.05B,,2006-09,4.448B,153.00M,4.601B,4.942B,9.543B,,,1.253B,1.253B,,,,,10.80B,,4.416B,4.416B,423.00M,,68.00M,,,,179.00M,21.57B,,2006-09,0.00,4.635B,,,,-401.00M,7.476B,,2006-09,,
2006-06,721.00M,,721.00M,3.376B,,3.376B,,136.00M,,,6.999B,11.23B,5.544B,,17.93B,-5.544B,12.38B,,,,,,,2.575B,16.06B,27.29B,,2006-06,3.871B,144.00M,4.015B,4.758B,8.773B,,,1.056B,1.056B,,,,,9.829B,,4.414B,4.414B,288.00M,,70.00M,,,,179.00M,20.46B,,2006-06,3.157B,4.06B,,,,-390.00M,6.827B,,2006-06,,
2006-03,650.00M,,650.00M,3.94B,,3.94B,,98.00M,,,7.40B,12.09B,5.507B,,17.68B,-5.507B,12.17B,,,,,,,2.693B,15.96B,28.05B,,2006-03,4.286B,151.00M,4.437B,5.517B,9.954B,,,762.00M,762.00M,,,,,10.72B,,4.778B,4.778B,294.00M,,71.00M,,,,179.00M,21.57B,,2006-03,3.093B,3.765B,,,,-375.00M,6.483B,,2006-03,,
2005-12,781.00M,,781.00M,4.515B,,4.515B,,205.00M,,,8.326B,13.83B,5.38B,,17.14B,-5.38B,11.76B,,,,,,,2.552B,15.42B,29.25B,,2005-12,1.394B,140.00M,1.534B,9.578B,11.11B,,,1.141B,1.141B,,,,,12.25B,,4.815B,4.815B,287.00M,,73.00M,,,,179.00M,23.09B,,2005-12,2.958B,3.588B,,-264.00M,-122.00M,-386.00M,6.16B,,2005-12,,
2005-09,503.00M,,503.00M,800.00M,,800.00M,,240.00M,,,11.92B,13.47B,5.375B,,17.16B,-5.375B,11.78B,,,,,,,2.756B,15.51B,28.98B,,2005-09,1.088B,137.00M,1.225B,11.59B,12.82B,,,305.00M,305.00M,,,,,13.12B,,4.346B,4.346B,301.00M,,74.00M,,,,179.00M,23.10B,,2005-09,2.952B,3.308B,,,,-383.00M,5.877B,,2005-09,,
2005-06,726.00M,,726.00M,3.117B,,3.117B,,101.00M,,,5.205B,9.149B,5.272B,,16.71B,-5.272B,11.43B,,,,,,,2.607B,15.06B,24.20B,,2005-06,796.00M,136.00M,932.00M,7.181B,8.113B,,,652.00M,652.00M,,,,,8.765B,,4.369B,4.369B,437.00M,,76.00M,,,,179.00M,18.56B,,2005-06,2.915B,3.161B,,,,-429.00M,5.647B,,2005-06,,
2005-03,609.00M,,609.00M,874.00M,,874.00M,,70.00M,,,7.283B,8.836B,5.196B,,16.44B,-5.196B,11.24B,,,,,,,2.608B,14.92B,23.76B,,2005-03,692.00M,132.00M,824.00M,7.487B,8.311B,,,734.00M,734.00M,,,,,9.045B,,4.132B,4.132B,463.00M,,77.00M,,,,179.00M,18.63B,,2005-03,2.422B,3.114B,,,,-405.00M,5.131B,,2005-03,,
2004-12,419.00M,,419.00M,1.032B,,1.032B,,172.00M,,,7.153B,8.776B,5.117B,,16.20B,-5.117B,11.09B,,,,,,,2.662B,15.00B,23.78B,,2004-12,1.126B,123.00M,1.249B,7.435B,8.684B,,,398.00M,398.00M,,,,,9.082B,,4.192B,4.192B,498.00M,,78.00M,,,,179.00M,18.91B,,2004-12,2.301B,2.961B,,,,-397.00M,4.865B,,2004-12,,
2004-09,267.00M,,267.00M,770.00M,,770.00M,,225.00M,,,6.847B,8.109B,5.08B,,15.93B,-5.08B,10.85B,,,,,,,2.502B,14.36B,22.46B,,2004-09,834.00M,134.00M,968.00M,6.382B,7.35B,,,534.00M,534.00M,,,,,7.884B,,4.414B,4.414B,250.00M,,80.00M,,,,179.00M,18.08B,,2004-09,2.166B,2.674B,,,,-459.00M,4.381B,,2004-09,,
2004-06,1.15B,,1.15B,816.00M,,816.00M,,107.00M,,,5.794B,7.867B,4.983B,,15.68B,-4.983B,10.69B,,,,,,,2.42B,14.19B,22.06B,,2004-06,841.00M,134.00M,975.00M,5.759B,6.734B,,,931.00M,931.00M,,,,,7.665B,,4.419B,4.419B,320.00M,,81.00M,,,,179.00M,17.89B,,2004-06,2.122B,2.501B,,,,-457.00M,4.166B,,2004-06,,
2004-03,653.00M,,653.00M,917.00M,,917.00M,,67.00M,,,5.635B,7.272B,4.941B,,15.49B,-4.941B,10.55B,,,,,,,2.443B,14.14B,21.41B,,2004-03,706.00M,128.00M,834.00M,6.117B,6.951B,,,749.00M,749.00M,,,,,7.70B,,3.822B,3.822B,275.00M,,82.00M,,,,179.00M,17.32B,,2004-03,2.087B,2.438B,,,,-437.00M,4.088B,,2004-03,,
2003-12,432.00M,,432.00M,1.002B,,1.002B,,147.00M,,,6.288B,7.869B,4.843B,,15.32B,-4.843B,10.47B,,,,,,,2.443B,14.12B,21.99B,,2003-12,788.00M,136.00M,924.00M,6.184B,7.108B,,,1.461B,1.461B,,,,,8.569B,,3.841B,3.841B,452.00M,,84.00M,,,,179.00M,18.10B,,2003-12,2.028B,2.298B,,,,-436.00M,3.89B,,2003-12,,
2003-09,411.00M,,411.00M,753.00M,,753.00M,,240.00M,,,5.249B,6.653B,7.021B,,14.47B,-7.021B,7.453B,,,,,,,2.789B,11.40B,18.05B,,2003-09,734.00M,131.00M,865.00M,5.17B,6.035B,,,1.365B,1.365B,,,,,7.40B,,3.536B,3.536B,836.00M,,85.00M,,,,179.00M,14.84B,,2003-09,1.534B,2.121B,,,,-445.00M,3.21B,,2003-09,,
2003-06,325.00M,,325.00M,822.00M,,822.00M,,129.00M,,,5.447B,6.723B,6.89B,,14.37B,-6.89B,7.477B,,,,,,,2.793B,11.50B,18.22B,,2003-06,749.00M,136.00M,885.00M,5.595B,6.48B,,,515.00M,515.00M,,,,,6.995B,,4.214B,4.214B,878.00M,,87.00M,,,,203.00M,14.99B,,2003-06,1.702B,1.962B,,,,-433.00M,3.231B,,2003-06,,
2003-03,803.00M,,803.00M,929.00M,,929.00M,,71.00M,,,6.161B,7.964B,6.775B,,14.04B,-6.775B,7.261B,,,,,,,2.629B,11.17B,19.14B,,2003-03,797.00M,129.00M,926.00M,6.493B,7.419B,,,617.00M,617.00M,,,,,8.036B,,4.324B,4.324B,865.00M,,88.00M,,,,203.00M,16.04B,,2003-03,1.657B,1.898B,,,,-463.00M,3.092B,,2003-03,,
2002-12,455.00M,,455.00M,889.00M,,889.00M,,134.00M,,,5.532B,7.01B,4.498B,,13.82B,-4.498B,9.318B,,,,,,,2.57B,13.23B,20.24B,,2002-12,744.00M,133.00M,877.00M,5.519B,6.396B,,,851.00M,851.00M,,,,,7.247B,,4.083B,4.083B,890.00M,,90.00M,,,,204.00M,17.22B,,2002-12,1.636B,1.861B,,,,-472.00M,3.025B,,2002-12,,
2002-09,420.00M,,420.00M,709.00M,,709.00M,,126.00M,,,5.209B,6.464B,6.901B,,13.49B,-6.901B,6.586B,,,,,,,2.417B,10.71B,17.17B,,2002-09,582.00M,142.00M,724.00M,5.273B,5.997B,,,868.00M,868.00M,,,,,6.865B,,3.876B,3.876B,990.00M,,91.00M,,,,204.00M,14.25B,,2002-09,1.635B,1.764B,,,,-472.00M,2.927B,,2002-09,,
2002-06,522.00M,,522.00M,625.00M,,625.00M,,74.00M,,,5.111B,6.332B,6.825B,,13.34B,-6.825B,6.511B,,,,,,,2.382B,10.78B,17.11B,,2002-06,670.00M,144.00M,814.00M,5.254B,6.068B,,,707.00M,707.00M,,,,,6.775B,,3.902B,3.902B,932.00M,,92.00M,,,,204.00M,14.22B,,2002-06,1.646B,1.665B,,,,-418.00M,2.893B,,2002-06,,
2002-03,740.00M,,740.00M,839.00M,,839.00M,,66.00M,,,5.258B,6.903B,6.708B,,13.07B,-6.708B,6.365B,,,,,,,2.175B,10.38B,17.28B,,2002-03,701.00M,136.00M,837.00M,5.59B,6.427B,,,1.038B,1.038B,,,,,7.465B,,3.496B,3.496B,978.00M,,94.00M,,,,204.00M,14.38B,,2002-03,1.704B,1.57B,,,,-372.00M,2.902B,,2002-03,,
2001-12,605.00M,,605.00M,893.00M,,893.00M,,124.00M,,,3.168B,4.79B,6.59B,,12.81B,-6.59B,6.216B,,,,,,,2.286B,10.29B,15.08B,,2001-12,814.00M,133.00M,947.00M,3.408B,4.355B,,,1.117B,1.117B,,,,,5.472B,,3.436B,3.436B,942.00M,,95.00M,,,,204.00M,12.19B,,2001-12,1.695B,1.475B,,,,-278.00M,2.892B,,2001-12,,
2001-09,945.00M,,945.00M,578.00M,,578.00M,,191.00M,,,3.456B,5.17B,6.475B,,12.42B,-6.475B,5.941B,,,,,,,2.437B,10.01B,15.18B,,2001-09,748.00M,139.00M,887.00M,3.454B,4.341B,,,991.00M,991.00M,,,,,5.332B,,3.583B,3.583B,1.034B,,96.00M,,,200.00M,204.00M,12.22B,,2001-09,1.456B,1.419B,,,,-120.00M,2.755B,,2001-09,,
2001-06,1.588B,,1.588B,822.00M,,822.00M,,150.00M,,,3.766B,6.326B,6.262B,,12.06B,-6.262B,5.797B,,,,,,,2.593B,9.51B,15.84B,,2001-06,1.021B,136.00M,1.157B,3.897B,5.054B,,,1.457B,1.457B,,,,,6.511B,,3.676B,3.676B,1.018B,,98.00M,,,204.00M,200.00M,12.92B,,2001-06,1.446B,1.375B,,,,-108.00M,2.713B,,2001-06,,
2001-03,1.438B,,1.438B,1.184B,,1.184B,,67.00M,,,6.126B,8.815B,6.249B,,11.99B,-6.249B,5.74B,,,,,,,3.546B,10.67B,19.48B,,2001-03,1.123B,130.00M,1.253B,6.874B,8.127B,,,1.812B,1.812B,,,,,9.939B,,3.28B,3.28B,995.00M,,100.00M,,,404.00M,,16.45B,,2001-03,1.425B,1.291B,,,,-87.00M,2.629B,,2001-03,,
2000-12,637.00M,,637.00M,1.231B,,1.231B,,342.00M,,,4.315B,6.525B,6.163B,,11.89B,-6.163B,5.726B,,,,,,,2.288B,9.015B,15.54B,,2000-12,1.279B,124.00M,1.403B,5.151B,6.554B,,,936.00M,936.00M,,,,,7.49B,,3.268B,3.268B,853.00M,,101.00M,,,,204.00M,12.85B,,2000-12,1.62B,1.162B,,,,-88.00M,2.694B,,2000-12,,
2000-09,378.00M,,378.00M,756.00M,,756.00M,,195.00M,,,3.701B,5.03B,6.101B,,11.67B,-6.101B,5.572B,,,,,,,2.244B,8.772B,13.80B,,2000-09,941.00M,118.00M,1.059B,4.299B,5.358B,,,421.00M,421.00M,,,,,5.779B,,3.30B,3.30B,781.00M,,102.00M,,,200.00M,,10.72B,,2000-09,1.818B,1.117B,,,,-53.00M,2.882B,,2000-09,,
2000-06,546.00M,,546.00M,589.00M,,589.00M,,79.00M,,,3.257B,4.471B,5.975B,,11.41B,-5.975B,5.431B,,,,,,,2.266B,8.576B,13.05B,,2000-06,670.00M,119.00M,789.00M,4.328B,5.117B,,,,,,,,,5.117B,,3.313B,3.313B,745.00M,,104.00M,,,198.00M,,10.43B,,2000-06,1.412B,1.057B,,,,-49.00M,2.42B,,2000-06,,
2000-03,640.00M,,640.00M,669.00M,,669.00M,,70.00M,,,2.174B,3.553B,5.838B,,11.26B,-5.838B,5.426B,,,,,,,2.305B,8.378B,11.93B,,2000-03,807.00M,109.00M,916.00M,2.882B,3.798B,,,153.00M,153.00M,,,,,3.951B,,3.349B,3.349B,746.00M,,105.00M,,,404.00M,,9.127B,,2000-03,1.412B,996.00M,,,,-8.00M,2.40B,,2000-03,,
1999-12,487.00M,,487.00M,696.00M,,696.00M,,147.00M,,,1.685B,3.015B,5.733B,,11.13B,-5.733B,5.394B,,,,,,,2.166B,8.109B,11.12B,,1999-12,546.00M,154.00M,700.00M,2.199B,2.899B,,,337.00M,337.00M,,,,,3.236B,,2.902B,2.902B,721.00M,,106.00M,,,204.00M,,7.73B,,1999-12,2.17B,1.101B,,,,-81.00M,3.19B,,1999-12,,
1999-09,474.00M,,474.00M,485.00M,,485.00M,,152.00M,,,1.851B,2.962B,5.634B,,11.02B,-5.634B,5.383B,,,,,,,2.124B,8.177B,11.14B,,1999-09,730.00M,154.00M,884.00M,1.999B,2.883B,,,314.00M,314.00M,,,,,3.197B,,2.934B,2.934B,645.00M,,110.00M,,,204.00M,,8.04B,,1999-09,1.885B,1.083B,,,,-73.00M,2.895B,,1999-09,,
1999-06,656.00M,,656.00M,515.00M,,515.00M,,68.00M,,,1.373B,2.612B,5.521B,,10.80B,-5.521B,5.274B,,,,,,,2.125B,8.094B,10.71B,,1999-06,647.00M,164.00M,811.00M,1.603B,2.414B,,,334.00M,334.00M,,,,,2.748B,,2.889B,2.889B,651.00M,,111.00M,,,204.00M,,7.593B,,1999-06,1.885B,1.069B,,,,-45.00M,2.909B,,1999-06,,
1999-03,622.00M,,622.00M,692.00M,,692.00M,,90.00M,,,1.084B,2.488B,5.901B,,11.29B,-5.901B,5.388B,,,,,,,1.596B,8.044B,10.53B,,1999-03,571.00M,163.00M,734.00M,1.431B,2.165B,,,387.00M,387.00M,,,,,2.552B,,2.762B,2.762B,785.00M,,137.00M,,,,204.00M,7.611B,,1999-03,1.886B,1.08B,,,,-45.00M,2.921B,,1999-03,,
1998-12,424.00M,,424.00M,745.00M,,745.00M,,151.00M,,,1.138B,2.458B,5.794B,,11.24B,-5.794B,5.441B,,,,,,,1.501B,7.998B,10.46B,,1998-12,702.00M,168.00M,870.00M,1.223B,2.093B,,,373.00M,373.00M,,,,,2.466B,,2.795B,2.795B,781.00M,,147.00M,,,,204.00M,7.543B,,1998-12,1.883B,1.075B,,,,-45.00M,2.913B,,1998-12,,
1998-09,459.00M,,459.00M,626.00M,,626.00M,,155.00M,,,1.542B,2.782B,5.701B,,11.14B,-5.701B,5.444B,,,,,,,1.52B,7.965B,10.75B,,1998-09,586.00M,170.00M,756.00M,1.594B,2.35B,,,127.00M,127.00M,,,,,2.477B,,3.024B,3.024B,810.00M,,150.00M,,,204.00M,,7.624B,,1998-09,1.878B,1.087B,,,,-46.00M,2.919B,,1998-09,,
1998-06,407.00M,,407.00M,602.00M,,602.00M,,115.00M,,,1.004B,2.128B,5.628B,,11.06B,-5.628B,5.434B,,,,,,,1.524B,8.011B,10.14B,,1998-06,510.00M,43.00M,553.00M,1.104B,1.657B,,,185.00M,185.00M,,,,,1.842B,,3.053B,3.053B,855.00M,,151.00M,,,204.00M,,7.015B,,1998-06,1.876B,1.09B,,,,-46.00M,2.92B,,1998-06,,
