,NetIncome,Gain(Loss)onInvestmentSecurities,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2020-09,281.00M,73.00M,-50.00M,23.00M,323.00M,18.00M,341.00M,341.00M,186.00M,,,,5.00M,-79.00M,-31.00M,-14.00M,22.00M,204.00M,-34.00M,14.00M,30.00M,191.00M,,948.00M,,-772.00M,,-772.00M,,,-7.00M,-6.00M,-785.00M,,-975.00M,525.00M,-450.00M,-1.00M,,-1.00M,,,-320.00M,-320.00M,59.00M,-712.00M,,1.301B,-549.00M,17.00M,769.00M,,-1.00M,0.00,-975.00M,,,,,AOR,
2020-06,344.00M,82.00M,-53.00M,29.00M,319.00M,17.00M,336.00M,336.00M,63.00M,,,,6.00M,-83.00M,84.00M,-7.00M,1.00M,-149.00M,-15.00M,51.00M,-53.00M,-88.00M,,607.00M,,-750.00M,,-750.00M,,,9.00M,1.00M,-740.00M,,1.698B,-964.00M,734.00M,13.00M,,13.00M,,,-319.00M,-319.00M,77.00M,505.00M,,936.00M,372.00M,-7.00M,1.301B,,13.00M,1.698B,0.00,,,,,AOR,
2020-03,554.00M,-57.00M,-52.00M,-109.00M,317.00M,12.00M,329.00M,329.00M,106.00M,,,,6.00M,-108.00M,33.00M,13.00M,-76.00M,-4.00M,42.00M,-93.00M,-1.00M,-86.00M,,692.00M,,-826.00M,,-826.00M,,,0.00,-7.00M,-833.00M,,200.00M,345.00M,545.00M,20.00M,,20.00M,,,-317.00M,-317.00M,-8.00M,240.00M,,836.00M,99.00M,1.00M,936.00M,,20.00M,200.00M,,,,,,AOR,
2019-12,364.00M,91.00M,-65.00M,26.00M,309.00M,21.00M,330.00M,330.00M,52.00M,,,,12.00M,-76.00M,-116.00M,-35.00M,53.00M,-35.00M,-76.00M,93.00M,-53.00M,-169.00M,,539.00M,,-886.00M,,-886.00M,,,6.00M,-6.00M,-886.00M,,-100.00M,-244.00M,-344.00M,1.118B,,1.118B,,,-299.00M,-299.00M,-2.00M,473.00M,,690.00M,126.00M,20.00M,836.00M,,1.118B,0.00,-100.00M,,,,,AOR,
2019-09,475.00M,-40.00M,-63.00M,-103.00M,306.00M,29.00M,335.00M,335.00M,103.00M,,,,5.00M,-82.00M,23.00M,-10.00M,26.00M,123.00M,-35.00M,-35.00M,-7.00M,85.00M,,818.00M,,-723.00M,,-723.00M,,,2.00M,6.00M,-715.00M,,696.00M,-240.00M,456.00M,14.00M,,14.00M,,,-299.00M,-299.00M,-6.00M,165.00M,,428.00M,268.00M,-6.00M,690.00M,,14.00M,696.00M,0.00,,,,,AOR,Restated
2019-06,441.00M,-31.00M,-69.00M,-100.00M,300.00M,9.00M,309.00M,309.00M,65.00M,,,,5.00M,-84.00M,101.00M,-12.00M,7.00M,-119.00M,31.00M,-33.00M,-15.00M,-40.00M,,596.00M,,-745.00M,,-745.00M,,,4.00M,-16.00M,-757.00M,,569.00M,-218.00M,351.00M,13.00M,,13.00M,,,-298.00M,-298.00M,-10.00M,56.00M,,540.00M,-105.00M,-7.00M,428.00M,,13.00M,769.00M,-200.00M,,,,,AOR,Restated
2019-03,466.00M,53.00M,-66.00M,-13.00M,284.00M,22.00M,306.00M,306.00M,89.00M,,,,14.00M,-130.00M,-9.00M,31.00M,-86.00M,-46.00M,-20.00M,-82.00M,-46.00M,-258.00M,,474.00M,,-729.00M,,-729.00M,,,2.00M,5.00M,-722.00M,,0.00,424.00M,424.00M,22.00M,,22.00M,,,-296.00M,-296.00M,-8.00M,142.00M,,643.00M,-106.00M,3.00M,540.00M,,22.00M,0.00,,,,,,AOR,Restated
2018-12,415.00M,-57.00M,-46.00M,-103.00M,277.00M,22.00M,299.00M,299.00M,100.00M,,,,5.00M,-68.00M,-98.00M,-8.00M,38.00M,85.00M,-37.00M,10.00M,-27.00M,-37.00M,,611.00M,,-894.00M,,-894.00M,,,3.00M,-4.00M,-895.00M,,457.00M,-118.00M,339.00M,20.00M,,20.00M,,,-287.00M,-287.00M,0.00,72.00M,,864.00M,-212.00M,-9.00M,643.00M,,20.00M,457.00M,0.00,,,,,AOR,Restated
2018-09,445.00M,-38.00M,-45.00M,-83.00M,275.00M,22.00M,297.00M,297.00M,84.00M,,,,5.00M,-81.00M,30.00M,-7.00M,22.00M,162.00M,29.00M,-2.00M,-16.00M,218.00M,,885.00M,,-817.00M,,-817.00M,,,3.00M,-3.00M,-817.00M,,-9.00M,-307.00M,-316.00M,531.00M,,531.00M,,,-288.00M,-288.00M,-4.00M,-77.00M,,875.00M,-9.00M,-2.00M,864.00M,,531.00M,18.00M,-27.00M,,,,,AOR,Restated
2018-06,515.00M,-176.00M,-51.00M,-227.00M,273.00M,13.00M,286.00M,286.00M,112.00M,,,,1.00M,3.00M,150.00M,-11.00M,13.00M,-172.00M,-37.00M,142.00M,-16.00M,69.00M,,759.00M,,-777.00M,,-777.00M,,,-65.00M,-54.00M,-896.00M,,190.00M,419.00M,609.00M,47.00M,,47.00M,,,-285.00M,-285.00M,-7.00M,364.00M,,653.00M,227.00M,-5.00M,875.00M,,47.00M,440.00M,-250.00M,,,,,AOR,Restated
