,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding
2020-09,749.00M,749.00M,458.50M,290.50M,168.00M,,4.10M,-4.10M,,168.00M,122.50M,4.10M,-4.10M,1.30M,-4.10M,119.70M,25.80M,93.90M,,,93.90M,93.90M,153.00M,29.20M,123.80M,2.55,,2.55,2.55,2.48,,2.48,2.48,36.80M,37.80M
2020-06,743.30M,743.30M,460.60M,282.70M,172.90M,,3.70M,-3.70M,,172.90M,109.80M,3.70M,-3.70M,1.80M,-3.70M,107.90M,14.20M,93.70M,,,93.70M,93.70M,140.60M,29.00M,111.60M,2.55,,2.55,2.55,2.48,,2.48,2.48,36.70M,37.80M
2020-03,784.60M,784.60M,492.60M,292.00M,188.00M,,4.10M,-4.10M,,188.00M,104.00M,4.10M,-4.10M,1.10M,-4.10M,101.00M,18.80M,82.20M,,,82.20M,82.20M,134.40M,29.30M,105.10M,2.25,,2.25,2.25,2.17,,2.17,2.17,36.60M,37.80M
2019-12,834.20M,834.20M,505.10M,329.10M,195.30M,,4.70M,-4.70M,,195.30M,133.80M,4.70M,-4.70M,0.40M,-4.70M,129.50M,13.80M,115.70M,,,115.70M,115.70M,163.50M,29.30M,134.20M,3.1660000000000004,,3.1660000000000004,3.1660000000000004,3.06,,3.06,3.06,36.60M,37.80M
2019-09,802.20M,802.20M,487.70M,314.50M,185.80M,,5.50M,-5.50M,,185.80M,128.70M,5.50M,-5.50M,0.20M,-5.50M,123.40M,16.70M,106.70M,,,106.70M,106.70M,156.80M,27.90M,128.90M,2.93,,2.93,2.93,2.84,,2.84,2.84,36.40M,37.60M
2019-06,782.00M,782.00M,463.60M,318.40M,186.50M,,5.40M,-5.40M,,186.50M,131.90M,5.40M,-5.40M,1.40M,-5.40M,127.90M,23.30M,104.60M,,,104.60M,104.60M,160.40M,27.10M,133.30M,2.89,,2.89,2.89,2.8,,2.8,2.8,36.20M,37.40M
2019-03,745.20M,745.20M,463.90M,281.30M,184.00M,,5.40M,-5.40M,,184.00M,97.30M,5.40M,-5.40M,1.00M,-5.40M,92.90M,17.60M,75.30M,,,75.30M,75.30M,125.90M,27.60M,98.30M,2.09,,2.09,2.09,2.02,,2.02,2.02,36.10M,37.20M
2018-12,748.40M,748.40M,459.60M,288.80M,177.60M,,5.70M,-5.70M,,177.60M,111.20M,5.70M,-5.70M,1.60M,-5.70M,107.10M,16.00M,91.10M,,,91.10M,91.10M,142.10M,29.30M,112.80M,2.524,,2.524,2.524,2.45,,2.45,2.45,36.10M,37.00M
2018-09,725.30M,725.30M,446.20M,279.10M,173.60M,,6.00M,-6.00M,,173.60M,105.50M,6.00M,-6.00M,0.70M,-6.00M,100.20M,9.90M,90.30M,,,90.30M,90.30M,133.50M,27.30M,106.20M,2.52,,2.52,2.52,2.43,,2.43,2.43,35.90M,37.20M
2018-06,732.50M,732.50M,447.00M,285.50M,174.00M,,6.70M,-6.70M,,174.00M,111.50M,6.70M,-6.70M,-0.40M,-6.70M,104.40M,18.50M,85.90M,,,85.90M,85.90M,138.70M,27.60M,111.10M,2.4,,2.4,2.4,2.32,,2.32,2.32,35.80M,37.00M
2018-03,695.60M,695.60M,438.20M,257.40M,169.00M,,7.10M,-7.10M,,169.00M,88.40M,7.10M,-7.10M,0.90M,-7.10M,82.20M,15.70M,66.50M,,,66.50M,66.50M,118.10M,28.80M,89.30M,1.87,,1.87,1.87,1.81,,1.81,1.81,35.60M,36.80M
2017-12,704.40M,704.40M,437.20M,267.20M,172.60M,,7.60M,-7.60M,,172.60M,94.60M,7.60M,-7.60M,1.30M,-7.60M,88.30M,20.70M,67.60M,,,67.60M,67.60M,121.50M,25.60M,95.90M,1.902,,1.902,1.902,1.84,,1.84,1.84,35.20M,36.60M
2017-09,662.20M,662.20M,408.60M,253.60M,164.10M,,8.20M,-8.20M,,164.10M,89.50M,8.20M,-8.20M,0.40M,-8.20M,81.70M,12.70M,69.00M,,,69.00M,69.00M,121.30M,31.40M,89.90M,1.95,,1.95,1.95,1.9,,1.9,1.9,35.30M,36.40M
2017-06,671.10M,671.10M,421.20M,249.90M,167.10M,,9.10M,-9.10M,,167.10M,82.80M,9.10M,-9.10M,2.70M,-9.10M,76.40M,16.30M,60.10M,,,60.10M,60.10M,118.70M,33.20M,85.50M,1.71,,1.71,1.71,1.66,,1.66,1.66,35.20M,36.20M
2017-03,566.10M,566.10M,357.00M,209.10M,154.30M,,8.20M,-8.20M,,154.30M,54.80M,8.20M,-8.20M,-6.00M,-8.20M,40.60M,10.10M,30.50M,,,30.50M,30.50M,71.60M,22.80M,48.80M,0.87,,0.87,0.87,0.84,,0.84,0.84,35.10M,36.10M
2016-12,552.90M,552.90M,351.50M,201.40M,144.20M,,6.00M,-6.00M,,144.20M,57.20M,6.00M,-6.00M,8.90M,-6.00M,60.10M,7.10M,53.00M,,,53.00M,53.00M,87.80M,21.70M,66.10M,1.528,-0.0114,1.528,1.517,1.49,-0.0114,1.49,1.48,34.90M,35.80M
