,Cash,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,Non-CurrentAccruedExpenses,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2020-09,,454.50M,454.50M,411.40M,238.80M,650.20M,243.10M,70.20M,59.40M,,365.40M,65.00M,,,,1.535B,,,,,1.275B,1.275B,-673.00M,601.90M,2.091B,408.80M,2.500B,,111.20M,3.302B,4.837B,216.60M,216.60M,429.00M,645.60M,25.60M,25.60M,,671.20M,761.10M,117.00M,878.10M,,,,261.70M,1.140B,1.811B,0.40M,3.196B,382.90M,66.30M,,,-486.80M,3.026B
2020-06,,382.80M,382.80M,432.40M,220.60M,653.00M,251.90M,84.00M,63.80M,,392.30M,55.70M,,,,1.484B,,,,,1.249B,1.249B,-653.50M,595.80M,2.061B,409.20M,2.470B,,105.00M,3.254B,4.738B,245.00M,245.00M,406.60M,651.60M,100.60M,100.60M,,752.20M,750.80M,111.70M,862.50M,,,,243.60M,1.106B,1.858B,0.40M,3.102B,376.20M,67.60M,,,-531.00M,2.880B
2020-03,,231.40M,231.40M,450.20M,217.90M,668.10M,252.50M,88.80M,67.30M,,401.10M,63.20M,,,,1.364B,,,,,1.233B,1.233B,-634.00M,598.70M,2.054B,411.80M,2.466B,,79.60M,3.221B,4.585B,263.40M,263.40M,395.60M,659.00M,100.60M,100.60M,,759.60M,749.10M,115.20M,864.30M,,,,208.10M,1.072B,1.832B,0.40M,3.008B,370.90M,87.00M,,,-539.50M,2.753B
2019-12,199.50M,199.50M,199.50M,460.40M,200.50M,660.90M,231.20M,108.30M,61.70M,,393.40M,59.90M,,,,1.314B,0.0,68.10M,280.60M,763.10M,127.10M,1.239B,-623.90M,615.00M,2.050B,430.80M,2.481B,,98.00M,3.266B,4.580B,271.10M,271.10M,391.50M,662.60M,100.60M,100.60M,,763.20M,750.00M,119.30M,869.30M,,,,232.60M,1.102B,1.865B,0.40M,2.926B,360.50M,96.40M,,,-475.80M,2.715B
2019-09,128.50M,128.50M,128.50M,448.40M,195.30M,643.70M,235.10M,120.90M,56.70M,,404.40M,61.50M,,,,1.238B,,,,,1.207B,1.207B,-608.90M,598.40M,2.008B,439.90M,2.448B,,87.40M,3.242B,4.480B,244.90M,244.90M,384.50M,629.40M,206.10M,206.10M,,835.50M,719.30M,122.60M,841.90M,,,,231.20M,1.073B,1.909B,0.40M,2.810B,356.70M,104.60M,,,-491.80M,2.571B
2019-06,108.10M,108.10M,108.10M,432.30M,176.50M,608.80M,221.50M,124.60M,53.30M,,390.40M,53.70M,,,,1.161B,,,,,1.176B,1.176B,-595.40M,580.50M,1.888B,379.90M,2.268B,,89.40M,3.039B,4.200B,221.70M,221.70M,353.80M,575.50M,135.50M,135.50M,,711.00M,656.20M,121.90M,778.10M,,,,238.10M,1.016B,1.727B,0.40M,2.704B,352.40M,115.20M,,,-468.20M,2.473B
2019-03,106.20M,106.20M,106.20M,410.40M,154.00M,564.40M,221.10M,125.40M,55.60M,,393.00M,53.90M,,,,1.118B,,,,,1.165B,1.165B,-579.60M,585.00M,1.885B,389.00M,2.274B,,90.30M,3.044B,4.162B,227.30M,227.30M,364.60M,591.90M,131.80M,131.80M,,723.70M,724.60M,126.00M,850.60M,,,,237.90M,1.088B,1.812B,0.40M,2.599B,349.80M,129.90M,,,-469.80M,2.350B
2018-12,142.50M,142.50M,142.50M,416.50M,145.30M,561.80M,205.60M,117.50M,50.50M,,364.30M,45.80M,,,,1.114B,0.0,59.60M,254.70M,694.30M,,1.009B,-566.00M,442.60M,1.735B,344.30M,2.080B,,84.60M,2.695B,3.809B,227.80M,227.80M,355.60M,583.40M,137.40M,137.40M,,720.80M,610.10M,0.00,610.10M,,,,248.70M,858.80M,1.580B,0.40M,2.524B,343.70M,144.90M,,,-493.20M,2.230B
2018-09,126.10M,126.10M,126.10M,387.40M,164.40M,551.80M,204.40M,128.40M,54.10M,,377.60M,54.10M,,,,1.110B,,,,,,1.002B,-555.60M,446.10M,1.756B,357.80M,2.113B,,86.20M,2.804B,3.913B,205.40M,205.40M,368.30M,573.70M,14.30M,14.30M,,588.00M,823.00M,,823.00M,,,,285.40M,1.108B,1.696B,0.40M,2.432B,337.90M,146.40M,,,-407.60M,2.217B
2018-06,101.40M,101.40M,101.40M,383.80M,155.30M,539.10M,197.60M,136.70M,55.00M,,380.00M,57.00M,,,,1.078B,,,,,,1.004B,-558.40M,446.10M,1.759B,368.60M,2.128B,,84.00M,2.805B,3.883B,213.00M,213.00M,323.80M,536.80M,12.20M,12.20M,,549.00M,939.80M,,939.80M,,,,291.40M,1.231B,1.780B,0.40M,2.295B,336.60M,163.10M,,,-366.50M,2.103B
