,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,TotalCurrentAssets,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,GrossLoans,AllowforLoan/LeaseLoss,UnearnedIncome,NetLoanAssets,LongTermInvestments,TotalLongTermAssets,TotalAssets,AccountsPayable,OtherPayables,TotalPayables,PayablesandAccruedExpenses,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,TotalDeposits,DerivativeContractLiabilities,MinorityInterestOwnership,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2020-09,25.31B,323.70B,343.69B,667.38B,,51.61B,51.61B,1.008T,21.62B,4.804B,26.43B,666.91B,26.43B,,640.48B,795.73B,1.570T,2.234T,54.33B,,54.33B,54.33B,19.35B,18.09B,37.44B,37.44B,298.99B,273.25B,273.25B,1.263T,,719.00M,1.683T,2.040T,18.01B,165.30B,107.76B,64.14B,17.98B,,,-33.06B,193.88B
2020-06,22.89B,309.77B,342.26B,652.03B,17.14B,34.49B,51.63B,986.58B,21.40B,4.451B,25.85B,685.29B,26.42B,,658.87B,795.56B,1.588T,2.233T,18.72B,41.84B,60.57B,60.57B,17.92B,22.23B,40.16B,40.16B,316.44B,279.78B,279.78B,1.234T,,680.00M,1.663T,2.040T,18.01B,163.43B,107.67B,64.14B,17.98B,,,-33.34B,191.62B
2020-03,23.76B,285.92B,308.22B,594.14B,22.39B,46.16B,68.56B,925.23B,21.26B,4.56B,25.82B,721.02B,20.84B,,700.18B,763.88B,1.603T,2.220T,22.86B,51.51B,74.37B,74.37B,18.17B,36.78B,54.95B,54.95B,351.64B,266.10B,266.10B,1.185T,,651.00M,1.615T,2.027T,18.01B,163.44B,107.55B,64.15B,17.98B,,,-32.52B,192.33B
2019-12,23.97B,193.92B,280.26B,474.18B,15.91B,23.94B,39.86B,765.36B,22.13B,4.822B,26.95B,699.48B,12.78B,,686.70B,644.70B,1.466T,1.951T,10.99B,37.61B,48.60B,48.60B,16.48B,28.57B,45.05B,45.05B,259.99B,248.76B,248.76B,1.071T,,704.00M,1.439T,1.757T,18.01B,165.37B,107.84B,61.66B,17.98B,,,-36.32B,193.24B
2019-09,24.09B,220.44B,275.42B,495.87B,19.47B,34.74B,54.22B,811.21B,21.82B,4.844B,26.67B,691.74B,12.53B,,679.21B,665.21B,1.479T,2.015T,21.09B,42.26B,63.34B,63.34B,14.68B,20.55B,35.23B,35.23B,293.62B,242.24B,242.24B,1.088T,,697.00M,1.466T,1.818T,19.51B,161.80B,107.74B,56.54B,19.48B,,,-36.14B,196.37B
2019-06,25.00B,203.24B,273.44B,476.68B,15.89B,34.14B,50.03B,786.47B,22.06B,5.026B,27.09B,688.67B,12.47B,,676.20B,656.53B,1.475T,1.988T,31.25B,38.59B,69.84B,69.84B,17.13B,25.32B,42.44B,42.44B,293.41B,252.19B,252.19B,1.046T,,751.00M,1.434T,1.790T,18.01B,158.32B,107.66B,51.43B,17.98B,,,-35.20B,197.36B
2019-03,24.45B,205.89B,275.13B,481.02B,14.94B,29.56B,44.50B,790.02B,22.04B,5.196B,27.23B,682.45B,12.33B,-107.00M,670.02B,635.79B,1.444T,1.958T,25.42B,37.24B,62.66B,62.66B,15.03B,24.29B,39.32B,39.32B,292.35B,243.57B,243.57B,1.030T,,763.00M,1.410T,1.761T,18.01B,154.86B,107.55B,47.86B,17.98B,,,-36.31B,196.25B
2018-12,23.64B,188.10B,288.04B,476.14B,14.42B,21.04B,35.45B,782.28B,22.05B,5.22B,27.27B,684.20B,12.32B,,671.88B,614.72B,1.423T,1.917T,24.30B,40.27B,64.57B,64.57B,13.24B,19.11B,32.35B,32.35B,274.68B,232.00B,232.00B,1.013T,,854.00M,1.389T,1.720T,18.49B,151.35B,107.92B,44.37B,18.46B,,,-37.17B,196.22B
2018-09,25.73B,199.29B,284.78B,484.07B,,40.68B,40.68B,805.69B,22.19B,5.216B,27.40B,674.98B,12.34B,-75.00M,662.57B,603.02B,1.404T,1.925T,73.35B,,73.35B,73.35B,12.05B,21.72B,33.77B,33.77B,283.03B,235.27B,235.27B,1.005T,,859.00M,1.388T,1.727T,19.07B,148.44B,107.82B,39.68B,19.04B,,,-38.64B,197.00B
2018-06,21.08B,200.90B,289.03B,489.93B,,36.98B,36.98B,792.44B,22.06B,5.325B,27.38B,671.27B,12.13B,-91.00M,659.05B,612.66B,1.409T,1.912T,67.67B,,67.67B,67.67B,12.03B,25.20B,37.23B,37.23B,282.73B,236.82B,236.82B,996.73B,,874.00M,1.374T,1.711T,19.07B,145.21B,107.72B,34.41B,19.04B,,,-37.49B,200.09B
2018-03,21.85B,202.70B,291.52B,494.23B,,46.57B,46.57B,798.69B,22.66B,5.037B,27.70B,672.99B,12.35B,-51.00M,660.58B,620.78B,1.415T,1.922T,69.68B,,69.68B,69.68B,,36.09B,36.09B,36.09B,277.54B,237.94B,237.94B,1.001T,,951.00M,1.383T,1.719T,19.19B,141.86B,107.60B,32.12B,19.16B,,,-34.62B,201.92B
2017-12,23.78B,180.52B,290.72B,471.24B,,38.38B,38.38B,742.10B,22.26B,5.146B,27.40B,667.06B,12.36B,-26.00M,654.68B,605.08B,1.391T,1.842T,61.34B,,61.34B,61.34B,9.94B,34.51B,44.45B,44.45B,262.07B,236.71B,236.71B,959.82B,,932.00M,1.322T,1.641T,19.28B,138.42B,108.01B,30.31B,19.25B,,,-34.67B,200.74B
2017-09,22.60B,186.11B,295.32B,481.42B,,38.08B,38.08B,772.11B,22.34B,5.285B,27.63B,653.16B,12.37B,28.00M,640.82B,613.58B,1.412T,1.889T,63.20B,,63.20B,63.20B,,38.15B,38.15B,38.15B,262.64B,232.67B,232.67B,964.04B,,988.00M,1.336T,1.661T,19.28B,155.17B,107.90B,24.83B,19.25B,,,-29.89B,227.63B
