,OperatingRevenue,Revenue,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,TotalOperatingExpenses,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,17.30B,17.30B,238.00M,7.486B,7.724B,,7.724B,278.00M,10.46B,4.076B,815.00M,3.261B,-7.00M,,-24.00M,284.00M,3.23B,3.237B,1.033B,6.897B,1.41,0.0,,,1.41,1.41,1.4,0.0,,,1.4,1.4,2.082B,2.094B,0.51
2020-06,19.77B,19.77B,299.00M,7.365B,7.664B,,7.664B,671.00M,11.04B,1.448B,131.00M,1.317B,-1.00M,,0.00,253.00M,1.316B,1.317B,926.00M,4.957B,0.51,0.0,,,0.51,0.51,0.51,-0.01,,,0.51,0.5,2.082B,2.084B,0.51
2020-03,20.73B,20.73B,328.00M,7.377B,7.705B,,7.705B,377.00M,11.49B,3.11B,576.00M,2.534B,-18.00M,,6.00M,291.00M,2.522B,2.54B,927.00M,8.757B,1.06,-0.01,,,1.06,1.05,1.06,-0.01,,,1.06,1.05,2.098B,2.114B,0.51
2019-12,18.38B,18.38B,345.00M,6.915B,7.26B,,7.26B,510.00M,12.15B,5.702B,703.00M,4.999B,-4.00M,,-16.00M,297.00M,4.979B,4.983B,1.039B,12.25B,2.318,-0.0019,,,2.318,2.316,2.15,-0.0019,,,2.15,2.15,2.150B,2.167B,0.51
2019-09,18.57B,18.57B,378.00M,7.112B,7.49B,,7.49B,347.00M,11.60B,6.022B,1.079B,4.943B,-15.00M,,-15.00M,254.00M,4.913B,4.928B,983.00M,13.56B,2.09,-0.01,,,2.09,2.09,2.08,-0.01,,,2.08,2.07,2.221B,2.237B,0.51
2019-06,18.76B,18.76B,434.00M,7.105B,7.539B,,7.539B,463.00M,11.90B,6.165B,1.373B,4.792B,17.00M,,-10.00M,296.00M,4.799B,4.782B,952.00M,13.93B,1.94,0.01,,,1.94,1.95,1.94,0.01,,,1.94,1.95,2.286B,2.289B,0.45
2019-03,18.58B,18.58B,359.00M,7.378B,7.737B,,7.737B,122.00M,11.76B,6.012B,1.275B,4.737B,-2.00M,,-25.00M,262.00M,4.71B,4.712B,931.00M,13.33B,1.88,0.0,,,1.88,1.88,1.87,0.0,,,1.87,1.87,2.340B,2.342B,0.45
2018-12,17.12B,17.12B,375.00M,6.408B,6.783B,,6.783B,61.00M,12.13B,5.306B,1.001B,4.305B,-8.00M,,16.00M,314.00M,4.313B,4.321B,954.00M,12.16B,1.8,-0.0033,,,1.8,1.796,1.65,-0.01,,,1.65,1.64,2.401B,2.403B,0.45
2018-09,18.39B,18.39B,378.00M,7.125B,7.503B,,7.503B,-1.00M,11.74B,6.104B,1.471B,4.633B,-8.00M,,-3.00M,270.00M,4.622B,4.63B,945.00M,12.47B,1.74,-0.01,,,1.74,1.73,1.74,-0.01,,,1.74,1.73,2.480B,2.481B,0.45
2018-06,18.47B,18.47B,411.00M,7.249B,7.66B,,7.66B,87.00M,11.58B,5.945B,1.444B,4.501B,15.00M,,-26.00M,318.00M,4.49B,4.475B,929.00M,11.83B,1.62,0.01,,,1.62,1.63,1.62,0.01,,,1.62,1.63,2.531B,2.532B,0.32
2018-03,18.87B,18.87B,381.00M,7.565B,7.946B,,7.946B,142.00M,11.11B,6.09B,1.441B,4.649B,-7.00M,,-22.00M,272.00M,4.62B,4.627B,926.00M,11.25B,1.68,0.0,,,1.68,1.68,1.68,0.0,,,1.68,1.68,2.562B,2.563B,0.32
2017-12,17.50B,17.50B,386.00M,6.667B,7.053B,,7.053B,136.00M,11.48B,5.099B,23.86B,-18.76B,-109.00M,,-19.00M,320.00M,-18.89B,-18.78B,942.00M,9.636B,-6.98,-0.0418,,,-6.98,-7.021,-7.11,-0.0418,,,-7.11,-7.15,2.606B,2.606B,0.32
2017-09,18.42B,18.42B,417.00M,7.068B,7.485B,,7.485B,198.00M,11.48B,6.003B,1.866B,4.137B,-5.00M,,1.00M,272.00M,4.133B,4.138B,920.00M,10.38B,1.42,0.0,,,1.42,1.42,1.42,0.0,,,1.42,1.42,2.684B,2.684B,0.32
2017-06,18.16B,18.16B,432.00M,7.158B,7.59B,,7.59B,201.00M,11.20B,5.678B,1.795B,3.883B,21.00M,,-32.00M,320.00M,3.872B,3.851B,901.00M,9.714B,1.27,0.01,,,1.27,1.28,1.27,0.01,,,1.27,1.28,2.739B,2.739B,0.16
2017-03,18.37B,18.37B,373.00M,7.197B,7.57B,,7.57B,180.00M,10.90B,5.981B,1.863B,4.118B,-18.00M,,-10.00M,301.00M,4.09B,4.108B,896.00M,9.547B,1.36,-0.01,,,1.36,1.35,1.36,-0.01,,,1.36,1.35,2.765B,2.766B,0.16
