,OperatingRevenue,Revenue,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,TotalOperatingExpenses,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2016-12,17.93B,17.93B,406.00M,6.683B,7.089B,,7.089B,271.00M,11.47B,5.10B,1.509B,3.591B,-3.00M,,-15.00M,320.00M,3.573B,3.576B,1.006B,8.378B,1.271,-0.0011,,,1.271,1.27,1.14,-0.0011,,,1.14,1.14,2.814B,2.814B,0.16
2016-09,17.76B,17.76B,403.00M,6.897B,7.30B,,7.30B,255.00M,11.44B,5.62B,1.733B,3.887B,-30.00M,,-17.00M,225.00M,3.84B,3.87B,938.00M,8.794B,1.25,-0.01,,,1.25,1.24,1.25,-0.01,,,1.25,1.24,2.880B,2.880B,0.16
2016-06,17.55B,17.55B,433.00M,6.886B,7.319B,,7.319B,82.00M,11.19B,5.77B,1.723B,4.047B,-23.00M,,-26.00M,322.00M,3.998B,4.021B,868.00M,8.89B,1.25,-0.01,,,1.25,1.24,1.25,-0.01,,,1.25,1.24,2.916B,2.916B,0.05
2016-03,17.56B,17.56B,390.00M,7.205B,7.595B,,7.595B,-279.00M,11.19B,4.987B,1.479B,3.508B,-2.00M,,-5.00M,210.00M,3.501B,3.503B,908.00M,7.927B,1.11,0.0,,,1.11,1.1,1.11,0.0,,,1.11,1.1,2.943B,2.943B,0.05
2015-12,18.46B,18.46B,371.00M,7.142B,7.513B,,7.513B,-29.00M,11.38B,4.808B,1.403B,3.405B,-45.00M,,-25.00M,265.00M,3.335B,3.38B,874.00M,7.709B,1.139,-0.0152,,,1.139,1.124,1.03,-0.0152,,,1.03,1.02,2.969B,2.970B,0.05
2015-09,18.69B,18.69B,391.00M,6.949B,7.34B,,7.34B,71.00M,11.69B,6.187B,1.881B,4.306B,-10.00M,,-5.00M,174.00M,4.291B,4.301B,865.00M,9.128B,1.36,0.0,,,1.36,1.36,1.36,0.0,,,1.36,1.35,2.993B,2.997B,0.05
2015-06,19.47B,19.47B,393.00M,7.139B,7.532B,,7.532B,140.00M,11.70B,6.894B,2.036B,4.858B,6.00M,,-18.00M,202.00M,4.846B,4.84B,882.00M,9.945B,1.51,0.01,,,1.51,1.52,1.51,0.0,,,1.51,1.51,3.02B,3.025B,0.05
2015-03,19.74B,19.74B,392.00M,7.12B,7.512B,,7.512B,235.00M,11.48B,6.937B,2.12B,4.817B,-5.00M,,-42.00M,128.00M,4.77B,4.775B,885.00M,9.965B,1.51,0.0,,,1.51,1.51,1.51,0.0,,,1.51,1.51,3.034B,3.039B,0.01
2014-12,17.90B,17.90B,484.00M,7.464B,7.948B,,7.948B,127.00M,12.00B,1.46B,1.077B,383.00M,-1.00M,,-38.00M,159.00M,344.00M,345.00M,916.00M,4.619B,0.116,-0.0003,,,0.116,0.1157,0.06,-0.0003,,,0.06,0.06,3.026B,3.032B,0.01
2014-09,19.69B,19.69B,442.00M,7.744B,8.186B,,8.186B,45.00M,12.09B,4.984B,2.068B,2.916B,-16.00M,,-59.00M,128.00M,2.841B,2.857B,934.00M,8.309B,0.89,-0.01,,,0.89,0.88,0.89,-0.01,,,0.89,0.88,3.030B,3.035B,0.01
2014-06,19.42B,19.42B,460.00M,7.647B,8.107B,,8.107B,47.00M,11.83B,2.174B,1.921B,253.00M,-22.00M,,-50.00M,100.00M,181.00M,203.00M,896.00M,5.789B,0.03,-0.01,,,0.03,0.03,0.03,-0.01,,,0.03,0.03,3.034B,3.038B,0.01
2014-03,20.21B,20.21B,458.00M,7.54B,7.998B,,7.998B,-73.00M,11.63B,6.083B,2.131B,3.952B,37.00M,,-45.00M,124.00M,3.944B,3.907B,843.00M,9.674B,1.23,0.01,,,1.23,1.24,1.22,0.01,,,1.22,1.23,3.037B,3.043B,0.01
2013-12,18.08B,18.08B,501.00M,7.281B,7.782B,,7.782B,-89.00M,11.86B,3.72B,1.409B,2.311B,181.00M,,-50.00M,71.00M,2.442B,2.261B,248.00M,7.457B,0.8289,0.0598,,,0.8289,0.8887,0.79,0.0596,,,0.79,0.79,3.028B,3.034B,0.01
2013-09,17.90B,17.90B,458.00M,7.396B,7.854B,,7.854B,24.00M,11.41B,4.266B,1.08B,3.186B,92.00M,,-51.00M,110.00M,3.227B,3.135B,1.43B,8.218B,0.98,0.03,,,0.98,1.01,0.98,0.03,,,0.98,1.01,3.034B,3.041B,0.01
2013-06,20.49B,20.49B,480.00M,7.561B,8.041B,,8.041B,89.00M,11.57B,6.315B,2.127B,4.188B,30.00M,,-36.00M,9.00M,4.182B,4.152B,818.00M,10.47B,1.34,0.01,,,1.34,1.35,1.33,0.01,,,1.33,1.34,3.041B,3.046B,0.01
2013-03,20.25B,20.25B,449.00M,7.865B,8.314B,,8.314B,189.00M,11.51B,5.501B,1.57B,3.931B,-33.00M,,-90.00M,4.00M,3.808B,3.841B,807.00M,9.831B,1.24,-0.01,,,1.24,1.23,1.24,-0.01,,,1.24,1.23,3.040B,3.045B,0.01
2012-12,17.98B,17.98B,513.00M,8.104B,8.617B,,8.617B,370.00M,11.82B,1.095B,-214.00M,1.309B,-85.00M,,-28.00M,9.00M,1.196B,1.281B,243.00M,5.76B,0.4445,-0.0381,,,0.4445,0.4064,0.4335,-0.0381,,,0.4335,0.4064,2.943B,3.017B,0.01
2012-09,13.70B,13.70B,589.00M,7.553B,8.142B,,8.142B,-2.855B,11.63B,-1.009B,-1.494B,485.00M,8.00M,,-25.00M,4.00M,468.00M,460.00M,752.00M,4.017B,0.15,0.0,,,0.15,0.15,0.15,0.0,,,0.15,0.15,2.927B,3.015B,0.01
2012-06,18.39B,18.39B,576.00M,7.573B,8.149B,,8.149B,145.00M,11.26B,3.697B,718.00M,2.979B,7.00M,,-40.00M,9.00M,2.946B,2.939B,774.00M,9.04B,0.98,0.0,,,0.98,0.98,0.95,0.0,,,0.95,0.95,2.927B,3.015B,0.01
2012-03,19.41B,19.41B,503.00M,7.767B,8.27B,,8.27B,620.00M,11.87B,4.068B,1.006B,3.062B,-5.00M,,-126.00M,4.00M,2.931B,2.936B,738.00M,9.658B,0.98,0.0,,,0.98,0.98,0.96,0.0,,,0.96,0.95,2.926B,3.014B,0.01
2011-12,16.15B,16.15B,609.00M,7.573B,8.182B,,8.182B,-161.00M,10.97B,1.187B,145.00M,1.042B,-44.00M,,-42.00M,9.00M,956.00M,1.00B,737.00M,6.874B,0.33,-0.02,,,0.33,0.32,0.32,-0.02,,,0.32,0.31,2.916B,3.003B,0.01
2011-09,20.83B,20.83B,635.00M,7.529B,8.164B,,8.164B,619.00M,12.11B,5.02B,1.278B,3.742B,1.00M,,28.00M,4.00M,3.771B,3.77B,744.00M,11.05B,1.27,0.0,,,1.27,1.27,1.23,0.0,,,1.23,1.23,2.911B,2.999B,0.01
2011-06,20.62B,20.62B,627.00M,7.944B,8.571B,,8.571B,412.00M,12.15B,4.299B,967.00M,3.332B,71.00M,,-62.00M,9.00M,3.341B,3.27B,720.00M,10.74B,1.1,0.02,,,1.1,1.12,1.07,0.02,,,1.07,1.09,2.909B,2.997B,0.01
2011-03,19.73B,19.73B,397.00M,7.623B,8.02B,,8.02B,-1.127B,12.10B,4.216B,1.185B,3.031B,40.00M,,-72.00M,4.00M,2.999B,2.959B,671.00M,10.27B,1.01,0.01,,,1.01,1.02,0.97,0.01,,,0.97,0.99,2.904B,2.997B,0.0
2010-12,18.37B,18.37B,518.00M,7.463B,7.981B,,7.981B,158.00M,12.37B,1.06B,-313.00M,1.373B,98.00M,,-162.00M,,1.309B,1.211B,1.285B,7.202B,0.41,0.03,,,0.41,0.44,0.4,0.03,,,0.4,0.43,2.893B,2.985B,0.0
2010-09,20.74B,20.74B,458.00M,7.374B,7.832B,,7.832B,742.00M,13.13B,3.299B,698.00M,2.601B,-374.00M,,-59.00M,,2.168B,2.542B,136.00M,9.482B,0.85,-0.11,,,0.85,0.74,0.83,-0.11,,,0.83,0.72,2.888B,2.978B,0.0
2010-06,22.07B,22.07B,367.00M,7.156B,7.523B,,7.523B,69.00M,13.93B,3.54B,812.00M,2.728B,-3.00M,,-28.00M,,2.697B,2.70B,620.00M,9.969B,0.93,0.0,,,0.93,0.93,0.9,0.0,,,0.9,0.9,2.885B,2.975B,0.0
2010-03,25.42B,25.42B,302.00M,7.361B,7.663B,,7.663B,31.00M,14.56B,5.285B,1.036B,4.249B,211.00M,,-32.00M,,4.428B,4.217B,623.00M,11.58B,1.5,0.1,,,1.5,1.5,1.4,0.1,,,1.4,1.5,2.844B,2.933B,0.0
2009-12,3.25B,3.25B,413.00M,8.062B,8.475B,2.189B,10.66B,-2.629B,11.16B,-15.09B,-7.353B,-7.74B,232.00M,,-71.00M,4.65B,-7.579B,-9.234B,1.563B,-8.551B,-2.8080000000000003,0.0815,,,-3.3080000000000003,-2.727,-2.8080000000000003,0.0815,,,-3.3080000000000003,-2.727,2.848B,2.848B,0.0
2009-09,21.10B,21.10B,317.00M,7.25B,7.567B,-678.00M,6.889B,427.00M,12.00B,-529.00M,-1.122B,593.00M,-418.00M,,-74.00M,272.00M,101.00M,959.70M,431.00M,6.151B,-2.3,-0.4,,,-1.936,-2.7,-2.3,-0.4,,,-1.939,-2.7,1.210B,1.222B,0.0
2009-06,29.97B,29.97B,351.00M,7.513B,7.864B,32.00M,7.896B,-160.00M,12.83B,5.294B,907.00M,4.387B,-142.00M,,34.00M,1.495B,4.279B,4.394B,846.00M,12.14B,5.1,-0.2,,,5.051,4.9,5.1,-0.2,,,5.056,4.9,539.95M,596.78M,0.0
2009-03,24.52B,24.52B,334.00M,7.377B,7.711B,13.00M,7.724B,9.00M,12.93B,2.529B,835.00M,1.694B,-117.00M,,16.00M,1.221B,1.593B,1.701B,13.00M,10.19B,-1.6,-0.2,,,-1.6159999999999999,-1.8,-1.6,-0.2,,,-1.615,-1.8,538.50M,595.33M,0.1
2008-12,5.646B,5.646B,475.00M,7.757B,8.232B,-1.571B,6.661B,-1.198B,13.27B,-31.69B,-10.70B,-20.99B,3.424B,,306.00M,862.00M,-17.26B,-19.65B,513.00M,-21.09B,-41.1,6.5,,,-39.15,-34.6,-41.1,6.5,,,-39.33,-34.6,534.67M,589.19M,1.6
2008-09,16.26B,16.26B,496.00M,9.059B,9.555B,-8.00M,9.547B,-605.00M,13.40B,-6.816B,-3.295B,-3.521B,613.00M,,93.00M,389.00M,-2.815B,-3.423B,543.00M,5.91B,-7.2,1.1,,,-7.19,-6.1,-7.2,1.1,,,-7.191,-6.1,534.18M,583.11M,3.2
2008-06,17.54B,17.54B,616.00M,10.21B,10.83B,44.00M,10.87B,-139.00M,13.99B,-4.776B,-2.447B,-2.329B,-94.00M,,-72.00M,361.00M,-2.495B,-2.430B,598.00M,8.575B,-5.3,-0.2,,,-5.354,-5.5,-5.3,-0.2,,,-5.35,-5.5,528.74M,577.68M,3.2
2008-03,12.44B,12.44B,636.00M,10.31B,10.94B,-15.00M,10.93B,-119.00M,13.07B,-9.186B,-3.939B,-5.247B,115.00M,,21.00M,83.00M,-5.111B,-5.216B,812.00M,6.936B,-10.6,0.3,,,-10.58,-10.3,-10.6,0.3,,,-10.58,-10.3,508.56M,557.57M,3.2
2007-12,6.419B,6.419B,726.00M,9.879B,10.60B,-53.00M,10.55B,-16.46B,12.23B,-17.44B,-7.406B,-10.03B,198.00M,,-95.00M,0.00,-9.833B,-9.997B,982.00M,2.187B,-20.5,0.4,,,-20.43,-20.1,-20.5,0.4,,,-20.43,-20.1,493.19M,500.94M,5.4
2007-09,21.64B,21.64B,766.00M,7.595B,8.361B,-35.00M,8.326B,-246.00M,11.84B,2.601B,492.00M,2.109B,103.00M,,-20.00M,6.00M,2.212B,1.924B,486.00M,23.02B,4.3,0.2,,,3.924,4.5,4.2,0.2,,,3.8310000000000004,4.4,491.61M,501.09M,5.4
2007-06,26.33B,26.33B,767.00M,8.896B,9.663B,-63.00M,9.60B,2.629B,11.40B,8.806B,2.663B,6.143B,83.00M,,-123.00M,14.00M,6.226B,6.104B,670.00M,27.78B,12.5,0.2,,,12.42,12.7,12.3,0.2,,,12.22,12.4,489.83M,499.29M,5.4
2007-03,25.46B,25.46B,617.00M,8.96B,9.577B,-1.377B,8.20B,3.641B,10.61B,6.874B,1.862B,5.012B,,,-47.00M,16.00M,5.012B,6.016B,652.00M,24.44B,10.2,0.0,,,12.26,10.2,10.1,0.0,,,12.12,10.1,487.70M,496.79M,5.4
2006-12,20.54B,20.54B,642.00M,7.632B,8.274B,,8.274B,2.844B,8.479B,6.22B,1.889B,4.331B,798.00M,,-152.00M,16.00M,5.129B,4.331B,745.00M,21.18B,10.5,0.0,,,10.5,10.5,10.3,0.0,,,10.3,10.3,485.40M,496.78M,4.9
2006-09,21.42B,21.42B,574.00M,6.992B,7.566B,-50.00M,7.516B,2.318B,9.828B,7.323B,2.02B,5.303B,202.00M,,-46.00M,16.00M,5.505B,5.339B,688.00M,22.22B,10.8,0.4,,,10.87,11.3,10.6,0.4,,,10.67,11.0,487.55M,497.86M,4.9
2006-06,22.18B,22.18B,652.00M,7.605B,8.257B,-150.00M,8.107B,2.005B,9.81B,7.565B,2.303B,5.262B,3.00M,,-31.00M,16.00M,5.265B,5.366B,688.00M,21.28B,10.7,0.0,,,10.91,10.7,10.5,0.0,,,10.71,10.5,489.90M,499.00M,4.9
2006-03,22.18B,22.18B,,8.49B,8.49B,,8.49B,2.496B,9.766B,7.092B,1.537B,5.555B,84.00M,,-60.00M,16.00M,5.639B,5.555B,669.00M,19.20B,11.3,0.2,,,11.3,11.4,11.1,0.2,,,11.1,11.2,492.07M,500.79M,4.9
2005-12,20.78B,20.78B,685.00M,6.684B,7.369B,-50.00M,7.319B,-4.029B,9.674B,7.223B,2.251B,4.972B,2.009B,,-38.00M,17.00M,6.932B,5.006B,670.00M,18.16B,10.0,4.0,,,10.07,13.9,9.7,4.0,,,9.767999999999999,13.6,495.45M,506.91M,4.4
2005-09,21.50B,21.50B,587.00M,7.007B,7.594B,-100.00M,7.494B,2.234B,9.695B,7.152B,2.164B,4.988B,2.155B,,-93.00M,17.00M,7.143B,5.058B,724.00M,16.80B,9.8,4.3,,,9.937999999999999,14.1,9.7,4.1,,,9.836,13.8,505.83M,514.60M,4.4
2005-06,20.17B,20.17B,620.00M,6.248B,6.868B,-100.00M,6.768B,1.299B,9.799B,6.91B,2.179B,4.731B,342.00M,,-255.00M,17.00M,5.073B,4.799B,588.00M,15.58B,9.2,0.7,,,9.334,9.9,9.1,0.6,,,9.231,9.7,511.91M,520.81M,4.4
2005-03,21.20B,21.20B,641.00M,6.703B,7.344B,,7.344B,2.458B,10.11B,7.599B,2.484B,5.115B,326.00M,,-163.00M,17.00M,5.441B,5.115B,610.00M,15.02B,9.9,0.7,,,9.9,10.6,9.8,0.6,,,9.8,10.4,513.33M,522.60M,4.4
2004-12,20.11B,20.11B,755.00M,6.342B,7.097B,,7.097B,943.00M,10.27B,7.195B,2.047B,5.148B,173.00M,,-46.00M,17.00M,5.321B,5.017B,-1.327B,13.89B,10.0,0.3,,,9.746,10.3,9.8,0.3,,,9.549,10.2,514.70M,522.20M,4.0
2004-09,18.74B,18.74B,661.00M,5.627B,6.288B,,6.288B,400.00M,10.33B,7.255B,2.229B,5.026B,282.00M,,-69.00M,17.00M,5.308B,4.816B,758.00M,13.13B,9.8,0.5,,,9.389,10.3,9.6,0.5,,,9.197000000000001,10.2,511.23M,520.56M,4.0
2004-06,20.86B,20.86B,643.00M,5.927B,6.57B,,6.57B,1.062B,10.45B,833.00M,-83.00M,916.00M,228.00M,,-39.00M,17.00M,1.144B,785.20M,700.00M,5.804B,1.8,0.4,,,1.544,2.2,1.7,0.4,,,1.449,2.2,510.05M,520.13M,4.0
2004-03,20.28B,20.28B,,6.105B,6.105B,3.00M,6.108B,1.311B,10.64B,7.336B,2.312B,5.024B,249.00M,,-69.00M,17.00M,5.273B,4.932B,556.00M,11.80B,9.8,0.5,,,9.62,10.3,9.6,0.5,,,9.424,10.1,509.56M,520.31M,4.0
2003-12,20.15B,20.15B,,6.226B,6.226B,21.00M,6.247B,900.00M,10.58B,6.872B,2.112B,4.76B,,,-41.00M,17.00M,4.76B,4.714B,558.00M,11.06B,9.3,0.0,,,9.21,9.3,9.1,0.0,,,9.012,9.1,509.60M,521.52M,3.5
2003-09,19.40B,19.40B,,6.335B,6.335B,11.00M,6.346B,1.307B,9.917B,6.899B,2.208B,4.691B,,,-165.00M,17.00M,4.691B,4.605B,521.00M,10.84B,9.2,0.0,,,9.032,9.2,9.0,0.0,,,8.835,9.0,509.68M,520.65M,3.5
2003-06,19.35B,19.35B,,6.445B,6.445B,1.00M,6.446B,1.311B,9.602B,6.255B,1.956B,4.299B,,,-41.00M,17.00M,4.299B,4.169B,532.00M,10.74B,8.4,0.0,,,8.145,8.4,8.3,0.0,,,8.049,8.3,508.55M,518.40M,2.0
2003-03,18.54B,18.54B,,6.177B,6.177B,13.00M,6.19B,1.602B,9.682B,6.022B,1.919B,4.103B,,,-38.00M,20.00M,4.103B,3.984B,509.00M,10.68B,8.0,0.0,,,7.766,8.0,7.9,0.0,,,7.669,7.9,509.49M,516.87M,2.0
2002-12,17.87B,17.87B,,6.94B,6.94B,-20.00M,6.92B,778.00M,9.829B,3.633B,1.204B,2.429B,0.00,0.00,-32.00M,20.00M,2.429B,2.549B,655.00M,8.556B,4.7,0.0,0.0,,4.937,4.7,4.7,0.0,-0.0001,,4.933,4.7,506.81M,515.87M,1.8
2002-09,17.64B,17.64B,,5.274B,5.274B,41.00M,5.315B,970.00M,9.223B,5.604B,1.898B,3.706B,214.00M,,-24.00M,21.00M,3.92B,3.788B,554.00M,11.46B,7.3,0.4,,,7.462999999999999,7.7,7.2,0.4,,,7.36,7.6,503.66M,511.05M,1.8
2002-06,17.99B,17.99B,,5.904B,5.904B,40.00M,5.944B,1.27B,9.392B,5.846B,2.017B,3.829B,255.00M,,-18.00M,21.00M,4.084B,3.927B,355.00M,11.45B,7.5,0.5,,,7.693,8.0,7.3,0.5,,,7.489,7.8,509.67M,518.58M,1.8
2002-03,17.80B,17.80B,,5.893B,5.893B,-46.00M,5.847B,1.613B,9.247B,5.363B,1.879B,3.484B,1.406B,-47.00M,-17.00M,21.00M,4.843B,3.494B,362.00M,10.22B,6.8,2.7,0.0,,6.82,9.4,6.6,2.7,-0.092,,6.62,9.3,511.05M,520.98M,1.6
2001-12,17.87B,17.87B,,5.827B,5.827B,21.00M,5.848B,783.00M,9.399B,5.368B,1.797B,3.571B,304.00M,0.00,-37.00M,26.00M,3.875B,3.640B,2.541B,10.98B,7.0,0.6,0.0,,7.136,7.6,6.8,0.6,0.0015,,6.933,7.4,510.16M,520.91M,1.6
2001-09,16.20B,16.20B,,5.345B,5.345B,-133.00M,5.212B,1.019B,8.314B,5.006B,1.771B,3.235B,-58.00M,,-26.00M,28.00M,3.177B,3.251B,-332.00M,13.29B,6.3,-0.1,,,6.332000000000001,6.2,6.2,-0.1,,,6.231,6.1,506.08M,516.90M,1.6
2001-06,19.38B,19.38B,,7.443B,7.443B,-213.00M,7.23B,1.417B,8.297B,5.612B,1.96B,3.652B,,-116.00M,-15.00M,28.00M,3.536B,3.752B,1.152B,14.08B,7.2,-0.2,0.0,,7.4,7.0,7.1,-0.2,-0.233,,7.295,6.9,497.96M,510.00M,1.4
2001-03,20.28B,20.28B,,8.056B,8.056B,-132.00M,7.924B,2.325B,7.65B,5.57B,1.99B,3.58B,,-42.00M,-9.00M,28.00M,3.538B,3.375B,1.118B,15.09B,7.1,-0.1,0.0,,6.689,7.0,7.0,-0.1,-0.0843,,6.599,6.9,498.47M,511.00M,1.4
2000-12,7.387B,7.387B,,339.00M,339.00M,-623.00M,-284.00M,1.276B,5.478B,2.636B,1.084B,1.552B,,,49.00M,31.00M,2.84B,1.839B,1.105B,12.78B,3.0,2.6,,,3.576,5.6,3.0,2.5,,,3.56,5.5,497.67M,511.71M,1.4
2000-09,18.84B,18.84B,,7.377B,7.377B,-70.00M,7.307B,1.547B,7.10B,5.442B,1.958B,3.484B,,,-13.00M,29.00M,3.484B,3.204B,1.487B,15.23B,6.9,0.0,,,6.337000000000001,6.9,6.7,0.0,,,6.154,6.7,497.87M,513.48M,1.3969999999999998
2000-06,15.90B,15.90B,,6.495B,6.495B,-3.00M,6.492B,1.435B,5.353B,4.621B,1.616B,3.005B,,,-23.00M,29.00M,3.005B,2.825B,1.136B,12.41B,6.7,0.0,,,6.295,6.7,6.5,0.0,,,6.107,6.5,444.36M,458.69M,1.2
2000-03,19.13B,19.13B,,6.963B,6.963B,-20.00M,6.943B,1.723B,6.758B,6.023B,2.167B,3.856B,,,-55.00M,,3.856B,3.980B,596.00M,13.71B,7.7,0.0,,,7.9479999999999995,7.7,7.5,0.0,,,7.742000000000001,7.5,497.55M,511.54M,1.2
1999-12,23.25B,23.25B,,7.931B,7.931B,-8.00M,7.923B,,11.33B,6.324B,2.326B,3.998B,,0.00,-70.00M,33.00M,3.998B,3.836B,1.341B,16.42B,6.2,0.0,0.0,,5.952999999999999,6.2,6.1,0.0,0.0305,,5.859,6.1,657.68M,673.72M,1.05
1999-09,14.02B,14.02B,,5.789B,5.789B,-22.00M,5.767B,954.00M,5.125B,3.814B,1.379B,2.435B,,,-56.00M,38.00M,2.435B,2.427B,877.00M,9.89B,5.4,0.0,,,5.381,5.4,5.3,0.0,,,5.282,5.3,444.27M,458.69M,1.05
