,NetIncome,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",AmortizationofSecurities,AssetImpairmentCharge,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,CashfromDiscontinuedOperationsAdjustment,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2007-06,6.226B,-119.00M,-119.00M,670.00M,670.00M,,,13.21B,,,,,,-41.47B,,-21.48B,-81.00M,,-81.00M,-11.17B,33.33B,-52.07B,-29.99B,16.53B,25.02B,41.54B,,,50.00M,,,,-2.689B,-24.00M,57.41B,24.42B,5.934B,280.00M,30.64B,,,30.47B,-13.94B,,,
2007-03,5.012B,-473.00M,-473.00M,652.00M,652.00M,,,-7.297B,,,,,,-16.31B,,-18.42B,-268.00M,,-268.00M,-2.353B,-7.819B,-13.46B,-23.90B,9.367B,9.718B,19.08B,,,-251.00M,,,,-2.698B,-819.00M,40.22B,26.51B,-2.102B,9.00M,24.42B,,,34.76B,-25.39B,,,
2006-12,5.129B,-806.00M,-806.00M,745.00M,745.00M,,,-16.43B,,,,,,-26.42B,,-37.68B,-842.00M,,-842.00M,,-19.43B,-34.80B,-55.07B,26.20B,30.33B,56.54B,,,-287.00M,,,,-2.406B,-26.00M,96.46B,22.54B,3.701B,270.00M,26.51B,,,38.97B,-12.76B,,,
2006-09,5.505B,-304.00M,-293.00M,688.00M,688.00M,,,29.69B,,,,,,-1.067B,,34.53B,-451.00M,,-451.00M,,-54.26B,-18.41B,-73.13B,19.62B,-2.08B,17.54B,,,-1.69B,,,,-2.458B,-68.00M,36.81B,24.31B,-1.789B,21.00M,22.54B,,,27.14B,-7.514B,,,
2006-06,5.265B,-681.00M,-313.00M,688.00M,688.00M,,,6.458B,,,,,,-12.15B,,-55.00M,-786.00M,,-786.00M,,-64.09B,26.84B,-38.04B,10.77B,14.45B,25.22B,,,-1.483B,,,,-2.471B,103.00M,40.80B,21.41B,2.708B,192.00M,24.31B,,,22.54B,-11.77B,,,
2006-03,5.639B,,-379.00M,669.00M,669.00M,,,-9.284B,,,,,,6.525B,,3.17B,-350.00M,,-350.00M,,49.77B,-87.40B,-37.97B,10.62B,-8.80B,1.815B,,,-1.742B,,,,-2.491B,-694.00M,32.42B,23.63B,-2.383B,162.00M,21.41B,,,25.04B,-14.42B,,,
2005-12,6.932B,-980.00M,1.14B,670.00M,670.00M,,,-146.03B,,,,,,9.353B,,-128.12B,,,-418.00M,0.00,-13.44B,124.11B,110.26B,4.451B,8.706B,13.16B,,,-3.918B,,,,-2.245B,-71.00M,18.32B,24.67B,458.00M,-1.494B,23.63B,,,20.82B,-16.37B,,,
2005-09,7.811B,-982.00M,-3.102B,724.00M,724.00M,,,151.42B,,,,,,-13.51B,,143.34B,,,10.14B,0.00,-2.269B,-152.27B,-144.40B,4.858B,-4.76B,98.00M,,,-5.148B,,,,-2.301B,141.00M,1.133B,24.51B,76.00M,-22.00M,24.67B,,,16.13B,-11.27B,,,
2005-06,4.731B,,243.00M,588.00M,588.00M,,,-727.00M,,,,,,8.351B,,13.19B,924.00M,,5.087B,0.00,-1.479B,-19.91B,-16.30B,5.416B,280.00M,5.696B,,,-1.701B,,,,-2.316B,-279.00M,5.234B,25.62B,2.119B,-182.00M,24.51B,,,17.77B,-12.35B,,,
2005-03,5.115B,,-243.00M,610.00M,610.00M,,,-83.00M,,,,,,-1.816B,,3.583B,-924.00M,,-924.00M,-602.00M,-5.573B,-2.677B,-9.776B,1.763B,5.937B,7.70B,,,-627.00M,,,,-2.326B,-489.00M,8.399B,23.56B,2.206B,-142.00M,25.62B,,,14.13B,-12.37B,,,
2004-12,5.321B,,-208.00M,-1.327B,-1.327B,,,20.44B,,,,,,-16.95B,,6.294B,-769.00M,,-769.00M,0.00,-4.078B,-30.36B,-35.20B,4.522B,-6.436B,-1.914B,,,169.00M,,,,-2.097B,-30.00M,26.24B,25.48B,-2.67B,743.00M,23.56B,,,16.30B,-11.78B,,,
2004-09,5.308B,,-276.00M,758.00M,758.00M,,,3.33B,,,,,,-12.04B,,-2.918B,-602.00M,,-602.00M,-742.00M,3.118B,-9.17B,-7.396B,7.501B,-6.674B,827.00M,,,-56.00M,,,,-2.085B,-34.00M,9.252B,26.46B,-1.062B,83.00M,25.48B,,,19.64B,-12.14B,,,
2004-06,1.144B,,-209.00M,700.00M,700.00M,,,190.00M,,,,,,199.00M,,2.024B,-1.322B,,-1.322B,-1.822B,107.00M,-4.922B,-7.959B,6.928B,512.00M,7.44B,,,165.00M,,,,-2.096B,-18.00M,9.373B,23.10B,3.438B,-80.00M,26.46B,,,19.53B,-12.61B,,,
2004-03,5.273B,,-138.00M,556.00M,556.00M,,,-8.859B,,,,,,-4.636B,,-7.804B,-318.00M,,-318.00M,-1.113B,-19.29B,-7.95B,-28.67B,7.127B,8.235B,15.36B,,,-145.00M,,,,-2.097B,-429.00M,38.45B,21.15B,1.97B,-15.00M,23.10B,,,20.29B,-13.16B,,,
2003-12,4.76B,,-45.00M,558.00M,558.00M,,,12.66B,,,,,,-12.75B,,5.746B,-440.00M,,-440.00M,,2.257B,-7.069B,-26.71B,5.156B,-4.611B,545.00M,,,-642.00M,,,,-1.832B,-810.00M,17.16B,24.69B,-3.807B,268.00M,21.15B,,,17.76B,-12.61B,,,
2003-09,4.691B,,-115.00M,521.00M,521.00M,,,-2.671B,,,,,,-24.78B,,-22.35B,-479.00M,,-479.00M,,4.014B,-6.683B,-3.148B,13.85B,9.509B,23.36B,,,158.00M,,,,-1.834B,380.00M,28.27B,21.82B,2.77B,102.00M,24.69B,,,25.01B,-11.16B,,,
2003-06,4.299B,,-188.00M,532.00M,532.00M,,,7.177B,,,,,,-6.434B,,5.386B,-997.00M,,-997.00M,,-2.732B,-2.746B,-6.475B,-3.156B,3.304B,148.00M,,,-171.00M,,,,-1.054B,-40.00M,2.973B,19.73B,1.884B,201.00M,21.82B,,,12.38B,-15.53B,,,
2003-03,4.103B,,-162.00M,509.00M,509.00M,,,9.253B,,,,,,-17.34B,,-3.636B,-438.00M,,-438.00M,,-12.44B,2.904B,-9.976B,5.403B,-1.555B,3.848B,,,-1.35B,,,,-1.053B,246.00M,16.01B,17.33B,2.397B,8.00M,19.73B,,,11.91B,-6.503B,,,
