,NetIncome,Gain/LossonSaleBusiness,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2020-09,395.20M,0.00,-4.00M,-4.00M,94.10M,51.20M,145.30M,145.30M,,,,,,,,140.70M,140.70M,677.20M,-62.10M,,,1.40M,-1.00M,-2.10M,-63.80M,0.00,-712.90M,-712.90M,42.50M,-1.90M,40.60M,,,-109.60M,-9.40M,-119.00M,,-18.90M,-810.20M,876.60M,-196.80M,16.30M,696.10M,42.50M,0.00,0.00,-1.90M
2020-06,238.70M,0.00,-10.10M,-10.10M,94.20M,50.50M,144.70M,144.70M,,,,,-0.20M,,,-44.90M,-44.90M,328.20M,-64.50M,,,0.40M,9.50M,-2.20M,-56.80M,-3.80M,-980.80M,-984.60M,756.70M,-0.30M,756.40M,,,-105.80M,,-105.80M,,-57.50M,-391.50M,998.30M,-120.10M,-1.60M,876.60M,756.70M,-3.80M,,-0.30M
2020-03,133.10M,,,,92.80M,48.30M,141.10M,141.10M,,,,,0.20M,,,-679.60M,-679.60M,-405.20M,-82.90M,,,-1.302B,17.90M,3.70M,-1.364B,1.486B,1.352B,2.838B,44.60M,-9.00M,35.60M,,,-105.60M,,-105.60M,,-293.10M,2.475B,314.60M,706.30M,-22.60M,998.30M,44.60M,1.486B,0.00,-9.00M
2019-12,199.10M,0.20M,12.40M,30.50M,92.00M,47.80M,139.80M,139.80M,,,,,-13.80M,,,730.00M,776.40M,1.243B,-141.20M,,,-3.30M,-9.20M,85.00M,-68.70M,-750.00M,-1.136B,-1.886B,99.90M,-15.60M,84.30M,,,-104.40M,,-104.40M,,-13.10M,-1.203B,324.40M,-28.80M,19.00M,314.60M,834.90M,0.00,-750.00M,-15.60M
2019-09,231.10M,0.00,4.40M,4.40M,93.10M,47.80M,140.90M,140.90M,,,,,,,,-183.70M,-183.70M,192.70M,-96.70M,,,-6.20M,6.40M,-3.90M,-100.40M,0.00,28.60M,28.60M,21.50M,-2.70M,18.80M,,,-102.30M,0.00,-102.30M,,-12.50M,-67.40M,324.90M,24.90M,-25.40M,324.40M,21.50M,0.00,0.00,-2.70M
2019-06,357.40M,-17.20M,-5.60M,-22.80M,93.70M,48.00M,141.70M,141.70M,,,,,0.30M,,,24.40M,24.40M,501.00M,-97.20M,,,76.90M,-8.30M,-3.60M,-32.20M,-0.70M,-330.60M,-331.30M,14.40M,-1.10M,13.30M,,,-97.70M,,-97.70M,,-14.20M,-429.90M,285.80M,38.90M,0.20M,324.90M,14.40M,-0.70M,0.00,-1.10M
2019-03,170.40M,,,,94.00M,43.80M,137.80M,137.80M,,,,,-0.30M,,,-739.20M,-739.20M,-431.30M,-89.60M,,,-676.20M,-241.50M,,-1.007B,96.90M,1.420B,1.517B,10.20M,-8.10M,2.10M,,,-97.60M,,-97.60M,,-13.10M,1.408B,311.40M,-30.40M,4.80M,285.80M,10.20M,496.90M,-400.00M,-8.10M
2018-12,-106.00M,0.00,0.00,0.00,81.50M,44.00M,125.50M,125.50M,,,,,,,,1.060B,886.00M,1.221B,-164.70M,,,-2.70M,4.90M,21.60M,-140.90M,12.50M,-1.012B,-999.40M,5.70M,-12.60M,-6.90M,,,-98.40M,,-98.40M,0.00,-32.70M,-1.137B,368.70M,-57.50M,0.20M,311.40M,5.70M,990.00M,-977.50M,-12.60M
2018-09,248.30M,0.00,,0.00,85.20M,44.50M,129.70M,129.70M,,,,,,,,-186.50M,-186.50M,191.50M,-109.40M,,,-16.20M,-10.90M,2.10M,-134.40M,0.00,309.50M,309.50M,10.20M,-301.80M,-291.60M,,,-97.40M,,-97.40M,0.00,-18.10M,-97.60M,403.40M,-40.50M,5.80M,368.70M,10.20M,0.00,0.00,-301.80M
2018-06,293.40M,0.80M,0.00,0.80M,83.20M,44.50M,127.70M,127.70M,,,,,,,,-223.90M,-223.90M,198.00M,-111.70M,,,-507.50M,31.50M,0.20M,-587.50M,0.00,753.60M,753.60M,9.50M,-201.30M,-191.80M,,,-94.20M,,-94.20M,0.00,-10.10M,457.50M,423.20M,68.00M,-87.80M,403.40M,9.50M,0.00,0.00,-201.30M
