,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,ProvisionforDoubtfulAccounts,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,3.850B,3.850B,2.474B,1.376B,731.30M,-42.80M,7.60M,52.70M,2.00M,-50.70M,,738.90M,637.40M,2.00M,52.70M,-50.70M,-117.10M,-50.70M,469.60M,78.40M,395.20M,,-0.30M,9.40M,394.90M,430.55M,667.60M,145.30M,522.30M,2.47,,,2.698,2.47,2.44,,,2.6660000000000004,2.44,156.37M,157.97M,0.7
2020-06,3.147B,3.147B,2.135B,1.013B,713.00M,-27.90M,19.00M,57.30M,2.50M,-54.80M,,732.00M,280.70M,2.50M,57.30M,-54.80M,-114.80M,-54.80M,111.10M,-117.30M,238.70M,,-0.30M,4.70M,238.40M,258.77M,313.10M,144.70M,168.40M,1.52,,,1.653,1.52,1.52,,,1.652,1.52,153.33M,154.15M,0.69
2020-03,3.129B,3.129B,2.106B,1.023B,737.80M,-22.80M,10.70M,59.70M,10.10M,-49.60M,,748.50M,274.60M,10.10M,59.70M,-49.60M,-78.80M,-49.60M,146.20M,12.90M,133.10M,,0.10M,,133.20M,153.99M,347.00M,141.10M,205.90M,0.89,,,1.028,0.89,0.88,,,1.0170000000000001,0.88,150.33M,151.90M,0.69
2019-12,3.714B,3.714B,2.554B,1.161B,718.40M,-81.00M,5.30M,65.10M,12.50M,-52.60M,,723.70M,436.90M,12.50M,65.10M,-52.60M,-147.50M,-52.60M,236.80M,25.30M,199.10M,,0.00,,199.10M,271.45M,441.70M,139.80M,301.90M,1.34,,,1.825,1.34,1.32,,,1.798,1.32,149.13M,151.34M,0.69
2019-09,3.633B,3.633B,2.394B,1.240B,752.80M,-74.00M,3.30M,72.40M,12.70M,-59.70M,,756.10M,483.40M,12.70M,72.40M,-59.70M,-129.00M,-59.70M,294.70M,59.20M,231.10M,,-0.60M,,230.50M,289.63M,508.00M,140.90M,367.10M,1.55,,,1.949,1.55,1.53,,,1.923,1.53,148.35M,150.62M,0.69
2019-06,3.761B,3.761B,2.462B,1.300B,776.20M,8.70M,6.10M,72.40M,12.10M,-60.30M,,782.30M,517.50M,12.10M,72.40M,-60.30M,-53.50M,-60.30M,403.70M,51.60M,357.40M,,-1.10M,,356.30M,348.71M,617.80M,141.70M,476.10M,2.41,,,2.359,2.41,2.37,,,2.32,2.37,148.10M,150.36M,0.66
2019-03,3.334B,3.334B,2.228B,1.106B,760.60M,-24.80M,18.30M,74.40M,16.60M,-57.80M,,778.90M,326.70M,16.60M,74.40M,-57.80M,-74.10M,-57.80M,194.80M,24.70M,170.40M,,-0.50M,,169.90M,191.55M,407.00M,137.80M,269.20M,1.15,,,1.296,1.15,1.13,,,1.274,1.13,147.86M,149.91M,0.66
2018-12,3.635B,3.635B,2.475B,1.160B,770.20M,-102.20M,11.20M,73.60M,18.60M,-55.00M,,781.40M,378.50M,18.60M,73.60M,-55.00M,-152.50M,-55.00M,171.00M,277.00M,-106.00M,,-0.80M,,-106.80M,-32.19M,370.10M,125.50M,244.60M,-0.45,,,0.055,-0.45,-0.45,,,0.0477,-0.45,147.74M,149.90M,0.66
2018-09,3.495B,3.495B,2.256B,1.238B,792.90M,-21.80M,6.00M,72.10M,18.70M,-53.40M,,798.90M,439.50M,18.70M,72.10M,-53.40M,-81.20M,-53.40M,304.90M,56.60M,248.30M,,-0.50M,,247.80M,265.55M,506.70M,129.70M,377.00M,1.67,,,1.79,1.67,1.65,,,1.768,1.65,147.96M,150.60M,0.66
2018-06,3.644B,3.644B,2.356B,1.287B,801.80M,-14.20M,4.00M,69.00M,15.60M,-53.40M,,805.80M,481.30M,15.60M,69.00M,-53.40M,-133.50M,-53.40M,294.40M,1.00M,293.40M,,0.20M,,293.60M,307.76M,491.10M,127.70M,363.40M,1.96,,,2.055,1.96,1.93,,,2.023,1.93,149.75M,152.49M,0.63
2018-03,3.209B,3.209B,2.044B,1.166B,778.80M,-22.90M,6.80M,63.20M,15.80M,-47.40M,,785.60M,380.10M,15.80M,63.20M,-47.40M,-80.90M,-47.40M,251.80M,81.70M,170.10M,,0.50M,,170.60M,186.08M,438.60M,123.60M,315.00M,1.13,,,1.2329999999999999,1.13,1.11,,,1.2109999999999999,1.11,150.61M,153.90M,0.63
2017-12,3.464B,3.464B,2.218B,1.246B,798.90M,-9.00M,-3.10M,58.10M,11.50M,-46.60M,,795.80M,450.20M,11.50M,58.10M,-46.60M,-61.90M,-46.60M,341.70M,60.60M,281.10M,,0.40M,,281.50M,288.90M,522.50M,122.70M,399.80M,1.88,,,1.929,1.88,1.84,,,1.8880000000000001,1.84,150.12M,153.48M,0.63
2017-09,3.359B,3.359B,2.106B,1.253B,763.40M,-22.30M,5.50M,57.20M,10.30M,-46.90M,,768.90M,484.10M,10.30M,57.20M,-46.90M,-82.80M,-46.90M,354.40M,79.90M,274.50M,,0.00,,274.50M,291.78M,532.30M,120.70M,411.60M,1.83,,,1.945,1.83,1.8,,,1.913,1.8,149.69M,152.62M,0.63
2017-06,3.287B,3.287B,2.073B,1.213B,738.60M,-9.20M,5.60M,56.00M,9.70M,-46.30M,,744.20M,469.10M,9.70M,56.00M,-46.30M,-64.50M,-46.30M,358.30M,80.70M,277.60M,,0.00,,277.60M,284.73M,530.10M,115.80M,414.30M,1.86,,,1.9080000000000001,1.86,1.82,,,1.867,1.82,149.51M,152.23M,0.58
2017-03,2.856B,2.856B,1.790B,1.066B,682.00M,240.90M,8.30M,51.30M,8.60M,-42.70M,,690.30M,375.70M,8.60M,51.30M,-42.70M,140.40M,-42.70M,473.40M,79.70M,393.70M,,0.00,,393.70M,193.27M,626.20M,101.50M,524.70M,2.64,,,1.297,2.64,2.6,,,1.2770000000000001,2.6,149.21M,151.53M,0.58
2016-12,3.107B,3.107B,2.030B,1.077B,685.40M,-21.70M,7.00M,49.30M,6.80M,-42.50M,,692.40M,385.00M,6.80M,49.30M,-42.50M,-57.00M,-42.50M,285.50M,27.00M,258.50M,,-0.30M,,258.20M,277.85M,437.60M,102.80M,334.80M,1.74,0.0,,1.8730000000000002,1.74,1.71,0.0,,1.841,1.71,147.52M,149.68M,0.58
2016-09,2.882B,2.882B,1.798B,1.084B,643.80M,-9.10M,1.60M,50.20M,5.10M,-45.10M,,645.40M,438.70M,5.10M,50.20M,-45.10M,-65.90M,-45.10M,327.70M,78.70M,249.00M,,-0.10M,,248.90M,255.82M,481.00M,103.10M,377.90M,1.71,,,1.758,1.71,1.68,,,1.7269999999999999,1.68,145.41M,147.98M,0.58
2016-06,2.932B,2.932B,1.804B,1.129B,659.70M,-10.20M,7.20M,47.70M,5.50M,-42.20M,,666.90M,462.00M,5.50M,47.70M,-42.20M,-57.80M,-42.20M,362.00M,90.50M,271.50M,,0.00,,271.50M,279.15M,511.70M,102.00M,409.70M,1.87,,,1.923,1.87,1.84,,,1.892,1.84,145.14M,147.26M,0.55
2016-03,2.672B,2.672B,1.694B,977.60M,620.40M,-8.00M,7.40M,47.30M,5.80M,-41.50M,,627.80M,349.80M,5.80M,47.30M,-41.50M,-54.20M,-41.50M,254.10M,65.50M,188.60M,,0.80M,,189.40M,195.34M,401.50M,100.10M,301.40M,1.3,,,1.341,1.3,1.28,,,1.32,1.28,145.87M,147.62M,0.55
