,NetIncome,GainandLossonSaleofPPE,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,CashFlow-Financing(Quarterly),NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,EndingCash(Quarterly),BeginningCash,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,SECFilingLinks,AsOriginallyReported
2020-10,1.336B,,,,,299.00M,299.00M,-53.00M,383.00M,,3.00M,-462.00M,-93.00M,-443.00M,256.00M,,,53.00M,-689.00M,1.279B,,-473.00M,,,-1.353B,-175.00M,,-2.001B,,2020-10,0.00,,,,-99.00M,-99.00M,96.00M,-298.00M,-301.00M,,2020-10,3.274B,2.251B,,2020-10,,,,,,,2020-10,AOR
2020-07,622.00M,,,,,404.00M,404.00M,-80.00M,374.00M,,-9.00M,44.00M,54.00M,42.00M,105.00M,,,11.00M,256.00M,1.567B,,-217.00M,,,-7.137B,-6.136B,,-13.49B,,2020-07,-8.00M,,,,-99.00M,-99.00M,6.00M,-196.00M,-297.00M,,2020-07,15.49B,3.274B,,2020-07,,,,,,,2020-07,AOR
2020-04,917.00M,,,,,107.00M,107.00M,16.00M,224.00M,,4.00M,-249.00M,-151.00M,-8.00M,39.00M,,,10.00M,-359.00M,909.00M,,-155.00M,,,-34.00M,-866.00M,,-1.055B,,2020-04,4.979B,,,,-98.00M,-98.00M,88.00M,-225.00M,4.744B,,2020-04,10.90B,15.49B,,2020-04,,,,,,,2020-04,AOR
2020-01,951.00M,,,,,106.00M,106.00M,23.00M,220.00M,,0.00,-201.00M,66.00M,22.00M,260.00M,,,18.00M,165.00M,1.465B,,-145.00M,,,,-6.00M,,-151.00M,,2020-01,0.00,,,,-98.00M,-98.00M,3.00M,-88.00M,-183.00M,,2020-01,9.765B,10.90B,,2020-01,,,,,,,2020-01,AOR
2019-10,898.00M,,,,,92.00M,92.00M,22.00M,223.00M,,4.00M,105.00M,153.00M,19.00M,112.00M,,,12.00M,401.00M,1.64B,,-103.00M,,,0.00,1.359B,,1.256B,,2019-10,0.00,,,,-97.00M,-97.00M,63.00M,-202.00M,-236.00M,,2019-10,7.105B,9.765B,,2019-10,,,,,,,2019-10,AOR
2019-07,553.00M,,,,,92.00M,92.00M,15.00M,223.00M,,3.00M,-319.00M,225.00M,31.00M,128.00M,,,-15.00M,50.00M,936.00M,,-113.00M,,,0.00,3.658B,,3.545B,,2019-07,0.00,,,,-98.00M,-98.00M,0.00,-50.00M,-148.00M,,2019-07,2.772B,7.105B,,2019-07,,,,,,,2019-07,AOR
2019-04,394.00M,,,,,91.00M,91.00M,-42.00M,178.00M,,-2.00M,182.00M,153.00M,5.00M,-252.00M,,,13.00M,101.00M,720.00M,,-128.00M,,,0.00,1.623B,,1.495B,,2019-04,0.00,,,,-97.00M,-97.00M,83.00M,-211.00M,-225.00M,,2019-04,782.00M,2.772B,,2019-04,,,,,,,2019-04,AOR
2019-01,566.00M,,,,,78.00M,78.00M,-345.00M,157.00M,,-10.00M,794.00M,-156.00M,13.00M,-250.00M,,,51.00M,452.00M,898.00M,,-203.00M,,,,243.00M,,40.00M,,2019-01,-4.00M,,-724.00M,-724.00M,-98.00M,-98.00M,2.00M,-53.00M,-877.00M,,2019-01,721.00M,782.00M,,2019-01,,-4.00M,-724.00M,,,,2019-01,AOR
2018-10,1.23B,,,,,68.00M,68.00M,-83.00M,138.00M,,-13.00M,-557.00M,-325.00M,-24.00M,103.00M,,,-50.00M,-853.00M,487.00M,,-150.00M,,,,369.00M,,219.00M,,2018-10,-10.00M,,-200.00M,-200.00M,-91.00M,-91.00M,66.00M,-468.00M,-703.00M,,2018-10,718.00M,721.00M,,2018-10,,-10.00M,-200.00M,,,,2018-10,AOR
2018-07,1.101B,,,,,59.00M,59.00M,62.00M,133.00M,,-14.00M,-442.00M,-293.00M,-6.00M,327.00M,,,-14.00M,-428.00M,913.00M,,-129.00M,,,,-676.00M,,-805.00M,,2018-07,0.00,,0.00,0.00,-91.00M,-91.00M,3.00M,-67.00M,-155.00M,,2018-07,765.00M,718.00M,,2018-07,,0.00,0.00,,,,2018-07,AOR
2018-04,1.244B,,,,,57.00M,57.00M,51.00M,129.00M,,-8.00M,56.00M,-2.00M,-38.00M,-59.00M,,,15.00M,-28.00M,1.445B,,-118.00M,,,,-3.433B,,-3.551B,,2018-04,-2.00M,,-655.00M,-655.00M,-91.00M,-91.00M,66.00M,-449.00M,-1.131B,,2018-04,4.002B,765.00M,,2018-04,,-2.00M,-655.00M,,,,2018-04,AOR
2018-01,1.119B,,0.00,,,54.00M,54.00M,-517.00M,126.00M,,5.00M,-98.00M,61.00M,47.00M,111.00M,,,450.00M,571.00M,1.358B,,-416.00M,,,,390.00M,,-24.00M,,2018-01,-9.00M,,0.00,0.00,-91.00M,-91.00M,7.00M,-41.00M,-134.00M,,2018-01,2.802B,4.002B,,2018-01,,-9.00M,0.00,,,,2018-01,AOR
