,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDiluted,,SharesData(Quarterly),DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2020-10,4.726B,4.726B,1.766B,2.96B,515.00M,1.047B,,,53.00M,7.00M,-46.00M,,1.562B,1.398B,7.00M,53.00M,-46.00M,-4.00M,-46.00M,1.348B,12.00M,1.336B,,1.336B,1.336B,1.401B,,2020-10,2.16,,2.16,,2020-10,2.12,,2.12,,2020-10,0.16,,2020-10,AOR,
2020-07,3.866B,3.866B,1.591B,2.275B,627.00M,997.00M,,,54.00M,13.00M,-41.00M,,1.624B,651.00M,13.00M,54.00M,-41.00M,-1.00M,-41.00M,609.00M,-13.00M,622.00M,,622.00M,622.00M,663.00M,,2020-07,1.01,,1.01,,2020-07,0.99,,0.99,,2020-07,0.16,,2020-07,AOR,
2020-04,3.08B,3.08B,1.076B,2.004B,293.00M,735.00M,,,25.00M,31.00M,6.00M,,1.028B,976.00M,31.00M,25.00M,6.00M,-1.00M,6.00M,981.00M,64.00M,917.00M,,917.00M,917.00M,1.006B,,2020-04,1.49,,1.49,,2020-04,1.47,,1.47,,2020-04,0.16,,2020-04,AOR,
2020-01,3.105B,3.105B,1.09B,2.015B,287.00M,738.00M,,,13.00M,41.00M,28.00M,,1.025B,990.00M,41.00M,13.00M,28.00M,,28.00M,1.016B,65.00M,951.00M,,951.00M,951.00M,1.029B,,2020-01,1.55,,1.55,,2020-01,1.53,,1.53,,2020-01,0.16,,2020-01,AOR,
2019-10,3.014B,3.014B,1.098B,1.916B,277.00M,712.00M,,,13.00M,45.00M,32.00M,,989.00M,927.00M,45.00M,13.00M,32.00M,,32.00M,959.00M,60.00M,899.00M,,899.00M,899.00M,972.00M,,2019-10,1.47,,1.47,,2019-10,1.45,,1.45,,2019-10,0.16,,2019-10,AOR,Restated
2019-07,2.579B,2.579B,1.038B,1.541B,266.00M,704.00M,,,13.00M,47.00M,34.00M,,970.00M,571.00M,47.00M,13.00M,34.00M,1.00M,34.00M,606.00M,54.00M,552.00M,,552.00M,552.00M,619.00M,,2019-07,0.91,,0.91,,2019-07,0.90,,0.90,,2019-07,0.16,,2019-07,AOR,Restated
2019-04,2.22B,2.22B,924.00M,1.296B,264.00M,674.00M,,,13.00M,44.00M,31.00M,,938.00M,358.00M,44.00M,13.00M,31.00M,,31.00M,389.00M,-5.00M,394.00M,,394.00M,394.00M,402.00M,,2019-04,0.65,,0.65,,2019-04,0.64,,0.64,,2019-04,0.16,,2019-04,AOR,Restated
2019-01,2.205B,2.205B,998.00M,1.207B,266.00M,647.00M,,,14.00M,42.00M,28.00M,,913.00M,294.00M,42.00M,14.00M,28.00M,2.00M,28.00M,324.00M,-242.00M,566.00M,,566.00M,566.00M,338.00M,,2019-01,0.93,,0.93,,2019-01,0.92,,0.92,,2019-01,0.16,,2019-01,AOR,Restated
2018-10,3.181B,3.181B,1.26B,1.921B,258.00M,605.00M,,,15.00M,37.00M,22.00M,,863.00M,1.058B,37.00M,15.00M,22.00M,1.00M,22.00M,1.081B,-149.00M,1.23B,,1.23B,1.23B,1.096B,,2018-10,2.02,,2.02,,2018-10,1.97,,1.97,,2018-10,0.15,,2018-10,AOR,Restated
2018-07,3.123B,3.123B,1.148B,1.975B,237.00M,581.00M,,,14.00M,32.00M,18.00M,,818.00M,1.157B,32.00M,14.00M,18.00M,5.00M,18.00M,1.18B,79.00M,1.101B,,1.101B,1.101B,1.194B,,2018-07,1.81,,1.81,,2018-07,1.76,,1.76,,2018-07,0.15,,2018-07,AOR,Restated
