,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,,Liabilities(Quarterly),AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,Non-CurrentDeferredLiabilities,PensionLiability,DerivativeContractLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2020-10,2.251B,7.888B,10.14B,2.546B,2.546B,455.00M,380.00M,660.00M,1.495B,213.00M,,,,14.39B,,,,,2.74B,,,2.74B,,2.74B,4.193B,2.861B,7.054B,106.00M,666.00M,119.00M,,2020-10,1.097B,70.00M,,1.167B,933.00M,2.10B,33.00M,,998.00M,998.00M,116.00M,1.114B,235.00M,235.00M,187.00M,3.669B,,5.963B,604.00M,6.567B,405.00M,40.00M,,48.00M,7.878B,2020-10,1.00M,17.55B,8.301B,10.53B,12.00M,15.33B,,2020-10,AOR,
2020-07,3.274B,7.707B,10.98B,2.084B,2.084B,320.00M,516.00M,565.00M,1.401B,215.00M,,,,14.68B,,,,,2.665B,,,2.665B,,2.665B,4.193B,2.854B,7.047B,,630.00M,157.00M,,2020-07,893.00M,52.00M,101.00M,1.046B,922.00M,1.968B,31.00M,,,,124.00M,124.00M,222.00M,222.00M,65.00M,2.41B,,6.96B,611.00M,7.571B,394.00M,38.00M,,43.00M,8.856B,2020-07,1.00M,16.31B,7.828B,10.23B,4.00M,13.91B,,2020-07,AOR,
2020-04,15.49B,860.00M,16.35B,1.907B,1.907B,341.00M,287.00M,500.00M,1.128B,195.00M,,,,19.58B,,,,,2.31B,,,2.31B,,2.31B,628.00M,80.00M,708.00M,,533.00M,119.00M,,2020-04,761.00M,74.00M,78.00M,913.00M,628.00M,1.541B,25.00M,,,,100.00M,100.00M,174.00M,174.00M,63.00M,1.903B,,6.959B,519.00M,7.478B,99.00M,23.00M,,33.00M,8.252B,2020-04,1.00M,15.79B,7.354B,10.04B,-10.00M,13.10B,,2020-04,AOR,
2020-01,10.90B,1.00M,10.90B,1.657B,1.657B,249.00M,265.00M,465.00M,979.00M,157.00M,,,,13.69B,0.00,218.00M,340.00M,1.514B,618.00M,320.00M,293.00M,3.303B,-1.011B,2.292B,618.00M,49.00M,667.00M,,548.00M,118.00M,,2020-01,687.00M,61.00M,54.00M,802.00M,665.00M,1.467B,,,,,91.00M,91.00M,141.00M,141.00M,85.00M,1.784B,,1.991B,561.00M,2.552B,89.00M,22.00M,,26.00M,3.327B,2020-01,1.00M,14.97B,7.045B,9.814B,1.00M,12.20B,,2020-01,AOR,
2019-10,9.765B,4.00M,9.769B,1.455B,1.455B,255.00M,265.00M,527.00M,1.047B,149.00M,,,,12.42B,,,,,2.044B,,,2.044B,,2.044B,618.00M,43.00M,661.00M,,569.00M,116.00M,,2019-10,591.00M,52.00M,18.00M,661.00M,526.00M,1.187B,,,,,89.00M,89.00M,119.00M,119.00M,80.00M,1.475B,,1.99B,469.00M,2.459B,82.00M,22.00M,,25.00M,3.121B,2019-10,1.00M,14.12B,6.824B,9.726B,-3.00M,11.21B,,2019-10,AOR,Restated
2019-07,7.105B,1.37B,8.475B,1.561B,1.561B,362.00M,203.00M,639.00M,1.204B,151.00M,,,,11.39B,,,,,2.019B,,,2.019B,,2.019B,618.00M,49.00M,667.00M,,588.00M,110.00M,,2019-07,437.00M,37.00M,21.00M,495.00M,515.00M,1.01B,,,,,84.00M,84.00M,127.00M,127.00M,96.00M,1.317B,,1.989B,483.00M,2.472B,77.00M,22.00M,,24.00M,3.122B,2019-07,1.00M,13.32B,6.543B,9.524B,-1.00M,10.34B,,2019-07,AOR,Restated
2019-04,2.772B,5.03B,7.802B,1.242B,1.242B,484.00M,189.00M,753.00M,1.426B,159.00M,,,,10.63B,,,,,2.009B,,,2.009B,,2.009B,618.00M,54.00M,672.00M,,601.00M,110.00M,,2019-04,368.00M,107.00M,23.00M,498.00M,465.00M,963.00M,,,,,80.00M,80.00M,85.00M,85.00M,55.00M,1.183B,,1.988B,486.00M,2.474B,70.00M,21.00M,,11.00M,3.134B,2019-04,1.00M,12.86B,6.317B,9.474B,-2.00M,9.704B,,2019-04,AOR,Restated
2019-01,782.00M,6.64B,7.422B,1.424B,1.424B,613.00M,238.00M,724.00M,1.575B,136.00M,,,,10.56B,0.00,218.00M,339.00M,1.216B,,107.00M,291.00M,2.171B,-767.00M,1.404B,618.00M,45.00M,663.00M,,560.00M,108.00M,,2019-01,511.00M,91.00M,,602.00M,574.00M,1.176B,,,,,,,92.00M,92.00M,61.00M,1.329B,,1.988B,0.00,1.988B,86.00M,20.00M,,13.00M,2.621B,2019-01,1.00M,12.56B,6.051B,9.263B,-12.00M,9.342B,,2019-01,AOR,Restated
2018-10,721.00M,6.87B,7.591B,2.219B,2.219B,634.00M,259.00M,524.00M,1.417B,159.00M,,,,11.39B,,,,,,,,,,1.292B,618.00M,49.00M,667.00M,,,312.00M,,2018-10,902.00M,40.00M,,942.00M,529.00M,1.471B,,,3.00M,3.00M,,3.00M,80.00M,80.00M,54.00M,1.608B,,1.987B,,1.987B,80.00M,19.00M,,19.00M,2.574B,2018-10,1.00M,12.10B,5.891B,8.489B,-24.00M,9.475B,,2018-10,AOR,Restated
2018-07,718.00M,7.225B,7.943B,1.662B,1.662B,421.00M,266.00M,403.00M,1.09B,136.00M,,,,10.83B,,,,,,,,,,1.162B,618.00M,51.00M,669.00M,,,220.00M,,2018-07,800.00M,39.00M,,839.00M,488.00M,1.327B,,,14.00M,14.00M,,14.00M,77.00M,77.00M,44.00M,1.462B,,1.987B,,1.987B,62.00M,18.00M,,14.00M,2.625B,2018-07,1.00M,10.96B,5.681B,7.821B,-23.00M,8.795B,,2018-07,AOR,Restated
