,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,3.851B,3.851B,2.868B,983.00M,72.00M,,-61.00M,120.00M,-120.00M,29.00M,101.00M,882.00M,120.00M,-120.00M,-39.00M,-120.00M,723.00M,297.00M,432.00M,0.00,,-103.00M,,329.00M,373.53M,1.237B,394.00M,843.00M,0.22,0.0,,0.2506,0.22,0.22,0.0,,0.2505,0.22,1.453B,1.461B,0.0
2020-06,3.054B,3.054B,2.613B,441.00M,91.00M,,-9.00M,115.00M,-115.00M,29.00M,120.00M,321.00M,115.00M,-115.00M,11.00M,-115.00M,217.00M,96.00M,124.00M,0.00,,-71.00M,,53.00M,59.57M,690.00M,358.00M,332.00M,0.03,0.0,,0.0345,0.03,0.03,0.0,,0.0345,0.03,1.453B,1.458B,0.0
2020-03,2.798B,2.798B,3.108B,-310.00M,110.00M,,-43.00M,127.00M,-127.00M,42.00M,152.00M,-462.00M,127.00M,-127.00M,-23.00M,-127.00M,-612.00M,-60.00M,-549.00M,0.00,,58.00M,,-491.00M,-452.30M,-144.00M,341.00M,-485.00M,-0.34,0.0,,-0.3133,-0.34,-0.34,0.0,,-0.3133,-0.34,1.452B,1.452B,0.05
2019-12,3.911B,3.911B,3.385B,526.00M,114.00M,,404.00M,219.00M,-219.00M,41.00M,155.00M,371.00M,219.00M,-219.00M,214.00M,-219.00M,366.00M,329.00M,42.00M,1.00M,,-34.00M,,9.00M,-286.92M,976.00M,391.00M,585.00M,0.0055,0.0007,,-0.1977,0.0062,0.0055,0.0007,,-0.1978,0.0062,1.451B,1.451B,0.05
2019-09,3.153B,3.153B,3.033B,120.00M,101.00M,,-33.00M,123.00M,-123.00M,45.00M,146.00M,-26.00M,123.00M,-123.00M,-12.00M,-123.00M,-149.00M,91.00M,-235.00M,1.00M,,27.00M,,-207.00M,-183.91M,296.00M,322.00M,-26.00M,-0.15,0.0,,-0.1334,-0.15,-0.15,0.0,,-0.1334,-0.15,1.452B,1.452B,0.05
2019-06,3.546B,3.546B,3.359B,187.00M,92.00M,,-8.00M,132.00M,-132.00M,54.00M,146.00M,41.00M,132.00M,-132.00M,-3.00M,-132.00M,-94.00M,-15.00M,-74.00M,0.00,,2.00M,,-72.00M,-65.28M,390.00M,352.00M,38.00M,-0.05,0.0,,-0.0454,-0.05,-0.05,0.0,,-0.0454,-0.05,1.451B,1.451B,0.05
2019-03,3.792B,3.792B,3.323B,469.00M,112.00M,,27.00M,146.00M,-146.00M,69.00M,181.00M,288.00M,146.00M,-146.00M,41.00M,-146.00M,183.00M,105.00M,75.00M,1.00M,,-45.00M,,31.00M,10.29M,676.00M,347.00M,329.00M,0.02,0.0,,0.0064,0.02,0.02,0.0,,0.0065,0.02,1.451B,1.457B,0.05
2018-12,3.684B,3.684B,3.302B,382.00M,102.00M,,81.00M,509.00M,-509.00M,46.00M,148.00M,234.00M,509.00M,-509.00M,94.00M,-509.00M,-181.00M,-552.00M,374.00M,4.00M,,107.00M,,485.00M,421.87M,731.00M,403.00M,328.00M,0.0938,0.0028,,0.053,0.0966,0.09,0.0,,0.0494,0.09,1.449B,1.458B,0.05
2018-09,4.908B,4.908B,3.527B,1.381B,101.00M,,70.00M,143.00M,-143.00M,35.00M,136.00M,1.245B,143.00M,-143.00M,84.00M,-143.00M,1.186B,522.00M,668.00M,-4.00M,,-108.00M,,556.00M,508.90M,1.787B,458.00M,1.329B,0.38,0.0,,0.3448,0.38,0.38,0.0,,0.345,0.38,1.45B,1.458B,0.05
2018-06,5.168B,5.168B,3.357B,1.811B,109.00M,,54.00M,142.00M,-142.00M,83.00M,192.00M,1.619B,142.00M,-142.00M,74.00M,-142.00M,1.551B,515.00M,1.039B,-4.00M,,-166.00M,,869.00M,836.93M,2.135B,442.00M,1.693B,0.6,0.0,,0.5751,0.6,0.59,0.0,,0.5653,0.59,1.449B,1.458B,0.05
