,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,InvestmentWriteOff,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,2.37B,2.37B,1.542B,828.00M,,122.00M,,149.00M,,-149.00M,,317.00M,511.00M,,149.00M,-149.00M,334.00M,-149.00M,696.00M,121.00M,575.00M,,,,575.00M,368.00M,845.00M,,2020-09,1.15,,0.7746,1.15,,2020-09,,,0.7668,2020-09,504.00M,507.00M,0.49,,2020-09,AOR,
2020-06,2.05B,2.05B,1.328B,722.00M,,0.00,,131.00M,18.00M,-113.00M,,315.00M,407.00M,18.00M,131.00M,-113.00M,266.00M,-113.00M,560.00M,109.00M,451.00M,,,,451.00M,361.00M,691.00M,,2020-06,0.89,,0.5688,0.89,,2020-06,,,0.5707,2020-06,504.00M,507.00M,0.49,,2020-06,AOR,
2020-03,2.781B,2.781B,1.66B,1.121B,,,,153.00M,,-153.00M,,324.00M,797.00M,,153.00M,-153.00M,-152.00M,-153.00M,492.00M,44.00M,448.00M,,,,448.00M,371.00M,645.00M,,2020-03,0.89,,1.289,0.89,,2020-03,,,1.277,2020-03,504.00M,507.00M,0.49,,2020-03,AOR,
2019-12,2.478B,2.478B,1.651B,827.00M,,48.00M,,152.00M,,-136.00M,,320.00M,507.00M,,152.00M,-136.00M,164.00M,-136.00M,535.00M,98.00M,437.00M,,,,437.00M,361.00M,687.00M,,2019-12,0.86,,0.5342,0.86,,2019-12,,,0.5362,2019-12,504.00M,507.00M,0.47,,2019-12,AOR,
2019-09,2.302B,2.302B,1.498B,804.00M,,-7.00M,,147.00M,,-147.00M,,307.00M,497.00M,,147.00M,-147.00M,83.00M,-147.00M,433.00M,30.00M,403.00M,,,,403.00M,355.00M,580.00M,,2019-09,0.80,,0.8185,0.80,,2019-09,,,0.8084,2019-09,504.00M,507.00M,0.47,,2019-09,AOR,Restated
2019-06,2.316B,2.316B,1.454B,862.00M,,-395.00M,,123.00M,20.00M,-103.00M,,307.00M,555.00M,20.00M,123.00M,-103.00M,-319.00M,-103.00M,133.00M,-20.00M,153.00M,,,,153.00M,349.00M,256.00M,,2019-06,0.30,,0.8156,0.30,,2019-06,,,0.8126,2019-06,504.00M,507.00M,0.47,,2019-06,AOR,Restated
2019-03,2.98B,2.98B,1.88B,1.10B,,,,133.00M,,-133.00M,,314.00M,786.00M,,133.00M,-133.00M,196.00M,-133.00M,849.00M,149.00M,700.00M,,,,700.00M,361.00M,982.00M,,2019-03,1.39,,1.181,1.39,,2019-03,,,1.172,2019-03,504.00M,507.00M,0.47,,2019-03,AOR,Restated
2018-12,2.468B,2.468B,1.717B,751.00M,,91.00M,,135.00M,,-117.00M,,304.00M,447.00M,,135.00M,-117.00M,-130.00M,-117.00M,200.00M,1.00M,199.00M,,,,199.00M,348.00M,335.00M,,2018-12,0.39,,0.4512,0.39,,2018-12,,,0.4508,2018-12,504.00M,507.00M,0.45,,2018-12,AOR,Restated
2018-09,2.394B,2.394B,1.546B,848.00M,,0.00,,127.00M,,-127.00M,,294.00M,554.00M,,127.00M,-127.00M,102.00M,-127.00M,529.00M,117.00M,412.00M,,,,412.00M,342.00M,656.00M,,2018-09,0.82,,0.7505,0.82,,2018-09,,,0.7409,2018-09,504.00M,507.00M,0.45,,2018-09,AOR,Restated
2018-06,2.016B,2.016B,1.325B,691.00M,,13.00M,,111.00M,20.00M,-91.00M,,280.00M,411.00M,20.00M,111.00M,-91.00M,46.00M,-91.00M,366.00M,97.00M,269.00M,,,,269.00M,325.00M,477.00M,,2018-06,0.53,,0.4994,0.53,,2018-06,,,0.4996,2018-06,504.00M,507.00M,0.45,,2018-06,AOR,Restated
2018-03,2.818B,2.818B,1.706B,1.112B,,14.00M,,103.00M,4.00M,-99.00M,,280.00M,832.00M,4.00M,103.00M,-99.00M,27.00M,-99.00M,760.00M,202.00M,558.00M,,,,558.00M,330.00M,863.00M,,2018-03,1.11,,1.104,1.11,,2018-03,,,1.094,2018-03,504.00M,507.00M,0.45,,2018-03,AOR,Restated
2017-12,2.107B,2.107B,1.479B,628.00M,,-14.00M,,102.00M,5.00M,-97.00M,,265.00M,363.00M,5.00M,102.00M,-97.00M,44.00M,-97.00M,310.00M,-646.00M,956.00M,,,,956.00M,312.00M,412.00M,,2017-12,1.88,,1.726,1.88,,2017-12,,,1.726,2017-12,505.00M,507.00M,0.43,,2017-12,AOR,Restated
2017-09,2.254B,2.254B,1.309B,945.00M,,14.00M,,100.00M,6.00M,-94.00M,,252.00M,693.00M,6.00M,100.00M,-94.00M,48.00M,-94.00M,647.00M,252.00M,395.00M,,,,395.00M,303.00M,747.00M,,2017-09,0.78,,0.7485,0.78,,2017-09,,,0.7487,2017-09,505.00M,507.00M,0.43,,2017-09,AOR,Restated
2017-06,2.142B,2.142B,1.306B,836.00M,,14.00M,,91.00M,5.00M,-86.00M,,641.00M,195.00M,5.00M,91.00M,-86.00M,59.00M,-86.00M,168.00M,59.00M,109.00M,,,,109.00M,688.00M,259.00M,,2017-06,0.22,,0.1853,0.22,,2017-06,,,0.1854,2017-06,505.00M,507.00M,0.43,,2017-06,AOR,Restated
2017-03,2.591B,2.591B,1.585B,1.006B,,14.00M,,98.00M,5.00M,-93.00M,,828.00M,178.00M,5.00M,98.00M,-93.00M,58.00M,-93.00M,143.00M,29.00M,114.00M,,,,114.00M,882.00M,241.00M,,2017-03,0.23,,0.1921,0.23,,2017-03,,,0.1823,2017-03,505.00M,508.00M,0.43,,2017-03,AOR,Restated
2016-12,1.995B,1.995B,1.351B,644.00M,,37.00M,,97.00M,5.00M,-92.00M,,797.00M,-153.00M,5.00M,97.00M,-92.00M,-4.00M,-92.00M,-249.00M,-151.00M,-98.00M,,,,-98.00M,846.00M,-152.00M,,2016-12,-0.1941,,-0.2250,-0.1941,,2016-12,,,-0.2248,2016-12,505.00M,508.00M,0.41,,2016-12,AOR,Restated
2016-09,2.45B,2.45B,1.642B,808.00M,5.00M,9.00M,,99.00M,6.00M,-93.00M,,231.00M,577.00M,6.00M,99.00M,-93.00M,31.00M,-93.00M,515.00M,188.00M,327.00M,,,,327.00M,280.00M,614.00M,,2016-09,0.65,,0.6135,0.65,,2016-09,,,0.6038,2016-09,505.00M,508.00M,0.41,,2016-09,AOR,Restated
2016-06,1.905B,1.905B,1.334B,571.00M,10.00M,0.00,,97.00M,5.00M,-92.00M,,224.00M,347.00M,5.00M,97.00M,-92.00M,23.00M,-92.00M,278.00M,91.00M,187.00M,,,,187.00M,271.00M,375.00M,,2016-06,0.37,,0.3460,0.37,,2016-06,,,0.3462,2016-06,505.00M,508.00M,0.41,,2016-06,AOR,Restated
2016-03,2.616B,2.616B,1.565B,1.051B,10.00M,1.00M,,92.00M,6.00M,-86.00M,,224.00M,827.00M,6.00M,92.00M,-86.00M,13.00M,-86.00M,754.00M,283.00M,471.00M,,,,471.00M,282.00M,846.00M,,2016-03,0.93,,0.9201,0.93,,2016-03,,,0.9202,2016-03,505.00M,508.00M,0.41,,2016-03,AOR,Restated
2015-12,2.278B,2.278B,1.492B,786.00M,8.00M,4.00M,,102.00M,5.00M,-97.00M,,254.00M,532.00M,5.00M,102.00M,-97.00M,6.00M,-97.00M,441.00M,132.00M,309.00M,,,,309.00M,305.00M,543.00M,,2015-12,0.6119,,0.5300,0.6119,,2015-12,,,0.5186,2015-12,505.00M,508.00M,0.39,,2015-12,AOR,Restated
2015-09,2.688B,2.688B,1.561B,1.127B,30.00M,-16.00M,,96.00M,6.00M,-90.00M,,313.00M,814.00M,6.00M,96.00M,-90.00M,14.00M,-90.00M,724.00M,285.00M,439.00M,,,,439.00M,369.00M,820.00M,,2015-09,0.87,,0.876,0.87,,2015-09,,,0.8760,2015-09,505.00M,508.00M,0.39,,2015-09,AOR,Restated
