,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AccruedComprehensiveInc,ShareholdersEquity
2020-09,6.588B,6.588B,6.433B,,6.433B,1.95B,,1.295B,16.27B,,,,,50.75B,,50.75B,-25.83B,24.91B,,,8.57B,725.00M,,542.00M,34.75B,51.02B,3.27B,,3.27B,4.814B,8.084B,,172.00M,,172.00M,,,6.123B,14.38B,30.79B,1.635B,32.43B,,,,2.273B,,1.434B,35.34B,49.72B,3.00M,-647.00M,185.00M,-515.00M,-974.00M
2020-06,4.638B,4.638B,6.139B,,6.139B,1.834B,,1.42B,14.03B,,,,,50.35B,,50.35B,-25.41B,24.93B,,,8.578B,639.00M,,527.00M,34.68B,48.71B,2.882B,,2.882B,4.812B,7.694B,,163.00M,,163.00M,4.999B,4.999B,,12.86B,30.78B,1.531B,32.31B,,,,2.354B,,1.485B,35.28B,48.14B,3.00M,-1.315B,88.00M,-562.00M,-1.786B
2020-03,731.00M,731.00M,6.89B,,6.89B,1.953B,,1.442B,11.02B,,,,,49.69B,,49.69B,-24.88B,24.81B,,,8.587B,563.00M,,442.00M,34.40B,45.42B,2.75B,,2.75B,4.107B,6.857B,,162.00M,,162.00M,,,,7.019B,34.70B,1.497B,36.20B,,,,2.259B,,1.432B,39.10B,46.12B,3.00M,-2.394B,,-571.00M,-2.962B
2019-12,621.00M,621.00M,7.38B,,7.38B,1.849B,,1.346B,11.20B,0.0,2.178B,17.67B,25.76B,1.834B,1.632B,49.07B,-24.52B,24.55B,,,8.269B,564.00M,,480.00M,33.86B,45.06B,2.905B,325.00M,3.23B,3.504B,6.734B,145.00M,145.00M,350.00M,495.00M,,,,7.757B,33.58B,1.499B,35.08B,,,,2.243B,,1.37B,37.87B,45.62B,3.00M,-2.351B,,-460.00M,-2.808B
2019-09,559.00M,559.00M,7.131B,,7.131B,1.769B,,1.31B,10.77B,,,,,48.06B,,48.06B,-24.29B,23.77B,,,8.16B,600.00M,,611.00M,33.14B,43.91B,2.61B,,2.61B,4.366B,6.976B,,148.00M,,148.00M,,,,7.124B,34.10B,1.44B,35.54B,,,,2.118B,,1.349B,38.24B,45.36B,3.00M,-3.107B,,-461.00M,-3.565B
2019-06,2.43B,2.43B,7.219B,,7.219B,1.826B,,1.394B,12.87B,,,,,47.16B,,47.16B,-23.90B,23.25B,,,8.14B,589.00M,,597.00M,32.58B,45.45B,2.609B,,2.609B,4.279B,6.888B,,2.073B,,2.073B,,,,8.961B,34.12B,1.46B,35.58B,,,,2.132B,,1.354B,38.26B,47.22B,3.00M,-3.474B,,-431.00M,-3.902B
2019-03,531.00M,531.00M,7.42B,,7.42B,1.778B,,1.379B,11.11B,,,,,46.40B,,46.40B,-23.46B,22.94B,,,8.159B,584.00M,,588.00M,32.27B,43.38B,2.693B,,2.693B,4.042B,6.735B,,3.796B,,3.796B,,,,10.53B,31.02B,1.494B,32.51B,,,,2.099B,,1.313B,35.10B,45.63B,3.00M,-3.983B,,-374.00M,-4.354B
2018-12,502.00M,502.00M,6.789B,,6.789B,1.732B,,1.19B,10.21B,0.0,1.944B,15.66B,23.58B,,1.785B,42.96B,-23.21B,19.76B,,,7.953B,594.00M,,690.00M,28.99B,39.21B,2.577B,308.00M,2.885B,3.437B,6.322B,788.00M,788.00M,0.00,788.00M,,,,7.569B,32.03B,0.00,32.03B,,,,2.032B,,1.275B,34.56B,42.12B,3.00M,-4.572B,,-381.00M,-4.95B
2018-09,578.00M,578.00M,6.532B,,6.532B,1.634B,,1.266B,10.01B,,,,,41.98B,,41.98B,-22.94B,19.04B,,,7.759B,605.00M,,629.00M,28.03B,38.04B,2.414B,,2.414B,3.626B,6.04B,,191.00M,,191.00M,,,,6.231B,32.92B,,32.92B,,,,1.875B,,1.239B,35.54B,41.77B,3.00M,-5.342B,,-266.00M,-5.605B
2018-06,868.00M,868.00M,6.592B,,6.592B,1.636B,,1.298B,10.39B,,,,,41.14B,,41.14B,-22.60B,18.54B,,,7.459B,648.00M,,697.00M,27.35B,37.74B,2.457B,,2.457B,3.476B,5.933B,,1.692B,,1.692B,,,,7.625B,31.50B,,31.50B,,,,1.864B,,1.283B,34.24B,41.87B,3.00M,-5.731B,,-261.00M,-5.989B
