,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,ProvisionforDoubtfulAccounts,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,12.57B,13.31B,8.225B,5.086B,,,,,14.00M,,385.00M,-385.00M,3.073B,3.767B,1.319B,385.00M,-385.00M,54.00M,-385.00M,988.00M,209.00M,779.00M,,,-111.00M,668.00M,657.33M,2.067B,694.00M,1.373B,1.97,,,,1.9380000000000002,1.97,1.95,,,,1.919,1.95,338.17M,343.35M,0.0
2020-06,10.72B,11.07B,7.078B,3.99B,,,,,-27.00M,,388.00M,-388.00M,1.325B,2.016B,1.974B,388.00M,-388.00M,-26.00M,-388.00M,1.56B,344.00M,1.216B,,,-137.00M,1.079B,1.099B,2.639B,691.00M,1.948B,3.2,,,,3.261,3.2,3.16,,,,3.22,3.16,337.76M,341.60M,0.0
2020-03,12.59B,12.86B,8.241B,4.62B,,,,,-288.00M,,428.00M,-428.00M,2.427B,3.101B,1.519B,428.00M,-428.00M,-281.00M,-428.00M,810.00M,112.00M,698.00M,,,-117.00M,581.00M,822.34M,1.912B,674.00M,1.238B,1.72,,,,2.434,1.72,1.69,,,,2.391,1.69,338.24M,344.10M,0.43
2019-12,15.34B,13.52B,8.337B,5.186B,,,,,1.00M,,438.00M,-438.00M,2.468B,3.162B,2.024B,438.00M,-438.00M,21.00M,-438.00M,1.607B,334.00M,1.273B,,,-202.00M,1.071B,1.070B,2.739B,694.00M,2.045B,3.1639999999999997,,,,3.162,3.1639999999999997,3.09,,,,3.088,3.09,339.04M,346.77M,0.4
2019-09,12.04B,12.69B,8.061B,4.633B,,,,,-211.00M,,448.00M,-448.00M,2.352B,2.999B,1.634B,448.00M,-448.00M,-207.00M,-448.00M,979.00M,215.00M,764.00M,,,-152.00M,612.00M,768.14M,2.074B,647.00M,1.427B,1.8,,,,2.258,1.8,1.76,,,,2.209,1.76,340.79M,347.49M,0.4
2019-06,11.91B,12.60B,7.955B,4.647B,,,,,18.00M,,477.00M,-477.00M,2.362B,2.998B,1.649B,477.00M,-477.00M,26.00M,-477.00M,1.198B,271.00M,927.00M,,,-144.00M,783.00M,769.63M,2.311B,636.00M,1.675B,2.29,,,,2.251,2.29,2.25,,,,2.2119999999999997,2.25,342.17M,348.37M,0.4
2019-03,12.04B,12.52B,7.688B,4.829B,,,,,-1.00M,,461.00M,-461.00M,2.299B,2.918B,1.911B,461.00M,-461.00M,10.00M,-461.00M,1.46B,279.00M,1.181B,,,-142.00M,1.039B,1.040B,2.54B,619.00M,1.921B,3.03,,,,3.032,3.03,2.97,,,,2.972,2.97,342.88M,350.32M,0.4
2018-12,13.54B,12.27B,7.487B,4.787B,,,,,8.00M,,446.00M,-446.00M,2.283B,2.864B,1.923B,446.00M,-446.00M,12.00M,-446.00M,1.489B,244.00M,1.245B,,,-181.00M,1.064B,1.057B,2.516B,581.00M,1.935B,3.103,,,,3.0839999999999996,3.103,3.01,,,,2.991,3.01,343.96M,352.84M,0.35
2018-09,11.01B,11.45B,7.267B,4.184B,,,,,-3.00M,,442.00M,-442.00M,2.097B,2.679B,1.505B,442.00M,-442.00M,6.00M,-442.00M,1.069B,173.00M,896.00M,,,-137.00M,759.00M,761.44M,2.093B,582.00M,1.511B,2.2,,,,2.207,2.2,2.15,,,,2.157,2.15,345.82M,353.64M,0.35
2018-06,11.00B,11.53B,7.191B,4.338B,,,,,9.00M,,436.00M,-436.00M,2.118B,2.68B,1.658B,436.00M,-436.00M,16.00M,-436.00M,1.238B,272.00M,966.00M,,,-146.00M,820.00M,813.24M,2.236B,562.00M,1.674B,2.35,,,,2.331,2.35,2.31,,,,2.291,2.31,348.62M,355.04M,0.35
2018-03,11.42B,11.42B,7.204B,4.219B,,,,,405.00M,,431.00M,-431.00M,2.11B,2.663B,1.556B,431.00M,-431.00M,414.00M,-431.00M,1.539B,257.00M,1.282B,,,-138.00M,1.144B,813.52M,2.523B,553.00M,1.97B,3.26,,,,2.318,3.26,3.18,,,,2.261,3.18,350.85M,359.75M,0.35
2017-12,11.56B,11.56B,7.128B,4.434B,,,,,-2.00M,,433.00M,-433.00M,2.081B,2.631B,1.803B,433.00M,-433.00M,7.00M,-433.00M,1.377B,736.00M,641.00M,,,-167.00M,474.00M,475.20M,2.36B,550.00M,1.81B,1.354,,,,1.357,1.354,1.3,,,,1.3030000000000002,1.3,353.03M,363.84M,
2017-09,10.70B,10.70B,6.858B,3.838B,,,,,-32.00M,,427.00M,-427.00M,2.075B,2.614B,1.224B,427.00M,-427.00M,-19.00M,-427.00M,778.00M,248.00M,530.00M,,,-104.00M,426.00M,446.26M,1.744B,539.00M,1.205B,1.18,,,,1.236,1.18,1.15,,,,1.205,1.15,360.17M,369.83M,
