,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2020-09,13.74M,,-12.62M,-0.865M,-6.101M,,,249.37M,249.37M,-4.575M,,,5.765M,5.043M,,220.57M,-55.76M,,,164.81M,434.40M,-170.46M,,,0.033M,,-45.68M,-161.46M,-538.76M,0.00,-538.76M,36.40M,,36.40M,-168.08M,,-168.08M,0.00,-4.025M,-674.47M,1.029B,-401.52M,0.878M,628.49M,36.40M,-448.39M,-90.37M,
2020-06,-159.24M,,-1.254M,5.858M,4.604M,,,349.59M,349.59M,55.15M,,,1.043M,109.68M,,13.77M,1.305M,,,15.07M,405.56M,-112.90M,,,-2.056M,,-58.58M,-169.10M,-1.222B,-565.52M,-1.787B,0.00,,0.00,-295.98M,,-295.98M,0.129M,-11.38M,-2.095B,2.886B,-1.858B,0.947M,1.029B,0.00,-1.739B,517.20M,
2020-03,474.73M,,-226.39M,10.88M,-215.52M,,,248.84M,248.84M,-150.27M,,,10.51M,-2.105M,,-39.57M,-13.77M,,,-53.34M,314.45M,-121.02M,,,-5.809M,,98.11M,517.18M,2.216B,,2.216B,,,,-296.30M,,-296.30M,3.389M,-12.20M,1.911B,146.10M,2.743B,-2.776M,2.886B,,2.845B,-628.50M,
2019-12,12.89M,,-1.389M,-0.157M,-1.507M,,,348.91M,348.91M,1.331M,,,7.253M,4.227M,,-1.745M,-17.33M,,,-19.07M,354.24M,-231.02M,,,-2.144M,,17.74M,-163.42M,-209.74M,261.02M,51.28M,-0.165M,,-0.165M,-295.93M,,-295.93M,2.045M,-11.62M,-254.39M,208.60M,-63.58M,1.084M,146.10M,-0.165M,806.61M,-1.016B,
2019-09,86.92M,,-0.036M,-0.854M,36.54M,,,234.60M,234.60M,0.946M,,,8.195M,0.449M,,1.468M,-14.89M,,,-13.43M,354.33M,-157.02M,,,-0.777M,,-27.88M,-914.15M,819.80M,34.70M,854.50M,76.22M,,76.22M,-294.65M,,-294.65M,8.396M,-14.53M,629.94M,138.30M,70.11M,0.188M,208.60M,76.22M,1.494B,-673.85M,
2019-06,211.90M,,-19.15M,2.529M,-12.60M,,,226.19M,226.19M,-59.48M,,,10.07M,-3.546M,,51.24M,-30.77M,,,20.47M,393.10M,-101.00M,,,-0.247M,,-200.57M,-439.90M,-728.42M,269.81M,-458.61M,767.66M,,767.66M,-284.27M,,-284.27M,21.42M,-1.302M,44.90M,140.23M,-1.909M,-0.026M,138.30M,767.66M,-188.16M,-540.27M,
2019-03,127.59M,,-5.447M,0.946M,-4.096M,,,235.92M,235.92M,-1.715M,,,8.405M,-2.921M,,-14.56M,-13.70M,,,-28.26M,336.12M,-71.61M,,,-0.687M,,0.016M,-67.82M,-62.26M,,-62.26M,98.38M,,98.38M,-282.87M,,-282.87M,4.316M,-17.33M,-259.76M,131.46M,8.533M,0.234M,140.23M,98.38M,901.09M,-963.34M,
2018-12,63.30M,,-10.35M,7.208M,4.697M,,,244.28M,244.28M,-29.56M,,,9.202M,-2.557M,,10.10M,11.68M,,,21.78M,363.84M,-159.36M,,,-1.901M,,28.35M,-340.45M,245.75M,0.00,245.75M,0.00,,0.00,-281.90M,,-281.90M,4.524M,-8.495M,-40.12M,148.55M,-16.72M,-0.362M,131.46M,0.00,458.52M,-212.77M,
2018-09,103.28M,,-0.018M,0.716M,40.22M,,,218.58M,218.58M,-8.147M,,,6.488M,-6.123M,,0.538M,-47.66M,,,-47.12M,307.29M,-105.66M,,,-5.073M,,3.679M,-60.96M,38.90M,0.00,38.90M,0.00,,0.00,-281.85M,,-281.85M,1.913M,-14.79M,-255.83M,158.10M,-9.504M,-0.052M,148.55M,0.00,1.662B,-1.623B,
2018-06,169.30M,,-49.04M,6.371M,-42.76M,,,223.63M,223.63M,-1.642M,,,7.149M,17.82M,,20.06M,7.513M,,,27.57M,402.32M,-103.20M,,,-0.932M,,516.63M,555.35M,-674.54M,0.00,-674.54M,0.00,,0.00,-281.76M,,-281.76M,2.325M,-8.767M,-962.74M,163.58M,-5.073M,-0.406M,158.10M,0.00,11.80M,-686.34M,
