,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,ProvisionforDoubtfulAccounts,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,899.70M,918.37M,495.54M,422.83M,34.23M,34.23M,,,-18.71M,4.999M,,115.50M,0.572M,-114.93M,,288.59M,134.23M,0.572M,115.50M,-114.93M,-8.758M,-114.93M,10.54M,-3.195M,13.74M,,,-0.986M,,12.75M,17.20M,375.41M,249.37M,126.05M,0.04,-0.01,,,0.0519,0.03,0.04,-0.01,,,0.0518,0.03,373.18M,376.30M,0.45
2020-06,922.17M,941.66M,499.15M,442.51M,29.98M,29.98M,,,-6.586M,29.66M,,123.13M,1.54M,-121.59M,,409.23M,33.28M,1.54M,123.13M,-121.59M,-14.56M,-121.59M,-102.88M,56.36M,-159.24M,,,2.065M,,-157.17M,-153.28M,369.85M,349.59M,20.25M,-0.43,0.01,,,-0.4196,-0.42,-0.43,0.01,,,-0.4196,-0.42,372.98M,376.02M,0.45
2020-03,983.16M,1.007B,481.70M,525.51M,42.54M,42.54M,,,-8.218M,,,116.70M,4.853M,-111.84M,,291.37M,234.13M,4.853M,116.70M,-111.84M,203.42M,-111.84M,325.71M,-149.02M,474.73M,,,-1.613M,,473.12M,313.97M,691.25M,248.84M,442.41M,1.27,0.0,,,0.8431,1.27,1.26,0.0,,,0.8367,1.26,372.83M,376.00M,0.7925
2019-12,972.75M,995.13M,480.85M,514.28M,41.63M,41.63M,,,-4.19M,,,116.71M,0.875M,-115.83M,,390.54M,123.74M,0.875M,116.71M,-115.83M,5.681M,-115.83M,13.59M,0.694M,12.89M,,,-1.45M,,11.44M,14.10M,479.20M,348.91M,130.29M,0.03,0.0,,,0.0371,0.03,0.03,0.0,,,0.0371,0.03,372.74M,376.57M,0.7925
2019-09,952.37M,982.54M,462.12M,520.42M,40.53M,40.53M,,,-41.74M,0.00,,113.97M,0.62M,-113.35M,,275.13M,245.28M,0.62M,113.97M,-113.35M,-43.01M,-113.35M,88.92M,2.005M,86.92M,,,-1.659M,,85.26M,126.02M,437.49M,234.60M,202.89M,0.23,0.0,,,0.3394,0.23,0.23,0.0,,,0.3382,0.23,372.43M,376.62M,0.7925
2019-06,921.99M,941.52M,436.42M,505.10M,43.08M,43.08M,,,-8.622M,0.00,,110.37M,9.202M,-101.17M,,269.27M,235.83M,9.202M,110.37M,-101.17M,19.48M,-101.17M,154.15M,-57.75M,211.90M,,,-1.369M,,210.53M,202.84M,490.70M,226.19M,264.52M,0.59,-0.01,,,0.5688,0.58,0.58,-0.01,,,0.559,0.58,361.72M,365.55M,0.7925
2019-03,925.46M,942.59M,431.14M,511.45M,40.76M,40.76M,,,-2.585M,,,110.62M,0.287M,-110.33M,,276.68M,234.77M,0.287M,110.62M,-110.33M,1.893M,-110.33M,126.33M,-1.257M,127.59M,,,-1.803M,,125.78M,123.70M,472.87M,235.92M,236.95M,0.36,-0.01,,,0.3541,0.35,0.35,-0.01,,,0.3442,0.35,356.85M,360.62M,0.7925
2018-12,904.39M,922.91M,427.50M,495.40M,38.48M,38.48M,,,-12.10M,,,110.52M,0.357M,-110.17M,,282.75M,212.65M,0.357M,110.52M,-110.17M,-67.83M,-110.17M,34.65M,-28.65M,63.30M,0.00,,-1.029M,,62.27M,63.55M,389.45M,244.28M,145.18M,0.18,-0.01,,,0.1836,0.17,0.18,-0.01,,,0.1835,0.17,356.39M,360.00M,0.7925
2018-09,905.88M,923.98M,428.82M,495.16M,39.68M,39.68M,,,-43.98M,,,107.58M,12.55M,-95.03M,,258.26M,236.91M,12.55M,107.58M,-95.03M,-45.93M,-95.03M,95.95M,-7.327M,103.28M,0.00,,-1.309M,,101.97M,134.07M,422.11M,218.58M,203.54M,0.29,0.0,,,0.3801,0.29,0.29,-0.01,,,0.3793,0.28,356.32M,359.36M,0.79
2018-06,883.54M,939.96M,421.95M,518.01M,36.66M,36.66M,,,-4.401M,,,113.03M,2.347M,-110.68M,,260.29M,257.72M,2.347M,113.03M,-110.68M,21.53M,-110.68M,168.57M,-0.734M,169.30M,0.00,,-2.781M,,166.52M,143.58M,505.23M,223.63M,281.60M,0.48,-0.01,,,0.4156,0.47,0.47,-0.01,,,0.4061,0.46,356.23M,359.00M,0.79
2018-03,902.89M,934.07M,413.03M,521.04M,37.17M,37.17M,,,-28.31M,,,111.36M,9.634M,-101.73M,,270.32M,250.72M,9.634M,111.36M,-101.73M,-72.12M,-101.73M,76.87M,-3.242M,80.11M,-0.01M,,-1.395M,,78.70M,99.35M,421.38M,233.15M,188.23M,0.22,0.0,,,0.2779,0.22,0.22,0.0,,,0.2775,0.22,356.11M,358.85M,0.79
2017-12,858.00M,890.11M,373.73M,516.38M,34.93M,34.93M,,,-1.53M,,,111.95M,5.18M,-106.77M,,267.58M,248.80M,5.18M,111.95M,-106.77M,707.40M,-106.77M,849.43M,-46.68M,896.11M,-0.015M,,-1.251M,,392.55M,895.78M,1.194B,232.65M,961.38M,2.53,-0.0097,,,2.532,1.11,2.512,-0.0197,,,2.5140000000000002,1.09,355.97M,359.17M,0.79
2017-09,866.77M,899.76M,376.62M,523.13M,33.32M,33.32M,,,-1.315M,,,113.87M,0.171M,-113.70M,,246.72M,276.41M,0.171M,113.87M,-113.70M,-13.60M,-113.70M,149.12M,-7.815M,156.93M,-0.019M,458.28M,-1.233M,,613.96M,156.49M,476.39M,213.41M,262.98M,0.4374,-0.0001,0.0,,0.4397,1.72,0.4333,-0.0001,1.275,,0.4355,1.71,355.93M,359.33M,0.775
2017-06,862.92M,895.29M,366.38M,528.91M,33.28M,33.28M,,,-6.079M,,,113.57M,0.202M,-113.37M,,257.39M,271.52M,0.202M,113.57M,-113.37M,-8.033M,-113.37M,150.11M,-2.159M,152.27M,-0.023M,0.719M,-1.137M,,151.83M,154.78M,487.79M,224.11M,263.68M,0.43,0.0,0.0,,0.4403,0.43,0.42,0.0,0.002,,0.4302,0.42,355.02M,358.31M,0.775
2017-03,862.82M,882.96M,369.72M,513.24M,33.96M,33.96M,,,-2.365M,,,108.80M,0.481M,-108.32M,,251.74M,261.49M,0.481M,108.80M,-108.32M,-0.403M,-108.32M,152.77M,-3.145M,155.91M,-0.053M,43.29M,-1.021M,,198.13M,156.31M,479.35M,217.78M,261.57M,0.44,0.12,0.0,,0.444,0.56,0.44,0.11,0.1211,,0.444,0.55,354.41M,357.57M,0.775
2016-12,855.63M,875.63M,366.50M,509.13M,31.49M,31.49M,,,0.824M,,,107.74M,0.084M,-107.66M,,263.68M,245.45M,0.084M,107.74M,-107.66M,100.15M,-107.66M,237.94M,-2.836M,240.78M,-0.167M,,-1.195M,,207.64M,239.09M,577.87M,232.19M,345.68M,0.59,0.0,0.0,,0.5886,0.59,0.58,0.0,0.1858,,0.5786,0.58,353.98M,357.50M,0.775
2016-09,834.99M,866.55M,362.09M,504.46M,31.57M,31.57M,,,-16.60M,,,105.06M,0.562M,-104.50M,,239.95M,264.51M,0.562M,105.06M,-104.50M,-18.10M,-104.50M,141.91M,-8.537M,150.45M,-0.118M,-0.144M,-0.732M,,149.45M,159.67M,455.36M,208.39M,246.97M,0.43,0.0,0.0,,0.4584,0.43,0.42,0.0,-0.0004,,0.4481,0.42,350.27M,354.19M,0.73
2016-06,824.15M,848.29M,353.81M,494.49M,32.09M,32.09M,,,-9.692M,,,103.66M,0.111M,-103.55M,,254.06M,240.43M,0.111M,103.66M,-103.55M,-10.58M,-103.55M,126.30M,-11.55M,137.85M,-0.148M,5.739M,-0.278M,,143.16M,143.39M,451.93M,221.96M,229.96M,0.41,0.01,0.0,,0.4272,0.42,0.4,0.01,0.0168,,0.417,0.42,338.90M,342.57M,0.73
2016-03,829.78M,852.17M,359.67M,492.50M,31.73M,31.73M,,,-1.946M,,,103.27M,0.119M,-103.15M,,268.11M,224.38M,0.119M,103.27M,-103.15M,-6.312M,-103.15M,114.92M,-8.421M,123.34M,-0.489M,26.18M,-0.054M,,148.98M,124.45M,454.58M,236.39M,218.19M,0.37,0.07,0.0,,0.3735,0.44,0.36,0.07,0.0772,,0.3634,0.44,335.56M,339.20M,0.73
2015-12,820.58M,840.94M,359.80M,481.14M,27.64M,27.64M,,,2.565M,,,103.69M,0.333M,-103.36M,,264.43M,216.71M,0.333M,103.69M,-103.36M,-1.667M,-103.36M,111.68M,-11.55M,123.23M,-2.331M,4.16M,-0.332M,,124.73M,121.36M,452.17M,236.79M,215.38M,0.33,0.04,0.0,,0.3254,0.37,0.33,0.04,0.0124,,0.3254,0.37,332.92M,336.40M,0.73
2015-09,808.61M,827.53M,354.26M,473.27M,32.11M,32.11M,,,-77.48M,,,97.14M,0.074M,-97.06M,,258.45M,214.82M,0.074M,97.14M,-97.06M,-83.23M,-97.06M,34.54M,-10.70M,45.24M,-22.38M,0.265M,-0.265M,,22.85M,91.46M,371.88M,240.21M,131.67M,0.14,-0.07,0.0,,0.2798,0.07,0.14,-0.07,0.0008,,0.2782,0.07,332.49M,336.34M,0.73
2015-06,786.53M,811.75M,348.43M,463.32M,33.96M,33.96M,,,-11.81M,,,83.96M,0.174M,-83.78M,,248.67M,214.65M,0.174M,83.96M,-83.78M,-16.08M,-83.78M,114.78M,-9.789M,124.57M,18.24M,7.469M,-0.465M,,149.82M,131.20M,447.95M,249.21M,198.74M,0.39,0.06,0.0,,0.4114,0.45,0.39,0.05,0.0224,,0.4112,0.45,330.72M,334.03M,0.79
2015-03,783.07M,805.13M,347.72M,457.41M,34.33M,34.33M,,,-30.63M,,,82.33M,0.471M,-81.86M,,250.54M,206.86M,0.471M,82.33M,-81.86M,-35.76M,-81.86M,89.25M,-7.25M,96.50M,17.57M,6.686M,-0.317M,,120.44M,114.56M,419.03M,247.45M,171.58M,0.32,0.05,0.0,,0.3765,0.37,0.32,0.05,0.0203,,0.3758,0.37,325.45M,329.20M,0.79
2014-12,713.76M,728.64M,319.90M,408.74M,28.11M,28.11M,,,-7.845M,,,77.95M,3.452M,-74.50M,,246.16M,162.58M,3.452M,77.95M,-74.50M,-16.21M,-74.50M,71.88M,-13.55M,85.43M,20.71M,1.456M,-0.407M,,107.19M,90.12M,391.12M,241.29M,149.83M,0.3,0.07,0.0,,0.3173,0.37,0.29,0.07,0.0049,,0.3071,0.36,294.80M,297.48M,0.79
2014-09,691.38M,704.56M,311.10M,393.46M,29.46M,29.46M,,,-18.60M,,,77.32M,0.367M,-76.96M,,202.47M,190.99M,0.367M,77.32M,-76.96M,-28.06M,-76.96M,85.97M,-1.887M,87.86M,18.17M,3.625M,-0.522M,,109.13M,99.43M,364.53M,201.24M,163.30M,0.31,0.06,0.0,,0.3511,0.37,0.31,0.06,0.0122,,0.3508,0.37,294.03M,296.50M,0.725
2014-06,736.46M,751.08M,290.38M,460.70M,31.31M,31.31M,,,-12.52M,,,91.50M,0.173M,-91.33M,,222.12M,238.57M,0.173M,91.50M,-91.33M,-17.04M,-91.33M,130.21M,3.274M,126.93M,-0.255M,11.89M,-0.168M,,138.40M,138.97M,413.77M,192.06M,221.71M,0.47,0.0,0.0,,0.5115,0.47,0.47,0.0,0.0401,,0.5112,0.47,293.99M,296.50M,0.725
2014-03,730.43M,741.20M,291.01M,450.19M,32.87M,32.87M,,,-10.50M,,,87.84M,0.273M,-87.57M,,226.46M,223.73M,0.273M,87.84M,-87.57M,-15.48M,-87.57M,120.68M,3.433M,117.24M,3.031M,1.00M,-0.227M,,121.05M,127.22M,402.39M,193.88M,208.52M,0.4,0.01,0.0,,0.4347,0.41,0.4,0.01,0.0034,,0.4344,0.41,293.88M,296.24M,0.725
2013-12,429.09M,438.23M,291.71M,146.52M,30.33M,30.33M,,,-6.607M,,,4.374M,0.121M,-4.253M,,136.20M,10.32M,0.121M,4.374M,-4.253M,-11.69M,-4.253M,-5.624M,1.272M,-6.896M,115.34M,0.00,0.001M,,108.44M,-2.600M,199.31M,200.56M,-1.25M,0.37,0.0,0.0,,0.3846,0.37,0.37,0.0,0.0,,0.3845,0.37,293.69M,296.08M,0.725
2013-09,696.74M,711.18M,286.53M,424.65M,28.66M,28.66M,,,-6.019M,,,83.76M,0.066M,-83.70M,,205.70M,218.95M,0.066M,83.76M,-83.70M,-10.26M,-83.70M,124.99M,-2.78M,127.77M,-9.174M,0.00,-0.303M,,118.30M,131.38M,397.15M,188.39M,208.76M,0.43,-0.03,0.0,,0.4434,0.4,0.43,-0.03,0.0,,0.4433,0.4,292.82M,295.19M,0.67
2013-06,668.58M,683.31M,271.16M,412.16M,27.32M,27.32M,,,-5.947M,,,82.24M,0.797M,-81.44M,,198.85M,213.31M,0.797M,82.24M,-81.44M,-10.84M,-81.44M,121.03M,-12.06M,133.09M,-18.56M,0.00,0.047M,,114.58M,137.00M,397.25M,193.99M,203.26M,0.45,-0.06,0.0,,0.4632,0.39,0.45,-0.06,0.0,,0.4631,0.39,292.64M,295.12M,0.67
2013-03,665.77M,681.87M,268.84M,413.03M,28.77M,28.77M,,,-4.262M,,,78.63M,1.038M,-77.60M,,204.24M,208.79M,1.038M,78.63M,-77.60M,-7.92M,-77.60M,123.27M,1.744M,121.53M,-8.431M,0.00,-0.905M,,112.19M,124.83M,388.85M,186.94M,201.91M,0.41,-0.03,0.0,,0.4244,0.38,0.41,-0.03,0.0,,0.4243,0.38,291.46M,293.92M,0.67
2012-12,638.79M,653.48M,263.05M,390.42M,23.02M,23.02M,,,-12.92M,,,74.69M,0.664M,-74.02M,,203.20M,187.23M,0.664M,74.69M,-74.02M,-14.56M,-74.02M,98.65M,-3.555M,102.20M,-16.08M,,0.141M,,86.27M,110.74M,375.08M,201.75M,173.34M,0.33,-0.04,,,0.3585,0.29,0.33,-0.04,,,0.3583,0.29,294.72M,297.09M,0.62
2012-09,629.29M,638.32M,253.94M,384.39M,26.87M,26.87M,,,-3.723M,,,74.04M,0.33M,-73.71M,,215.41M,168.98M,0.33M,74.04M,-73.71M,11.38M,-73.71M,106.66M,-8.886M,115.54M,-3.724M,,0.061M,,111.88M,118.03M,377.32M,196.62M,180.70M,0.39,-0.01,,,0.3982,0.38,0.39,-0.01,,,0.3981,0.38,294.93M,297.41M,0.62
2012-06,603.75M,611.90M,240.49M,371.41M,26.42M,26.42M,,,-46.66M,,,72.77M,0.065M,-72.70M,,213.79M,157.62M,0.065M,72.77M,-72.70M,-47.65M,-72.70M,37.26M,-5.179M,42.44M,31.29M,,0.289M,,74.02M,73.06M,311.80M,201.77M,110.03M,0.15,0.11,,,0.2545,0.26,0.14,0.11,,,0.2436,0.25,290.17M,292.59M,0.62
2012-03,558.34M,566.38M,218.82M,347.55M,22.20M,22.20M,,,-37.52M,,,68.13M,0.047M,-68.08M,,182.62M,164.93M,0.047M,68.13M,-68.08M,-38.78M,-68.08M,58.07M,11.34M,46.73M,43.36M,,0.534M,,90.63M,77.46M,290.83M,164.64M,126.20M,0.16,0.15,,,0.2647,0.31,0.16,0.15,,,0.2638,0.31,288.38M,290.81M,0.62
2011-12,514.71M,549.12M,213.94M,335.18M,,23.53M,,,177.55M,,,61.46M,,-60.24M,,260.56M,74.63M,,61.46M,-60.24M,170.23M,-60.24M,184.61M,-7.621M,192.31M,0.191M,,0.451M,,192.95M,77.35M,417.66M,171.59M,246.07M,0.78,0.0,,,0.3798,0.78,0.77,0.0,,,0.3729,0.77,288.40M,290.61M,0.575
2011-09,555.38M,555.38M,213.77M,341.60M,,20.62M,,,-78.04M,,,69.52M,,-69.52M,-71.44M,105.77M,235.83M,,69.52M,-69.52M,-78.04M,-69.52M,88.28M,-13.73M,102.19M,-0.209M,,0.901M,,102.88M,153.82M,314.39M,155.60M,157.80M,0.36,0.0,,,0.5365,0.36,0.35,0.0,,,0.5244,0.35,287.36M,290.79M,0.4486
2011-06,359.51M,359.51M,152.13M,207.38M,,15.55M,,,-47.76M,,,52.04M,,-52.04M,,95.06M,112.32M,,52.04M,-52.04M,-47.76M,-52.04M,12.52M,-6.11M,18.54M,1.19M,,-0.058M,,19.68M,49.53M,144.07M,78.24M,64.56M,0.1,0.01,,,0.2761,0.11,0.1,0.01,,,0.2744,0.11,176.26M,177.94M,0.7014
