,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,OtherReceivables,TotalReceivables,FinishedGoodsInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-09,,1.482B,,1.482B,3.998B,1.212B,282.03M,5.555B,,,284.95M,164.63M,,285.22M,7.771B,,,,1.876B,,1.876B,,1.876B,3.744B,1.334B,5.078B,392.57M,,217.27M,95.38M,687.94M,8.576B,16.35B,,2.429B,50.96M,2.480B,808.35M,3.288B,,1.192B,6.554M,1.198B,189.64M,1.388B,132.50M,132.50M,120.97M,6.152B,1.783B,1.125B,2.908B,71.89M,71.89M,,41.21M,495.20M,3.601B,9.753B,,3.354M,6.216B,1.065B,,-731.40M,6.553B,,AOR,
2020-06,,1.214B,,1.214B,4.135B,765.13M,288.90M,5.292B,,,315.82M,99.52M,,268.00M,7.189B,,,,1.888B,,1.888B,,1.888B,3.696B,1.331B,5.026B,386.12M,,224.00M,102.86M,691.96M,8.511B,15.70B,,2.329B,107.55M,2.437B,638.35M,3.075B,,1.205B,6.835M,1.212B,191.90M,1.404B,128.42M,128.42M,144.47M,5.853B,1.763B,1.118B,2.882B,72.61M,72.61M,,41.06M,474.41M,3.562B,9.415B,,3.352M,6.032B,1.047B,,-838.52M,6.244B,,AOR,
2020-03,,628.45M,,628.45M,4.262B,1.273B,329.99M,5.954B,,,287.56M,104.24M,,289.67M,7.264B,,,,1.799B,,1.799B,,1.799B,3.674B,1.340B,5.014B,422.91M,,230.18M,89.05M,691.40M,8.417B,15.68B,,2.365B,81.76M,2.447B,693.81M,3.141B,,1.259B,6.926M,1.266B,183.16M,1.449B,107.00M,107.00M,130.98M,6.065B,1.755B,1.046B,2.800B,50.69M,50.69M,,40.20M,461.70M,3.445B,9.511B,,3.351M,5.950B,1.027B,,-851.04M,6.129B,,AOR,
2019-12,,971.78M,,971.78M,4.467B,993.06M,328.01M,5.882B,,,282.74M,121.96M,,276.32M,7.534B,0.00,,1.356B,997.97M,551.05M,2.905B,-1.071B,1.834B,3.753B,1.380B,5.133B,426.71M,,340.90M,73.86M,668.54M,8.663B,16.20B,,2.436B,30.21M,2.466B,1.262B,3.728B,,977.18M,6.348M,983.52M,168.66M,1.152B,108.67M,108.67M,122.34M,6.436B,1.761B,1.058B,2.819B,34.59M,34.59M,,40.42M,454.42M,3.488B,9.924B,,3.348M,5.793B,1.116B,,-679.75M,6.233B,,AOR,
2019-09,,577.46M,,577.46M,4.058B,987.92M,348.62M,5.433B,,,659.35M,124.84M,,264.28M,7.059B,,,,1.762B,,1.762B,,1.762B,3.627B,1.326B,4.953B,328.58M,,,142.92M,795.34M,7.982B,15.04B,,2.085B,30.97M,2.116B,869.26M,2.986B,,1.401B,5.955M,1.407B,162.87M,1.569B,110.91M,110.91M,130.94M,6.028B,1.748B,1.040B,2.788B,21.29M,21.29M,,47.15M,436.73M,3.454B,9.482B,,3.358M,5.156B,1.140B,,-787.08M,5.512B,,AOR,Restated
2019-06,,535.62M,,535.62M,4.001B,1.366B,323.25M,5.744B,,,290.25M,77.61M,,237.80M,6.885B,,,,1.696B,,1.696B,,1.696B,3.664B,1.331B,4.995B,307.31M,,,83.02M,752.82M,7.834B,14.72B,,2.064B,37.74M,2.102B,704.73M,2.806B,,1.580B,2.258M,1.582B,173.50M,1.756B,109.51M,109.51M,128.91M,5.887B,1.767B,996.23M,2.763B,51.59M,51.59M,,43.89M,447.79M,3.441B,9.329B,,3.363M,4.899B,1.162B,,-717.66M,5.347B,,AOR,Restated
2019-03,,604.95M,,604.95M,3.801B,1.548B,295.40M,5.703B,,,248.36M,82.72M,,357.37M,6.997B,,,,1.669B,,1.669B,,1.669B,3.664B,1.339B,5.003B,228.41M,,,80.54M,715.55M,7.696B,14.69B,,1.834B,53.80M,1.888B,656.12M,2.544B,,1.897B,2.573M,1.900B,185.46M,2.085B,115.14M,115.14M,113.91M,6.010B,1.760B,969.22M,2.729B,126.38M,126.38M,,114.84M,447.79M,3.479B,9.489B,,3.363M,4.675B,1.127B,,-716.17M,5.089B,,AOR,Restated
2018-12,,777.22M,,777.22M,3.669B,1.342B,307.02M,5.390B,,,254.89M,86.72M,,245.61M,6.754B,0.00,,1.157B,,472.95M,1.630B,-908.03M,721.69M,3.652B,1.441B,5.094B,216.17M,,74.76M,51.70M,540.05M,6.703B,13.46B,,1.920B,68.10M,1.988B,1.189B,3.177B,,1.329B,3.146M,1.332B,0.00,1.332B,82.23M,82.23M,90.74M,5.803B,1.767B,,1.767B,107.42M,107.42M,,71.10M,596.20M,2.644B,8.447B,,3.369M,4.505B,1.149B,,-718.27M,4.939B,,AOR,Restated
2018-09,,550.47M,,550.47M,3.411B,1.598B,159.93M,5.223B,,,258.34M,77.47M,,268.65M,6.378B,,,,,,,,702.43M,3.643B,1.403B,5.047B,195.32M,,,79.49M,574.99M,6.599B,12.98B,,1.674B,15.37M,1.690B,843.18M,2.533B,,1.721B,4.004M,1.725B,,1.725B,86.77M,86.77M,86.95M,5.486B,1.760B,,1.760B,187.61M,187.61M,,59.44M,632.21M,2.719B,8.205B,,3.409M,4.111B,1.278B,,-678.97M,4.713B,,AOR,Restated
2018-06,,531.48M,,531.48M,3.325B,1.488B,109.27M,4.970B,,,268.23M,71.86M,,265.27M,6.107B,,,,,,,,705.47M,3.407B,1.448B,4.855B,233.89M,,,97.89M,536.05M,6.429B,12.54B,,1.642B,21.92M,1.664B,629.04M,2.293B,,2.070B,1.482M,2.071B,,2.071B,76.22M,76.22M,70.23M,5.381B,1.763B,,1.763B,187.06M,187.06M,,63.29M,547.45M,2.637B,8.019B,,3.398M,3.820B,1.278B,,-648.49M,4.454B,,AOR,Restated
