,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,,AsOriginallyReported,Restated
2020-09,5.645B,5.645B,4.565B,1.081B,794.23M,,0.00,17.83M,,-17.83M,,921.95M,158.61M,,17.83M,-17.83M,93.12M,-17.83M,233.90M,49.06M,184.84M,,-0.708M,184.13M,142.42M,379.46M,127.72M,251.73M,,0.55,,0.4256,0.55,,0.55,,0.4265,0.55,,335.29M,337.67M,,AOR,
2020-06,5.381B,5.381B,4.400B,981.85M,770.81M,,0.00,17.95M,,-17.95M,,887.19M,94.66M,,17.95M,-17.95M,24.21M,-17.95M,100.92M,18.80M,82.11M,,-0.215M,81.90M,82.30M,235.25M,116.38M,118.86M,,0.24,,0.2412,0.24,,0.24,,0.2412,0.24,,335.13M,337.36M,,AOR,
2020-03,5.889B,5.889B,4.713B,1.176B,790.07M,,-75.17M,16.02M,,-16.02M,,903.86M,272.63M,,16.02M,-16.02M,-31.91M,-16.02M,224.71M,51.18M,173.53M,,-1.335M,172.20M,212.60M,354.52M,113.79M,240.73M,,0.51,,0.6306,0.51,,0.51,,0.6289,0.51,,334.97M,339.74M,,AOR,
2019-12,7.119B,7.119B,5.534B,1.586B,956.15M,,-0.75M,18.12M,,-18.12M,,1.072B,514.04M,,18.12M,-18.12M,43.24M,-18.12M,539.16M,-99.97M,639.13M,,-1.515M,637.62M,637.76M,672.64M,115.36M,557.28M,,1.90,,1.900,1.90,,1.87,,1.870,1.87,,334.73M,340.32M,,AOR,
2019-09,5.925B,5.925B,4.687B,1.238B,809.58M,,0.00,21.85M,,-21.85M,,921.14M,316.62M,,21.85M,-21.85M,26.75M,-21.85M,321.52M,63.47M,258.05M,,-1.454M,256.60M,256.59M,454.93M,111.56M,343.37M,,0.76,,0.7600,0.76,,0.75,,0.7500,0.75,,336.20M,341.10M,,AOR,Restated
2019-06,5.714B,5.714B,4.446B,1.268B,877.40M,,0.00,24.60M,,-24.60M,,983.88M,284.41M,,24.60M,-24.60M,26.15M,-24.60M,285.96M,62.52M,223.44M,,0.293M,223.73M,223.72M,417.04M,106.48M,310.56M,,0.67,,0.6700,0.67,,0.66,,0.6600,0.66,,336.22M,340.51M,,AOR,Restated
2019-03,5.136B,5.136B,4.022B,1.113B,792.88M,,-91.64M,21.19M,,-21.19M,,898.70M,214.78M,,21.19M,-21.19M,21.12M,-21.19M,214.70M,43.88M,170.83M,,-6.417M,164.41M,222.04M,341.72M,105.82M,235.90M,,0.49,,0.6615,0.49,,0.48,,0.6494,0.48,,336.02M,340.16M,,AOR,Restated
2018-12,6.294B,6.294B,4.772B,1.522B,948.17M,,0.00,22.63M,,-22.63M,,1.065B,457.04M,,22.63M,-22.63M,61.71M,-22.63M,496.12M,101.61M,394.50M,,-0.708M,393.80M,391.96M,635.69M,116.94M,518.75M,,1.16,,1.155,1.16,,1.15,,1.145,1.15,,339.83M,342.69M,,AOR,Restated
2018-09,5.261B,5.261B,4.099B,1.162B,859.08M,,0.00,25.42M,,-25.42M,,972.57M,189.48M,,25.42M,-25.42M,222.59M,-25.42M,386.65M,94.96M,291.69M,,-1.22M,290.47M,290.29M,525.56M,113.48M,412.07M,,0.86,,0.8595,0.86,,0.85,,0.8495,0.85,,339.48M,343.73M,,AOR,Restated
2018-06,5.111B,5.111B,3.959B,1.153B,826.28M,,0.00,25.40M,,-25.40M,,939.68M,213.00M,,25.40M,-25.40M,112.34M,-25.40M,299.95M,70.32M,229.63M,,-0.964M,228.67M,219.25M,438.74M,113.40M,325.35M,,0.67,,0.6422,0.67,,0.67,,0.6426,0.67,,339.08M,343.47M,,AOR,Restated
2018-03,4.674B,4.674B,3.620B,1.054B,732.24M,,-27.98M,28.86M,3.621M,-25.24M,,840.40M,213.59M,3.621M,28.86M,-25.24M,7.935M,-25.24M,196.29M,46.16M,150.12M,,0.163M,150.29M,171.68M,333.31M,108.16M,225.15M,,0.44,,0.5031,0.44,,0.44,,0.5024,0.44,,338.89M,342.59M,,AOR,Restated
