,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2020-09,184.84M,,-7.947M,-32.38M,-114.13M,,,127.72M,127.72M,,,0.00,,22.14M,,-400.39M,333.99M,,1.571M,0.00,437.94M,190.18M,963.69M,854.58M,,-56.40M,,,,-20.90M,,4.317M,-70.54M,,-7.146M,-451.00M,-458.15M,,-4.269M,-4.269M,,,-25.87M,-488.29M,,1.314B,295.75M,37.08M,1.647B,,,17.56M,-475.70M,-4.269M,4.137M,29.27M,,AOR,
2020-06,82.11M,,-5.22M,-19.48M,-78.02M,,,116.38M,116.38M,,,0.00,,20.94M,,534.88M,223.27M,,-95.67M,,-504.94M,-200.96M,-578.30M,142.34M,,-71.91M,,,,-19.03M,,2.246M,-43.71M,,22.70M,451.03M,473.74M,,-0.485M,-0.485M,,,-2.382M,470.87M,,732.70M,569.50M,11.54M,1.314B,,,526.70M,-52.97M,-0.485M,,3.855M,,AOR,
2020-03,173.53M,,0.193M,-20.63M,-72.81M,,,113.79M,113.79M,,,75.17M,,-1.239M,,-273.23M,52.80M,,-34.60M,,281.66M,-489.60M,-189.74M,-136.28M,,-62.24M,,,,-58.05M,,9.068M,-92.23M,,0.00,-0.03M,-0.03M,,-86.90M,-86.90M,,,-6.974M,-93.90M,,1.094B,-322.42M,-38.63M,732.70M,,,331.67M,-331.70M,-86.90M,,27.29M,,AOR,
2019-12,639.13M,,-2.744M,-40.69M,-99.02M,,,115.36M,115.36M,,,0.75M,,28.78M,,-1.187M,-179.90M,,147.97M,376.71M,-371.44M,335.77M,309.10M,1.049B,,-97.48M,,,,-362.38M,,-1.214M,-449.32M,,-115.93M,-52.00M,-167.93M,,-52.90M,-52.90M,,,0.846M,-219.99M,,702.30M,379.32M,12.12M,1.094B,,,920.76M,-1.089B,-52.90M,62.33M,6.487M,,AOR,
2019-09,258.05M,,-0.941M,-25.80M,-103.56M,,,111.56M,111.56M,,,0.00,,33.38M,,383.56M,-185.60M,,-4.794M,-376.71M,-1.378M,298.84M,-269.64M,468.03M,,-71.81M,,,,-62.16M,,-0.282M,-123.57M,,1.078M,-178.00M,-176.92M,,-56.01M,-56.01M,,,-5.007M,-237.94M,,613.22M,106.53M,-17.45M,702.30M,,,1.088B,-1.265B,-56.01M,93.86M,33.65M,,AOR,Restated
2019-06,223.44M,,-4.369M,-21.77M,-86.91M,,,106.48M,106.48M,,,0.00,,36.31M,,198.13M,-290.13M,,197.48M,,-211.22M,-104.26M,-408.13M,99.29M,,-67.24M,,,,-11.62M,,0.375M,-74.19M,,4.165M,-106.00M,-101.84M,,-0.379M,-0.379M,,,-11.84M,-114.05M,,687.67M,-88.96M,14.51M,613.22M,,,1.093B,-1.195B,-0.379M,154.64M,12.92M,,AOR,Restated
2019-03,170.83M,,-20.85M,-72.66M,-147.03M,,,105.82M,105.82M,,,89.04M,,29.27M,,-224.02M,-168.86M,,-33.98M,,232.45M,-525.10M,-495.50M,-392.58M,,-56.98M,,,,-25.70M,,2.771M,-73.94M,,0.00,336.00M,336.00M,,-54.27M,-54.27M,,,18.30M,300.03M,,863.94M,-166.48M,-9.791M,687.67M,,,807.00M,-471.00M,-54.27M,54.24M,33.61M,,AOR,Restated
2018-12,394.50M,3.197M,10.02M,-69.42M,-128.61M,,,116.94M,116.94M,,,0.00,,31.14M,,229.33M,-404.54M,,209.78M,,-250.98M,354.97M,-90.77M,628.94M,,-75.91M,,,,-40.79M,-2.699M,19.00M,-106.58M,,15.52M,-141.00M,-125.48M,,-162.72M,-162.72M,,,-4.921M,-293.12M,,627.94M,229.23M,6.773M,863.94M,,,794.51M,-919.98M,-162.72M,140.54M,8.343M,,AOR,Restated
2018-09,291.69M,0.00,-2.891M,-219.46M,-280.62M,,,113.48M,113.48M,,,0.00,,35.36M,,-96.03M,-171.06M,,54.46M,0.00,108.15M,401.86M,393.42M,594.37M,,-44.41M,,,,-58.84M,-0.526M,0.827M,-77.47M,,2.086M,-457.00M,-454.91M,,-23.07M,-23.07M,,,-1.542M,-479.52M,,603.35M,37.38M,-12.79M,627.94M,,,915.09M,-1.37B,-23.07M,75.47M,36.48M,,AOR,Restated
2018-06,229.63M,-3.197M,-4.009M,-96.02M,-156.86M,,,113.40M,113.40M,,,0.00,,32.10M,,-304.66M,-267.74M,,155.76M,,323.59M,-59.76M,151.85M,157.90M,,-60.76M,,,,-275.13M,-3.777M,0.055M,-312.42M,,-41.16M,135.00M,93.84M,,-0.08M,-0.08M,,,-9.062M,84.70M,,721.81M,-69.83M,-48.64M,603.35M,,,1.103B,-1.009B,-0.08M,122.61M,10.34M,,AOR,Restated
2018-03,150.12M,,4.28M,-40.18M,-80.98M,,,108.16M,108.16M,,,0.00,,29.57M,,-190.25M,69.97M,,-146.22M,,237.24M,-478.36M,-317.37M,-249.96M,,-46.72M,,,,-10.61M,-15.65M,-6.439M,-64.21M,,-270.00M,463.00M,193.00M,,-4.55M,-4.55M,,,-7.105M,181.34M,,824.82M,-132.82M,29.82M,721.81M,,,1.448B,-1.255B,-4.55M,37.22M,48.99M,,AOR,Restated
2017-12,161.51M,,-0.336M,-51.97M,-121.63M,,,109.10M,109.10M,,,,,24.11M,,478.86M,-422.56M,,237.84M,,-505.49M,490.55M,-199.65M,508.82M,,-76.44M,,,,-114.40M,0.303M,1.236M,-164.82M,,-543.20M,0.00,-543.20M,,0.00,0.00,,,-17.06M,-560.25M,,1.040B,-216.26M,0.675M,824.82M,,,806.58M,-1.350B,0.00,152.77M,5.338M,,AOR,Restated
