,NetIncome,Gain(Loss)onInvestmentSecurities,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2020-10,119.00M,,9.50M,9.50M,70.50M,70.50M,-1.00M,,,9.60M,,9.60M,2.70M,25.30M,15.60M,34.70M,,,5.40M,83.70M,,297.80M,-79.50M,,,,,-0.10M,0.00,-79.60M,,-47.40M,-47.40M,,0.00,0.00,-70.40M,-70.40M,3.00M,-0.30M,-115.10M,1.044B,103.10M,-1.10M,1.146B,,9.10M,-56.50M,0.00
2020-07,31.90M,,9.20M,9.20M,68.30M,68.30M,-2.10M,,,6.30M,,6.30M,-40.80M,30.80M,3.80M,84.90M,,,1.70M,80.40M,,204.30M,-73.20M,,,,,12.40M,0.00,-60.80M,,-62.40M,-62.40M,,0.00,0.00,-70.40M,-70.40M,0.30M,-1.30M,-133.80M,1.046B,9.70M,-12.20M,1.044B,,12.60M,-75.00M,0.00
2020-04,-64.60M,,9.80M,9.80M,64.70M,64.70M,1.10M,,,7.60M,,7.60M,79.90M,-75.80M,1.80M,-250.60M,,,0.30M,-244.40M,,-217.60M,-58.90M,,,,,9.90M,1.20M,-47.80M,,510.50M,510.50M,,0.00,0.00,-70.30M,-70.30M,3.70M,-9.90M,434.00M,874.70M,168.60M,2.90M,1.046B,,512.10M,-1.60M,0.00
2020-01,201.20M,,7.40M,4.80M,69.80M,69.80M,26.00M,,,13.30M,,13.30M,-21.60M,113.90M,-4.70M,8.10M,,,-8.00M,87.70M,,407.20M,-126.60M,,,,,17.10M,,-105.20M,,56.30M,56.30M,,0.00,0.00,-69.60M,-69.60M,104.10M,-5.80M,85.00M,489.60M,387.00M,-1.90M,874.70M,,68.90M,-12.60M,0.00
2019-10,78.40M,,7.30M,7.30M,64.30M,64.30M,-9.80M,,,4.80M,,4.80M,22.30M,-95.20M,4.80M,41.20M,,,-14.40M,-41.30M,,109.80M,-72.10M,,,,,-0.10M,,-72.20M,,-43.30M,-43.30M,,-78.00M,-78.00M,-69.70M,-69.70M,1.70M,-0.50M,-189.80M,641.00M,-152.20M,0.80M,489.60M,,5.30M,-48.60M,-78.00M
2019-07,136.30M,,7.00M,7.00M,64.70M,64.70M,-3.00M,,,9.20M,,9.20M,-29.50M,-38.40M,-14.90M,-6.80M,,,-7.60M,-97.20M,,122.80M,-62.40M,,,,,12.60M,,-49.80M,,-3.40M,-3.40M,,-60.00M,-60.00M,-70.30M,-70.30M,0.60M,-0.90M,-134.00M,709.50M,-61.00M,-7.50M,641.00M,,17.00M,-20.40M,-60.00M
2019-04,125.20M,,7.70M,7.70M,60.90M,60.90M,-6.60M,,,5.90M,,5.90M,32.50M,-53.00M,-21.50M,-100.40M,,,-24.90M,-167.30M,,31.10M,-59.50M,,,,,7.40M,,-52.10M,,28.90M,28.90M,,-25.40M,-25.40M,-66.70M,-66.70M,2.00M,-7.90M,-69.10M,792.60M,-90.10M,7.00M,709.50M,,43.40M,-14.50M,-25.40M
2019-01,204.50M,,9.10M,11.40M,59.80M,59.80M,-15.70M,,,3.80M,,-2.10M,-28.10M,60.30M,23.40M,50.30M,,,-6.20M,99.70M,,374.60M,-107.40M,,,,,-49.80M,,-145.00M,,41.30M,41.30M,,-44.10M,-44.10M,-66.90M,-66.90M,0.50M,-1.60M,-70.80M,642.60M,158.80M,-8.80M,792.60M,,41.60M,-0.30M,-44.10M
2018-10,94.90M,,8.80M,8.80M,58.30M,58.30M,-1.80M,,,10.60M,,-2.00M,-7.70M,-110.40M,-4.60M,6.40M,,,-12.30M,-128.60M,,66.10M,-73.00M,,,,,48.10M,,-24.90M,,-19.10M,-19.10M,,-71.00M,-71.00M,-67.20M,-67.20M,5.80M,-2.90M,-154.40M,752.80M,-113.20M,3.00M,642.60M,,0.00,-19.10M,-71.00M
2018-07,144.70M,,9.40M,9.40M,57.10M,57.10M,-5.30M,,,10.70M,,-2.10M,16.80M,-126.70M,-28.30M,-78.80M,,,-10.30M,-227.30M,,-8.70M,-64.80M,,,,,149.90M,,85.10M,,-2.00M,-2.00M,,-265.80M,-265.80M,-67.50M,-67.50M,12.50M,-0.30M,-323.10M,999.20M,-246.70M,0.30M,752.80M,,7.70M,-9.70M,-265.80M
