,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,UnrealizedGainorLoss-Total,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2020-10,1.146B,0.00,1.146B,200.30M,200.30M,794.50M,105.50M,1.585B,2.485B,318.80M,,,4.150B,,,,,2.220B,,,2.220B,,2.220B,,,228.60M,336.50M,2.785B,6.935B,439.80M,22.70M,462.50M,,462.50M,,543.10M,,543.10M,225.40M,768.50M,68.80M,68.80M,,1.300B,888.00M,996.40M,1.884B,,,,381.30M,11.50M,91.10M,2.357B,3.657B,1.20M,2.079B,1.408B,,,,-221.10M,3.267B
2020-07,1.044B,0.00,1.044B,196.60M,196.60M,796.20M,127.40M,1.587B,2.510B,314.40M,,,4.065B,,,,,2.211B,,,2.211B,,2.211B,,,226.90M,353.00M,2.791B,6.856B,394.00M,19.50M,413.50M,,413.50M,,591.30M,,591.30M,209.60M,800.90M,63.20M,63.20M,,1.278B,887.70M,1.024B,1.912B,,,,379.10M,11.90M,80.20M,2.371B,3.649B,1.20M,2.031B,1.396B,,,,-232.20M,3.196B
2020-04,1.046B,12.30M,1.058B,152.50M,152.50M,805.50M,141.10M,1.560B,2.506B,314.40M,,,4.032B,,,,,2.135B,,,2.135B,,2.135B,,,221.60M,355.30M,2.712B,6.744B,326.90M,10.40M,337.30M,,337.30M,,651.90M,,651.90M,206.60M,858.50M,60.60M,60.60M,,1.256B,886.10M,964.00M,1.850B,,,,377.10M,12.10M,79.20M,2.306B,3.563B,1.20M,2.070B,1.390B,,,,-291.70M,3.169B
2020-01,874.70M,22.70M,897.40M,240.00M,240.00M,776.80M,154.60M,1.532B,2.464B,274.20M,,,3.876B,0.0,41.70M,122.30M,1.347B,1.103B,158.00M,1.490B,4.262B,-2.060B,2.202B,56.40M,56.40M,225.20M,301.50M,2.785B,6.660B,261.30M,16.40M,277.70M,189.40M,467.10M,,147.90M,,147.90M,202.80M,350.70M,61.80M,61.80M,,970.40M,884.10M,1.008B,1.892B,,0.00,0.00,374.50M,12.50M,87.30M,2.354B,3.325B,1.20M,2.208B,1.387B,,,,-273.20M,3.323B
2019-10,489.60M,40.00M,529.60M,218.00M,218.00M,886.50M,146.60M,1.544B,2.577B,276.20M,,,3.601B,,,,,2.109B,,,2.109B,,2.109B,,,217.70M,331.50M,2.658B,6.259B,491.90M,21.80M,513.70M,,513.70M,,89.90M,,89.90M,211.20M,301.10M,62.40M,62.40M,,877.20M,883.80M,966.70M,1.850B,,0.00,0.00,289.80M,12.60M,99.00M,2.239B,3.116B,1.20M,2.077B,1.275B,,,,-223.00M,3.130B
2019-07,641.00M,39.60M,680.60M,241.00M,241.00M,832.20M,120.40M,1.535B,2.488B,264.40M,,,3.674B,,,,,2.095B,,,2.095B,,2.095B,,,209.70M,337.90M,2.642B,6.316B,430.30M,17.10M,447.40M,,447.40M,,135.20M,,135.20M,217.10M,352.30M,71.40M,71.40M,,871.10M,884.00M,969.60M,1.854B,,0.00,0.00,287.70M,13.00M,110.40M,2.252B,3.123B,1.20M,2.139B,1.276B,,,,-237.00M,3.180B
2019-04,709.50M,53.20M,762.70M,210.50M,210.50M,843.80M,117.80M,1.492B,2.454B,215.80M,,,3.643B,,,,,2.085B,,,2.085B,,2.085B,,,214.50M,333.10M,2.633B,6.276B,392.60M,40.60M,433.20M,,433.20M,,142.10M,,142.10M,226.30M,368.40M,72.10M,72.10M,,873.70M,881.20M,952.10M,1.833B,,0.00,0.00,284.90M,13.40M,111.80M,2.23B,3.104B,1.20M,2.128B,1.273B,,,,-244.00M,3.159B
2019-01,792.60M,62.70M,855.30M,245.40M,245.40M,781.80M,161.90M,1.484B,2.428B,230.80M,,,3.760B,0.0,41.80M,122.60M,1.251B,,98.70M,1.378B,2.892B,-1.866B,1.027B,61.00M,61.00M,215.80M,270.00M,1.574B,5.333B,217.10M,21.40M,238.50M,175.40M,413.90M,,113.40M,,113.40M,0.00,113.40M,69.90M,69.90M,,718.10M,883.40M,0.00,883.40M,,31.10M,31.10M,312.40M,13.50M,257.10M,1.484B,2.202B,1.20M,2.046B,1.275B,,,,-204.80M,3.117B
2018-10,642.60M,12.80M,655.40M,212.40M,212.40M,849.00M,176.30M,1.448B,2.473B,267.30M,,,3.608B,,,,,,,,,,974.50M,,,185.20M,332.50M,1.492B,5.101B,443.90M,21.50M,465.40M,,465.40M,,68.90M,,68.90M,,68.90M,81.20M,81.20M,,615.50M,880.00M,,880.00M,,32.10M,32.10M,284.90M,14.40M,265.80M,1.463B,2.078B,1.20M,1.949B,1.276B,,,,-217.70M,3.008B
2018-07,752.80M,61.30M,814.10M,207.00M,207.00M,888.60M,187.40M,1.336B,2.412B,256.40M,,,3.689B,,,,,,,,,,970.50M,,,190.70M,319.70M,1.481B,5.170B,428.40M,24.30M,452.70M,,452.70M,,90.30M,,90.30M,,90.30M,67.30M,67.30M,,610.30M,881.40M,,881.40M,,34.90M,34.90M,293.50M,14.60M,278.60M,1.488B,2.099B,1.20M,1.987B,1.266B,,,,-196.70M,3.057B
