,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-10,1.008B,1.008B,364.70M,643.50M,478.50M,,10.70M,-10.70M,,478.50M,165.00M,10.70M,-10.70M,-5.70M,-10.70M,148.60M,29.60M,119.00M,,119.00M,119.00M,229.80M,70.50M,159.30M,0.98,,0.98,0.98,0.98,,0.98,0.98,121.40M,121.70M,0.58
2020-07,747.10M,747.10M,285.50M,461.60M,401.90M,,11.10M,-11.10M,,401.90M,59.70M,11.10M,-11.10M,0.80M,-11.10M,49.40M,17.50M,31.90M,,31.90M,31.90M,128.80M,68.30M,60.50M,0.26,,0.26,0.26,0.26,,0.26,0.26,121.40M,121.70M,0.58
2020-04,555.50M,555.50M,246.50M,309.00M,414.40M,,9.80M,-9.80M,,414.40M,-105.40M,9.80M,-9.80M,25.40M,-9.80M,-89.80M,-25.20M,-64.60M,,-64.60M,-64.60M,-15.30M,64.70M,-80.00M,-0.53,,-0.53,-0.53,-0.53,,-0.53,-0.53,121.20M,121.20M,0.58
2020-01,1.358B,1.358B,498.70M,859.20M,590.20M,,9.10M,-9.10M,,590.20M,269.00M,9.10M,-9.10M,-1.60M,-9.10M,258.30M,57.10M,201.20M,,201.20M,201.20M,337.20M,69.80M,267.40M,1.67,,1.67,1.67,1.66,,1.66,1.66,121.40M,122.50M,0.58
2019-10,1.015B,1.015B,388.90M,625.70M,507.20M,,9.20M,-9.20M,,507.20M,118.50M,9.20M,-9.20M,-4.20M,-9.20M,105.10M,26.70M,78.40M,,78.40M,78.40M,178.60M,64.30M,114.30M,0.65,,0.65,0.65,0.65,,0.65,0.65,120.30M,120.60M,0.58
2019-07,1.048B,1.048B,390.80M,657.70M,473.40M,,9.80M,-9.80M,,473.40M,184.30M,9.80M,-9.80M,0.90M,-9.80M,175.40M,39.10M,136.30M,,136.30M,136.30M,249.90M,64.70M,185.20M,1.13,,1.13,1.13,1.12,,1.12,1.12,121.10M,121.40M,0.58
2019-04,1.003B,1.003B,383.90M,619.20M,458.30M,,10.40M,-10.40M,,458.30M,160.90M,10.40M,-10.40M,1.00M,-10.40M,151.50M,26.30M,125.20M,,125.20M,125.20M,222.80M,60.90M,161.90M,1.03,,1.03,1.03,1.03,,1.03,1.03,121.40M,121.90M,0.55
2019-01,1.321B,1.321B,478.60M,842.00M,573.60M,,10.00M,-10.00M,,573.60M,268.40M,10.00M,-10.00M,-2.00M,-10.00M,256.40M,51.90M,204.50M,,204.50M,204.50M,326.20M,59.80M,266.40M,1.68,,1.68,1.68,1.67,,1.67,1.67,121.70M,122.00M,0.55
2018-10,1.012B,1.012B,383.10M,629.30M,502.90M,,10.10M,-10.10M,,502.90M,126.40M,10.10M,-10.10M,-1.80M,-10.10M,114.50M,19.60M,94.90M,,94.90M,94.90M,182.90M,58.30M,124.60M,0.78,,0.78,0.78,0.77,,0.77,0.77,122.30M,123.10M,0.55
2018-07,1.076B,1.076B,387.10M,688.80M,497.60M,,9.70M,-9.70M,,497.60M,191.20M,9.70M,-9.70M,0.50M,-9.70M,182.00M,37.30M,144.70M,,144.70M,144.70M,248.80M,57.10M,191.70M,1.17,,1.17,1.17,1.17,,1.17,1.17,123.20M,124.00M,0.55
