,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-09,343.02M,343.02M,99.51M,243.51M,23.89M,23.89M,,,,43.45M,3.145M,-40.30M,,80.31M,163.21M,3.145M,43.45M,-40.30M,5.605M,-40.30M,128.51M,4.657M,123.85M,,-9.221M,,114.63M,114.63M,228.37M,56.41M,171.96M,,0.89,,0.89,0.89,,0.88,,0.88,0.88,,128.86M,129.87M,0.90,,AOR,
2020-06,327.25M,327.25M,95.90M,231.35M,25.34M,25.34M,,,,42.27M,1.669M,-40.60M,,81.36M,149.99M,1.669M,42.27M,-40.60M,5.044M,-40.60M,114.43M,3.177M,111.26M,,-8.346M,,102.91M,102.91M,212.72M,56.02M,156.71M,,0.80,,0.80,0.80,,0.80,,0.80,0.80,,128.93M,129.08M,0.90,,AOR,
2020-03,332.45M,332.45M,96.98M,235.48M,23.01M,23.01M,,,,45.57M,1.674M,-43.89M,,78.29M,157.19M,1.674M,45.57M,-43.89M,5.043M,-43.89M,118.34M,2.179M,116.16M,,-7.983M,,108.18M,108.18M,219.18M,55.28M,163.91M,,0.84,,0.84,0.84,,0.83,,0.83,0.83,,129.29M,137.14M,0.90,,AOR,
2019-12,335.80M,335.80M,95.54M,240.26M,20.87M,20.87M,,,,46.02M,1.562M,-44.46M,,75.61M,164.64M,1.562M,46.02M,-44.46M,2.819M,-44.46M,123.01M,2.728M,120.28M,,-7.997M,,112.28M,112.28M,223.77M,54.74M,169.03M,,0.87,,0.87,0.87,,0.86,,0.86,0.86,,129.32M,137.24M,0.90,,AOR,
2019-09,337.50M,337.50M,96.30M,241.21M,22.52M,22.52M,,,,48.09M,2.799M,-45.30M,,78.57M,162.64M,2.799M,48.09M,-45.30M,2.704M,-45.30M,120.05M,4.052M,116.00M,,-7.908M,,108.09M,108.09M,224.19M,56.05M,168.14M,,0.84,,0.84,0.84,,0.83,,0.83,0.83,,128.78M,137.32M,0.90,,AOR,Restated
2019-06,323.60M,323.60M,87.85M,235.75M,23.35M,23.35M,,,,48.63M,1.718M,-46.92M,,77.76M,157.99M,1.718M,48.63M,-46.92M,4.326M,-46.92M,115.40M,2.715M,112.69M,,-7.861M,,104.83M,103.65M,218.44M,54.41M,164.04M,,0.82,,0.8108,0.82,,0.81,,0.8013,0.81,,127.59M,135.65M,0.90,,AOR,Restated
2019-03,311.55M,311.55M,85.73M,225.81M,22.68M,22.68M,,,,48.52M,1.388M,-47.13M,,77.34M,148.48M,1.388M,48.52M,-47.13M,2.63M,-47.13M,103.97M,1.813M,102.16M,,-7.39M,,94.77M,94.77M,207.15M,54.66M,152.50M,,0.74,,0.74,0.74,,0.74,,0.74,0.74,,127.04M,134.29M,0.86,,AOR,Restated
2018-12,307.35M,307.35M,79.12M,228.24M,18.43M,18.43M,,,,49.36M,1.295M,-48.06M,,71.56M,156.68M,1.295M,49.36M,-48.06M,3.804M,-48.06M,112.42M,3.167M,109.25M,,-7.788M,,101.46M,101.46M,214.90M,53.13M,161.78M,,0.80,,0.80,0.80,,0.80,,0.80,0.80,,126.47M,133.59M,0.86,,AOR,Restated
2018-09,306.95M,306.95M,81.37M,225.58M,19.71M,19.71M,,,,47.07M,1.371M,-45.70M,,71.99M,153.59M,1.371M,47.07M,-45.70M,34.43M,-45.70M,142.32M,2.638M,139.69M,,-9.269M,,130.42M,100.18M,241.67M,52.28M,189.39M,,1.03,,0.7909,1.03,,1.02,,0.7948,1.02,,126.47M,134.24M,0.86,,AOR,Restated
2018-06,296.81M,296.81M,78.55M,218.26M,21.65M,21.65M,,,,44.52M,1.188M,-43.34M,,73.54M,144.72M,1.188M,44.52M,-43.34M,3.429M,-43.34M,104.81M,2.097M,102.71M,,-7.56M,,95.15M,95.15M,201.22M,51.89M,149.33M,,0.75,,0.75,0.75,,0.75,,0.75,0.75,,125.87M,132.77M,0.86,,AOR,Restated
2018-03,285.48M,285.48M,78.36M,207.12M,21.46M,21.46M,,,,42.18M,1.438M,-40.74M,,73.21M,133.91M,1.438M,42.18M,-40.74M,3.597M,-40.74M,96.77M,1.342M,95.43M,,-7.174M,,88.26M,88.26M,190.70M,51.75M,138.95M,,0.70,,0.70,0.70,,0.70,,0.70,0.70,,125.77M,132.68M,0.78,,AOR,Restated
2017-12,281.84M,281.84M,72.78M,209.06M,18.79M,18.79M,,,,41.60M,1.535M,-40.06M,,67.95M,141.11M,1.535M,41.60M,-40.06M,122.73M,-40.06M,223.79M,-5.529M,229.32M,,-13.35M,,215.96M,144.68M,314.54M,49.16M,265.38M,,1.71,,1.148,1.71,,1.69,,1.172,1.69,,126.87M,137.60M,0.78,,AOR,Restated
2017-09,284.16M,284.16M,76.70M,207.45M,19.50M,19.50M,,,,41.03M,1.401M,-39.63M,,67.57M,139.88M,1.401M,41.03M,-39.63M,3.99M,-39.63M,104.24M,3.163M,101.08M,,-7.311M,,93.76M,93.76M,193.35M,48.08M,145.27M,,0.74,,0.74,0.74,,0.74,,0.74,0.74,,125.72M,133.04M,0.78,,AOR,Restated
2017-06,276.00M,276.00M,71.10M,204.90M,21.86M,21.86M,,,,38.75M,1.485M,-37.26M,,68.50M,136.41M,1.485M,38.75M,-37.26M,-2.181M,-37.26M,96.96M,2.867M,94.10M,,-7.092M,,87.01M,92.85M,182.34M,46.63M,135.71M,,0.69,,0.7365,0.69,,0.69,,0.7340,0.69,,125.67M,132.78M,0.78,,AOR,Restated
