,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,NotesReceivable,TotalReceivables,PrepaidExpenses,RestrictedCash,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,PayablesandAccruedExpenses,NotesPayable,LiabilityonCreditLine,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AdjustmentsforForeignCurrencyTranslation,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-09,,74.80M,,74.80M,,,,,5.771M,,80.57M,,,,,256.15M,,256.15M,,256.15M,,,347.79M,,,,320.64M,8.681B,8.761B,,153.84M,46.53M,,,200.36M,200.36M,,94.00M,94.00M,94.00M,,294.36M,,5.186B,267.09M,5.453B,,,,,378.54M,,245.60M,5.699B,5.993B,,1.291M,-392.89M,2.890B,,-108.71M,2.389B,,AOR,
2020-06,,56.40M,,56.40M,,,,,5.354M,,61.75M,,,,,261.30M,,261.30M,,261.30M,,,344.18M,,,,188.94M,8.468B,8.530B,,132.26M,46.10M,,,178.36M,178.36M,,207.00M,207.00M,207.00M,,385.36M,,4.874B,271.88M,5.146B,,,,,369.83M,,253.25M,5.399B,5.784B,,1.291M,-391.28M,2.885B,,-119.26M,2.376B,,AOR,
2020-03,,93.30M,,93.30M,,,,,4.633M,,97.93M,,,,,259.68M,,259.68M,,259.68M,,,342.40M,,,,159.85M,8.452B,8.549B,,116.07M,45.71M,,,161.78M,161.78M,,244.00M,244.00M,244.00M,,405.78M,,4.882B,270.17M,5.152B,,,,,376.51M,,217.10M,5.369B,5.775B,,1.29M,-362.26M,2.873B,,-113.84M,2.398B,,AOR,
2019-12,,65.75M,,65.75M,,,,,4.987M,,70.73M,,,,,264.64M,,264.64M,,264.64M,134.93M,134.93M,338.05M,,,,162.08M,8.462B,8.532B,,111.38M,45.26M,,,156.65M,156.65M,,158.00M,158.00M,158.00M,,314.65M,,4.888B,274.78M,5.163B,,,,,381.73M,,132.77M,5.296B,5.611B,,1.295M,-301.05M,2.869B,,-28.97M,2.540B,,AOR,
2019-09,,62.28M,,62.28M,,,,,4.438M,,66.72M,,,,,269.32M,,269.32M,,269.32M,,,175.44M,,,,141.39M,8.252B,8.318B,,122.66M,45.14M,,,167.80M,167.80M,,159.00M,159.00M,159.00M,,326.80M,,4.653B,279.05M,4.932B,,,,,385.28M,,151.59M,5.084B,5.410B,,1.294M,-296.75M,2.862B,,-43.44M,2.523B,,AOR,Restated
2019-06,,47.67M,,47.67M,,,,,7.977M,,55.64M,,,,,221.48M,,221.48M,,221.48M,,,174.48M,,,,272.08M,8.335B,8.391B,,115.06M,45.08M,,,160.14M,160.14M,,382.00M,382.00M,382.00M,,542.14M,,4.656B,230.82M,4.887B,,,,,386.60M,,132.76M,5.020B,5.562B,,1.285M,-288.40M,2.757B,,-27.48M,2.442B,,AOR,Restated
2019-03,,38.99M,,38.99M,,,,,7.84M,,46.83M,,,,,94.20M,,94.20M,,94.20M,,,161.03M,,,,141.84M,8.086B,8.133B,,99.30M,44.57M,,,143.87M,143.87M,,335.00M,335.00M,335.00M,,478.87M,,4.666B,103.58M,4.770B,,,,,389.66M,,110.16M,4.880B,5.359B,,1.274M,-277.66M,2.649B,,11.81M,2.384B,,AOR,Restated
2018-12,,57.50M,,57.50M,,,,,15.19M,,72.69M,,,,,,,0.00,,0.00,132.00M,132.00M,125.33M,,,,158.13M,7.775B,7.848B,,101.46M,45.20M,,,146.66M,146.66M,,81.00M,81.00M,81.00M,,227.66M,,4.731B,0.00,4.731B,,,,,371.70M,,104.38M,4.835B,5.063B,,1.271M,-262.90M,2.641B,,34.65M,2.414B,,AOR,Restated
2018-09,,45.38M,,45.38M,,,,,21.20M,,66.58M,,,,,,,,,,,,114.45M,,,,191.85M,7.732B,7.799B,,126.54M,44.22M,,,170.76M,170.76M,,0.00,0.00,0.00,,170.76M,,4.761B,,4.761B,,,,,374.38M,,96.38M,4.858B,5.029B,,1.264M,-255.06M,2.581B,,68.36M,2.396B,,AOR,Restated
2018-06,,49.19M,,49.19M,,,,,19.91M,,69.11M,,,,,,,,,,,,97.56M,,,,165.21M,7.653B,7.722B,,107.25M,43.74M,,,150.99M,150.99M,,250.00M,250.00M,250.00M,,400.99M,,4.517B,,4.517B,,,,,373.85M,,87.66M,4.605B,5.006B,,1.261M,-276.69M,2.554B,,62.93M,2.342B,,AOR,Restated
2018-03,,35.53M,,35.53M,,,,,18.54M,,54.06M,,,,,,,,,,,,63.87M,,,,181.09M,7.417B,7.471B,,108.93M,43.27M,,,152.20M,152.20M,,100.50M,100.50M,100.50M,,252.70M,,4.414B,,4.414B,,,,,372.89M,,87.41M,4.501B,4.754B,,1.26M,-263.36M,2.551B,,55.27M,2.344B,,AOR,Restated
